1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,104.395607,-197.600004,128.114289,-9.326007,-0.244200,9.523810,-7.570208,1.221001,-7.570208,8.058608,1.186203,3.472527,0
0.001042,180.896707,-168.536267,65.978023,-2.923077,-4.151404,10.500611,-4.151404,5.128205,-8.547009,5.128205,1.186203,3.443223,0
0.002086,199.604400,-149.160443,-36.246155,13.501832,-7.081807,9.523810,-0.732601,8.058608,-8.058608,1.709402,1.186203,3.443223,0
0.003125,191.586817,-109.072530,-130.452750,12.388278,-8.547009,7.081807,3.174603,9.523810,-6.105006,-1.709402,1.186203,3.472527,0
0.004167,164.193410,-36.914287,-190.584620,-14.615385,-9.035409,4.151404,7.081807,10.500611,-2.686203,-5.616606,0.697802,3.492063,0
0.005209,141.810992,68.984617,-202.945059,-5.150183,-8.058608,0.732601,9.523810,9.035409,0.732601,-7.570208,0.697802,3.462759,0
0.006251,88.694507,158.180223,-179.560444,-7.098901,-5.128205,-2.686203,10.012210,6.593407,4.151404,-8.547009,1.186203,3.462759,0
0.007292,4.509890,197.600004,-158.180223,11.553114,-1.709402,-6.105006,9.523810,3.174603,7.570208,-8.547009,0.697802,3.452991,0
0.008334,-103.059343,199.270334,-126.443959,11.274725,1.709402,-8.058608,8.547009,-0.244200,9.035409,-6.593407,1.186203,3.472527,0
0.009375,-177.890114,170.874729,-64.641760,5.150183,5.128205,-8.547009,5.128205,-3.663004,10.012210,-4.151404,1.186203,3.452991,0
0.010418,-197.600004,151.164839,37.916484,-10.439560,8.058608,-8.058608,1.709402,-7.081807,9.523810,-0.244200,1.186203,3.452991,0
0.011458,-190.250554,110.742860,132.791212,-9.882784,9.523810,-6.105006,-1.709402,-8.058608,7.081807,3.174603,1.186203,3.462759,0
0.012507,-162.523081,36.580221,192.254949,17.399267,10.012210,-2.686203,-5.616606,-9.035409,4.151404,6.593407,1.186203,3.462759,0
0.013547,-139.138465,-68.650551,203.947257,9.604396,9.035409,0.732601,-8.058608,-7.570208,0.244200,9.035409,1.186203,3.462759,0
0.014584,-87.692310,-156.843960,180.896707,9.047619,6.105006,4.151404,-9.035409,-5.128205,-3.174603,9.523810,1.186203,3.443223,0
0.015625,-2.171429,-195.929675,160.184619,-9.326007,2.686203,7.570208,-8.547009,-1.709402,-6.105006,9.523810,1.186203,3.462759,0
0.016668,105.397805,-197.600004,127.780223,-9.604396,-0.244200,9.523810,-7.081807,1.709402,-7.570208,8.058608,1.186203,3.482295,0
0.017708,179.894510,-168.870333,65.309892,-3.201465,-4.151404,10.012210,-4.151404,5.128205,-8.547009,5.128205,0.697802,3.462759,0
0.018751,199.604400,-149.160443,-36.580221,13.501832,-7.081807,9.523810,-0.244200,8.058608,-8.058608,1.709402,0.697802,3.452991,0
0.019792,191.586817,-108.404398,-131.789014,12.109890,-8.058608,7.081807,2.686203,9.523810,-5.616606,-2.197802,0.697802,3.472527,0
0.020834,164.193410,-35.912089,-190.584620,-14.615385,-9.035409,4.151404,6.593407,10.012210,-2.686203,-5.128205,0.697802,3.452991,0
0.021875,141.142860,69.652749,-202.276928,-6.542125,-8.058608,0.732601,9.035409,9.035409,1.221001,-7.570208,1.186203,3.462759,0
0.022917,88.694507,158.514289,-179.226378,-6.263736,-5.128205,-2.686203,10.012210,6.593407,4.151404,-8.547009,1.186203,3.462759,0
0.023958,3.173626,197.600004,-157.846157,12.945055,-1.709402,-6.593407,10.012210,2.686203,7.570208,-8.547009,1.186203,3.482295,0
0.025000,-104.395607,199.270334,-126.109893,11.274725,1.709402,-8.058608,8.547009,-0.244200,9.035409,-6.593407,1.186203,3.540904,0
0.026042,-178.558246,170.540663,-63.639562,5.706960,5.128205,-8.547009,5.128205,-3.663004,10.012210,-3.663004,1.186203,3.443223,0
