1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,166.865938,-32.237363,-142.479124,2.366300,-6.105006,-1.709402,8.547009,6.105006,2.686203,-8.058608,-0.278999,2.124542,0
0.001041,149.828575,58.962639,-160.184619,-15.728938,-3.174603,-5.128205,9.035409,3.663004,5.616606,-8.547009,-0.278999,2.124542,0
0.002083,87.024178,116.421981,-172.545059,-8.490842,0.244200,-7.570208,8.058608,0.244200,8.058608,-7.081807,0.697802,2.124542,0
0.003125,0.835165,146.487915,-168.536267,6.820513,3.663004,-8.547009,5.616606,-3.174603,8.547009,-4.639805,-0.767399,2.173382,0
0.004167,-88.694507,161.520883,-138.470333,21.296703,6.593407,-8.058608,2.197802,-5.616606,8.058608,-1.221001,-0.767399,2.134310,0
0.005208,-134.461541,169.872531,-57.626375,8.490842,8.547009,-6.593407,-0.732601,-7.570208,6.593407,1.709402,-0.767399,2.134310,0
0.006250,-153.169234,158.848355,30.232968,-13.223443,8.547009,-4.151404,-4.151404,-8.058608,4.151404,4.639805,-0.278999,2.114774,0
0.007291,-167.868136,110.742860,104.061541,-12.945055,8.058608,-0.732601,-6.593407,-8.058608,1.221001,7.081807,-0.278999,2.114774,0
0.008334,-169.204399,29.898902,140.474728,1.252747,6.593407,2.197802,-8.547009,-6.105006,-2.197802,8.547009,-0.278999,2.124542,0
0.009374,-152.167036,-60.967034,158.514289,17.956044,3.663004,5.128205,-8.547009,-3.174603,-5.128205,8.547009,-0.278999,2.124542,0
0.010416,-87.692310,-119.094508,170.540663,11.553114,0.244200,8.058608,-7.081807,0.732601,-7.081807,7.570208,-0.767399,2.124542,0
0.011458,-3.507692,-149.160443,165.529674,-4.871795,-3.174603,9.035409,-5.128205,3.174603,-8.058608,5.128205,-0.278999,2.144078,0
0.012500,87.024178,-163.191212,135.797805,-18.791209,-6.105006,8.547009,-1.709402,6.593407,-8.058608,2.197802,-0.767399,2.124542,0
0.013541,132.457146,-171.542861,55.287913,-0.139194,-8.058608,7.081807,1.709402,8.058608,-6.593407,-1.221001,-0.767399,2.124542,0
0.014583,151.832970,-160.518685,-32.237363,14.058608,-8.547009,4.639805,4.639805,9.035409,-3.663004,-4.151404,-0.767399,2.153846,0
0.015625,166.531872,-112.413189,-106.065936,14.615385,-8.058608,1.221001,7.081807,8.058608,-0.732601,-6.593407,-0.767399,2.124542,0
0.016667,167.868136,-31.569231,-142.813190,1.531136,-6.105006,-2.197802,8.547009,6.105006,2.197802,-8.058608,-0.278999,2.134310,0
0.017708,151.164839,58.962639,-160.518685,-15.728938,-3.174603,-5.128205,9.035409,3.174603,5.616606,-8.058608,-0.278999,2.124542,0
0.018750,85.687914,117.090113,-172.210993,-8.212454,0.244200,-7.081807,8.058608,-0.244200,7.570208,-7.081807,0.209402,2.124542,0
0.019792,0.835165,147.156047,-167.868136,7.377289,3.663004,-8.547009,5.616606,-3.174603,8.547009,-4.639805,-0.278999,2.134310,0
0.020833,-89.028573,161.520883,-137.802201,21.853480,6.593407,-8.058608,2.686203,-6.105006,8.058608,-1.221001,-0.278999,2.124542,0
0.021875,-133.793410,169.538465,-57.626375,8.490842,8.058608,-6.593407,-0.732601,-7.570208,6.593407,1.709402,-0.767399,2.114774,0
0.022917,-153.503300,158.848355,29.898902,-11.553114,9.035409,-3.663004,-4.151404,-8.058608,4.151404,5.128205,-0.767399,2.163614,0
0.023958,-168.202202,110.408794,104.061541,-11.274725,8.058608,-0.732601,-6.593407,-7.570208,1.221001,7.570208,-0.767399,2.134310,0
0.025000,-169.204399,29.564836,140.808794,1.531136,6.593407,2.197802,-8.547009,-5.616606,-2.197802,8.547009,-0.278999,2.183150,0
0.026041,-152.167036,-60.632968,158.514289,13.501832,3.663004,5.616606,-8.547009,-3.174603,-5.128205,9.035409,-0.278999,2.124542,0
0.027083,-87.358244,-119.094508,170.540663,12.666667,0.244200,7.570208,-7.081807,0.244200,-7.570208,7.081807,-0.767399,2.124542,0
0.028125,-2.505495,-148.826377,165.863740,-4.593407,-3.174603,9.035409,-5.128205,3.174603,-8.547009,5.128205,-0.767399,2.153846,0
0.029167,87.692310,-163.525278,136.131871,-20.183150,-6.105006,8.547009,-2.197802,6.105006,-8.058608,1.709402,-0.278999,2.114774,0
0.030208,132.457146,-171.542861,54.619781,-5.706960,-7.570208,7.081807,1.221001,8.058608,-7.081807,-1.221001,-0.278999,2.105006,0
0.031250,151.498904,-160.518685,-32.905495,14.058608,-8.547009,4.639805,4.639805,8.547009,-3.663004,-4.639805,-0.278999,2.114774,0
0.032292,165.529674,-112.079123,-106.400002,17.120879,-7.570208,1.221001,7.081807,8.058608,-0.732601,-6.593407,0.209402,2.114774,0
