1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,169.204399,-63.639562,-186.909894,30.483516,-9.523810,4.639805,5.128205,9.523810,-4.151404,-4.639805,1.186203,3.501832,0
0.001042,148.826377,41.925276,-202.276928,3.479853,-9.035409,1.221001,7.570208,8.547009,-0.244200,-7.570208,-0.278999,3.531136,0
0.002083,104.729673,135.463739,-189.916488,-16.564103,-6.593407,-2.686203,9.035409,6.593407,2.686203,-8.547009,-0.278999,3.501832,0
0.003125,29.564836,193.591213,-165.863740,-17.677656,-3.174603,-6.105006,9.523810,3.174603,6.105006,-9.035409,-0.278999,3.501832,0
0.004167,-76.000002,202.610994,-138.804399,6.263736,0.244200,-8.058608,8.058608,-0.244200,8.547009,-7.570208,-0.278999,3.492063,0
0.005208,-164.193410,179.226378,-84.685716,25.750916,4.151404,-9.035409,5.616606,-3.174603,9.035409,-5.128205,-0.767399,3.482295,0
0.006250,-200.272532,155.507696,7.516484,13.223443,7.081807,-9.035409,2.197802,-6.593407,9.035409,-1.709402,-0.278999,3.472527,0
0.007291,-197.265938,122.101102,109.072530,-11.274725,9.035409,-7.081807,-0.732601,-8.547009,7.570208,1.709402,1.186203,3.511600,0
0.008334,-170.874729,60.967034,183.903301,-24.915751,9.523810,-4.151404,-4.639805,-9.035409,4.639805,5.128205,-0.278999,3.492063,0
0.009375,-150.830773,-43.929671,199.270334,1.531136,9.035409,-0.732601,-7.570208,-8.547009,1.221001,8.058608,-0.278999,3.501832,0
0.010416,-107.402200,-137.468135,187.578026,22.131868,7.081807,2.686203,-9.035409,-6.593407,-2.197802,9.035409,-0.278999,3.560440,0
0.011458,-31.903297,-195.929675,163.191212,22.131868,3.663004,6.105006,-9.035409,-3.174603,-6.105006,9.035409,-0.278999,3.501832,0
