1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,153.503300,-205.283521,77.002200,-8.769231,0.732601,8.058608,-8.058608,-0.244200,-7.081807,8.058608,-0.278999,4.107448,0
0.001042,213.969236,-163.859344,1.503297,-17.956044,-2.686203,9.035409,-5.128205,3.174603,-8.547009,5.616606,-0.278999,4.117216,0
0.002083,218.980225,-121.098904,-99.050552,6.542125,-5.616606,9.035409,-3.174603,6.105006,-8.547009,2.686203,0.209402,4.126984,0
0.003125,191.920883,-58.628573,-177.890114,16.285714,-8.058608,7.081807,0.732601,8.058608,-7.081807,-0.732601,-0.278999,4.117216,0
0.004167,146.153849,25.556045,-229.670335,20.739927,-9.035409,4.639805,4.151404,9.035409,-4.639805,-4.151404,-0.278999,4.087912,0
0.005208,101.723079,125.775827,-213.635170,-3.758242,-8.547009,1.709402,7.081807,8.547009,-0.732601,-6.593407,0.209402,4.097680,0
0.006250,32.905495,194.593411,-181.230773,-16.007326,-6.105006,-1.709402,9.035409,6.593407,2.197802,-8.058608,0.209402,4.107448,0
0.007292,-63.305496,224.325280,-135.463739,-5.706960,-4.151404,-5.128205,9.035409,3.663004,5.128205,-8.547009,0.209402,4.097680,0
0.008334,-156.175828,202.276928,-79.674727,14.336996,-0.244200,-7.081807,8.058608,0.732601,7.570208,-7.570208,0.209402,4.097680,0
0.009375,-215.973631,161.186817,-5.512088,23.245421,3.174603,-8.547009,6.105006,-2.686203,8.547009,-5.128205,0.209402,4.087912,0
0.010417,-221.318686,118.092310,95.709892,2.366300,6.105006,-8.547009,3.174603,-5.616606,9.035409,-2.197802,0.697802,4.117216,0
0.011458,-193.925279,55.956045,174.883520,-12.945055,8.547009,-7.081807,-0.244200,-7.570208,7.570208,0.732601,-0.278999,4.126984,0
0.012501,-148.492311,-27.894506,226.997807,-15.728938,9.523810,-4.151404,-4.151404,-9.035409,4.639805,4.639805,-2.232601,4.107448,0
0.013541,-104.061541,-128.448355,210.962642,10.717949,9.035409,-1.221001,-6.593407,-8.058608,1.709402,7.081807,-0.278999,4.097680,0
0.014583,-35.243957,-197.265938,178.892312,21.296703,7.081807,1.709402,-8.058608,-6.593407,-1.709402,8.547009,0.209402,4.107448,0
0.015625,61.635166,-226.663741,132.791212,10.439560,4.151404,5.616606,-8.547009,-3.663004,-5.128205,9.035409,0.209402,4.097680,0
0.016667,153.837366,-204.615389,77.002200,-8.769231,1.221001,7.570208,-8.058608,-0.244200,-7.081807,8.058608,0.209402,4.097680,0
0.017708,213.301104,-163.859344,1.837363,-18.512821,-2.686203,9.035409,-5.616606,3.174603,-8.058608,5.616606,0.209402,4.087912,0
0.018750,218.312093,-121.767036,-98.382420,2.087912,-5.616606,9.035409,-2.686203,6.105006,-8.547009,2.686203,-0.278999,4.117216,0
0.019792,192.254949,-58.628573,-177.890114,18.512821,-7.570208,7.570208,0.732601,8.058608,-7.081807,-0.732601,-0.278999,4.126984,0
0.020833,146.487915,25.556045,-230.672533,20.739927,-9.035409,5.128205,4.639805,9.523810,-4.151404,-4.151404,-0.278999,4.126984,0
0.021875,101.723079,126.109893,-213.635170,-4.315018,-8.547009,1.709402,7.081807,8.547009,-1.709402,-6.593407,-0.767399,4.126984,0
0.022917,32.571429,194.593411,-181.230773,-16.842491,-6.593407,-1.709402,8.547009,6.593407,2.197802,-8.058608,0.209402,4.107448,0
