1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-170.540663,37.582418,143.815388,-2.366300,9.035409,1.221001,-9.523810,-8.547009,-1.221001,9.523810,-0.278999,2.681319,0
0.001041,-160.184619,-56.624177,155.841762,22.967033,6.105006,5.128205,-10.500611,-5.128205,-4.639805,10.500611,-0.278999,2.671551,0
0.002083,-98.716486,-120.430772,169.204399,15.728938,2.197802,8.547009,-9.523810,-1.709402,-8.547009,9.523810,-0.278999,2.671551,0
0.003124,-7.850550,-147.824179,170.206597,-5.150183,-1.709402,10.500611,-7.570208,2.686203,-10.012210,7.570208,-0.278999,2.691087,0
0.004167,85.353848,-162.189015,144.483520,-24.358974,-6.105006,10.989011,-4.151404,6.593407,-10.012210,4.151404,-0.278999,2.681319,0
0.005208,133.459344,-173.213191,63.973628,-5.706960,-9.035409,9.523810,0.244200,9.035409,-9.035409,0.244200,-0.767399,2.691087,0
0.006249,149.160443,-167.200004,-28.896704,16.842491,-10.500611,6.593407,4.151404,10.500611,-6.105006,-4.151404,-0.767399,2.759463,0
0.007291,163.191212,-123.437365,-109.406596,22.131868,-10.012210,3.174603,7.081807,10.012210,-2.686203,-7.081807,-2.721001,2.700855,0
0.008333,168.870333,-39.920880,-146.487915,4.871795,-8.547009,-0.732601,9.523810,8.547009,1.709402,-9.523810,-0.767399,2.730159,0
0.009374,157.846157,54.285715,-158.180223,-21.296703,-5.616606,-4.639805,10.989011,5.616606,5.128205,-10.500611,-0.278999,2.671551,0
0.010416,96.378024,118.092310,-171.208795,-11.553114,-1.709402,-8.058608,10.012210,1.709402,8.547009,-9.523810,-0.278999,2.671551,0
0.011458,5.178022,145.819783,-172.210993,8.490842,2.686203,-10.012210,8.058608,-2.197802,10.012210,-7.081807,-0.278999,2.691087,0
0.012500,-87.692310,159.850553,-147.490113,27.421245,6.593407,-10.500611,4.639805,-6.105006,10.500611,-3.663004,0.209402,2.681319,0
0.013541,-135.129673,170.874729,-66.312089,10.717949,9.035409,-9.035409,0.244200,-8.547009,9.035409,0.244200,-0.278999,2.661783,0
0.014583,-151.832970,164.527476,25.556045,-12.945055,10.500611,-6.593407,-3.663004,-10.012210,6.593407,4.151404,-0.278999,2.700855,0
