1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-116.421981,-110.074728,209.960444,5.985348,9.035409,-2.197802,-5.616606,-8.058608,2.686203,6.593407,0.209402,4.263736,0
0.001042,-50.945056,-182.567037,187.578026,14.893773,7.570208,1.221001,-8.058608,-7.081807,-0.732601,8.547009,-0.767399,4.507937,0
0.002083,36.580221,-229.670335,143.147256,10.717949,4.639805,5.128205,-8.547009,-4.151404,-4.151404,9.035409,0.209402,4.322344,0
0.003126,134.795607,-210.294510,90.364837,-35.216117,1.709402,7.570208,-8.058608,-1.221001,-6.593407,8.547009,0.209402,4.263736,0
0.004167,197.934070,-175.217586,23.217583,-15.450549,-1.709402,9.035409,-6.105006,2.686203,-8.058608,6.105006,0.697802,4.273504,0
0.005208,224.993412,-129.450552,-77.336265,-4.593407,-5.128205,9.523810,-3.174603,6.105006,-8.547009,3.663004,0.209402,4.283272,0
0.006250,198.602202,-74.663738,-162.189015,16.007326,-7.570208,8.547009,0.244200,8.058608,-7.081807,0.244200,0.209402,4.302808,0
0.007292,165.195608,1.169231,-222.654950,24.358974,-8.547009,5.616606,4.151404,9.035409,-4.639805,-3.663004,0.209402,4.263736,0
0.008333,126.109893,104.061541,-215.639565,-0.695971,-8.058608,2.686203,6.593407,9.035409,-1.709402,-5.616606,0.209402,4.273504,0
0.009375,48.940660,166.197806,-198.936268,-13.780220,-7.081807,-0.732601,9.035409,7.570208,1.709402,-7.570208,0.209402,4.283272,0
0.010417,-37.916484,245.037368,-166.865938,-12.388278,-4.151404,-4.151404,9.523810,4.639805,5.128205,-8.547009,0.209402,4.273504,0
0.011459,-135.463739,209.292312,-90.030771,12.945055,-1.221001,-6.593407,8.547009,1.709402,7.570208,-7.570208,-1.744200,4.322344,0
0.012500,-199.604400,173.547257,-24.887913,21.853480,2.197802,-8.058608,6.593407,-1.709402,8.547009,-5.616606,0.697802,4.312576,0
0.013542,-228.334071,127.780223,75.331870,0.695971,5.616606,-8.547009,3.663004,-4.639805,9.035409,-2.686203,0.697802,4.273504,0
0.014584,-200.606598,73.327474,159.516487,-10.717949,8.058608,-8.058608,0.732601,-7.081807,8.058608,0.244200,0.697802,4.293040,0
0.015625,-160.518685,-3.173626,219.314291,-19.069597,9.523810,-4.639805,-3.174603,-8.547009,5.616606,4.151404,0.209402,4.263736,0
