1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-131.454948,191.920883,-108.738464,19.626374,2.197802,-8.058608,7.081807,-1.221001,9.035409,-5.616606,0.209402,3.675214,0
0.001041,-211.630774,163.525278,-41.257144,25.472527,6.105006,-9.035409,4.151404,-5.128205,9.523810,-3.174603,0.697802,3.660562,0
0.002083,-171.208795,146.821981,70.654947,0.139194,8.547009,-8.058608,0.732601,-7.570208,9.035409,0.732601,0.209402,3.670330,0
0.003125,-183.569235,90.030771,153.503300,-19.347985,9.523810,-5.616606,-2.686203,-8.547009,6.105006,3.663004,0.209402,3.719170,0
0.004166,-160.184619,4.509890,195.595609,-12.945055,10.012210,-1.709402,-6.105006,-8.547009,2.686203,7.081807,1.186203,3.719170,0
0.005208,-130.786816,-100.052749,197.265938,13.223443,8.058608,1.709402,-8.547009,-7.081807,-0.732601,9.035409,0.697802,3.684982,0
0.006250,-70.989013,-178.224180,170.874729,28.534799,5.616606,5.128205,-9.035409,-4.639805,-4.151404,9.523810,0.209402,3.665446,0
0.007291,28.896704,-200.940664,152.835168,7.934066,1.709402,7.570208,-8.058608,-1.221001,-7.081807,9.035409,0.209402,3.670330,0
0.008333,126.443959,-192.923081,109.072530,-14.893773,-1.709402,9.035409,-6.593407,2.197802,-8.058608,6.593407,0.209402,3.670330,0
0.009374,193.257147,-163.525278,37.582418,-21.575092,-5.128205,9.523810,-3.174603,6.105006,-9.035409,3.663004,0.209402,3.650794,0
0.010417,200.606598,-141.810992,-68.316485,3.758242,-7.570208,8.547009,0.732601,8.547009,-8.058608,0.244200,0.209402,3.665446,0
0.011458,182.567037,-92.035167,-155.841762,24.080586,-8.547009,6.105006,3.663004,9.523810,-5.616606,-2.686203,0.209402,3.675214,0
0.012499,158.848355,-6.514286,-196.931873,16.007326,-8.547009,2.686203,7.081807,9.523810,-1.709402,-6.593407,0.209402,3.665446,0
0.013541,129.450552,98.382420,-198.602202,-8.769231,-7.570208,-0.732601,9.035409,8.058608,1.709402,-8.058608,0.209402,3.680098,0
0.014584,69.652749,176.887916,-173.213191,-23.523810,-4.639805,-4.151404,10.012210,5.128205,5.128205,-9.035409,-0.767399,3.660562,0
0.015624,-29.230770,199.604400,-154.171432,-1.252747,-0.732601,-7.081807,9.523810,1.709402,8.058608,-8.058608,0.697802,3.670330,0
0.016666,-127.780223,191.920883,-110.742860,19.069597,2.686203,-8.547009,7.081807,-1.221001,9.035409,-5.616606,0.697802,3.670330,0
0.017708,-194.927477,162.189015,-39.920880,26.307692,6.105006,-9.035409,4.639805,-5.128205,9.523810,-2.686203,0.697802,3.655678,0
0.018750,-201.942862,140.140662,66.646155,0.417582,8.547009,-7.570208,0.732601,-7.570208,8.547009,0.732601,0.209402,3.670330,0
0.019791,-183.235169,90.364837,152.501102,-19.626374,9.523810,-5.616606,-3.174603,-8.547009,6.105006,6.105006,0.209402,3.680098,0
0.020833,-198.268136,10.857143,196.263741,-10.439560,10.012210,-2.197802,-6.593407,-8.547009,2.686203,7.081807,0.209402,3.675214,0
0.021874,-131.454948,-114.751651,200.940664,14.058608,8.547009,1.709402,-8.547009,-7.081807,-0.732601,9.035409,0.209402,3.694750,0
0.022919,-70.989013,-178.224180,136.465937,28.534799,5.128205,5.128205,-9.035409,-4.639805,-4.639805,9.523810,0.209402,3.699634,0
0.023958,27.226374,-200.606598,152.835168,12.109890,1.709402,8.058608,-8.547009,-0.732601,-7.081807,8.547009,8.512210,3.914530,0
0.024999,126.109893,-193.257147,109.406596,-46.351648,-1.221001,9.523810,-6.105006,2.686203,-8.547009,6.593407,0.209402,3.670330,0
0.026041,192.589015,-163.525278,37.916484,-20.183150,-5.616606,10.012210,-3.663004,6.105006,-9.035409,3.663004,0.209402,3.660562,0
0.027083,201.608796,-142.145058,-67.648353,4.315018,-7.570208,9.035409,0.244200,8.547009,-8.058608,0.244200,0.209402,3.670330,0
0.028124,182.901103,-92.703299,-154.505498,24.637363,-8.547009,6.593407,3.663004,9.523810,-5.616606,-3.174603,0.209402,3.680098,0
0.029166,159.182421,-7.516484,-196.597807,16.564103,-9.035409,2.686203,7.570208,10.012210,-2.197802,-6.593407,0.209402,3.670330,0
0.030209,130.118684,97.714288,-199.270334,-8.212454,-7.570208,-0.732601,9.035409,8.058608,1.709402,-8.058608,0.697802,3.689866,0
0.031249,70.654947,176.219784,-173.547257,-23.523810,-4.639805,-4.151404,10.012210,5.128205,5.128205,-9.035409,0.209402,3.670330,0
0.032291,-28.562638,199.270334,-154.505498,-2.366300,-1.221001,-7.081807,9.523810,1.709402,8.058608,-8.058608,0.697802,3.675214,0
0.033333,-127.112091,191.586817,-111.410991,19.347985,2.686203,-8.547009,7.081807,-1.709402,9.035409,-6.105006,0.697802,3.675214,0
0.034375,-193.925279,162.523081,-40.254946,25.750916,6.105006,-9.035409,4.151404,-5.128205,9.523810,-3.174603,1.186203,3.660562,0
0.035416,-201.942862,140.808794,65.643958,0.974359,8.547009,-8.058608,0.732601,-8.058608,8.547009,0.732601,0.209402,3.675214,0
0.036458,-184.237367,91.367035,153.169234,-19.347985,9.523810,-5.616606,-2.686203,-9.035409,6.105006,3.663004,0.697802,3.684982,0
0.037499,-160.852751,6.180220,194.927477,-11.831502,9.523810,-1.709402,-7.081807,-8.547009,2.686203,7.081807,0.697802,3.675214,0
0.038542,-131.454948,-98.048354,197.600004,13.223443,8.058608,1.709402,-8.058608,-7.081807,-0.732601,9.035409,0.209402,3.689866,0
0.039583,-72.659342,-177.221982,172.210993,28.813187,5.616606,5.128205,-9.035409,-4.151404,-4.151404,9.523810,0.209402,3.670330,0
0.040625,26.224176,-200.606598,153.169234,7.934066,2.197802,8.058608,-8.547009,-0.732601,-7.081807,9.035409,0.209402,3.670330,0
0.041666,125.107695,-191.252752,117.758244,-16.285714,-1.221001,9.035409,-6.105006,2.686203,-8.058608,7.081807,0.209402,3.689866,0
0.042709,192.923081,-163.525278,43.929671,-21.575092,-5.128205,10.012210,-3.663004,6.105006,-8.547009,3.663004,0.209402,3.733822,0
0.043749,200.940664,-142.813190,-66.646155,4.315018,-7.570208,8.547009,0.244200,8.547009,-8.058608,0.732601,-0.278999,3.758242,0
0.044791,183.903301,-93.037365,-154.839564,27.699634,-9.035409,6.105006,3.663004,9.523810,-5.128205,-2.686203,0.209402,3.675214,0
0.045833,158.180223,-7.850550,-196.597807,17.120879,-9.035409,3.174603,7.570208,9.523810,-1.709402,-6.105006,0.209402,3.670330,0
0.046875,130.786816,97.380222,-198.936268,-8.212454,-7.570208,-0.732601,9.035409,8.058608,1.709402,-8.058608,0.209402,3.684982,0
0.047916,68.316485,175.551652,-172.879125,-23.245421,-4.639805,-4.151404,10.012210,5.616606,5.128205,-9.035409,0.209402,3.670330,0
0.048957,-22.883517,198.268136,-157.178025,-3.201465,-1.221001,-7.081807,9.523810,1.709402,7.570208,-8.058608,0.697802,3.670330,0
0.049999,-127.780223,187.912092,-116.756047,19.347985,2.197802,-8.547009,7.081807,-1.709402,9.035409,-6.105006,0.209402,3.675214,0
0.051041,-193.925279,161.520883,-37.582418,26.864469,5.616606,-9.035409,4.151404,-5.128205,9.523810,-3.174603,0.209402,3.675214,0
0.052082,-201.608796,141.810992,48.272529,0.139194,8.547009,-8.058608,0.732601,-7.570208,8.547009,0.244200,-0.278999,3.689866,0
0.053124,-184.237367,92.035167,152.501102,-14.336996,9.523810,-5.616606,-2.686203,-8.547009,6.105006,3.663004,0.209402,3.684982,0
0.054167,-161.186817,7.182418,194.927477,-11.274725,10.012210,-2.197802,-6.105006,-8.547009,2.686203,7.081807,0.209402,3.675214,0
0.055208,-132.123080,-97.714288,197.600004,14.058608,8.058608,1.709402,-8.547009,-7.081807,-0.732601,9.035409,0.209402,3.684982,0
0.056250,-73.327474,-176.887916,172.210993,28.534799,5.616606,5.128205,-9.035409,-4.151404,-4.151404,9.523810,0.209402,3.670330,0
0.057291,25.890110,-200.606598,153.503300,8.490842,2.197802,8.058608,-8.547009,-0.732601,-6.593407,8.547009,0.209402,3.675214,0
0.058333,125.107695,-193.591213,110.408794,-14.058608,-1.709402,9.523810,-6.593407,2.197802,-8.058608,6.593407,0.209402,3.675214,0
0.059374,192.589015,-163.859344,40.589012,-21.853480,-5.128205,10.012210,-3.174603,6.105006,-9.035409,4.151404,0.209402,3.660562,0
0.060416,200.272532,-143.147256,-65.978023,4.315018,-7.570208,9.035409,0.244200,8.547009,-7.570208,0.244200,0.209402,3.670330,0
0.061458,183.235169,-94.039563,-154.171432,24.637363,-8.547009,6.105006,3.663004,9.523810,-5.616606,-2.686203,0.209402,3.684982,0
0.062500,159.850553,-8.518682,-196.597807,16.842491,-9.035409,2.686203,7.081807,9.523810,-2.197802,-6.593407,0.209402,3.680098,0
0.063541,131.120882,95.709892,-199.604400,-7.098901,-7.570208,-0.244200,9.035409,8.058608,1.709402,-8.058608,0.209402,3.689866,0
0.064583,71.991210,175.551652,-173.881323,-24.080586,-4.639805,-4.151404,10.012210,5.128205,5.128205,-9.035409,0.209402,3.675214,0
0.065624,-26.892308,199.270334,-155.173630,-3.479853,-1.221001,-7.081807,9.035409,1.709402,8.058608,-8.058608,0.697802,3.680098,0
0.066667,-126.109893,192.254949,-112.413189,18.791209,2.197802,-8.547009,7.081807,-1.709402,9.035409,-6.105006,0.209402,3.680098,0
0.067708,-192.254949,162.523081,-42.927473,26.307692,6.105006,-9.035409,4.151404,-4.639805,9.035409,-3.174603,0.209402,3.665446,0
0.068749,-222.654950,145.151652,67.314287,1.252747,8.547009,-8.058608,0.732601,-7.570208,8.547009,0.244200,0.697802,3.670330,0
0.069791,-167.200004,87.358244,158.180223,-19.904762,9.523810,-5.616606,-2.686203,-8.547009,6.105006,3.663004,0.209402,3.689866,0
0.070834,-161.520883,-7.850550,208.290115,-13.780220,10.012210,-2.197802,-6.105006,-9.035409,2.686203,7.081807,0.697802,3.694750,0
0.071874,-132.123080,-96.712090,198.268136,8.212454,8.058608,1.221001,-8.547009,-7.081807,-0.732601,9.035409,-3.697802,3.782662,0
0.072916,-73.327474,-176.219784,172.545059,43.289377,5.128205,5.128205,-9.035409,-4.639805,-4.151404,9.523810,0.697802,3.728938,0
0.073958,25.556045,-200.606598,154.171432,11.831502,2.197802,8.058608,-8.547009,-1.221001,-6.593407,9.035409,0.209402,3.670330,0
0.074999,124.439563,-193.591213,111.076926,-14.336996,-1.221001,9.035409,-6.593407,2.197802,-8.058608,6.593407,0.209402,3.665446,0
0.076041,191.920883,-163.859344,41.591210,-21.853480,-5.128205,9.523810,-3.663004,6.105006,-9.035409,4.151404,0.209402,3.655678,0
0.077082,199.938466,-143.815388,-64.975826,4.036630,-7.570208,9.035409,0.244200,8.547009,-8.058608,0.732601,0.209402,3.660562,0
