1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,131.789014,92.703299,-182.232971,-10.996337,-4.639805,-2.686203,8.547009,5.128205,3.663004,-7.570208,0.209402,2.879121,0
0.001042,68.650551,163.525278,-166.865938,-19.904762,-2.197802,-5.616606,8.058608,2.686203,6.105006,-7.570208,0.209402,2.859585,0
0.002084,-25.221979,183.903301,-154.505498,0.974359,1.709402,-7.570208,7.081807,-0.732601,8.058608,-6.105006,0.209402,2.864469,0
0.003125,-123.103299,178.224180,-116.087915,23.523810,4.639805,-7.570208,4.151404,-3.174603,8.547009,-3.174603,0.209402,2.854701,0
0.004166,-181.564839,164.861542,-34.241759,16.285714,7.081807,-7.081807,1.221001,-6.105006,8.058608,-1.221001,0.209402,2.840049,0
0.005209,-183.903301,144.483520,70.989013,-6.542125,8.547009,-5.616606,-1.709402,-7.570208,6.105006,2.686203,0.209402,2.869353,0
0.006250,-171.542861,88.360442,144.483520,-24.080586,8.547009,-2.686203,-4.639805,-8.058608,3.663004,5.616606,0.209402,2.884005,0
0.007292,-160.852751,6.180220,195.261543,-13.501832,8.058608,0.244200,-7.081807,-7.081807,0.244200,7.570208,0.209402,2.952381,0
0.008333,-133.125278,-93.037365,180.896707,32.989011,5.616606,3.663004,-7.570208,-4.639805,-3.174603,8.547009,2.651404,3.133089,0
0.009376,-70.320881,-164.527476,165.195608,24.915751,2.686203,6.593407,-7.570208,-1.709402,-5.616606,8.058608,0.209402,2.854701,0
0.010417,24.553847,-185.239565,152.835168,3.201465,-0.244200,8.058608,-6.593407,1.709402,-7.081807,6.593407,0.209402,2.859585,0
0.011458,121.767036,-178.892312,114.751651,-18.791209,-3.663004,8.547009,-3.663004,4.151404,-7.570208,4.151404,0.209402,2.840049,0
0.012500,170.874729,-163.525278,33.239561,-12.945055,-6.105006,8.058608,-0.732601,7.081807,-7.081807,1.221001,0.209402,2.835165,0
0.013542,182.567037,-144.483520,-65.978023,10.717949,-7.570208,6.105006,2.197802,8.547009,-5.128205,-1.709402,0.209402,2.854701,0
