1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,120.096706,93.037365,-196.597807,2.087912,-6.593407,0.732601,10.500611,7.081807,0.732601,-9.523810,3.628205,3.636142,0
0.001041,60.632968,162.523081,-172.210993,2.366300,-5.128205,-4.639805,10.012210,5.616606,5.616606,-8.547009,-0.767399,3.650794,0
0.002083,-30.232968,191.252752,-153.169234,2.087912,-2.197802,-8.547009,8.547009,3.174603,9.523810,-7.081807,-3.209402,3.621490,0
0.003125,-120.096706,189.916488,-99.384618,1.252747,1.709402,-9.523810,6.593407,-1.221001,10.012210,-5.616606,-1.744200,3.641026,0
0.004166,-178.224180,164.861542,-32.237363,2.366300,6.593407,-8.547009,5.128205,-6.105006,9.035409,-4.151404,2.651404,3.631258,0
0.005208,-195.929675,137.134069,66.646155,1.531136,10.500611,-6.593407,1.709402,-9.035409,7.570208,-0.732601,4.605006,3.606838,0
0.006250,-180.228575,81.679123,143.815388,1.809524,10.012210,-5.616606,-2.686203,-9.523810,6.105006,4.151404,0.697802,3.641026,0
0.007292,-159.516487,1.169231,184.905499,2.366300,9.035409,-3.174603,-7.570208,-8.058608,4.151404,8.547009,-3.209402,3.626374,0
0.008333,-120.430772,-94.039563,196.263741,2.366300,7.570208,0.244200,-9.523810,-6.593407,0.244200,10.500611,-2.721001,3.631258,0
0.009375,-61.301100,-162.523081,171.542861,2.644689,6.105006,5.616606,-9.035409,-5.128205,-5.128205,9.523810,1.186203,3.641026,0
0.010417,30.567034,-191.586817,152.501102,2.644689,3.174603,9.523810,-7.570208,-2.197802,-8.547009,8.058608,4.116606,3.616606,0
0.011459,119.762640,-190.250554,98.716486,2.087912,-1.221001,10.500611,-6.105006,2.197802,-9.035409,6.105006,2.163004,3.641026,0
0.012500,178.558246,-165.195608,31.903297,2.087912,-6.105006,9.523810,-4.151404,6.593407,-8.058608,4.639805,-2.232601,3.636142,0
0.013541,195.261543,-137.802201,-67.648353,1.809524,-9.523810,7.570208,-1.221001,10.012210,-6.593407,1.709402,-3.697802,3.601954,0
0.014583,179.894510,-82.013189,-144.483520,2.087912,-9.523810,6.593407,3.174603,10.012210,-5.616606,-3.174603,-0.278999,3.641026,0
0.015625,158.848355,-1.837363,-185.239565,2.087912,-8.058608,4.151404,8.547009,9.035409,-3.174603,-8.058608,3.628205,3.626374,0
0.016667,120.096706,93.037365,-196.597807,2.644689,-6.593407,0.244200,10.500611,7.081807,0.732601,-9.523810,3.628205,3.631258,0
0.017708,60.967034,162.523081,-172.210993,2.087912,-5.128205,-4.639805,10.012210,5.616606,5.616606,-8.547009,-0.767399,3.650794,0
0.018750,-30.567034,191.586817,-153.169234,1.531136,-2.686203,-9.035409,8.547009,3.174603,10.012210,-7.081807,-3.697802,3.616606,0
0.019792,-120.096706,189.916488,-99.384618,2.087912,1.709402,-9.523810,7.081807,-1.221001,10.012210,-5.616606,-1.744200,3.636142,0
0.020833,-178.558246,164.193410,-32.571429,2.644689,7.081807,-8.547009,5.128205,-6.105006,9.035409,-4.151404,2.651404,3.636142,0
0.021875,-196.263741,137.134069,67.314287,1.809524,10.500611,-7.081807,2.197802,-9.035409,7.570208,-0.732601,4.605006,3.606838,0
0.022917,-180.228575,81.345057,144.149454,2.087912,10.012210,-5.616606,-2.686203,-9.035409,5.616606,3.663004,1.186203,3.645910,0
0.023958,-159.516487,1.837363,184.571433,3.201465,9.035409,-3.663004,-7.570208,-8.058608,4.151404,8.547009,-3.209402,3.626374,0
0.025000,-120.096706,-93.705497,195.929675,2.366300,7.570208,0.732601,-9.523810,-6.593407,0.244200,10.500611,-2.721001,3.626374,0
0.026042,-60.967034,-162.857146,171.208795,1.531136,6.105006,5.616606,-9.035409,-4.639805,-4.639805,9.523810,1.186203,3.645910,0
0.027083,30.232968,-191.920883,152.501102,4.036630,3.174603,9.523810,-7.570208,-2.197802,-9.035409,8.058608,4.116606,3.616606,0
0.028125,119.428574,-190.250554,99.384618,2.087912,-1.221001,10.500611,-6.105006,2.197802,-9.035409,6.593407,2.163004,3.641026,0
0.029166,178.224180,-165.195608,32.237363,2.644689,-6.105006,9.035409,-4.639805,7.081807,-8.058608,4.639805,-2.232601,3.636142,0
0.030208,194.927477,-137.802201,-67.648353,2.923077,-9.523810,8.058608,-1.221001,10.500611,-7.081807,1.709402,-3.697802,3.611722,0
0.031250,179.894510,-82.013189,-144.483520,2.366300,-9.523810,6.593407,3.174603,10.012210,-5.128205,-3.174603,-0.767399,3.645910,0
0.032291,159.182421,-2.171429,-185.239565,1.809524,-8.058608,4.639805,8.547009,9.035409,-3.174603,-7.570208,3.628205,3.631258,0
0.033333,120.430772,93.037365,-196.597807,2.087912,-6.593407,0.732601,10.500611,7.081807,0.732601,-9.523810,3.139805,3.631258,0
0.034375,60.967034,162.189015,-172.210993,1.809524,-5.128205,-4.639805,10.012210,5.616606,5.616606,-8.547009,-0.278999,3.645910,0
0.035417,-30.232968,191.252752,-153.169234,1.809524,-2.197802,-8.547009,8.547009,3.174603,9.523810,-7.570208,-3.697802,3.616606,0
0.036458,-120.096706,189.916488,-99.384618,2.366300,2.197802,-9.523810,6.593407,-1.221001,10.012210,-5.616606,-1.744200,3.641026,0
0.037500,-178.224180,164.861542,-32.905495,1.809524,7.081807,-8.547009,5.128205,-6.105006,9.035409,-3.663004,3.139805,3.636142,0
0.038541,-196.263741,137.468135,66.646155,2.366300,10.500611,-7.081807,1.709402,-9.035409,7.570208,-0.732601,4.605006,3.606838,0
0.039584,-180.228575,81.345057,143.815388,1.809524,10.012210,-5.128205,-2.686203,-9.035409,6.105006,4.151404,1.186203,3.641026,0
0.040625,-159.516487,1.837363,184.571433,2.366300,9.035409,-3.663004,-7.570208,-8.058608,4.151404,8.547009,-2.721001,3.631258,0
0.041666,-120.430772,-93.371431,196.263741,2.087912,7.570208,0.244200,-10.012210,-6.593407,0.244200,10.500611,-3.209402,3.626374,0
0.042709,-61.301100,-162.523081,171.208795,2.923077,6.105006,5.128205,-9.035409,-5.128205,-4.639805,9.523810,1.186203,3.645910,0
0.043750,29.898902,-191.586817,152.501102,2.644689,3.174603,9.523810,-7.570208,-2.197802,-8.547009,8.058608,4.116606,3.616606,0
0.044792,119.094508,-190.250554,99.050552,2.644689,-1.221001,10.012210,-6.105006,2.197802,-9.035409,6.105006,2.163004,3.641026,0
0.045833,178.558246,-165.195608,31.903297,2.366300,-6.105006,9.035409,-4.151404,7.081807,-8.058608,4.639805,-2.721001,3.631258,0
0.046875,195.929675,-137.802201,-67.648353,2.087912,-9.523810,8.058608,-0.732601,10.012210,-6.593407,1.709402,-4.186203,3.601954,0
0.047916,180.228575,-82.013189,-144.483520,2.923077,-9.523810,6.593407,3.663004,10.012210,-5.616606,-3.174603,-0.278999,3.645910,0
0.048958,159.516487,-2.505495,-185.239565,2.366300,-8.058608,4.639805,8.058608,9.035409,-3.174603,-7.570208,3.628205,3.631258,0
0.050000,120.096706,93.037365,-196.597807,1.531136,-7.081807,0.244200,10.500611,7.081807,0.732601,-9.523810,3.628205,3.631258,0
0.051042,60.967034,162.189015,-172.210993,2.087912,-5.128205,-4.639805,10.012210,5.616606,5.616606,-8.547009,-0.767399,3.645910,0
0.052083,-30.232968,191.252752,-153.169234,2.366300,-2.197802,-8.547009,8.058608,3.174603,9.523810,-7.081807,-3.697802,3.616606,0
0.053125,-119.762640,190.250554,-99.718684,2.087912,1.709402,-9.523810,6.593407,-0.732601,10.012210,-5.616606,-1.744200,3.636142,0
0.054166,-178.558246,164.527476,-32.571429,2.366300,7.081807,-8.547009,5.128205,-6.105006,9.035409,-4.151404,3.139805,3.636142,0
0.055209,-196.263741,137.134069,66.980221,2.366300,10.500611,-7.081807,1.709402,-9.523810,7.570208,-0.732601,4.605006,3.601954,0
0.056250,-180.228575,81.345057,144.149454,2.087912,10.012210,-5.616606,-2.686203,-9.035409,6.105006,3.663004,1.186203,3.645910,0
0.057292,-159.850553,2.171429,184.571433,2.923077,9.035409,-3.663004,-8.058608,-8.058608,4.151404,8.547009,-3.209402,3.626374,0
0.058333,-120.430772,-93.371431,195.595609,1.809524,7.570208,0.732601,-9.523810,-6.593407,0.244200,10.500611,-2.721001,3.626374,0
