1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,204.949455,-82.013189,-151.164839,10.439560,-7.081807,9.035409,0.244200,8.058608,-7.570208,1.221001,1.186203,4.224664,0
0.001042,166.197806,-10.857143,-210.962642,2.923077,-8.058608,6.105006,4.151404,10.500611,-5.128205,-2.197802,1.186203,4.185592,0
0.002083,124.105497,92.369233,-219.648357,-11.274725,-8.058608,3.663004,6.593407,9.523810,-2.197802,-5.616606,1.674603,4.195360,0
0.003125,62.303298,171.542861,-190.918686,0.417582,-7.081807,-0.244200,9.035409,8.058608,1.221001,-7.081807,1.674603,4.205128,0
0.004166,-17.538462,228.000005,-147.490113,8.490842,-4.151404,-3.663004,10.012210,5.616606,5.128205,-8.058608,1.186203,4.195360,0
0.005208,-121.432970,212.298906,-103.393409,6.820513,-1.221001,-6.105006,9.523810,2.686203,7.081807,-7.570208,1.186203,4.234432,0
0.006250,-189.916488,179.560444,-34.909891,4.315018,2.197802,-8.058608,7.570208,-0.732601,8.547009,-6.105006,1.186203,4.214896,0
0.007292,-224.325280,136.465937,62.303298,-6.263736,6.105006,-8.547009,4.639805,-4.151404,9.523810,-3.174603,1.674603,4.263736,0
0.008333,-203.279125,83.349452,152.835168,-7.655678,8.058608,-7.570208,1.221001,-6.593407,8.547009,0.244200,1.186203,4.214896,0
0.009375,-164.527476,13.529671,212.632972,-0.417582,9.523810,-5.128205,-2.686203,-8.058608,6.105006,4.151404,1.186203,4.185592,0
0.010416,-122.435168,-90.364837,220.984620,13.780220,9.523810,-2.197802,-5.128205,-8.547009,3.663004,6.593407,1.186203,4.205128,0
0.011459,-60.632968,-169.538465,192.923081,2.644689,8.547009,1.221001,-7.570208,-6.593407,-0.244200,8.547009,1.186203,4.205128,0
0.012500,21.213187,-226.663741,149.494509,-5.985348,5.616606,5.128205,-8.547009,-4.151404,-3.663004,9.523810,1.674603,4.185592,0
0.013541,123.103299,-210.628576,105.397805,-2.923077,2.686203,7.081807,-8.058608,-1.221001,-6.105006,9.035409,1.674603,4.185592,0
0.014583,193.257147,-178.224180,35.912089,-0.974359,-1.221001,9.523810,-6.105006,2.197802,-7.570208,7.081807,1.186203,4.205128,0
0.015626,225.995609,-134.795607,-59.964837,10.439560,-4.639805,10.012210,-3.174603,6.105006,-8.058608,4.151404,1.186203,4.224664,0
0.016666,204.615389,-81.679123,-151.164839,10.439560,-6.593407,9.035409,-0.244200,8.058608,-7.570208,1.221001,1.186203,4.224664,0
0.017708,166.197806,-10.857143,-211.630774,3.758242,-8.058608,6.105006,3.663004,9.523810,-5.128205,-2.686203,1.186203,4.244200,0
0.018750,124.439563,92.703299,-219.648357,-9.047619,-8.058608,3.663004,7.081807,9.523810,-2.197802,-5.128205,1.186203,4.185592,0
0.019791,62.637364,172.210993,-191.252752,-0.139194,-7.081807,0.244200,9.035409,8.058608,1.221001,-7.081807,1.186203,4.205128,0
0.020833,-18.874726,228.668137,-147.824179,9.047619,-4.151404,-3.663004,10.012210,5.616606,4.639805,-8.058608,1.674603,4.185592,0
0.021875,-121.767036,212.632972,-103.059343,6.820513,-1.221001,-6.105006,9.523810,2.686203,7.081807,-7.570208,1.186203,4.195360,0
0.022917,-190.250554,179.894510,-33.907693,4.315018,2.197802,-7.570208,7.570208,-1.221001,8.547009,-5.616606,1.674603,4.205128,0
0.023958,-224.659346,136.131871,62.971430,-7.655678,5.616606,-8.547009,4.639805,-4.151404,9.523810,-3.174603,1.674603,4.205128,0
0.025000,-202.610994,83.015386,152.835168,-7.098901,8.058608,-7.570208,1.709402,-6.593407,8.547009,0.244200,1.674603,4.214896,0
0.026041,-164.193410,13.195605,212.967038,-0.417582,9.523810,-5.128205,-2.686203,-8.058608,6.105006,4.151404,1.186203,4.234432,0
0.027083,-122.435168,-90.698903,220.984620,14.336996,9.523810,-2.197802,-5.616606,-8.058608,3.174603,6.593407,1.186203,4.205128,0
0.028125,-60.632968,-169.872531,192.923081,2.366300,8.547009,1.221001,-7.570208,-7.081807,0.244200,8.547009,1.186203,4.205128,0
0.029167,20.879121,-226.997807,148.826377,-7.377289,5.616606,5.128205,-8.547009,-4.151404,-3.663004,9.523810,1.186203,4.185592,0
0.030208,124.105497,-210.628576,104.729673,-2.923077,2.686203,7.570208,-8.058608,-1.221001,-6.105006,9.035409,1.186203,4.185592,0
0.031250,192.254949,-177.890114,35.912089,-1.252747,-0.732601,9.035409,-6.105006,2.197802,-8.058608,7.081807,1.186203,4.205128,0
0.032291,225.995609,-134.461541,-60.967034,10.439560,-4.151404,9.523810,-3.174603,5.616606,-8.547009,4.639805,1.186203,4.205128,0
0.033333,203.947257,-81.679123,-151.164839,10.439560,-7.081807,9.035409,-0.244200,8.058608,-7.570208,0.732601,1.186203,4.214896,0
0.034375,165.863740,-10.523077,-210.962642,3.201465,-8.058608,6.105006,4.151404,9.035409,-5.128205,-2.686203,1.674603,4.185592,0
0.035417,124.773629,92.369233,-217.643961,-10.439560,-8.547009,3.663004,6.593407,9.523810,-2.197802,-5.128205,1.674603,4.195360,0
0.036458,61.969232,172.210993,-191.252752,-0.139194,-7.081807,0.244200,9.035409,8.058608,1.221001,-7.570208,1.186203,4.234432,0
0.037500,-19.208792,228.668137,-147.824179,9.882784,-4.151404,-3.663004,9.523810,5.616606,4.639805,-8.058608,1.674603,4.195360,0
0.038549,-123.437365,212.298906,-101.054947,5.428571,-1.221001,-6.105006,9.523810,2.686203,7.081807,-7.570208,1.186203,4.117216,0
