1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,48.606594,164.861542,-165.529674,-14.336996,-1.221001,-6.105006,8.547009,1.709402,7.081807,-7.570208,0.209402,2.818071,0
0.001042,-49.942858,182.567037,-150.830773,9.604396,2.197802,-7.570208,6.593407,-1.221001,8.547009,-5.128205,0.209402,2.827839,0
0.002084,-139.138465,171.542861,-103.393409,27.142857,5.128205,-7.570208,3.663004,-4.151404,8.058608,-2.686203,0.209402,2.808303,0
0.003125,-173.213191,160.518685,-15.534066,11.274725,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.244200,0.209402,2.808303,0
0.004167,-183.235169,134.795607,84.685716,-10.161172,8.547009,-5.128205,-2.197802,-7.570208,5.616606,3.174603,0.209402,2.827839,0
0.005208,-164.527476,78.672529,159.516487,-22.967033,8.547009,-2.197802,-5.128205,-7.570208,2.686203,6.105006,0.209402,2.818071,0
0.006250,-156.843960,-14.531868,177.890114,-0.974359,7.570208,1.221001,-7.081807,-6.593407,-0.244200,8.058608,0.209402,2.827839,0
0.007292,-124.439563,-112.413189,178.892312,22.410256,5.128205,4.151404,-7.570208,-3.663004,-3.174603,8.547009,0.209402,2.837607,0
0.008333,-49.608792,-166.197806,163.859344,18.791209,2.197802,7.081807,-7.570208,-0.732601,-6.105006,8.058608,0.209402,2.827839,0
0.009375,48.940660,-183.903301,148.158245,-4.593407,-1.221001,8.547009,-5.616606,2.197802,-7.570208,6.105006,0.209402,2.837607,0
0.010417,138.136267,-172.879125,100.720881,-21.296703,-4.151404,8.058608,-3.174603,4.639805,-7.081807,3.663004,0.209402,2.808303,0
0.011458,172.210993,-161.520883,13.195605,-6.542125,-6.593407,7.570208,0.244200,7.570208,-6.593407,0.244200,0.209402,2.808303,0
0.012500,181.898905,-136.465937,-87.024178,15.728938,-8.058608,5.616606,3.174603,8.547009,-4.639805,-2.686203,0.209402,2.837607,0
0.013542,163.191212,-80.008793,-160.852751,26.864469,-7.570208,2.686203,6.105006,8.547009,-2.197802,-5.128205,-0.278999,2.827839,0
0.014585,155.173630,13.529671,-179.560444,5.985348,-6.593407,-0.244200,8.058608,7.081807,1.221001,-7.081807,0.209402,2.827839,0
0.015625,123.103299,110.742860,-180.228575,-18.234432,-4.151404,-3.174603,8.547009,4.639805,4.151404,-8.058608,0.209402,2.837607,0
0.016667,48.272529,164.861542,-165.529674,-14.615385,-1.221001,-6.593407,8.547009,1.709402,7.081807,-7.081807,0.209402,2.827839,0
0.017708,-50.945056,182.567037,-149.494509,9.047619,2.197802,-7.570208,6.593407,-1.221001,8.547009,-5.616606,0.209402,2.827839,0
0.018751,-139.806597,171.542861,-102.725277,27.699634,4.639805,-8.058608,3.663004,-4.639805,8.058608,-2.686203,0.209402,2.808303,0
0.019792,-173.213191,159.850553,-14.865934,9.882784,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.732601,-0.278999,2.808303,0
0.020833,-183.235169,134.461541,84.685716,-11.274725,8.547009,-5.128205,-2.197802,-7.570208,5.616606,3.174603,0.209402,2.837607,0
0.021876,-164.527476,78.004397,159.516487,-22.688645,8.547009,-2.197802,-5.616606,-7.570208,2.686203,6.105006,0.209402,2.827839,0
0.022917,-156.509894,-15.200000,178.224180,-0.695971,7.570208,1.221001,-7.081807,-6.593407,-0.732601,8.058608,0.209402,2.827839,0
0.023958,-124.439563,-112.747255,178.558246,23.245421,4.639805,4.151404,-8.058608,-3.663004,-3.663004,8.547009,0.209402,2.827839,0
0.025000,-48.940660,-166.865938,163.525278,18.791209,2.197802,7.081807,-7.570208,-0.732601,-6.105006,8.058608,-0.278999,2.818071,0
0.026042,49.608792,-184.237367,148.158245,-4.593407,-1.221001,8.547009,-5.616606,2.197802,-7.570208,6.105006,0.209402,2.827839,0
0.027084,138.136267,-172.879125,101.054947,-22.410256,-4.151404,8.547009,-2.686203,4.639805,-7.570208,3.663004,-0.278999,2.808303,0
0.028125,172.545059,-161.854949,13.195605,-6.263736,-6.593407,7.570208,0.244200,7.570208,-7.081807,0.732601,0.209402,2.808303,0
0.029167,181.564839,-136.131871,-87.024178,15.172161,-7.570208,5.616606,3.174603,8.547009,-4.639805,-2.686203,0.209402,2.827839,0
0.030209,163.191212,-79.674727,-160.852751,27.142857,-8.058608,3.174603,5.616606,8.547009,-2.197802,-5.616606,0.209402,2.827839,0
0.031250,154.839564,14.531868,-180.228575,5.150183,-6.593407,-0.732601,8.547009,7.081807,1.221001,-7.081807,0.209402,2.827839,0
0.032292,123.103299,111.076926,-180.228575,-18.512821,-4.151404,-3.174603,9.035409,5.128205,4.151404,-7.570208,0.209402,2.827839,0
0.033333,47.604397,165.195608,-165.529674,-13.780220,-1.221001,-6.105006,8.547009,1.709402,7.081807,-7.570208,0.209402,2.818071,0
0.034376,-51.279122,182.567037,-149.494509,9.326007,2.197802,-7.570208,6.593407,-1.221001,8.547009,-5.616606,0.209402,2.827839,0
0.035417,-139.806597,171.208795,-102.391211,27.421245,5.128205,-7.570208,3.663004,-4.151404,8.058608,-2.686203,0.209402,2.808303,0
0.036459,-173.547257,160.184619,-14.197803,11.274725,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.244200,0.209402,2.808303,0
0.037500,-183.235169,134.127476,86.021980,-10.717949,8.547009,-4.639805,-2.197802,-7.570208,5.616606,3.663004,0.209402,2.827839,0
0.038543,-164.193410,77.336265,159.850553,-23.245421,8.058608,-2.197802,-5.616606,-7.570208,2.686203,6.105006,0.209402,2.818071,0
0.039583,-156.175828,-15.868132,178.558246,-0.974359,7.570208,1.221001,-7.570208,-6.593407,-0.244200,8.058608,0.209402,2.837607,0
0.040625,-124.439563,-113.081321,178.558246,22.688645,5.128205,4.151404,-7.570208,-4.151404,-3.174603,8.547009,0.209402,2.827839,0
0.041667,-48.606594,-166.865938,163.525278,18.791209,1.709402,7.081807,-7.570208,-0.732601,-6.105006,8.058608,-0.278999,2.827839,0
0.042709,50.610990,-183.903301,147.824179,-4.871795,-1.221001,8.547009,-5.616606,2.197802,-7.570208,6.105006,0.209402,2.837607,0
