1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,145.485718,68.984617,-160.852751,-17.399267,-2.686203,-5.128205,9.035409,3.174603,6.105006,-8.058608,-0.278999,2.222222,0
0.001041,74.329672,122.435168,-168.870333,-7.934066,0.732601,-7.081807,7.570208,-0.244200,8.058608,-6.593407,0.209402,2.212454,0
0.002083,-10.189011,146.821981,-164.861542,11.553114,4.151404,-8.058608,5.128205,-3.663004,9.035409,-4.151404,0.209402,2.212454,0
0.003124,-96.378024,163.859344,-126.109893,20.183150,7.081807,-7.570208,2.197802,-6.105006,8.547009,-0.732601,0.209402,2.212454,0
0.004166,-136.800003,165.863740,-45.934067,7.098901,8.547009,-6.105006,-1.221001,-7.570208,6.593407,2.197802,0.209402,2.212454,0
0.005208,-152.835168,153.837366,41.257144,-14.893773,9.035409,-3.663004,-4.151404,-8.058608,4.151404,5.616606,0.209402,2.202686,0
0.006250,-168.870333,100.386815,109.740662,-10.717949,8.058608,-0.244200,-6.593407,-7.081807,0.732601,7.570208,0.209402,2.212454,0
0.007291,-167.200004,17.872528,138.804399,4.593407,6.593407,3.174603,-8.058608,-5.128205,-2.197802,8.547009,0.209402,2.231990,0
0.008333,-146.487915,-70.320881,159.516487,22.410256,3.174603,6.105006,-8.547009,-2.686203,-5.616606,9.035409,0.209402,2.222222,0
0.009374,-74.997804,-123.771431,167.868136,11.274725,-0.244200,8.058608,-6.593407,1.221001,-7.081807,7.081807,-0.278999,2.222222,0
0.010416,9.520879,-147.824179,163.525278,-8.490842,-3.174603,9.035409,-4.639805,4.151404,-8.547009,4.639805,0.209402,2.222222,0
0.011458,95.375826,-164.861542,124.773629,-17.120879,-6.105006,8.547009,-1.221001,6.593407,-7.570208,1.709402,-0.278999,2.222222,0
0.012500,136.131871,-166.531872,43.929671,-2.366300,-7.570208,7.081807,1.709402,8.547009,-6.105006,-1.221001,-0.278999,2.212454,0
0.013541,151.832970,-154.839564,-42.927473,24.080586,-8.547009,4.151404,5.128205,8.547009,-3.174603,-4.639805,-0.278999,2.212454,0
0.014582,168.202202,-101.389013,-111.076926,14.058608,-7.570208,1.221001,7.570208,8.058608,-0.244200,-6.593407,0.209402,2.212454,0
0.015624,166.197806,-18.540660,-140.140662,-0.974359,-5.616606,-2.197802,9.035409,6.105006,3.174603,-8.058608,0.209402,2.231990,0
0.016667,145.151652,69.652749,-160.852751,-18.234432,-2.686203,-5.616606,9.523810,3.174603,6.105006,-8.058608,-0.278999,2.231990,0
0.017707,73.661540,122.769234,-169.204399,-7.377289,0.732601,-7.570208,7.570208,-0.244200,8.058608,-6.593407,0.209402,2.212454,0
0.018749,-10.523077,146.821981,-164.861542,12.109890,4.151404,-8.547009,5.128205,-3.174603,9.035409,-4.151404,0.209402,2.222222,0
0.019791,-96.378024,163.859344,-126.109893,19.904762,7.081807,-8.058608,1.709402,-6.105006,8.547009,-0.732601,0.209402,2.212454,0
0.020833,-136.800003,165.863740,-45.265935,7.655678,8.547009,-6.105006,-1.221001,-7.570208,7.081807,2.197802,-0.278999,2.212454,0
0.021874,-153.169234,153.837366,41.925276,-12.109890,9.035409,-3.174603,-4.639805,-8.058608,4.151404,5.128205,0.209402,2.202686,0
0.022916,-168.870333,100.386815,109.740662,-10.717949,8.058608,-0.244200,-6.593407,-7.081807,0.732601,7.570208,0.209402,2.212454,0
0.023958,-166.865938,17.204396,138.804399,4.593407,6.593407,2.686203,-8.058608,-5.616606,-2.197802,8.547009,0.209402,2.222222,0
0.024999,-146.153849,-70.654947,159.516487,21.575092,3.663004,6.593407,-8.547009,-2.197802,-5.616606,9.035409,0.209402,2.231990,0
0.026041,-74.663738,-123.771431,167.868136,12.109890,-0.244200,8.058608,-7.081807,0.732601,-7.081807,7.570208,-0.278999,2.212454,0
0.027083,10.523077,-147.824179,163.525278,-8.769231,-3.174603,9.035409,-4.151404,4.151404,-8.547009,4.639805,0.209402,2.222222,0
0.028125,95.375826,-164.861542,124.439563,-16.285714,-6.105006,8.547009,-1.221001,6.593407,-7.570208,1.709402,-0.278999,2.212454,0
0.029166,136.131871,-166.531872,43.929671,-3.201465,-7.570208,7.081807,2.197802,8.547009,-5.616606,-1.221001,-0.278999,2.202686,0
0.030208,152.167036,-154.839564,-43.929671,17.399267,-8.058608,4.151404,5.128205,9.035409,-3.174603,-4.639805,0.209402,2.202686,0
0.031249,167.868136,-101.054947,-111.410991,14.336996,-7.570208,0.732601,7.570208,8.058608,-0.244200,-6.593407,-0.278999,2.202686,0
0.032291,165.863740,-17.872528,-140.140662,-1.252747,-5.616606,-2.197802,8.547009,6.105006,3.174603,-8.058608,0.209402,2.231990,0
0.033333,145.151652,69.986815,-160.852751,-18.512821,-2.686203,-5.128205,9.035409,3.174603,6.105006,-8.058608,0.209402,2.222222,0
0.034374,73.661540,123.103299,-168.870333,-7.934066,0.732601,-7.081807,7.570208,-0.244200,8.058608,-6.593407,0.209402,2.212454,0
0.035416,-11.191209,146.821981,-164.861542,12.945055,4.151404,-8.058608,5.128205,-3.663004,9.035409,-4.151404,-0.278999,2.222222,0
0.036458,-96.712090,163.859344,-125.107695,20.183150,7.081807,-8.058608,2.197802,-6.105006,8.547009,-0.732601,0.209402,2.212454,0
0.037500,-137.134069,165.863740,-44.931869,6.542125,8.547009,-6.105006,-0.732601,-7.570208,6.593407,2.197802,0.209402,2.212454,0
0.038541,-153.503300,153.503300,42.593408,-12.388278,9.035409,-3.174603,-4.639805,-7.570208,4.151404,5.128205,0.209402,2.202686,0
0.039582,-168.870333,99.384618,110.408794,-10.717949,8.058608,-0.244200,-7.081807,-7.081807,0.732601,7.570208,0.209402,2.212454,0
0.040625,-166.865938,16.536264,139.138465,5.150183,6.593407,2.686203,-8.058608,-5.128205,-2.197802,8.547009,-0.278999,2.231990,0
0.041666,-146.153849,-71.323079,159.516487,22.410256,3.663004,6.593407,-8.547009,-2.686203,-5.616606,9.035409,0.209402,2.231990,0
0.042707,-73.661540,-124.439563,167.534070,11.274725,-0.244200,8.058608,-6.593407,0.732601,-7.081807,7.081807,-0.278999,2.222222,0
0.043749,10.857143,-147.824179,163.525278,-9.326007,-3.663004,9.035409,-4.151404,4.151404,-8.058608,5.128205,-0.278999,2.222222,0
0.044791,95.709892,-165.195608,123.771431,-15.728938,-6.105006,8.547009,-1.221001,7.081807,-7.570208,1.709402,-0.278999,2.212454,0
0.045832,136.465937,-166.531872,43.261539,-2.644689,-8.058608,7.081807,1.709402,8.547009,-6.105006,-1.221001,-0.278999,2.212454,0
0.046874,152.167036,-154.505498,-44.597803,16.285714,-8.058608,4.151404,5.616606,9.035409,-3.174603,-4.639805,-0.278999,2.212454,0
0.047916,168.202202,-100.386815,-111.410991,13.780220,-7.570208,1.221001,7.570208,7.570208,-0.244200,-6.593407,0.209402,2.222222,0
0.048958,165.529674,-17.204396,-140.474728,-0.974359,-6.105006,-2.197802,9.035409,6.105006,3.174603,-8.058608,-0.278999,2.231990,0
0.049999,144.817586,70.654947,-160.852751,-19.347985,-2.686203,-5.616606,9.523810,3.174603,6.105006,-8.058608,-0.278999,2.241758,0
0.051041,72.993408,123.103299,-168.870333,-7.377289,0.732601,-7.570208,7.570208,-0.244200,8.058608,-6.105006,0.209402,2.212454,0
0.052083,-12.193407,146.821981,-164.861542,12.666667,4.151404,-8.058608,5.128205,-3.174603,9.035409,-4.151404,0.209402,2.222222,0
0.053124,-97.046156,164.527476,-124.773629,19.626374,7.081807,-8.058608,1.709402,-6.105006,8.058608,-0.732601,0.209402,2.212454,0
0.054166,-137.468135,165.863740,-44.263737,7.098901,8.547009,-6.105006,-1.221001,-7.570208,7.081807,2.197802,0.209402,2.212454,0
0.055207,-153.503300,153.503300,43.261539,-12.945055,9.035409,-3.174603,-4.151404,-8.058608,4.151404,5.128205,0.209402,2.202686,0
0.056250,-169.204399,98.716486,110.408794,-9.604396,8.547009,-0.244200,-6.593407,-7.081807,0.732601,7.570208,0.209402,2.212454,0
0.057291,-166.865938,16.202198,139.138465,5.428571,6.593407,2.686203,-8.058608,-5.128205,-2.686203,8.547009,0.209402,2.231990,0
0.058333,-145.819783,-71.991210,159.516487,22.410256,3.663004,6.105006,-8.058608,-2.686203,-5.128205,9.035409,0.209402,2.231990,0
0.059374,-73.661540,-124.773629,167.534070,11.274725,-0.244200,8.058608,-6.593407,1.221001,-7.570208,7.081807,-0.278999,2.222222,0
0.060416,11.525275,-147.824179,163.859344,-8.490842,-3.663004,9.035409,-4.151404,4.151404,-8.058608,4.639805,-0.278999,2.212454,0
0.061457,96.043958,-165.529674,123.437365,-16.285714,-6.105006,8.547009,-0.732601,6.593407,-7.570208,1.709402,0.209402,2.212454,0
0.062499,136.131871,-166.531872,42.927473,-2.087912,-8.058608,6.593407,2.197802,8.547009,-6.105006,-1.709402,0.209402,2.212454,0
0.063541,152.501102,-154.505498,-44.931869,16.285714,-8.547009,4.151404,5.128205,9.035409,-3.174603,-4.639805,-0.278999,2.202686,0
0.064583,168.202202,-99.718684,-111.745057,14.058608,-7.570208,1.221001,7.570208,8.058608,0.244200,-6.593407,0.209402,2.212454,0
0.065624,165.863740,-16.870330,-140.808794,-1.531136,-5.616606,-2.197802,8.547009,6.105006,3.174603,-8.058608,0.209402,2.222222,0
0.066666,144.817586,71.323079,-160.852751,-19.069597,-2.686203,-5.616606,9.035409,3.174603,6.105006,-8.058608,0.209402,2.222222,0
0.067708,72.325276,123.771431,-168.870333,-7.098901,1.221001,-7.570208,7.570208,-0.244200,8.058608,-6.593407,0.209402,2.212454,0
0.068750,-12.861539,147.156047,-164.527476,12.945055,4.151404,-8.547009,5.128205,-3.174603,9.035409,-4.151404,-0.278999,2.222222,0
0.069791,-97.380222,164.527476,-124.105497,19.904762,7.081807,-8.058608,1.709402,-6.105006,8.547009,-0.732601,-0.278999,2.212454,0
0.070832,-137.468135,165.529674,-43.929671,6.263736,8.547009,-6.105006,-1.221001,-7.570208,6.593407,2.197802,0.209402,2.212454,0
0.071875,-153.837366,153.503300,44.263737,-12.945055,9.035409,-3.663004,-4.639805,-8.058608,4.151404,5.616606,0.209402,2.212454,0
0.072916,-169.204399,99.050552,110.408794,-9.882784,8.058608,-0.244200,-7.081807,-7.081807,0.732601,7.570208,0.209402,2.212454,0
0.073957,-166.865938,15.534066,140.140662,4.871795,6.593407,2.686203,-8.058608,-5.616606,-2.197802,9.035409,-0.278999,2.231990,0
0.074999,-145.485718,-72.325276,159.182421,22.967033,3.174603,6.105006,-8.547009,-2.197802,-5.616606,8.547009,0.209402,2.231990,0
0.076041,-72.993408,-125.441761,167.868136,11.274725,0.244200,8.058608,-6.593407,0.732601,-7.570208,7.570208,-0.278999,2.222222,0
0.077083,11.859341,-148.158245,163.859344,-9.326007,-3.663004,9.035409,-4.151404,4.151404,-8.058608,4.639805,0.209402,2.231990,0
0.078124,96.043958,-165.863740,122.769234,-16.007326,-6.105006,8.547009,-1.221001,6.593407,-7.570208,1.709402,0.209402,2.222222,0
0.079166,136.465937,-166.531872,42.259342,-3.201465,-7.570208,7.081807,2.197802,8.058608,-6.105006,-1.221001,0.209402,2.212454,0
0.080208,152.835168,-154.171432,-45.934067,17.677656,-8.058608,4.151404,5.128205,9.035409,-3.174603,-4.639805,0.209402,2.212454,0
0.081249,168.202202,-99.050552,-112.079123,13.780220,-7.570208,1.221001,7.570208,8.058608,0.244200,-6.593407,0.209402,2.222222,0
0.082291,165.863740,-15.868132,-140.808794,-1.252747,-5.616606,-2.197802,8.547009,6.105006,3.174603,-8.058608,-0.278999,2.231990,0
0.083332,144.483520,71.991210,-160.852751,-19.069597,-2.686203,-5.128205,9.035409,3.174603,6.105006,-8.058608,-0.278999,2.222222,0
0.084375,71.657144,124.105497,-168.870333,-7.377289,1.221001,-7.570208,7.570208,-0.244200,8.058608,-6.593407,0.209402,2.212454,0
0.085416,-13.195605,146.821981,-164.527476,12.945055,4.151404,-8.058608,5.128205,-3.174603,9.035409,-3.663004,0.209402,2.222222,0
0.086457,-97.714288,164.861542,-123.437365,19.904762,7.081807,-7.570208,2.197802,-6.105006,8.058608,-0.732601,0.209402,2.212454,0
0.087499,-137.468135,165.529674,-43.595605,6.263736,8.547009,-6.105006,-1.221001,-7.570208,6.593407,2.197802,0.209402,2.212454,0
0.088542,-153.503300,153.169234,44.597803,-12.945055,9.035409,-3.174603,-4.639805,-8.547009,4.151404,5.128205,0.209402,2.212454,0
0.089583,-169.204399,97.714288,110.742860,-9.326007,8.058608,-0.244200,-7.081807,-7.081807,0.732601,7.570208,-0.278999,2.212454,0
0.090624,-166.865938,14.865934,139.472531,5.706960,6.593407,2.686203,-8.058608,-5.128205,-2.197802,9.035409,0.209402,2.231990,0
0.091666,-145.485718,-73.327474,159.516487,22.967033,3.663004,6.105006,-8.547009,-2.197802,-5.616606,8.547009,-0.278999,2.231990,0
0.092708,-72.325276,-125.441761,167.868136,10.717949,-0.244200,8.058608,-6.593407,1.221001,-7.570208,7.081807,-0.278999,2.222222,0
0.093749,12.527473,-148.158245,163.525278,-9.604396,-3.663004,9.035409,-4.151404,4.151404,-8.058608,4.639805,-0.278999,2.222222,0
0.094791,96.712090,-165.863740,121.432970,-16.007326,-6.105006,8.547009,-1.221001,6.593407,-7.570208,1.709402,0.209402,2.212454,0
0.095832,136.800003,-166.531872,41.925276,-2.644689,-7.570208,7.081807,2.197802,8.058608,-5.616606,-1.709402,-0.278999,2.202686,0
0.096875,152.501102,-154.171432,-45.934067,17.120879,-8.547009,4.151404,5.128205,9.035409,-3.174603,-4.639805,-0.278999,2.212454,0
0.097916,168.536267,-98.382420,-112.413189,13.780220,-7.570208,0.732601,7.570208,8.058608,0.244200,-6.593407,0.209402,2.212454,0
0.098958,165.863740,-15.534066,-141.142860,-9.326007,-5.616606,-2.197802,9.035409,6.105006,3.174603,-8.058608,0.209402,2.222222,0
0.100000,144.483520,72.993408,-160.852751,-18.791209,-2.686203,-5.616606,9.035409,3.174603,6.105006,-8.058608,-0.278999,2.222222,0
0.101041,70.654947,124.439563,-168.536267,-7.655678,1.221001,-7.570208,7.570208,-0.244200,8.547009,-6.593407,0.209402,2.212454,0
0.102082,-13.863737,146.821981,-164.527476,13.223443,4.639805,-8.547009,5.128205,-3.663004,9.035409,-3.663004,-0.278999,2.212454,0
0.103124,-98.048354,165.195608,-123.103299,19.904762,7.081807,-7.570208,1.709402,-6.105006,8.058608,-0.732601,-0.278999,2.212454,0
0.104166,-137.802201,165.529674,-42.593408,5.985348,8.547009,-6.105006,-1.221001,-7.570208,6.593407,2.686203,0.209402,2.212454,0
0.105207,-153.503300,153.169234,45.265935,-14.058608,9.035409,-3.663004,-4.151404,-8.058608,3.663004,6.105006,0.209402,2.212454,0
0.106249,-169.204399,97.046156,111.076926,-9.604396,8.058608,-0.244200,-7.081807,-7.081807,0.732601,7.570208,0.209402,2.222222,0
0.107291,-166.865938,14.197803,139.472531,5.150183,6.593407,3.174603,-8.058608,-5.128205,-2.197802,8.547009,-0.278999,2.231990,0
0.108333,-145.151652,-73.995606,159.182421,23.245421,3.174603,6.105006,-8.547009,-2.686203,-5.616606,9.035409,-0.278999,2.231990,0
0.109374,-71.657144,-125.441761,167.534070,10.996337,-0.244200,8.547009,-6.593407,1.221001,-7.570208,7.081807,-0.278999,2.222222,0
0.110417,13.863737,-148.158245,163.525278,-9.882784,-3.663004,9.035409,-4.151404,4.151404,-8.058608,4.639805,-0.278999,2.231990,0
0.111457,97.046156,-166.197806,121.098904,-15.728938,-6.593407,8.547009,-1.221001,7.081807,-7.570208,1.709402,-0.278999,2.222222,0
0.112500,136.800003,-166.531872,41.257144,-2.644689,-8.058608,6.593407,2.197802,8.547009,-6.105006,-1.709402,-0.278999,2.212454,0
0.113541,152.501102,-153.837366,-47.270331,18.234432,-8.547009,4.151404,5.128205,9.035409,-3.174603,-4.639805,-0.278999,2.222222,0
0.114582,168.536267,-98.048354,-112.413189,13.501832,-7.570208,0.732601,7.081807,8.058608,0.244200,-6.593407,0.209402,2.222222,0
0.115624,165.863740,-14.865934,-141.142860,-2.366300,-5.616606,-2.197802,9.035409,6.105006,3.174603,-8.058608,-0.278999,2.231990,0
