1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-189.582422,179.226378,-39.586814,20.183150,1.709402,-8.058608,7.570208,-1.221001,8.547009,-6.105006,0.697802,4.263736,0
0.001042,-226.329675,136.465937,55.956045,14.615385,5.616606,-9.035409,4.639805,-4.639805,9.523810,-3.174603,0.697802,4.263736,0
0.002084,-205.617587,83.683518,146.821981,-9.047619,8.058608,-8.058608,1.221001,-7.081807,9.035409,-0.244200,0.697802,4.283272,0
0.003125,-167.534070,14.865934,208.624180,-18.234432,9.035409,-5.616606,-2.686203,-8.547009,6.105006,3.663004,0.697802,4.263736,0
0.004167,-125.441761,-88.694507,219.648357,1.531136,9.523810,-2.686203,-5.128205,-8.547009,3.174603,6.105006,0.697802,4.263736,0
0.005208,-64.975826,-169.204399,191.586817,17.120879,8.058608,1.221001,-7.570208,-7.081807,-0.244200,8.547009,0.697802,4.273504,0
0.006250,13.529671,-226.329675,149.160443,22.131868,5.616606,4.639805,-9.035409,-4.639805,-3.663004,9.523810,0.209402,4.244200,0
0.007292,117.758244,-212.298906,105.063739,-2.923077,2.686203,7.081807,-8.547009,-1.709402,-6.105006,9.035409,0.209402,4.244200,0
0.008333,188.246158,-181.230773,37.248352,-14.058608,-0.732601,9.035409,-6.593407,1.709402,-8.058608,7.081807,0.209402,4.263736,0
0.009375,223.991214,-138.136267,-57.960441,-7.934066,-4.639805,9.523810,-3.663004,5.128205,-8.547009,4.151404,0.209402,4.263736,0
0.010417,202.945059,-85.687914,-148.158245,14.058608,-7.081807,8.547009,-0.732601,7.570208,-8.058608,1.221001,0.209402,4.283272,0
0.011458,165.195608,-16.202198,-210.628576,24.358974,-8.547009,6.593407,3.174603,9.035409,-5.128205,-2.686203,0.697802,4.253968,0
0.012500,123.771431,86.690112,-222.320884,4.036630,-8.547009,3.663004,6.105006,9.523810,-2.197802,-5.128205,0.697802,4.263736,0
0.013542,63.639562,167.534070,-193.925279,-10.717949,-7.570208,-0.244200,8.547009,8.058608,1.221001,-7.570208,0.209402,4.273504,0
0.014584,-15.534066,224.325280,-151.164839,-16.285714,-4.639805,-3.663004,9.523810,5.616606,4.639805,-8.547009,0.697802,4.244200,0
0.015625,-119.762640,210.628576,-107.736266,9.047619,-1.709402,-6.105006,9.035409,2.686203,7.081807,-8.058608,0.697802,4.244200,0
0.016667,-189.582422,179.226378,-39.586814,19.626374,1.709402,-8.058608,7.570208,-0.732601,8.547009,-6.105006,0.697802,4.273504,0
0.017708,-225.995609,136.131871,55.621979,14.336996,5.616606,-8.547009,4.639805,-4.639805,9.523810,-3.174603,0.697802,4.263736,0
0.018751,-204.949455,83.683518,146.487915,-8.490842,8.058608,-8.058608,1.709402,-7.081807,8.547009,-0.732601,0.209402,4.273504,0
0.019791,-167.534070,14.865934,208.624180,-18.234432,9.035409,-5.616606,-2.197802,-8.058608,6.105006,3.174603,0.697802,4.263736,0
0.020833,-125.441761,-88.694507,219.982422,2.366300,9.523810,-2.686203,-5.128205,-8.547009,3.174603,6.105006,0.209402,4.263736,0
0.021875,-65.309892,-168.870333,191.586817,16.842491,8.058608,0.732601,-7.570208,-7.081807,0.244200,8.547009,0.697802,4.273504,0
0.022917,13.863737,-226.663741,148.826377,22.967033,5.616606,4.639805,-8.547009,-4.639805,-3.663004,9.523810,0.209402,4.253968,0
0.023958,118.092310,-212.298906,105.063739,-3.479853,2.686203,6.593407,-8.547009,-1.709402,-6.105006,8.547009,0.209402,4.253968,0
0.025000,187.912092,-180.896707,36.914287,-14.615385,-1.221001,9.035409,-6.593407,1.709402,-8.058608,7.081807,0.209402,4.273504,0
0.026042,223.991214,-138.136267,-57.960441,-9.047619,-4.639805,9.523810,-3.663004,5.128205,-8.547009,3.663004,0.209402,4.273504,0
0.027083,203.279125,-85.687914,-148.826377,14.336996,-7.081807,9.035409,-0.244200,8.058608,-8.058608,1.221001,0.209402,4.283272,0
0.028125,165.529674,-16.870330,-210.628576,24.358974,-8.547009,6.105006,3.174603,9.035409,-5.128205,-2.686203,0.209402,4.263736,0
0.029167,123.771431,87.024178,-222.320884,3.479853,-8.547009,3.174603,6.593407,9.035409,-2.686203,-5.616606,0.697802,4.263736,0
0.030209,63.305496,167.200004,-193.925279,-11.553114,-7.570208,0.244200,8.547009,8.058608,0.732601,-7.570208,0.697802,4.273504,0
0.031250,-15.534066,224.659346,-151.164839,-16.564103,-4.639805,-3.663004,9.523810,5.128205,4.639805,-8.547009,0.697802,4.253968,0
0.032292,-120.096706,210.294510,-107.402200,9.047619,-1.709402,-6.105006,9.035409,2.686203,7.081807,-8.058608,0.697802,4.253968,0
0.033334,-189.916488,178.892312,-39.252748,20.461538,1.709402,-8.058608,7.570208,-1.221001,9.035409,-6.105006,0.209402,4.273504,0
0.034376,-225.995609,136.131871,56.290111,14.336996,5.616606,-9.035409,4.639805,-4.639805,9.035409,-3.174603,0.697802,4.263736,0
0.035417,-205.283521,83.683518,146.487915,-7.934066,8.058608,-8.547009,1.221001,-7.081807,8.547009,-0.244200,0.697802,4.283272,0
0.036458,-167.534070,14.531868,208.624180,-17.956044,9.523810,-5.616606,-2.197802,-8.547009,6.105006,3.663004,0.697802,4.253968,0
0.037500,-125.441761,-88.694507,220.316488,2.644689,9.523810,-2.686203,-5.616606,-8.547009,3.174603,6.593407,0.209402,4.263736,0
0.038542,-65.309892,-169.204399,191.920883,17.677656,8.058608,0.732601,-7.570208,-7.081807,-0.244200,8.058608,0.209402,4.283272,0
0.039583,13.529671,-226.329675,148.826377,22.967033,5.128205,4.639805,-8.547009,-4.639805,-3.663004,9.035409,0.697802,4.244200,0
0.040625,117.758244,-212.298906,105.397805,-2.923077,2.686203,7.081807,-8.547009,-1.709402,-6.105006,8.547009,0.697802,4.253968,0
0.041666,187.912092,-181.230773,37.248352,-14.336996,-1.221001,9.035409,-6.593407,1.709402,-8.058608,7.081807,0.209402,4.263736,0
0.042709,223.991214,-138.136267,-58.294507,-7.934066,-4.639805,10.012210,-3.663004,5.128205,-8.547009,4.151404,0.209402,4.263736,0
0.043751,203.279125,-85.687914,-149.160443,14.336996,-6.593407,9.035409,-0.244200,7.570208,-7.570208,1.221001,0.209402,4.283272,0
0.044792,165.529674,-16.870330,-210.628576,23.802198,-8.547009,6.593407,3.174603,9.035409,-5.616606,-2.197802,0.697802,4.263736,0
0.045833,123.437365,86.690112,-222.320884,3.479853,-8.547009,3.174603,6.593407,9.523810,-2.686203,-5.616606,0.209402,4.263736,0
0.046876,63.639562,167.200004,-193.925279,-10.717949,-7.570208,-0.244200,8.547009,8.058608,1.221001,-7.570208,0.697802,4.273504,0
0.047916,-15.534066,224.659346,-151.164839,-16.842491,-4.639805,-3.663004,9.523810,5.616606,4.639805,-8.547009,0.697802,4.244200,0
0.048958,-120.430772,210.962642,-107.068134,9.047619,-1.709402,-6.105006,9.035409,2.686203,7.081807,-8.058608,0.697802,4.253968,0
0.050000,-189.916488,178.892312,-39.586814,19.626374,1.709402,-8.058608,7.081807,-0.732601,8.547009,-6.105006,0.697802,4.263736,0
0.051042,-225.995609,136.131871,55.621979,14.615385,5.616606,-9.035409,4.639805,-4.151404,9.523810,-3.663004,0.209402,4.263736,0
0.052083,-205.283521,83.683518,146.153849,-7.934066,8.058608,-8.058608,1.709402,-7.081807,8.547009,-0.244200,0.209402,4.273504,0
0.053125,-167.200004,14.531868,208.624180,-17.956044,9.035409,-5.616606,-2.686203,-8.547009,6.105006,3.663004,0.697802,4.263736,0
0.054167,-125.441761,-88.694507,219.982422,2.366300,9.523810,-2.686203,-5.128205,-8.547009,3.174603,6.593407,0.697802,4.263736,0
0.055208,-65.643958,-168.870333,191.586817,16.564103,8.058608,0.732601,-7.570208,-7.570208,-0.244200,8.058608,0.209402,4.273504,0
0.056250,13.529671,-226.663741,148.826377,22.410256,5.128205,4.639805,-9.035409,-4.639805,-3.663004,9.035409,0.697802,4.244200,0
0.057291,117.758244,-212.298906,104.729673,-3.758242,2.686203,7.081807,-8.058608,-1.709402,-6.105006,9.035409,0.209402,4.253968,0
0.058334,187.912092,-180.562641,36.914287,-14.893773,-0.732601,9.035409,-6.593407,1.709402,-8.058608,7.081807,0.209402,4.263736,0
0.059375,223.657148,-138.136267,-58.294507,-8.212454,-4.639805,9.523810,-3.663004,5.616606,-8.547009,4.151404,0.209402,4.273504,0
0.060417,203.613191,-85.353848,-148.826377,14.893773,-7.081807,9.035409,-0.244200,7.570208,-8.058608,1.221001,0.209402,4.293040,0
0.061458,165.529674,-16.536264,-210.628576,24.080586,-8.547009,6.105006,3.174603,9.035409,-5.128205,-2.686203,0.697802,4.263736,0
