1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-118.092310,178.558246,-118.760442,22.688645,4.151404,-7.570208,4.639805,-3.174603,8.547009,-3.174603,0.209402,2.818071,0
0.001042,-169.204399,162.523081,-39.586814,17.399267,7.081807,-7.570208,1.709402,-6.105006,7.570208,-0.732601,0.209402,2.808303,0
0.002083,-182.901103,144.149454,59.630771,-5.428571,8.547009,-5.616606,-2.197802,-7.570208,6.105006,2.686203,0.209402,2.827839,0
0.003125,-170.874729,97.046156,144.483520,-22.688645,8.547009,-3.174603,-4.639805,-7.570208,3.663004,5.616606,0.209402,2.818071,0
0.004166,-160.518685,10.857143,172.545059,-6.542125,7.570208,0.244200,-6.593407,-6.593407,0.244200,7.570208,0.209402,2.827839,0
0.005209,-135.463739,-89.696705,181.564839,18.512821,5.616606,3.174603,-8.058608,-4.639805,-2.197802,8.547009,0.209402,2.847375,0
0.006250,-74.329672,-162.189015,163.525278,24.915751,2.686203,6.105006,-8.058608,-1.709402,-5.616606,8.547009,0.209402,2.827839,0
0.007292,19.542858,-183.235169,153.503300,4.036630,-0.244200,8.058608,-6.593407,1.221001,-7.081807,7.081807,-0.278999,2.827839,0
0.008334,117.090113,-179.894510,117.424178,-18.234432,-3.663004,8.547009,-3.663004,4.151404,-7.570208,4.151404,0.209402,2.818071,0
0.009375,167.534070,-163.859344,37.916484,-12.945055,-6.105006,8.058608,-0.732601,7.081807,-7.081807,1.221001,-0.278999,2.808303,0
0.010416,181.898905,-145.485718,-61.635166,9.882784,-7.570208,6.593407,2.197802,8.547009,-5.128205,-1.709402,0.209402,2.827839,0
0.011458,170.206597,-98.716486,-146.153849,27.421245,-7.570208,3.663004,5.128205,8.547009,-2.686203,-4.639805,0.209402,2.818071,0
0.012500,159.182421,-11.525275,-174.215389,9.882784,-7.081807,0.244200,8.058608,7.570208,0.244200,-6.593407,-0.278999,2.818071,0
0.013541,133.459344,88.360442,-183.235169,-13.223443,-4.639805,-2.686203,8.547009,5.616606,3.663004,-7.570208,0.209402,2.837607,0
0.014583,72.659342,161.186817,-165.195608,-20.739927,-1.709402,-5.616606,8.547009,2.686203,6.105006,-7.570208,0.209402,2.818071,0
0.015625,-20.879121,181.564839,-155.173630,0.695971,1.221001,-7.570208,7.081807,-0.732601,8.058608,-6.105006,0.209402,2.827839,0
0.016667,-118.426376,178.558246,-118.760442,22.410256,4.151404,-7.570208,4.639805,-3.663004,8.058608,-3.174603,0.209402,2.808303,0
0.017708,-169.204399,162.523081,-38.918682,16.842491,7.081807,-7.081807,1.221001,-6.105006,8.058608,-0.732601,0.209402,2.808303,0
0.018750,-183.235169,144.149454,60.632968,-5.706960,8.547009,-5.616606,-1.709402,-7.570208,6.593407,2.686203,0.209402,2.827839,0
0.019791,-170.874729,97.046156,144.817586,-23.245421,8.547009,-2.686203,-4.151404,-7.570208,3.663004,5.128205,0.209402,2.827839,0
0.020834,-160.518685,9.854945,172.879125,-4.871795,8.058608,0.244200,-7.081807,-7.081807,0.244200,8.058608,0.209402,2.827839,0
0.021875,-134.795607,-90.364837,181.230773,16.285714,5.616606,3.174603,-8.058608,-4.639805,-2.686203,8.547009,-0.278999,2.847375,0
0.022917,-73.661540,-162.189015,163.525278,24.358974,2.686203,6.105006,-7.570208,-1.709402,-5.616606,8.547009,-0.278999,2.827839,0
0.023958,19.208792,-183.235169,153.169234,4.036630,-0.732601,8.058608,-6.593407,1.709402,-7.570208,7.081807,0.209402,2.827839,0
0.025000,117.424178,-179.894510,117.090113,-18.791209,-3.663004,8.547009,-3.663004,4.151404,-7.570208,4.151404,0.209402,2.818071,0
