1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,86.021980,157.178025,-181.230773,-21.296703,-5.128205,-3.174603,9.523810,6.105006,3.663004,-8.547009,0.209402,3.648352,0
0.001042,0.835165,197.600004,-160.184619,-10.161172,-1.709402,-6.593407,9.523810,2.197802,7.570208,-8.547009,0.209402,3.638584,0
0.002083,-106.734068,198.936268,-127.780223,15.450549,1.221001,-8.058608,7.570208,-0.244200,9.035409,-6.593407,0.209402,3.648352,0
0.003125,-181.230773,169.872531,-65.643958,29.648352,5.128205,-9.035409,5.128205,-4.151404,9.523810,-4.151404,0.209402,3.638584,0
0.004167,-201.274730,149.494509,37.582418,5.150183,8.058608,-8.547009,1.221001,-7.081807,9.035409,-0.244200,0.209402,3.638584,0
0.005209,-192.254949,107.402200,133.793410,-15.450549,9.035409,-6.105006,-1.709402,-8.547009,6.593407,2.686203,0.209402,3.658120,0
0.006250,-165.195608,35.243957,192.254949,-19.347985,10.012210,-3.174603,-5.616606,-9.035409,3.663004,6.593407,0.209402,3.658120,0
0.007292,-142.145058,-70.989013,203.613191,6.542125,9.035409,0.244200,-8.058608,-7.570208,0.244200,8.547009,0.209402,3.658120,0
0.008333,-87.692310,-159.516487,179.560444,26.029304,6.105006,3.663004,-9.035409,-5.128205,-3.174603,9.523810,0.209402,3.658120,0
0.009376,-2.171429,-199.270334,158.514289,15.172161,2.686203,7.570208,-8.547009,-1.709402,-6.593407,9.523810,0.209402,3.648352,0
0.010417,105.397805,-200.606598,125.775827,-10.717949,-0.732601,9.035409,-7.081807,1.709402,-8.058608,7.570208,0.209402,3.658120,0
0.011458,179.560444,-171.208795,62.971430,-23.245421,-4.639805,10.012210,-4.151404,5.128205,-8.547009,4.639805,0.209402,3.638584,0
0.012500,199.604400,-151.164839,-39.920880,-0.974359,-7.081807,9.035409,-0.732601,7.570208,-8.547009,1.221001,0.209402,3.648352,0
0.013542,190.918686,-108.738464,-136.131871,21.296703,-8.547009,7.081807,2.686203,9.523810,-6.105006,-2.197802,0.209402,3.667888,0
0.014583,163.191212,-36.580221,-194.259345,24.080586,-9.035409,3.663004,6.593407,10.012210,-2.686203,-6.105006,-0.278999,3.658120,0
0.015625,140.474728,69.318683,-205.617587,-0.974359,-8.058608,0.244200,9.035409,8.547009,0.732601,-8.058608,0.209402,3.658120,0
0.016667,85.687914,157.178025,-181.230773,-21.018315,-5.616606,-3.174603,9.523810,6.105006,3.663004,-8.547009,0.209402,3.658120,0
0.017709,0.501099,197.934070,-160.184619,-9.326007,-1.709402,-6.593407,10.012210,2.686203,7.570208,-8.547009,0.697802,3.648352,0
0.018750,-107.068134,198.936268,-127.446157,15.172161,1.709402,-8.058608,8.058608,-0.732601,9.035409,-6.593407,0.209402,3.648352,0
0.019792,-181.230773,169.872531,-64.975826,29.648352,5.128205,-9.035409,5.128205,-4.151404,9.523810,-3.663004,0.209402,3.638584,0
0.020834,-200.940664,149.828575,37.916484,5.428571,8.058608,-8.547009,1.221001,-7.081807,9.035409,-0.732601,0.209402,3.638584,0
0.021875,-192.254949,107.068134,133.793410,-15.728938,9.523810,-6.593407,-1.709402,-8.547009,6.593407,2.686203,0.209402,3.658120,0
0.022916,-164.861542,35.243957,192.254949,-18.791209,10.012210,-3.174603,-5.616606,-9.035409,3.663004,6.593407,0.209402,3.648352,0
0.023958,-142.479124,-70.989013,203.613191,6.820513,8.547009,0.244200,-8.058608,-7.570208,0.244200,8.547009,0.697802,3.648352,0
0.025001,-87.358244,-159.850553,179.226378,26.307692,6.105006,3.663004,-9.035409,-5.616606,-3.174603,9.523810,0.209402,3.648352,0
0.026042,-2.171429,-199.604400,158.180223,15.450549,2.686203,7.081807,-8.547009,-2.197802,-6.593407,9.523810,0.209402,3.648352,0
0.027083,105.063739,-200.606598,125.775827,-10.717949,-0.732601,9.035409,-7.081807,1.221001,-8.058608,7.570208,0.209402,3.648352,0
0.028128,179.894510,-171.208795,62.637364,-24.080586,-4.151404,10.012210,-4.151404,5.128205,-8.547009,4.639805,0.209402,3.628816,0
0.029168,199.604400,-151.164839,-39.920880,-0.974359,-7.081807,9.035409,-0.732601,8.058608,-8.058608,1.221001,0.209402,3.638584,0
0.030210,190.584620,-108.738464,-136.131871,21.018315,-8.547009,7.081807,2.686203,9.035409,-6.105006,-2.197802,0.209402,3.658120,0
0.031250,163.191212,-36.914287,-194.259345,23.802198,-9.035409,3.663004,6.593407,9.523810,-3.174603,-5.616606,0.209402,3.648352,0
0.032292,140.474728,69.318683,-205.617587,-1.531136,-8.058608,0.244200,9.035409,8.547009,0.732601,-7.570208,0.209402,3.648352,0
0.033334,85.687914,157.846157,-181.230773,-21.018315,-5.128205,-3.174603,10.012210,6.105006,3.663004,-8.547009,0.209402,3.648352,0
0.034375,0.501099,197.600004,-160.518685,-9.882784,-1.709402,-6.593407,9.523810,2.686203,7.081807,-8.547009,0.209402,3.638584,0
0.035417,-107.068134,198.936268,-127.446157,16.007326,1.221001,-8.058608,8.058608,-0.732601,9.035409,-6.593407,0.209402,3.648352,0
0.036458,-181.230773,169.538465,-64.975826,29.369963,5.128205,-9.035409,5.128205,-4.151404,9.523810,-3.663004,0.209402,3.628816,0
0.037501,-200.940664,149.494509,38.250550,6.263736,8.058608,-8.547009,1.709402,-7.081807,9.035409,-0.244200,0.209402,3.638584,0
0.038542,-192.254949,107.068134,134.461541,-15.728938,9.523810,-6.105006,-2.197802,-8.547009,7.081807,2.686203,0.209402,3.658120,0
0.039586,-164.527476,34.241759,192.254949,-19.069597,10.012210,-3.174603,-5.616606,-9.035409,3.663004,6.593407,0.209402,3.648352,0
