1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-110.074728,-119.428574,211.296708,12.109890,8.547009,-2.197802,-6.593407,-8.547009,1.709402,6.593407,0.209402,4.214896,0
0.001042,-41.591210,-191.586817,180.896707,21.575092,7.081807,1.709402,-8.058608,-7.081807,-1.221001,8.547009,0.209402,4.273504,0
0.002084,53.283518,-225.995609,136.465937,14.058608,4.151404,5.128205,-9.035409,-4.151404,-4.639805,9.035409,0.209402,4.205128,0
0.003125,145.819783,-207.621983,83.683518,-7.377289,1.221001,7.570208,-8.547009,-1.221001,-7.081807,8.058608,-0.278999,4.205128,0
0.004166,208.290115,-167.534070,12.193407,-17.120879,-2.686203,8.547009,-6.105006,2.686203,-8.547009,5.616606,-0.278999,4.185592,0
0.005209,219.982422,-123.771431,-89.362639,0.417582,-5.616606,9.035409,-3.174603,5.616606,-9.035409,2.686203,0.209402,4.214896,0
0.006250,194.593411,-64.641760,-171.876927,17.677656,-7.570208,7.570208,0.244200,8.058608,-7.570208,-0.732601,-0.278999,4.214896,0
0.007292,149.160443,15.534066,-227.665939,23.802198,-9.035409,5.128205,4.151404,9.035409,-4.639805,-4.151404,0.209402,4.185592,0
0.008333,108.738464,117.090113,-212.632972,-2.923077,-8.547009,2.197802,6.593407,8.547009,-1.709402,-6.593407,0.209402,4.195360,0
0.009375,40.254946,188.914290,-181.230773,-14.615385,-7.081807,-1.221001,8.547009,7.081807,1.709402,-8.058608,-0.278999,4.205128,0
0.010417,-54.619781,224.993412,-138.804399,-7.655678,-4.639805,-4.639805,9.035409,4.151404,5.128205,-8.547009,-0.278999,4.214896,0
0.011458,-147.156047,205.617587,-86.356046,8.769231,-0.732601,-7.570208,8.547009,1.221001,7.570208,-7.570208,0.209402,4.205128,0
0.012500,-209.292312,166.197806,-14.865934,23.523810,2.686203,-8.547009,6.105006,-2.197802,8.547009,-5.616606,0.209402,4.185592,0
0.013542,-221.318686,122.769234,85.687914,5.428571,6.105006,-8.547009,3.174603,-5.616606,8.547009,-2.686203,0.209402,4.205128,0
0.014583,-196.263741,63.305496,169.872531,-12.109890,8.058608,-7.570208,-0.244200,-7.570208,7.570208,0.244200,0.209402,4.214896,0
0.015625,-152.501102,-16.202198,224.993412,-18.234432,9.523810,-4.639805,-4.151404,-9.035409,4.639805,4.151404,0.209402,4.185592,0
0.016667,-111.076926,-118.426376,211.630774,8.769231,8.547009,-2.197802,-6.593407,-8.058608,2.197802,6.593407,-0.278999,4.195360,0
0.017709,-43.261539,-191.586817,180.228575,21.018315,7.081807,1.709402,-8.058608,-6.593407,-1.221001,8.058608,0.209402,4.214896,0
0.018750,52.281320,-226.329675,135.797805,14.336996,4.151404,5.128205,-9.035409,-4.151404,-4.639805,9.035409,-0.278999,4.214896,0
