1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,64.975826,-158.514289,152.501102,-21.853480,-5.128205,10.989011,-4.639805,5.616606,-10.500611,4.639805,-0.767399,2.759463,0
0.001042,120.430772,-171.208795,82.681321,-9.604396,-8.547009,10.012210,-0.732601,8.547009,-9.523810,0.732601,-0.278999,2.769231,0
0.002083,146.153849,-167.534070,-8.852747,12.666667,-10.012210,7.081807,3.174603,10.500611,-7.081807,-3.174603,-0.767399,2.749695,0
0.003125,157.512091,-138.136267,-100.052749,26.307692,-10.500611,4.151404,7.081807,10.500611,-3.663004,-6.593407,-0.767399,2.749695,0
0.004167,170.540663,-56.958243,-137.468135,8.769231,-9.035409,0.244200,9.523810,9.035409,0.244200,-9.035409,-0.278999,2.749695,0
0.005209,162.189015,33.907693,-151.832970,-13.780220,-6.105006,-4.151404,10.500611,6.593407,4.639805,-10.500611,-0.278999,2.749695,0
0.006250,111.410991,107.402200,-166.531872,-15.450549,-2.686203,-7.570208,10.500611,2.686203,7.570208,-10.012210,-0.278999,2.759463,0
0.007292,23.885715,141.810992,-172.879125,5.428571,1.709402,-9.523810,8.547009,-1.221001,10.012210,-7.570208,0.209402,2.769231,0
0.008334,-66.646155,156.509894,-154.839564,24.358974,5.616606,-10.500611,5.616606,-5.128205,10.500611,-4.151404,-0.767399,2.778999,0
0.009375,-121.767036,169.872531,-84.685716,15.728938,8.547009,-9.523810,1.221001,-8.547009,9.523810,-0.732601,-0.767399,2.749695,0
0.010416,-147.156047,166.197806,6.180220,-8.212454,10.500611,-8.058608,-2.686203,-10.012210,7.081807,3.663004,-0.278999,2.769231,0
0.011458,-158.848355,136.800003,98.048354,-26.029304,10.989011,-3.663004,-6.593407,-10.012210,3.663004,7.081807,-0.278999,2.749695,0
0.012500,-171.542861,54.953847,136.131871,-5.150183,9.523810,0.244200,-9.035409,-9.035409,-0.244200,9.523810,-0.278999,2.749695,0
0.013542,-164.527476,-35.243957,150.496707,17.677656,6.593407,3.663004,-10.500611,-6.105006,-4.639805,10.500611,-0.278999,2.749695,0
0.014583,-113.081321,-109.072530,165.529674,19.069597,2.686203,8.058608,-10.500611,-2.197802,-7.570208,10.012210,-0.278999,2.749695,0
0.015625,-25.890110,-143.147256,170.874729,-0.974359,-1.221001,10.012210,-8.058608,1.709402,-10.012210,8.058608,-0.278999,2.769231,0
0.016667,64.975826,-158.848355,152.501102,-19.626374,-5.616606,10.989011,-5.128205,5.616606,-10.500611,4.639805,-0.278999,2.759463,0
0.017708,120.430772,-171.542861,82.013189,-9.326007,-8.058608,9.523810,-0.732601,8.547009,-9.035409,0.732601,-0.767399,2.759463,0
0.018750,145.819783,-166.197806,-8.518682,15.172161,-10.012210,7.570208,3.174603,10.500611,-7.081807,-3.174603,-0.767399,2.759463,0
0.019792,157.512091,-138.136267,-99.718684,26.864469,-10.500611,4.151404,7.081807,10.500611,-3.663004,-6.593407,-0.767399,2.759463,0
0.020834,170.540663,-56.624177,-137.802201,9.047619,-9.523810,0.244200,9.523810,9.523810,0.244200,-9.035409,-0.278999,2.778999,0
0.021875,162.857146,33.573627,-151.832970,-11.831502,-6.593407,-4.151404,10.989011,6.105006,4.639805,-10.500611,-0.278999,2.759463,0
