1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-160.852751,138.804399,83.015386,-19.904762,8.547009,-2.686203,-5.616606,-8.058608,2.197802,6.105006,-0.767399,2.183150,0
0.001042,-170.206597,66.646155,128.114289,-6.263736,7.081807,0.732601,-7.570208,-6.593407,-0.732601,8.058608,-0.278999,2.202686,0
0.002083,-162.857146,-19.876924,147.490113,12.945055,4.639805,4.151404,-8.547009,-4.151404,-4.151404,8.547009,-0.278999,2.183150,0
0.003125,-120.430772,-98.716486,163.859344,18.512821,1.709402,7.081807,-8.058608,-1.221001,-6.593407,8.058608,-0.278999,2.183150,0
0.004167,-39.586814,-141.476926,167.868136,3.758242,-1.221001,8.547009,-7.081807,1.709402,-8.058608,6.593407,-0.278999,2.192918,0
0.005210,48.940660,-157.846157,154.171432,-15.450549,-4.639805,9.035409,-3.174603,5.128205,-8.547009,3.174603,-0.278999,2.183150,0
0.006250,108.404398,-169.204399,91.701101,-10.717949,-7.081807,7.570208,-0.244200,7.570208,-7.081807,-0.244200,-0.278999,2.173382,0
0.007292,142.145058,-166.531872,6.180220,7.098901,-8.058608,5.616606,3.174603,8.547009,-5.128205,-3.174603,-0.278999,2.183150,0
0.008333,159.516487,-140.474728,-85.687914,22.410256,-8.547009,2.686203,6.105006,8.547009,-2.197802,-5.616606,-1.255800,2.183150,0
0.009379,169.538465,-67.314287,-129.116486,8.490842,-7.081807,-0.732601,8.058608,7.081807,0.732601,-7.570208,-0.767399,2.192918,0
0.010417,162.189015,18.874726,-149.160443,-11.831502,-4.639805,-3.663004,9.035409,4.639805,4.151404,-8.058608,0.209402,2.212454,0
0.011459,119.428574,97.380222,-165.195608,-14.893773,-1.709402,-6.105006,8.547009,1.709402,7.081807,-7.570208,-0.278999,2.192918,0
0.012500,38.584616,140.474728,-169.204399,-0.974359,2.197802,-8.058608,6.593407,-1.709402,8.058608,-6.105006,-0.278999,2.192918,0
0.013543,-49.608792,156.509894,-155.173630,18.512821,5.128205,-8.547009,3.663004,-5.128205,8.547009,-3.174603,-0.278999,2.183150,0
0.014583,-112.747255,168.536267,-93.037365,12.945055,7.570208,-7.081807,0.244200,-7.081807,7.081807,0.244200,-0.278999,2.173382,0
0.015625,-144.149454,165.195608,-7.850550,-2.644689,8.547009,-5.128205,-3.174603,-8.058608,5.616606,3.174603,-0.278999,2.173382,0
0.016667,-160.852751,136.465937,84.351650,-19.347985,8.547009,-2.686203,-6.105006,-8.058608,2.197802,6.105006,-0.278999,2.183150,0
0.017709,-169.204399,66.646155,127.780223,-6.263736,7.570208,0.732601,-8.058608,-7.081807,-0.732601,8.058608,-0.278999,2.183150,0
0.018750,-163.191212,-18.206594,146.821981,12.666667,5.128205,4.151404,-8.547009,-4.151404,-4.151404,9.035409,-0.278999,2.192918,0
0.019792,-120.430772,-98.716486,163.859344,21.296703,1.709402,7.081807,-8.058608,-1.221001,-6.593407,8.058608,-0.767399,2.192918,0
0.020834,-39.920880,-141.476926,167.868136,4.593407,-1.709402,8.547009,-6.105006,2.197802,-8.058608,6.105006,-0.767399,2.280830,0
0.021875,48.272529,-157.512091,154.171432,-15.728938,-5.128205,9.035409,-3.174603,5.128205,-8.058608,3.174603,-0.767399,2.183150,0
0.022917,111.410991,-169.204399,91.701101,-9.882784,-7.081807,7.570208,-0.244200,8.058608,-7.081807,-0.244200,-0.278999,2.163614,0
0.023958,142.479124,-166.197806,6.848352,6.263736,-8.547009,5.616606,3.174603,8.547009,-5.128205,-3.174603,-0.278999,2.173382,0
0.025000,159.850553,-140.140662,-84.351650,21.853480,-8.547009,2.686203,6.105006,8.547009,-2.197802,-6.105006,-0.278999,2.173382,0
0.026042,169.872531,-67.982419,-129.450552,11.553114,-7.081807,-0.732601,8.058608,7.081807,1.221001,-8.058608,-0.278999,2.173382,0
0.027083,161.520883,18.540660,-149.160443,-9.047619,-4.639805,-3.663004,9.035409,4.639805,4.151404,-8.058608,-0.278999,2.183150,0
