1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-164.527476,45.934067,190.918686,-22.688645,10.012210,-4.151404,-5.616606,-9.523810,4.151404,6.105006,-0.278999,3.619048,0
0.001042,-144.483520,-61.969232,199.938466,6.820513,9.035409,-0.244200,-8.058608,-8.058608,0.244200,8.547009,-0.278999,3.589744,0
0.002084,-96.378024,-149.828575,182.232971,23.802198,6.105006,3.663004,-9.035409,-6.105006,-3.663004,9.523810,-0.278999,3.599512,0
0.003125,-11.859341,-196.263741,159.516487,17.956044,3.174603,7.081807,-9.523810,-2.686203,-6.593407,9.523810,-0.278999,3.589744,0
0.004167,93.705497,-198.602202,129.784618,-8.769231,-0.244200,8.547009,-8.058608,0.732601,-8.058608,7.570208,-0.278999,3.599512,0
0.005209,174.549454,-176.219784,70.654947,-23.802198,-4.151404,9.523810,-5.128205,4.151404,-9.035409,4.639805,0.209402,3.570208,0
0.006250,196.597807,-154.171432,-28.896704,-3.479853,-7.570208,9.035409,-1.221001,7.570208,-8.547009,1.221001,0.209402,3.589744,0
0.007292,190.918686,-115.085717,-125.107695,21.575092,-9.035409,7.081807,1.709402,9.035409,-6.593407,-1.709402,-0.767399,3.609280,0
0.008333,162.857146,-47.604397,-192.589015,28.534799,-10.012210,4.151404,5.616606,9.523810,-3.663004,-5.616606,-0.767399,3.599512,0
0.009376,142.145058,60.632968,-201.942862,1.531136,-8.547009,0.244200,8.547009,8.547009,-0.244200,-8.058608,-0.278999,3.599512,0
0.010417,94.707694,148.492311,-184.237367,-18.512821,-6.105006,-3.174603,9.523810,6.105006,3.663004,-9.035409,-0.278999,3.599512,0
0.011458,10.523077,194.259345,-161.520883,-13.223443,-2.686203,-6.593407,9.523810,2.686203,7.081807,-9.035409,0.209402,3.589744,0
0.012500,-95.375826,197.265938,-131.789014,12.945055,0.732601,-8.547009,8.058608,-0.732601,8.547009,-7.081807,-0.278999,3.599512,0
0.013542,-176.887916,172.210993,-72.659342,27.978022,4.151404,-9.523810,5.128205,-3.663004,9.035409,-4.639805,0.209402,3.570208,0
0.014584,-199.604400,152.501102,26.892308,8.769231,7.570208,-9.035409,1.709402,-7.081807,9.035409,-1.221001,0.209402,3.570208,0
0.015625,-191.252752,112.747255,121.098904,-13.501832,9.035409,-7.081807,-1.709402,-8.547009,6.593407,2.197802,0.209402,3.599512,0
0.016667,-164.861542,45.934067,190.918686,-23.245421,10.012210,-3.663004,-5.616606,-9.035409,3.663004,6.105006,-0.278999,3.628816,0
0.017709,-144.149454,-61.969232,199.270334,4.315018,9.035409,-0.244200,-8.058608,-8.058608,0.244200,8.547009,-0.767399,3.589744,0
0.018750,-96.378024,-150.496707,182.232971,24.915751,6.105006,3.174603,-9.523810,-6.105006,-3.174603,9.035409,-0.278999,3.609280,0
0.019792,-12.193407,-196.263741,159.516487,17.399267,2.686203,7.081807,-9.523810,-2.197802,-6.593407,9.523810,-0.278999,3.619048,0
0.020834,93.705497,-198.602202,129.784618,-7.655678,-0.732601,8.547009,-7.570208,1.221001,-8.547009,7.570208,-0.278999,3.589744,0
0.021875,174.549454,-173.547257,70.320881,-23.245421,-4.151404,9.523810,-5.128205,4.151404,-9.035409,5.128205,-0.278999,3.579976,0
0.022917,197.600004,-153.837366,-28.896704,-2.923077,-7.570208,9.035409,-1.221001,7.081807,-8.547009,1.221001,-0.278999,3.570208,0
0.023958,190.918686,-114.751651,-125.107695,17.956044,-9.035409,7.081807,2.197802,9.035409,-6.593407,-2.197802,-0.278999,3.589744,0
0.025001,162.857146,-47.604397,-193.257147,27.699634,-9.523810,4.151404,5.616606,9.523810,-3.663004,-5.616606,-0.278999,3.589744,0
0.026042,141.810992,60.967034,-202.276928,1.809524,-8.547009,0.732601,8.547009,8.547009,0.244200,-8.058608,-0.278999,3.589744,0
0.027083,94.039563,148.492311,-185.239565,-20.739927,-6.105006,-3.174603,9.523810,6.105006,3.663004,-9.035409,-0.278999,3.599512,0
0.028126,10.189011,194.259345,-161.520883,-8.769231,-2.686203,-6.593407,9.523810,3.174603,7.081807,-9.035409,-0.278999,3.589744,0
0.029167,-95.709892,196.931873,-131.454948,13.223443,0.732601,-8.547009,8.058608,-0.244200,8.547009,-7.570208,-0.278999,3.619048,0
0.030209,-176.887916,171.876927,-71.657144,28.813187,4.639805,-9.523810,5.128205,-4.151404,9.523810,-4.151404,-0.278999,3.570208,0
0.031250,-198.936268,151.832970,27.560440,9.326007,7.570208,-9.035409,1.709402,-7.081807,9.035409,-1.221001,-0.278999,3.570208,0
