1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,171.876927,-23.885715,-204.281323,22.410256,-8.547009,6.105006,2.686203,8.547009,-5.616606,-2.197802,0.209402,4.224664,0
0.001042,125.775827,74.997804,-223.323082,5.150183,-9.035409,3.663004,5.616606,9.035409,-3.174603,-5.616606,-0.278999,4.185592,0
0.002083,69.318683,163.525278,-199.604400,-11.274725,-7.570208,0.244200,8.058608,8.058608,0.244200,-7.570208,0.209402,4.214896,0
0.003126,-5.512088,221.318686,-156.843960,-18.791209,-5.616606,-3.663004,10.012210,5.616606,3.663004,-8.547009,0.209402,4.185592,0
0.004167,-108.070332,213.635170,-114.751651,7.934066,-2.197802,-6.105006,9.035409,2.686203,6.105006,-8.547009,0.209402,4.195360,0
0.005208,-184.905499,184.237367,-47.270331,19.347985,1.221001,-8.058608,7.081807,-0.732601,8.058608,-6.593407,0.209402,4.205128,0
0.006250,-228.668137,139.472531,44.931869,16.564103,4.639805,-9.035409,4.639805,-4.151404,9.523810,-4.151404,0.209402,4.195360,0
0.007292,-210.962642,91.032969,137.468135,-5.150183,7.570208,-8.058608,1.221001,-7.081807,8.547009,-0.732601,-0.278999,4.205128,0
0.008333,-173.213191,22.549451,200.606598,-16.007326,8.547009,-6.105006,-2.197802,-8.547009,6.593407,2.686203,-0.278999,4.195360,0
0.009375,-127.446157,-76.334068,221.318686,1.531136,9.035409,-3.663004,-5.616606,-8.547009,3.174603,6.105006,-0.278999,4.205128,0
0.010417,-71.323079,-164.861542,196.931873,17.120879,8.058608,0.244200,-8.058608,-7.570208,0.244200,8.058608,0.209402,4.214896,0
0.011458,3.507692,-222.989016,154.839564,24.080586,5.616606,3.663004,-9.035409,-5.128205,-3.663004,9.035409,-0.278999,4.185592,0
0.012500,106.065936,-215.305499,112.413189,-1.531136,2.686203,6.593407,-9.035409,-2.197802,-6.105006,8.547009,0.209402,4.195360,0
0.013542,182.567037,-185.907696,44.597803,-13.501832,-0.732601,8.058608,-7.081807,1.221001,-8.058608,7.081807,0.209402,4.205128,0
0.014584,225.995609,-141.142860,-47.270331,-10.717949,-4.639805,9.035409,-4.151404,4.639805,-9.035409,4.151404,-0.278999,4.195360,0
0.015625,208.624180,-93.705497,-140.474728,12.109890,-7.081807,8.547009,-1.221001,7.081807,-8.058608,0.732601,-0.278999,4.205128,0
0.016667,172.545059,-24.553847,-201.942862,22.688645,-8.547009,6.105006,2.197802,8.547009,-5.616606,-2.197802,-0.278999,4.205128,0
0.017708,126.109893,74.663738,-223.991214,8.769231,-9.035409,3.174603,6.105006,9.035409,-3.174603,-5.616606,-0.278999,4.195360,0
0.018751,69.318683,163.525278,-198.602202,-11.553114,-7.570208,0.244200,8.058608,8.058608,0.244200,-7.570208,-0.278999,4.234432,0
0.019793,-5.512088,221.318686,-156.843960,-17.677656,-5.128205,-3.663004,9.035409,5.616606,3.663004,-8.547009,0.209402,4.224664,0
0.020833,-107.736266,213.969236,-115.085717,7.655678,-2.686203,-6.105006,9.035409,2.686203,6.593407,-8.547009,0.209402,4.205128,0
0.021875,-184.237367,184.237367,-46.936265,19.347985,1.221001,-8.058608,7.570208,0.244200,8.058608,-6.593407,0.209402,4.205128,0
0.022918,-227.665939,139.472531,44.931869,16.285714,4.639805,-9.035409,4.639805,-4.639805,9.035409,-3.663004,0.209402,4.195360,0
0.023959,-210.962642,91.701101,138.136267,-6.263736,7.570208,-8.058608,1.709402,-7.081807,8.058608,-0.244200,0.209402,4.195360,0
0.025000,-174.883520,22.883517,201.942862,-17.956044,8.547009,-6.105006,-2.197802,-8.058608,6.105006,2.686203,0.697802,4.195360,0
0.026042,-128.448355,-76.334068,221.652752,-1.809524,9.523810,-3.174603,-5.616606,-9.035409,3.663004,5.616606,0.209402,4.185592,0
0.027084,-71.323079,-165.195608,196.931873,16.842491,8.058608,0.244200,-7.570208,-7.570208,0.244200,8.058608,-0.278999,4.214896,0
0.028125,3.173626,-222.989016,155.507696,24.080586,5.616606,3.663004,-8.547009,-5.128205,-3.174603,9.035409,-0.278999,4.195360,0
0.029166,105.397805,-215.305499,112.413189,1.531136,2.686203,6.593407,-8.547009,-2.197802,-6.105006,8.547009,0.209402,4.214896,0
0.030208,182.232971,-186.241762,44.931869,-14.336996,-0.732601,8.547009,-7.081807,0.732601,-8.058608,7.081807,0.209402,4.205128,0
0.031250,225.995609,-141.476926,-46.936265,-10.996337,-4.639805,9.523810,-4.639805,4.639805,-8.547009,4.639805,-0.278999,4.195360,0
0.032292,209.292312,-93.371431,-140.140662,11.274725,-7.081807,8.547009,-0.732601,7.081807,-8.058608,1.221001,0.209402,4.205128,0
0.033333,172.210993,-24.553847,-203.947257,22.131868,-8.547009,6.593407,2.686203,8.547009,-6.105006,-2.686203,0.209402,4.185592,0
0.034375,126.109893,74.663738,-223.323082,7.655678,-9.035409,3.174603,5.616606,9.035409,-3.174603,-5.616606,0.209402,4.185592,0
0.035417,69.652749,163.191212,-198.936268,-10.996337,-8.058608,0.244200,8.547009,8.058608,0.244200,-7.570208,0.209402,4.205128,0
0.036459,-6.514286,220.650554,-157.512091,-19.069597,-5.128205,-3.663004,9.035409,5.616606,3.663004,-9.035409,-0.278999,4.195360,0
0.037500,-107.736266,213.969236,-115.419783,6.820513,-2.197802,-6.105006,9.035409,2.686203,6.593407,-8.058608,-0.278999,4.224664,0
0.038542,-184.237367,184.237367,-46.936265,23.523810,1.221001,-8.058608,7.570208,-0.732601,8.058608,-6.593407,-0.278999,4.205128,0
0.039583,-228.000005,139.472531,45.600001,16.007326,5.128205,-9.035409,4.639805,-4.639805,9.523810,-4.151404,-0.278999,4.224664,0
0.040625,-210.962642,91.367035,137.802201,-5.706960,7.081807,-8.058608,1.221001,-7.081807,8.547009,-0.732601,0.209402,4.205128,0
0.041667,-173.881323,22.883517,201.608796,-17.120879,9.035409,-6.105006,-2.197802,-8.058608,6.105006,2.686203,0.209402,4.195360,0
0.042709,-127.780223,-76.000002,221.652752,-3.479853,9.035409,-3.174603,-5.616606,-9.035409,3.174603,5.616606,-0.278999,4.195360,0
0.043750,-71.657144,-164.193410,197.600004,17.120879,8.058608,0.244200,-7.570208,-7.570208,0.244200,8.058608,-0.278999,4.214896,0
0.044792,2.505495,-222.989016,155.173630,24.637363,5.616606,3.663004,-9.035409,-5.128205,-3.174603,9.035409,0.209402,4.185592,0
0.045833,106.065936,-215.973631,112.079123,-0.695971,2.686203,6.593407,-8.547009,-2.686203,-6.105006,8.547009,0.209402,4.195360,0
0.046876,182.567037,-186.575828,44.597803,-14.058608,-0.732601,8.547009,-7.081807,1.221001,-8.058608,7.081807,0.209402,4.205128,0
0.047917,225.995609,-141.476926,-48.606594,-12.109890,-4.639805,9.523810,-4.151404,4.639805,-9.035409,4.151404,-0.278999,4.205128,0
0.048958,208.958246,-93.705497,-139.806597,11.831502,-7.081807,8.547009,-1.221001,7.081807,-8.058608,1.221001,0.209402,4.224664,0
0.050000,172.210993,-24.553847,-203.613191,20.739927,-8.547009,6.105006,2.197802,8.547009,-6.105006,-2.197802,0.209402,4.195360,0
0.051042,126.443959,73.661540,-223.323082,8.212454,-9.035409,3.663004,5.616606,9.035409,-3.174603,-5.616606,-0.278999,4.195360,0
0.052083,70.320881,162.523081,-199.604400,-11.274725,-8.058608,0.244200,8.058608,8.058608,0.244200,-7.570208,0.209402,4.205128,0
0.053125,-4.509890,220.650554,-157.846157,-18.791209,-5.616606,-3.174603,9.035409,5.616606,3.663004,-9.035409,0.209402,4.195360,0
0.054167,-107.402200,213.969236,-115.085717,6.263736,-2.686203,-6.105006,9.035409,2.686203,6.105006,-8.547009,0.209402,4.195360,0
0.055209,-184.237367,184.571433,-46.602199,19.347985,1.221001,-8.058608,7.081807,-0.732601,8.058608,-6.593407,0.209402,4.205128,0
0.056250,-228.000005,139.472531,43.595605,16.564103,4.639805,-9.035409,4.639805,-4.151404,9.035409,-3.663004,0.209402,4.195360,0
0.057292,-210.962642,92.035167,137.468135,-4.871795,7.081807,-8.058608,1.709402,-6.593407,8.547009,-0.732601,-0.278999,4.224664,0
0.058334,-173.881323,23.217583,201.608796,-17.120879,9.035409,-6.105006,-2.197802,-8.547009,6.105006,2.686203,-0.278999,4.195360,0
0.059375,-128.114289,-75.665936,221.318686,-2.923077,9.035409,-3.174603,-5.616606,-9.035409,3.174603,6.105006,0.209402,4.224664,0
0.060417,-71.991210,-164.193410,197.600004,16.842491,8.058608,0.244200,-8.058608,-8.058608,-0.244200,8.058608,0.209402,4.214896,0
0.061459,2.839561,-222.654950,155.173630,24.637363,5.616606,3.663004,-9.035409,-5.128205,-3.663004,9.035409,-0.278999,4.185592,0
0.062500,105.063739,-215.639565,112.747255,-1.252747,2.686203,6.593407,-8.058608,-2.686203,-6.105006,8.547009,-0.278999,4.195360,0
