1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-169.538465,16.870330,209.292312,-24.080586,9.035409,-5.616606,-2.686203,-8.547009,6.105006,3.174603,0.697802,4.224664,0
0.001042,-125.775827,-85.687914,219.648357,1.531136,9.523810,-2.686203,-5.616606,-8.547009,3.174603,6.105006,0.209402,4.234432,0
0.002084,-66.312089,-170.540663,194.593411,17.677656,8.058608,0.732601,-7.570208,-7.081807,-0.244200,8.547009,0.697802,4.253968,0
0.003125,12.861539,-226.997807,150.496707,22.967033,5.616606,4.639805,-8.547009,-4.639805,-3.663004,9.523810,0.209402,4.224664,0
0.004167,116.087915,-213.301104,109.072530,-3.201465,2.686203,7.081807,-8.547009,-1.709402,-6.105006,9.035409,0.697802,4.234432,0
0.005209,188.914290,-182.901103,38.918682,-14.058608,-0.732601,9.035409,-6.593407,1.709402,-7.570208,7.081807,0.697802,4.244200,0
0.006250,224.993412,-139.472531,-56.290111,-7.377289,-4.639805,9.523810,-3.663004,5.616606,-8.547009,3.663004,0.209402,4.244200,0
0.007291,206.619785,-88.360442,-148.492311,14.615385,-7.081807,8.547009,-0.244200,7.570208,-8.058608,1.221001,0.209402,4.253968,0
0.008333,168.202202,-17.538462,-210.294510,23.802198,-8.547009,6.105006,3.174603,9.035409,-5.616606,-2.686203,0.209402,4.234432,0
0.009376,124.773629,84.351650,-220.984620,4.315018,-8.547009,3.663004,6.105006,9.523810,-2.686203,-5.616606,0.697802,4.244200,0
0.010416,65.978023,168.536267,-196.263741,-11.831502,-7.570208,-0.244200,8.547009,8.058608,0.732601,-7.570208,0.209402,4.253968,0
0.011458,-14.197803,225.327478,-152.501102,-17.399267,-4.639805,-3.663004,9.523810,5.616606,4.639805,-8.547009,0.697802,4.234432,0
0.012500,-117.424178,212.298906,-110.408794,8.490842,-1.709402,-6.593407,9.035409,2.686203,7.081807,-8.058608,0.209402,4.234432,0
0.013542,-189.916488,181.564839,-40.589012,21.018315,1.709402,-8.058608,7.081807,-1.221001,9.035409,-6.105006,0.697802,4.244200,0
0.014584,-226.329675,137.802201,55.287913,13.780220,5.616606,-9.035409,4.639805,-4.639805,9.035409,-3.174603,0.697802,4.244200,0
0.015625,-207.956049,86.690112,146.821981,-8.212454,8.058608,-8.058608,1.221001,-7.081807,8.547009,0.244200,0.697802,4.253968,0
0.016667,-169.538465,16.536264,209.292312,-18.234432,9.523810,-5.616606,-2.197802,-8.547009,6.105006,3.174603,0.209402,4.224664,0
0.017708,-125.775827,-85.687914,219.314291,2.087912,9.523810,-2.197802,-5.616606,-8.547009,3.663004,6.105006,0.697802,4.234432,0
0.018750,-66.646155,-170.206597,194.927477,18.234432,8.058608,0.732601,-7.570208,-7.570208,-0.244200,8.058608,0.697802,4.253968,0
