1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,223.323082,-127.446157,-78.338463,-2.644689,-5.616606,9.035409,-3.663004,5.616606,-8.547009,2.686203,-0.278999,4.205128,0
0.001041,197.934070,-70.989013,-165.863740,17.399267,-7.570208,8.058608,-0.244200,7.570208,-7.570208,-0.244200,0.209402,4.214896,0
0.002082,155.841762,4.175824,-222.654950,23.802198,-9.035409,5.128205,4.151404,9.035409,-4.639805,-3.663004,-0.278999,4.185592,0
0.003124,113.749453,105.731870,-215.973631,-1.252747,-8.547009,2.197802,6.593407,9.035409,-2.197802,-6.593407,-0.767399,4.205128,0
0.004167,48.272529,181.898905,-187.243960,-14.058608,-7.081807,-1.221001,8.547009,7.081807,1.221001,-8.058608,-0.278999,4.234432,0
0.005207,-41.925276,226.663741,-142.813190,-10.439560,-4.151404,-4.639805,9.523810,4.639805,4.639805,-9.035409,-0.278999,4.244200,0
0.006249,-136.465937,208.624180,-93.371431,8.769231,-1.221001,-7.081807,8.547009,1.221001,7.081807,-8.058608,0.209402,4.205128,0
0.007291,-201.942862,171.542861,-23.217583,21.853480,2.197802,-8.547009,6.593407,-2.197802,8.058608,-5.616606,0.209402,4.195360,0
0.008333,-224.659346,125.441761,75.665936,8.490842,5.616606,-9.035409,3.663004,-5.128205,9.035409,-3.174603,0.209402,4.205128,0
0.009374,-200.272532,69.652749,163.191212,-11.274725,7.570208,-7.570208,0.244200,-7.570208,7.570208,0.244200,0.209402,4.205128,0
0.010416,-158.514289,-5.846154,220.650554,-18.791209,9.035409,-5.128205,-3.663004,-8.547009,5.128205,3.663004,0.209402,4.175824,0
0.011458,-115.753849,-108.070332,214.637367,7.655678,9.035409,-2.197802,-6.105006,-8.547009,2.686203,6.593407,0.209402,4.195360,0
0.012499,-50.276924,-184.237367,184.905499,20.739927,7.081807,1.221001,-8.058608,-7.081807,-0.732601,8.058608,0.209402,4.214896,0
0.013541,39.920880,-228.000005,140.140662,17.399267,4.639805,4.639805,-9.035409,-4.151404,-4.151404,9.035409,-0.278999,4.234432,0
0.014582,134.795607,-210.294510,91.032969,-4.871795,1.221001,7.570208,-8.547009,-1.221001,-7.081807,8.058608,-0.767399,4.214896,0
0.015625,200.272532,-172.879125,21.213187,-16.564103,-1.709402,8.547009,-6.105006,2.197802,-8.547009,6.105006,0.209402,4.234432,0
0.016666,222.989016,-127.780223,-77.336265,-3.758242,-5.616606,9.035409,-3.174603,5.616606,-9.035409,3.663004,-0.278999,4.214896,0
0.017707,198.268136,-71.323079,-165.529674,16.842491,-7.570208,7.570208,0.244200,7.570208,-7.570208,0.244200,-0.278999,4.214896,0
0.018749,156.509894,4.509890,-222.989016,24.915751,-8.547009,5.128205,3.663004,8.547009,-5.128205,-3.663004,0.209402,4.175824,0
0.019791,114.083519,105.731870,-215.973631,-0.695971,-9.035409,2.686203,7.081807,8.547009,-2.197802,-6.105006,0.209402,4.195360,0
0.020832,48.606594,181.564839,-187.243960,-14.615385,-7.081807,-1.221001,8.547009,7.081807,1.221001,-8.547009,0.209402,4.214896,0
0.021874,-41.925276,226.329675,-143.481322,-10.996337,-4.639805,-4.151404,9.035409,4.639805,4.639805,-8.547009,0.209402,4.205128,0
0.022916,-136.131871,207.621983,-94.039563,11.831502,-1.221001,-7.081807,8.547009,1.709402,7.081807,-8.058608,-0.767399,4.205128,0
0.023958,-201.942862,171.542861,-23.551649,22.131868,2.686203,-8.547009,6.593407,-2.197802,8.547009,-5.616606,-0.278999,4.205128,0
0.024999,-224.659346,125.775827,74.997804,9.604396,5.616606,-9.035409,3.174603,-5.128205,9.035409,-3.174603,0.209402,4.234432,0
0.026041,-200.272532,69.652749,163.191212,-12.388278,8.058608,-8.058608,0.244200,-7.570208,7.570208,0.244200,-0.278999,4.205128,0
0.027083,-158.180223,-5.846154,220.984620,-18.234432,9.035409,-5.128205,-4.151404,-9.035409,5.128205,4.151404,0.209402,4.185592,0
0.028125,-115.419783,-107.402200,214.303301,7.377289,9.035409,-2.197802,-6.593407,-8.547009,2.686203,6.593407,0.209402,4.205128,0
0.029166,-50.610990,-183.235169,184.905499,20.461538,7.570208,1.221001,-8.547009,-7.081807,-1.221001,8.547009,-0.278999,4.214896,0
0.030207,38.918682,-228.334071,140.474728,16.285714,4.639805,4.639805,-9.035409,-4.639805,-4.639805,9.035409,0.209402,4.195360,0
0.031249,133.793410,-212.967038,91.701101,-5.985348,1.709402,7.570208,-8.547009,-1.221001,-7.081807,8.058608,0.209402,4.205128,0
0.032291,200.272532,-173.547257,21.881319,-16.564103,-2.197802,8.547009,-6.105006,2.197802,-8.058608,6.105006,-0.278999,4.205128,0
0.033332,222.989016,-127.780223,-76.668134,-2.644689,-5.616606,9.035409,-3.663004,5.128205,-8.547009,3.174603,-0.278999,4.263736,0
0.034374,198.602202,-71.991210,-164.861542,16.842491,-7.570208,8.058608,-0.244200,7.570208,-7.570208,0.244200,-1.744200,4.224664,0
0.035416,156.843960,4.175824,-222.654950,24.637363,-9.035409,5.128205,3.663004,9.035409,-5.128205,-3.663004,-0.278999,4.175824,0
0.036459,114.083519,105.397805,-215.973631,-2.923077,-8.547009,2.686203,6.593407,8.547009,-1.709402,-6.105006,0.209402,4.195360,0
0.037499,49.274726,181.564839,-186.909894,-14.893773,-7.081807,-1.221001,8.547009,7.081807,1.221001,-8.058608,-0.278999,4.214896,0
0.038541,-41.257144,226.663741,-142.813190,-11.274725,-4.639805,-4.639805,9.035409,4.639805,4.639805,-9.035409,0.209402,4.205128,0
0.039583,-135.797805,208.624180,-93.371431,11.274725,-1.221001,-7.081807,8.547009,1.709402,7.570208,-8.058608,-0.278999,4.195360,0
0.040624,-201.942862,171.542861,-23.885715,21.296703,2.197802,-8.547009,6.593407,-2.197802,8.058608,-6.105006,0.209402,4.195360,0
0.041667,-225.327478,125.441761,74.329672,9.326007,5.616606,-9.035409,3.663004,-5.128205,9.035409,-2.686203,0.209402,4.205128,0
0.042708,-200.606598,71.991210,162.189015,-9.047619,8.058608,-8.058608,0.244200,-7.081807,7.570208,0.244200,-5.163004,4.224664,0
0.043749,-158.514289,-5.512088,220.316488,-16.007326,9.035409,-5.616606,-3.663004,-8.547009,5.128205,4.151404,-0.278999,4.195360,0
0.044791,-115.419783,-106.734068,214.637367,6.542125,9.035409,-2.197802,-6.105006,-8.547009,2.197802,6.593407,2.651404,4.214896,0
0.045832,-50.945056,-182.567037,185.573631,21.575092,7.570208,1.709402,-8.547009,-7.081807,-1.221001,8.058608,-0.278999,4.224664,0
0.046883,41.925276,-228.000005,140.140662,16.285714,5.128205,5.128205,-9.035409,-4.151404,-4.639805,9.035409,0.209402,4.273504,0
0.047925,135.797805,-210.294510,90.030771,-5.706960,1.221001,7.081807,-8.547009,-1.221001,-7.081807,8.058608,-0.278999,4.205128,0
0.048965,200.940664,-172.545059,21.213187,-17.120879,-2.197802,8.547009,-6.105006,2.197802,-7.570208,6.105006,0.209402,4.205128,0
0.050011,222.654950,-127.112091,-78.672529,-3.758242,-5.616606,9.035409,-3.174603,5.128205,-9.035409,3.174603,-0.278999,4.205128,0
0.051047,197.600004,-70.989013,-165.863740,17.120879,-7.570208,8.058608,-0.244200,7.570208,-7.570208,-0.244200,0.209402,4.214896,0
0.052084,157.178025,3.173626,-222.320884,24.358974,-9.035409,5.616606,4.151404,9.035409,-5.128205,-3.663004,0.209402,4.185592,0
0.053124,114.083519,104.729673,-216.975829,-0.139194,-9.035409,2.686203,6.593407,9.035409,-2.197802,-6.105006,-0.278999,4.195360,0
