1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,105.397805,-168.202202,103.727475,-12.109890,-7.081807,8.058608,-0.244200,7.081807,-7.570208,0.732601,-0.767399,2.183150,0
0.001041,140.474728,-169.204399,18.540660,4.593407,-8.058608,6.105006,2.686203,8.547009,-5.616606,-2.197802,-0.767399,2.192918,0
0.002083,158.848355,-146.487915,-68.984617,18.512821,-8.547009,3.174603,5.616606,8.547009,-2.686203,-5.616606,0.209402,2.202686,0
0.003124,169.538465,-80.676925,-121.098904,10.717949,-7.570208,-0.244200,7.570208,7.081807,0.732601,-7.570208,-0.767399,2.183150,0
0.004166,163.525278,4.509890,-146.821981,-6.542125,-5.128205,-3.663004,8.547009,4.639805,3.663004,-8.547009,-0.278999,2.192918,0
0.005208,131.454948,91.367035,-161.854949,-18.234432,-2.197802,-6.593407,8.547009,2.197802,6.593407,-7.570208,-0.278999,2.192918,0
0.006249,52.281320,134.795607,-170.874729,-4.036630,1.221001,-8.058608,7.081807,-1.221001,8.058608,-6.105006,-0.278999,2.192918,0
0.007291,-33.907693,153.503300,-159.850553,14.615385,4.639805,-8.547009,4.151404,-4.151404,8.547009,-3.663004,-0.278999,2.183150,0
0.008333,-106.400002,166.865938,-105.397805,15.172161,7.081807,-7.570208,1.221001,-7.081807,8.058608,-0.244200,-0.278999,2.183150,0
0.009374,-142.145058,167.534070,-20.879121,-1.531136,8.547009,-5.616606,-2.197802,-8.058608,5.616606,2.686203,-0.278999,2.183150,0
0.010416,-159.516487,144.483520,66.980221,-15.450549,8.547009,-2.686203,-5.616606,-8.547009,3.174603,6.105006,-0.278999,2.192918,0
0.011464,-170.540663,78.004397,120.430772,-7.934066,7.570208,0.732601,-7.570208,-7.081807,-0.244200,7.570208,-0.278999,2.192918,0
0.012508,-164.527476,-7.182418,145.485718,11.553114,5.616606,3.663004,-8.547009,-4.639805,-3.663004,8.547009,-0.767399,2.183150,0
0.013542,-132.457146,-92.703299,160.184619,22.967033,2.197802,6.593407,-8.058608,-1.709402,-6.105006,8.547009,-0.278999,2.202686,0
0.014583,-53.283518,-135.797805,169.204399,7.377289,-1.221001,8.058608,-7.081807,1.221001,-8.058608,6.593407,-0.278999,2.202686,0
0.015626,33.907693,-154.839564,158.180223,-11.553114,-4.639805,8.547009,-3.663004,5.128205,-8.547009,4.151404,-0.767399,2.183150,0
0.016669,105.397805,-167.868136,103.059343,-12.388278,-7.081807,8.058608,-0.732601,6.593407,-7.570208,0.732601,-0.278999,2.173382,0
0.017711,140.808794,-168.870333,17.872528,4.871795,-8.058608,6.105006,2.686203,8.547009,-5.616606,-2.686203,-0.278999,2.183150,0
0.018759,158.848355,-145.485718,-71.991210,20.461538,-8.547009,3.174603,6.105006,8.547009,-2.686203,-5.616606,-0.278999,2.183150,0
0.019798,169.538465,-78.338463,-122.435168,11.274725,-7.570208,0.244200,7.570208,7.081807,0.244200,-7.570208,-0.767399,2.183150,0
0.020839,162.857146,5.846154,-147.490113,-5.985348,-5.128205,-3.174603,8.547009,5.128205,4.151404,-8.058608,0.209402,2.202686,0
0.021875,131.120882,91.701101,-162.189015,-17.956044,-2.197802,-6.105006,8.547009,2.197802,6.593407,-8.058608,-2.232601,2.202686,0
0.022916,52.281320,135.129673,-170.874729,-4.871795,1.709402,-8.058608,7.081807,-1.221001,8.547009,-6.105006,-0.767399,2.231990,0
0.023958,-34.909891,153.837366,-159.850553,15.450549,4.639805,-8.547009,4.151404,-4.639805,9.035409,-3.663004,-0.278999,2.192918,0
0.024999,-106.734068,166.865938,-105.063739,16.285714,7.570208,-8.058608,0.732601,-7.081807,7.570208,-0.244200,-0.767399,2.173382,0
0.026041,-141.810992,167.868136,-19.876924,-0.974359,8.547009,-5.616606,-2.686203,-8.058608,5.616606,3.174603,-0.278999,2.183150,0
0.027083,-159.516487,144.817586,68.984617,-16.007326,9.035409,-2.686203,-5.616606,-8.547009,3.174603,5.616606,-0.278999,2.183150,0
0.028125,-170.540663,78.672529,120.430772,-7.377289,7.570208,0.244200,-7.570208,-7.081807,-0.244200,8.058608,-0.278999,2.183150,0
0.029166,-164.527476,-6.180220,145.485718,9.882784,5.128205,3.663004,-8.547009,-4.639805,-3.663004,9.035409,-0.278999,2.192918,0
0.030207,-132.123080,-93.371431,160.184619,22.688645,2.197802,6.593407,-8.058608,-1.709402,-6.105006,8.058608,-0.767399,2.212454,0
0.031250,-52.949452,-136.465937,169.204399,7.655678,-1.221001,8.547009,-6.593407,1.221001,-8.058608,7.081807,-0.767399,2.212454,0
0.032291,34.241759,-155.173630,158.180223,-11.274725,-4.151404,9.035409,-4.151404,5.128205,-8.547009,3.663004,-0.767399,2.231990,0
0.033332,105.397805,-168.202202,103.059343,-13.501832,-7.081807,7.570208,-0.244200,7.081807,-7.570208,0.732601,-0.278999,2.183150,0
0.034374,140.474728,-168.870333,18.206594,5.706960,-8.547009,6.105006,2.686203,8.547009,-5.616606,-2.686203,-0.767399,2.183150,0
0.035416,158.848355,-146.153849,-69.652749,19.626374,-8.547009,3.174603,6.105006,8.547009,-2.686203,-5.616606,-0.278999,2.192918,0
0.036458,169.872531,-79.674727,-122.101102,11.553114,-7.081807,-0.244200,7.570208,7.570208,0.732601,-7.570208,-0.278999,2.183150,0
0.037499,163.191212,5.512088,-147.490113,-6.820513,-4.639805,-3.174603,9.035409,5.128205,3.663004,-8.547009,-0.278999,2.192918,0
0.038541,130.452750,89.362639,-162.189015,-18.234432,-2.197802,-6.105006,8.547009,2.197802,6.593407,-8.058608,-0.278999,2.192918,0
0.039583,51.613188,135.129673,-170.540663,-4.593407,1.221001,-8.058608,7.081807,-1.221001,8.058608,-6.593407,-0.278999,2.192918,0
0.040624,-35.243957,153.837366,-159.516487,16.007326,4.639805,-8.547009,4.151404,-4.151404,8.547009,-3.174603,-0.278999,2.144078,0
0.041666,-106.734068,166.865938,-104.395607,15.450549,7.081807,-7.570208,0.732601,-6.593407,8.058608,-0.244200,-0.767399,2.192918,0
0.042707,-141.810992,167.200004,-19.876924,-1.531136,8.547009,-5.616606,-2.686203,-8.058608,5.616606,2.686203,-0.278999,2.183150,0
0.043751,-159.850553,144.817586,69.318683,-16.564103,9.035409,-2.686203,-5.616606,-8.058608,3.174603,6.105006,-0.767399,2.183150,0
0.044791,-170.540663,78.672529,120.430772,-7.934066,7.570208,0.244200,-7.570208,-7.081807,-0.244200,7.570208,-0.278999,2.183150,0
0.045832,-164.861542,-6.180220,145.485718,10.439560,5.128205,3.663004,-8.547009,-4.639805,-3.174603,8.547009,-0.278999,2.192918,0
0.046876,-131.454948,-93.371431,160.852751,21.018315,2.686203,6.593407,-8.058608,-1.709402,-6.593407,8.058608,-0.278999,2.192918,0
0.047917,-52.615386,-136.465937,169.204399,7.377289,-1.221001,8.547009,-6.593407,1.709402,-8.058608,6.593407,-0.278999,2.202686,0
0.048957,34.575825,-155.507696,157.846157,-11.274725,-4.151404,9.035409,-3.663004,4.639805,-8.058608,3.663004,-0.278999,2.192918,0
0.049999,105.397805,-168.202202,102.391211,-12.109890,-7.081807,8.058608,-0.244200,7.081807,-7.081807,0.732601,-0.767399,2.192918,0
0.051041,140.474728,-168.536267,17.538462,4.871795,-8.058608,6.105006,2.686203,8.547009,-5.616606,-2.686203,-0.767399,2.192918,0
0.052083,158.848355,-146.153849,-69.986815,19.626374,-9.035409,3.663004,5.616606,9.035409,-3.174603,-5.616606,-0.767399,2.173382,0
0.053124,169.538465,-79.340661,-122.435168,11.553114,-7.081807,-0.244200,7.570208,7.081807,0.732601,-7.570208,-0.767399,2.183150,0
0.054166,163.191212,5.512088,-147.156047,-7.098901,-5.616606,-3.663004,9.035409,5.128205,3.663004,-8.547009,-0.278999,2.192918,0
0.055208,130.452750,92.035167,-162.189015,-17.120879,-1.709402,-6.105006,8.547009,2.197802,6.593407,-8.058608,-0.278999,2.192918,0
0.056249,51.613188,135.463739,-170.540663,-4.036630,1.709402,-8.058608,7.081807,-1.221001,8.058608,-6.593407,-0.278999,2.192918,0
0.057291,-35.578023,153.837366,-159.516487,14.893773,4.639805,-8.547009,4.151404,-4.639805,9.035409,-3.663004,-0.278999,2.183150,0
0.058332,-107.402200,166.531872,-105.063739,14.615385,7.570208,-7.570208,0.732601,-6.593407,7.570208,-0.244200,-0.278999,2.183150,0
0.059374,-142.813190,167.534070,-19.542858,-1.252747,8.547009,-5.616606,-2.686203,-8.058608,6.105006,2.686203,-0.278999,2.192918,0
0.060416,-159.850553,144.483520,69.652749,-15.172161,9.035409,-2.686203,-5.128205,-8.547009,3.174603,6.105006,-0.767399,2.173382,0
0.061457,-170.540663,78.338463,120.764838,-8.212454,7.570208,0.244200,-7.570208,-7.081807,-0.244200,8.058608,-0.767399,2.222222,0
0.062499,-164.527476,-6.848352,145.819783,11.274725,5.616606,3.663004,-8.547009,-4.639805,-3.663004,8.547009,-0.278999,2.192918,0
0.063541,-131.454948,-93.371431,160.852751,20.183150,2.197802,6.593407,-8.058608,-1.709402,-6.105006,8.547009,-0.767399,2.192918,0
0.064583,-51.947254,-136.800003,168.870333,7.655678,-1.221001,8.058608,-6.593407,1.221001,-8.058608,6.593407,-0.278999,2.202686,0
0.065624,34.909891,-155.173630,157.846157,-11.831502,-4.151404,9.035409,-3.663004,5.128205,-8.547009,3.663004,-0.767399,2.192918,0
0.066666,105.063739,-167.868136,102.725277,-12.109890,-6.593407,8.058608,-0.732601,7.081807,-7.570208,0.244200,-0.278999,2.173382,0
0.067708,140.474728,-168.536267,16.536264,4.036630,-8.058608,6.105006,2.686203,8.547009,-5.128205,-2.686203,-0.278999,2.183150,0
0.068749,160.518685,-146.153849,-70.989013,20.183150,-8.547009,3.174603,6.105006,8.547009,-2.686203,-5.616606,-0.767399,2.192918,0
0.069791,169.538465,-79.340661,-122.769234,10.996337,-7.081807,-0.244200,8.058608,7.081807,0.732601,-7.570208,-0.767399,2.192918,0
0.070832,163.191212,5.846154,-147.156047,-6.542125,-5.128205,-3.174603,8.547009,5.128205,3.663004,-8.547009,-2.721001,2.212454,0
0.071875,130.118684,92.369233,-162.523081,-17.399267,-2.197802,-6.105006,8.547009,2.197802,7.081807,-8.058608,-0.767399,2.222222,0
0.072916,50.610990,135.797805,-170.206597,-4.593407,1.221001,-8.058608,7.081807,-1.221001,8.547009,-6.105006,-0.278999,2.192918,0
0.073957,-36.246155,154.171432,-159.182421,15.172161,4.639805,-8.547009,4.151404,-3.174603,8.547009,-3.663004,-0.278999,2.192918,0
0.074999,-107.068134,166.865938,-103.727475,16.285714,7.570208,-7.570208,0.732601,-7.081807,8.058608,-0.244200,-0.278999,2.173382,0
0.076041,-141.810992,167.534070,-18.206594,-1.809524,8.547009,-5.616606,-2.197802,-8.547009,5.616606,2.686203,-0.278999,2.183150,0
0.077082,-160.184619,144.149454,69.986815,-16.285714,9.035409,-2.686203,-5.128205,-8.547009,3.174603,5.616606,-0.278999,2.183150,0
0.078124,-170.874729,77.336265,120.430772,-7.655678,7.570208,0.244200,-7.570208,-7.081807,-0.732601,8.058608,-0.278999,2.183150,0
0.079166,-164.527476,-7.516484,145.485718,11.831502,5.616606,3.663004,-8.547009,-4.639805,-3.174603,8.547009,-0.767399,2.202686,0
0.080208,-131.120882,-93.705497,161.520883,22.410256,2.686203,6.593407,-8.058608,-1.709402,-6.593407,8.547009,-0.767399,2.124542,0
0.081249,-51.947254,-137.134069,169.204399,7.377289,-1.221001,8.547009,-6.593407,1.709402,-8.058608,6.593407,-0.767399,2.241758,0
0.082291,34.909891,-155.173630,157.846157,-12.666667,-4.639805,9.035409,-4.151404,4.639805,-8.547009,3.663004,-0.278999,2.192918,0
0.083333,105.731870,-167.868136,102.391211,-12.945055,-7.081807,7.570208,-0.732601,7.081807,-7.570208,0.732601,-0.278999,2.173382,0
0.084374,141.142860,-168.536267,16.870330,5.706960,-8.547009,6.105006,2.686203,8.547009,-5.616606,-2.686203,-0.278999,2.183150,0
0.085416,158.848355,-145.485718,-70.989013,20.183150,-8.547009,3.174603,5.616606,8.547009,-2.686203,-5.616606,-0.278999,2.173382,0
0.086457,169.204399,-78.338463,-122.769234,11.553114,-7.570208,0.244200,8.058608,7.570208,0.732601,-7.570208,-0.278999,2.183150,0
0.087499,162.857146,6.180220,-147.156047,-7.655678,-5.128205,-3.174603,9.035409,4.639805,4.151404,-8.547009,-0.767399,2.183150,0
0.088541,129.784618,92.035167,-162.523081,-17.120879,-1.709402,-6.105006,8.547009,2.197802,6.593407,-8.058608,-0.767399,2.192918,0
0.089582,50.610990,134.795607,-170.874729,-3.201465,1.709402,-8.058608,7.081807,-1.221001,8.547009,-6.593407,-0.278999,2.212454,0
0.090624,-36.580221,154.171432,-159.182421,13.223443,5.128205,-8.547009,4.151404,-4.151404,9.035409,-3.174603,-0.278999,2.192918,0
0.091666,-107.068134,166.865938,-103.727475,14.336996,7.081807,-7.570208,0.732601,-7.081807,7.570208,0.244200,-0.767399,2.173382,0
0.092707,-142.145058,167.534070,-18.540660,-1.809524,9.035409,-5.616606,-2.197802,-8.547009,5.616606,3.174603,-0.278999,2.183150,0
0.093749,-160.184619,144.149454,70.320881,-16.564103,9.035409,-2.686203,-5.616606,-8.058608,3.174603,6.105006,-0.278999,2.183150,0
0.094791,-170.540663,77.336265,121.432970,-8.212454,7.570208,0.732601,-7.570208,-7.081807,-0.732601,7.570208,-0.278999,2.183150,0
0.095834,-164.193410,-8.518682,145.819783,11.553114,5.128205,3.663004,-8.547009,-4.639805,-3.663004,8.547009,-0.278999,2.192918,0
0.096874,-130.786816,-93.705497,160.852751,20.461538,2.686203,6.593407,-8.058608,-1.709402,-6.593407,8.058608,-0.278999,2.192918,0
0.097916,-51.613188,-137.468135,168.202202,6.820513,-1.221001,8.547009,-6.593407,1.221001,-8.058608,6.593407,-0.767399,2.202686,0
0.098957,35.243957,-155.173630,157.178025,-11.553114,-4.639805,9.035409,-3.663004,4.639805,-8.547009,3.663004,-1.255800,2.202686,0
0.100000,106.065936,-168.202202,102.057145,-13.501832,-7.081807,8.058608,-0.732601,7.570208,-7.570208,0.732601,-0.278999,2.192918,0
0.101041,140.808794,-168.536267,16.870330,5.150183,-8.058608,6.105006,2.686203,8.547009,-5.616606,-2.686203,-0.278999,2.212454,0
0.102082,159.182421,-144.817586,-71.991210,19.069597,-8.547009,3.174603,6.105006,8.547009,-2.686203,-5.616606,-0.278999,2.192918,0
0.103124,169.538465,-78.338463,-122.769234,11.274725,-7.570208,-0.244200,8.058608,7.081807,0.244200,-7.570208,-0.278999,2.183150,0
0.104166,163.191212,7.182418,-147.490113,-8.212454,-5.128205,-3.663004,9.035409,4.639805,3.663004,-8.547009,-0.767399,2.192918,0
0.105208,129.450552,92.369233,-162.523081,-16.564103,-2.197802,-6.593407,8.547009,1.709402,6.593407,-8.058608,-0.278999,2.192918,0
0.106249,49.608792,136.465937,-170.206597,-4.315018,1.709402,-8.058608,7.081807,-1.221001,8.547009,-6.593407,-0.278999,2.192918,0
0.107291,-37.582418,157.178025,-159.182421,16.007326,4.639805,-8.547009,4.151404,-4.639805,8.547009,-3.174603,-0.278999,2.192918,0
0.108333,-108.070332,166.531872,-103.393409,16.285714,7.570208,-7.570208,0.732601,-7.081807,7.570208,-0.244200,-0.767399,2.183150,0
0.109374,-141.810992,167.534070,-18.206594,-1.531136,8.547009,-5.616606,-2.197802,-8.058608,5.616606,2.686203,-0.767399,2.192918,0
0.110416,-160.518685,143.815388,70.320881,-12.666667,9.035409,-2.686203,-5.616606,-8.547009,3.174603,6.105006,-1.744200,2.192918,0
0.111458,-170.874729,77.336265,121.432970,-9.047619,7.570208,0.732601,-7.570208,-7.081807,-0.244200,8.058608,-0.278999,2.183150,0
