1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-52.615386,154.505498,-160.518685,21.018315,5.128205,-10.500611,5.616606,-4.639805,10.500611,-5.128205,-0.278999,2.769231,0
0.001041,-118.092310,167.534070,-96.712090,15.728938,8.547009,-10.012210,1.709402,-8.058608,10.012210,-1.221001,-0.767399,2.769231,0
0.002083,-145.151652,168.870333,-5.512088,-4.593407,10.012210,-7.570208,-2.197802,-10.012210,7.570208,2.686203,-0.767399,2.769231,0
0.003124,-158.848355,144.149454,87.692310,-23.523810,10.989011,-4.639805,-6.105006,-10.500611,4.639805,6.593407,-0.278999,2.778999,0
0.004167,-171.208795,69.318683,129.784618,-3.201465,9.523810,-0.244200,-9.035409,-9.035409,0.244200,9.035409,-0.278999,2.798535,0
0.005208,-166.865938,-22.215385,146.153849,16.842491,7.081807,4.151404,-10.500611,-6.593407,-3.663004,10.500611,-0.278999,2.769231,0
0.006249,-125.441761,-104.395607,162.523081,22.410256,3.663004,7.570208,-10.500611,-3.174603,-7.081807,10.500611,-0.278999,2.778999,0
0.007292,-40.923078,-144.483520,169.872531,5.706960,-0.244200,10.012210,-9.035409,0.732601,-9.523810,8.547009,-0.767399,2.778999,0
0.008333,52.949452,-156.175828,158.848355,-16.842491,-4.639805,10.989011,-5.616606,5.128205,-10.500611,5.128205,-0.278999,2.759463,0
0.009375,115.085717,-169.204399,95.041760,-11.831502,-8.058608,10.012210,-1.709402,8.547009,-9.523810,1.221001,-0.767399,2.759463,0
0.010416,143.481322,-170.206597,3.507692,9.047619,-9.523810,8.058608,2.686203,10.012210,-7.081807,-2.197802,-0.767399,2.788767,0
0.011458,157.846157,-146.153849,-89.696705,27.978022,-10.989011,4.151404,6.593407,10.989011,-4.151404,-6.105006,-0.767399,2.720391,0
0.012500,170.540663,-71.323079,-131.120882,11.274725,-9.523810,0.732601,9.523810,9.523810,-0.244200,-9.035409,-0.767399,2.778999,0
0.013541,165.529674,20.879121,-147.490113,-12.109890,-7.081807,-3.663004,10.500611,7.081807,4.151404,-10.500611,-0.767399,2.788767,0
0.014583,124.105497,103.059343,-164.193410,-19.069597,-3.174603,-7.570208,10.500611,3.174603,7.570208,-10.012210,-0.278999,2.778999,0
0.015625,40.254946,143.147256,-171.208795,-1.531136,0.732601,-9.523810,9.035409,-0.732601,9.523810,-8.547009,-0.278999,2.778999,0
0.016666,-51.279122,154.505498,-160.852751,20.183150,5.128205,-10.500611,5.616606,-5.128205,10.500611,-5.128205,-0.278999,2.769231,0
0.017708,-116.756047,168.202202,-97.380222,15.172161,8.547009,-10.012210,1.709402,-8.058608,9.523810,-1.221001,-0.278999,2.749695,0
0.018749,-145.485718,168.536267,-4.843956,-5.150183,10.500611,-7.570208,-2.197802,-9.523810,7.570208,2.686203,-0.278999,2.759463,0
0.019791,-158.848355,144.149454,86.690112,-22.688645,10.989011,-4.151404,-6.105006,-10.012210,4.639805,6.593407,-0.278999,2.759463,0
