1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-172.545059,173.881323,-77.336265,28.813187,4.151404,-9.523810,5.128205,-4.151404,9.035409,-4.639805,-0.278999,3.570208,0
0.001042,-198.602202,154.171432,20.210989,10.439560,7.570208,-9.035409,1.709402,-7.081807,9.035409,-1.709402,0.209402,3.570208,0
0.002083,-193.257147,116.756047,117.424178,-12.388278,9.035409,-7.081807,-1.709402,-8.547009,7.081807,2.686203,0.209402,3.589744,0
0.003126,-166.531872,52.615386,188.914290,-23.802198,10.012210,-4.151404,-5.128205,-9.523810,4.151404,6.105006,-0.278999,3.579976,0
0.004167,-147.156047,-55.621979,198.602202,3.201465,9.035409,-0.244200,-8.058608,-8.547009,0.732601,8.547009,-0.278999,3.589744,0
0.005208,-100.386815,-145.485718,184.571433,23.523810,6.593407,3.174603,-9.035409,-6.105006,-2.686203,9.035409,-0.767399,3.609280,0
0.006250,-18.874726,-194.927477,161.854949,18.791209,3.174603,6.105006,-9.523810,-2.686203,-6.593407,9.523810,-0.278999,3.609280,0
0.007292,87.024178,-200.272532,132.457146,-8.212454,-0.732601,8.547009,-8.058608,0.732601,-8.547009,7.570208,-0.278999,3.589744,0
0.008333,170.874729,-175.885718,75.665936,-22.967033,-4.151404,9.523810,-5.128205,4.151404,-9.035409,5.128205,-0.278999,3.570208,0
0.009375,196.597807,-155.507696,-21.881319,-4.593407,-7.570208,9.035409,-1.709402,7.081807,-9.035409,1.709402,-0.278999,3.560440,0
0.010417,191.586817,-118.760442,-119.428574,16.564103,-8.547009,7.081807,1.709402,9.035409,-7.081807,-1.709402,-0.278999,3.589744,0
0.011458,164.193410,-54.953847,-190.584620,29.091575,-9.523810,4.151404,5.616606,9.523810,-3.663004,-5.616606,-0.278999,3.570208,0
0.012500,145.485718,53.617584,-200.940664,1.531136,-8.547009,0.732601,8.547009,8.547009,-0.244200,-8.058608,-0.278999,3.579976,0
0.013542,99.384618,142.813190,-185.907696,-17.120879,-6.105006,-2.686203,9.523810,6.105006,3.174603,-9.035409,-0.278999,3.599512,0
