1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,157.512091,-26.892308,-184.905499,19.904762,-9.523810,4.151404,6.593407,10.012210,-3.174603,-6.105006,0.209402,3.645910,0
0.001042,134.461541,74.329672,-194.927477,-4.315018,-8.058608,0.244200,9.035409,8.547009,0.732601,-8.058608,0.209402,3.655678,0
0.002084,82.347255,159.516487,-168.870333,-24.358974,-5.616606,-3.663004,10.012210,6.105006,4.151404,-9.035409,0.697802,3.641026,0
0.003124,-4.843956,189.248356,-153.169234,-7.098901,-1.709402,-7.081807,10.012210,2.197802,7.570208,-8.547009,0.209402,3.641026,0
0.004166,-108.070332,188.914290,-120.764838,17.399267,1.709402,-8.547009,8.058608,-0.732601,9.035409,-7.081807,0.209402,3.650794,0
0.005208,-179.560444,159.182421,-59.964837,29.648352,5.616606,-9.523810,5.128205,-4.639805,10.012210,-4.151404,0.697802,3.636142,0
0.006249,-192.254949,143.815388,43.929671,4.036630,8.547009,-8.547009,1.709402,-7.570208,9.523810,-0.244200,0.697802,3.636142,0
0.007291,-180.562641,102.391211,136.131871,-18.234432,10.012210,-6.593407,-2.197802,-9.035409,7.081807,3.174603,0.209402,3.645910,0
0.008333,-157.846157,26.558242,184.237367,-15.450549,10.500611,-3.174603,-5.616606,-9.035409,3.663004,7.081807,0.209402,3.636142,0
0.009374,-134.461541,-73.995606,194.259345,10.161172,9.035409,0.732601,-8.547009,-7.570208,-0.244200,9.035409,0.209402,3.645910,0
0.010417,-83.015386,-159.850553,168.202202,28.534799,6.593407,4.151404,-9.523810,-5.128205,-3.663004,10.012210,0.209402,3.636142,0
0.011458,4.843956,-189.916488,152.501102,12.109890,2.686203,8.058608,-9.035409,-1.709402,-7.081807,9.523810,0.209402,3.641026,0
0.012500,107.736266,-189.582422,120.430772,-12.666667,-0.732601,9.523810,-7.570208,1.709402,-8.547009,7.570208,0.209402,3.645910,0
0.013541,179.226378,-159.850553,59.296705,-28.813187,-4.639805,10.012210,-4.151404,5.616606,-9.035409,4.639805,0.209402,3.631258,0
0.014583,191.586817,-144.483520,-44.597803,0.695971,-7.570208,9.523810,-0.732601,8.547009,-8.058608,1.221001,0.209402,3.641026,0
0.015624,180.228575,-103.393409,-136.465937,22.967033,-9.035409,7.081807,3.174603,9.523810,-6.105006,-2.197802,0.209402,3.650794,0
0.016666,157.178025,-27.226374,-184.905499,19.626374,-9.523810,4.151404,6.593407,10.012210,-2.686203,-6.105006,0.209402,3.641026,0
0.017708,134.127476,73.327474,-194.927477,-4.871795,-8.547009,0.244200,9.523810,8.547009,0.732601,-8.058608,0.209402,3.650794,0
0.018749,82.681321,159.516487,-169.204399,-23.802198,-5.616606,-3.663004,10.012210,6.105006,4.151404,-9.035409,0.209402,3.636142,0
0.019791,-4.509890,189.248356,-153.169234,-7.098901,-1.709402,-7.081807,10.012210,2.686203,8.058608,-8.547009,0.209402,3.641026,0
0.020833,-107.736266,188.914290,-121.098904,16.842491,1.709402,-8.547009,8.058608,-0.732601,9.035409,-7.081807,0.209402,3.650794,0
0.021874,-179.226378,159.182421,-59.964837,29.926740,5.616606,-9.523810,5.128205,-4.639805,10.012210,-3.663004,0.209402,3.631258,0
0.022918,-191.920883,143.815388,43.261539,4.593407,8.547009,-9.035409,1.221001,-7.570208,9.523810,-0.244200,0.209402,3.636142,0
0.023958,-180.562641,102.391211,136.131871,-17.956044,9.523810,-6.593407,-2.197802,-8.547009,7.081807,2.686203,0.209402,3.650794,0
0.025000,-157.846157,27.226374,184.237367,-16.007326,10.500611,-3.174603,-6.105006,-9.035409,3.663004,7.081807,0.209402,3.641026,0
0.026041,-134.795607,-73.661540,194.259345,8.212454,9.035409,0.732601,-8.058608,-8.058608,0.244200,9.523810,0.209402,3.645910,0
0.027085,-83.349452,-159.850553,168.202202,29.648352,6.593407,4.151404,-9.523810,-5.616606,-3.663004,10.012210,0.209402,3.636142,0
0.028125,4.175824,-189.916488,152.835168,11.831502,2.686203,7.570208,-9.035409,-1.709402,-7.081807,9.523810,0.209402,3.641026,0
0.029167,107.068134,-189.248356,120.430772,-13.780220,-0.732601,9.523810,-7.081807,1.709402,-8.547009,7.570208,0.209402,3.650794,0
0.030208,179.226378,-159.850553,58.962639,-25.194139,-4.639805,10.012210,-4.151404,5.616606,-9.035409,5.128205,0.209402,3.636142,0
0.031250,191.920883,-144.483520,-44.263737,0.139194,-7.570208,9.523810,-0.244200,8.058608,-8.547009,1.221001,0.209402,3.631258,0
0.032293,179.894510,-103.393409,-136.465937,23.523810,-8.547009,7.570208,2.686203,9.523810,-6.105006,-2.197802,0.209402,3.650794,0
0.033333,157.178025,-27.894506,-184.905499,20.461538,-9.523810,4.151404,6.105006,10.012210,-2.686203,-6.105006,0.209402,3.641026,0
0.034374,134.461541,72.993408,-195.261543,-4.593407,-8.058608,0.244200,9.035409,9.035409,0.732601,-8.058608,0.697802,3.655678,0
0.035416,83.015386,159.182421,-169.204399,-23.802198,-5.616606,-3.174603,10.012210,6.105006,4.639805,-9.035409,0.209402,3.641026,0
0.036458,-4.843956,189.248356,-153.169234,-7.098901,-1.709402,-7.081807,10.012210,2.686203,7.570208,-9.035409,0.209402,3.645910,0
0.037499,-107.402200,188.914290,-121.098904,16.842491,1.709402,-8.547009,8.058608,-1.221001,9.035409,-6.593407,0.209402,3.650794,0
0.038541,-179.226378,159.182421,-60.298902,29.926740,5.128205,-9.035409,5.128205,-4.639805,10.012210,-4.151404,0.209402,3.631258,0
0.039585,-191.920883,143.815388,43.261539,4.036630,8.547009,-8.547009,1.709402,-7.081807,9.523810,-0.244200,0.209402,3.636142,0
0.040625,-180.562641,102.725277,135.463739,-18.234432,10.012210,-6.105006,-2.197802,-8.547009,7.081807,3.174603,0.209402,3.645910,0
0.041667,-157.846157,27.560440,183.903301,-16.285714,10.500611,-3.174603,-6.105006,-9.523810,3.663004,7.081807,0.209402,3.636142,0
0.042708,-134.795607,-73.661540,194.259345,9.326007,9.035409,0.732601,-8.547009,-8.058608,-0.244200,9.035409,0.209402,3.645910,0
0.043749,-83.349452,-159.850553,168.202202,29.091575,6.105006,4.151404,-9.523810,-5.128205,-3.663004,10.012210,0.209402,3.636142,0
0.044793,4.175824,-189.916488,152.835168,11.274725,2.686203,7.570208,-9.035409,-1.709402,-7.081807,9.523810,0.209402,3.641026,0
0.045832,107.068134,-189.582422,120.430772,-12.388278,-0.732601,9.523810,-7.570208,1.709402,-8.547009,7.570208,0.209402,3.645910,0
0.046874,179.226378,-159.850553,59.964837,-25.194139,-4.639805,10.012210,-4.151404,5.128205,-9.523810,4.639805,0.209402,3.631258,0
0.047916,191.252752,-144.483520,-43.595605,0.974359,-7.570208,10.012210,-0.732601,8.547009,-8.547009,1.221001,0.697802,3.631258,0
0.048958,180.228575,-103.393409,-136.465937,22.410256,-9.035409,7.081807,2.686203,9.523810,-6.105006,-2.197802,0.209402,3.645910,0
0.049999,157.178025,-28.562638,-184.905499,20.739927,-9.523810,3.663004,6.593407,10.012210,-2.686203,-6.105006,0.209402,3.636142,0
0.051042,134.461541,72.993408,-195.261543,-4.871795,-8.058608,0.244200,9.035409,9.035409,0.732601,-8.058608,0.209402,3.655678,0
0.052083,83.015386,159.182421,-169.204399,-24.080586,-5.616606,-3.663004,10.012210,6.105006,4.151404,-9.035409,0.697802,3.641026,0
