1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,96.378024,-190.918686,125.107695,-9.882784,-0.244200,9.035409,-7.570208,1.221001,-8.058608,8.058608,0.209402,3.650794,0
0.001042,173.213191,-164.527476,67.314287,-25.194139,-4.151404,10.500611,-4.639805,5.128205,-9.035409,5.128205,0.209402,3.626374,0
0.002084,190.584620,-147.156047,-30.567034,-2.366300,-7.081807,9.523810,-1.221001,8.058608,-8.547009,1.709402,0.209402,3.631258,0
0.003125,183.903301,-109.406596,-127.112091,20.739927,-9.035409,7.570208,2.686203,9.035409,-6.593407,-2.197802,0.209402,3.655678,0
0.004167,157.512091,-40.589012,-185.239565,24.358974,-9.523810,4.151404,6.105006,10.012210,-3.663004,-5.616606,0.209402,3.645910,0
0.005209,138.136267,60.298902,-195.595609,0.139194,-8.547009,0.732601,9.035409,9.035409,0.732601,-8.058608,0.209402,3.645910,0
0.006251,91.367035,148.492311,-174.215389,-21.575092,-6.105006,-3.174603,10.012210,6.593407,4.151404,-9.035409,0.209402,3.641026,0
0.007292,7.850550,189.582422,-154.171432,-11.274725,-2.197802,-6.593407,10.012210,2.686203,7.570208,-9.035409,0.697802,3.641026,0
0.008333,-96.043958,190.584620,-126.443959,14.058608,1.221001,-8.547009,8.547009,-0.244200,9.035409,-7.081807,0.209402,3.650794,0
0.009375,-172.879125,164.527476,-68.650551,29.369963,5.128205,-9.523810,5.616606,-4.151404,10.012210,-4.151404,0.209402,3.626374,0
0.010418,-191.252752,147.156047,28.896704,6.820513,8.058608,-9.035409,1.709402,-7.081807,9.523810,-0.732601,0.209402,3.631258,0
0.011459,-184.237367,109.072530,125.107695,-15.728938,9.523810,-6.593407,-1.709402,-9.035409,7.570208,2.686203,0.697802,3.655678,0
0.012500,-158.180223,40.923078,184.571433,-14.336996,10.012210,-3.663004,-5.616606,-9.035409,4.151404,6.593407,0.209402,3.645910,0
0.013543,-138.470333,-59.964837,194.927477,4.036630,9.523810,0.244200,-8.547009,-8.058608,0.244200,9.035409,0.209402,3.645910,0
0.014584,-92.369233,-148.826377,173.881323,25.750916,6.593407,3.663004,-9.523810,-5.616606,-3.174603,9.523810,0.209402,3.641026,0
0.015626,-8.518682,-189.916488,153.503300,15.172161,3.174603,7.081807,-9.523810,-2.197802,-6.593407,10.012210,0.209402,3.636142,0
0.016668,95.041760,-191.252752,125.775827,-9.326007,-0.244200,9.523810,-7.570208,1.221001,-8.547009,7.570208,0.209402,3.650794,0
0.017710,172.879125,-165.195608,67.982419,-24.080586,-4.151404,10.012210,-5.128205,4.639805,-9.035409,5.128205,0.209402,3.621490,0
0.018751,190.918686,-147.490113,-29.564836,-3.201465,-7.570208,10.012210,-1.221001,8.058608,-8.547009,1.709402,0.209402,3.626374,0
0.019792,183.903301,-109.740662,-126.109893,21.018315,-9.035409,7.570208,2.686203,9.523810,-6.593407,-2.197802,0.209402,3.650794,0
0.020834,157.512091,-41.591210,-185.573631,25.194139,-9.523810,4.639805,6.593407,10.012210,-3.174603,-5.616606,0.209402,3.641026,0
0.021876,138.470333,59.296705,-195.595609,0.139194,-8.547009,0.732601,9.035409,9.035409,0.244200,-8.058608,0.697802,3.645910,0
0.022917,92.035167,147.156047,-174.883520,-22.131868,-6.105006,-2.686203,10.012210,6.105006,4.151404,-9.035409,0.209402,3.641026,0
0.023959,8.852747,189.582422,-154.505498,-12.109890,-2.686203,-6.593407,10.012210,3.174603,7.570208,-9.035409,0.697802,3.641026,0
