1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,92.905088,104.012401,-184.044205,-3.322485,-5.318683,-0.510074,5.805635,5.367272,0.705835,-6.473070,-0.042949,0.612817,-0.011006,81.618064,188.646322,1582.740946,887.446495,0
0.001044,11.873323,147.915249,-183.606745,-3.299967,-3.894927,-2.902953,6.462877,3.914808,2.954621,-7.002360,-0.053887,0.624185,-0.007290,14.676066,188.495436,1581.806795,886.920584,0
0.002084,-61.101595,175.034477,-138.086582,-2.365445,-1.685905,-4.821418,5.948682,1.684237,4.952072,-6.469262,-0.050241,0.624668,0.003860,-55.485814,188.570926,1582.368669,886.186269,0
0.003125,-114.584141,195.235894,-55.491670,-0.789143,0.827684,-6.290438,4.769514,-0.783471,6.327799,-5.205058,-0.039302,0.620396,0.000144,-121.414563,188.495450,1582.702014,884.845890,0
0.004167,-163.117321,161.739126,14.088802,0.550714,2.930292,-6.481868,2.851915,-2.913999,6.499765,-3.266867,0.011744,0.620534,0.011294,-164.871696,188.570890,1583.319811,884.299574,0
0.005208,-186.270868,113.972170,84.933048,1.879312,4.974189,-5.824347,0.284807,-4.885201,5.772217,-0.715613,0.055498,0.600828,0.000144,-182.727398,188.495441,1584.286245,883.123949,0
0.006250,-185.502473,30.124543,136.128041,2.915167,5.909904,-4.263773,-2.034869,-5.837454,4.206886,1.668096,0.051852,0.582639,-0.022156,-173.326697,188.570939,1585.402496,882.723037,0
0.007292,-159.749943,-43.575396,171.209917,3.647022,6.225479,-2.237108,-4.250160,-6.156107,2.085972,3.709099,0.132068,0.594214,-0.018440,-141.769613,188.495358,1585.674798,881.239395,0
0.008333,-92.198989,-104.062198,184.576756,3.939764,5.293433,0.555278,-5.819807,-5.244612,-0.727214,5.342664,0.172176,0.628940,0.018727,-80.963402,188.646248,1587.065588,880.455988,0
0.009375,-11.336724,-147.929810,183.689684,3.883467,3.847661,2.898219,-6.469316,-3.777326,-2.989228,5.791989,0.168530,0.625426,0.000144,-13.998887,188.495461,1586.972453,879.403607,0
0.010417,61.333096,-175.154744,138.278887,2.948945,1.704688,4.816684,-5.947389,-1.617156,-4.991088,5.247468,0.179468,0.624392,-0.011006,55.926567,188.570870,1587.616356,879.059999,0
