1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,115.075541,82.119702,-181.419444,-3.221151,-5.193921,1.487460,3.845509,5.182009,-1.366575,-4.378757,0.004452,0.579332,-0.011006,108.739368,188.496121,1117.539278,1006.307163,0
0.001042,38.360348,132.975596,-182.646762,-3.277448,-4.452687,-0.530881,4.889363,4.459482,0.613238,-5.296446,-0.035656,0.591182,-0.022156,33.128460,188.646857,1118.179511,1006.278103,0
0.002083,-34.750169,172.180440,-151.684303,-2.680705,-3.161033,-2.536738,5.403558,3.151523,2.676830,-5.787658,-0.053887,0.595110,-0.018440,-40.804958,188.571458,1118.274385,1006.489260,0
0.003125,-105.566801,173.225746,-94.377019,-1.577294,-1.164839,-4.234642,4.958954,1.209963,4.268617,-5.262176,-0.079410,0.589184,-0.025873,-107.330398,188.496065,1117.763049,1006.025625,0
0.004167,-148.664716,176.326428,-7.638387,0.100342,0.816676,-5.204279,3.880304,-0.753828,5.313641,-4.195980,-0.021072,0.585050,-0.022156,-147.015993,188.571609,1117.651494,1006.091711,0
0.005208,-167.286993,139.740722,70.132312,1.620348,2.644073,-5.337448,2.148280,-2.602757,5.335688,-2.375832,0.004452,0.581192,0.011294,-163.408113,188.571476,1117.511795,1006.135169,0
0.006250,-187.107062,58.453507,123.587516,2.656203,4.427437,-4.817257,-0.024483,-4.384990,4.837428,-0.216786,0.066437,0.541574,0.003860,-184.449922,188.571755,1118.109195,1006.070889,0
0.007292,-164.552411,-14.107165,162.229832,3.444354,5.098951,-3.681159,-1.752642,-5.022296,3.580753,1.481512,0.106545,0.562451,0.003860,-156.146494,188.496060,1117.923221,1005.405762,0
0.008333,-114.810140,-82.298694,181.344411,3.838430,5.139315,-1.496356,-3.848082,-5.144569,1.354015,3.533939,0.146652,0.578987,-0.022156,-108.050931,188.571375,1117.540620,1005.577004,0
0.009375,-37.563850,-133.060628,182.972735,3.838430,4.486149,0.538632,-4.849409,-4.414632,-0.608161,4.485899,0.153945,0.586979,0.011294,-32.327440,188.571574,1117.049334,1006.546398,0
