1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-140.427071,-62.355667,176.678170,3.658281,6.078700,-1.375672,-4.880338,-6.000486,1.155592,4.501131,0.161237,0.633074,0.033594,-130.995397,188.495539,1642.853421,864.127618,0
0.001042,-59.440506,-114.562237,197.518287,4.086135,5.051248,1.425037,-6.357199,-5.003769,-1.512085,5.784373,0.168530,0.630249,0.022444,-52.389774,188.495455,1641.283473,864.928491,0
0.002083,8.912743,-162.399663,164.842441,3.444354,3.201833,3.522448,-6.399726,-3.154841,-3.677092,5.879569,0.150299,0.644235,0.029877,14.833682,188.495437,1638.240574,865.371416,0
0.003125,79.085279,-184.503772,114.911222,2.476055,0.743287,5.611536,-5.742484,-0.698249,-5.683362,5.137040,0.175822,0.619776,-0.025873,82.529988,188.495378,1637.970723,866.256111,0
0.004167,129.912343,-185.196727,31.903153,0.956049,-1.623523,6.402227,-4.122577,1.695353,-6.499098,3.473013,0.113837,0.620396,0.015011,131.030851,188.495446,1636.927509,867.610561,0
0.005208,169.541181,-158.429849,-44.129857,-0.552697,-3.894927,6.601980,-1.980743,3.959271,-6.556420,1.313967,0.070083,0.617020,0.015011,164.862116,188.495461,1636.868279,868.295822,0
0.006250,182.050198,-88.359119,-104.754547,-1.667368,-5.527843,5.465882,0.675286,5.641462,-5.352658,-1.412448,0.015390,0.614126,0.011294,181.614503,188.495477,1636.657831,867.823240,0
0.007292,183.982486,-9.150771,-148.865115,-2.568112,-6.415855,3.797109,2.909907,6.419568,-3.685911,-3.544839,-0.028364,0.620465,-0.007290,176.458190,188.495472,1635.691718,867.935153,0
0.008333,139.630279,63.351176,-176.765353,-3.142336,-6.078263,1.325161,4.885497,6.160199,-1.119650,-5.555380,-0.039302,0.601311,-0.003573,130.524226,188.495515,1634.901935,868.395201,0
0.009375,58.383816,114.747340,-197.289527,-3.491375,-5.065489,-1.483872,6.327563,5.130135,1.548028,-6.777697,-0.097641,0.599933,0.029877,52.267611,188.495459,1633.481470,869.171668,0
0.010417,-9.438336,162.725707,-164.467862,-2.883372,-3.208736,-3.535505,6.397153,3.255270,3.774766,-6.899548,-0.097641,0.578574,0.015011,-13.976371,188.570727,1632.469679,869.899122,0
0.011458,-79.373574,183.890215,-115.119923,-1.960110,-0.805231,-5.603786,5.786305,0.839436,5.679620,-6.168442,-0.057533,0.623910,0.007577,-82.111751,188.495506,1631.529867,870.948204,0
0.012500,-130.517036,184.829816,-32.294129,-0.350030,1.535893,-6.427768,4.092941,-1.594924,6.495356,-4.466337,-0.013779,0.625701,0.033594,-131.186788,188.495483,1630.954024,871.160162,0
0.013542,-169.479179,158.380053,44.528740,1.124939,3.910042,-6.606714,1.970438,-3.844021,6.477718,-2.311099,-0.028364,0.616262,0.015011,-164.173679,188.495448,1630.541465,870.283237,0
