1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,118.499418,61.060899,-185.708984,-3.345004,-2.918847,-1.438095,4.317177,3.107060,1.495115,-4.698615,-0.028364,0.425409,-0.025873,113.997005,188.571418,1184.212539,10.472496,0
0.001042,45.400201,115.698686,-186.365174,-3.356263,-1.410694,-2.944568,4.112272,1.624953,2.936983,-4.504415,-0.057533,0.410320,0.003860,48.496073,188.495973,1183.885073,10.868877,0
0.002083,-21.823054,162.807922,-158.331267,-2.815817,0.189196,-4.018243,3.516889,0.031688,4.004054,-3.815196,-0.061180,0.416314,-0.029590,-19.774408,188.646773,1183.899442,10.988620,0
0.003125,-78.548679,178.992545,-93.101094,-1.554775,1.928526,-4.326196,2.024564,-1.728314,4.295074,-2.330138,0.000805,0.411284,-0.040740,-81.954135,188.496056,1183.706562,11.084498,0
0.004167,-133.195118,181.517723,-18.429071,-0.136103,3.337604,-4.168058,0.543837,-3.102968,4.101061,-0.848887,0.029975,0.405083,-0.022156,-139.990798,188.571379,1183.737405,11.372928,0
0.005208,-166.202200,135.265873,47.384383,1.158716,4.111863,-3.152645,-1.153392,-3.888484,3.069265,0.872257,0.055498,0.404050,-0.011006,-167.843893,188.496073,1183.903051,11.325854,0
0.006250,-192.903924,60.661569,98.615831,2.160794,4.618250,-1.837602,-2.858354,-4.407221,1.764087,2.429665,0.062790,0.407702,0.029877,-175.319421,188.646884,1184.068250,11.885981,0
0.007292,-164.315113,-1.516515,152.787983,3.252946,4.144888,-0.406035,-3.639312,-3.918126,0.269306,3.252158,0.128422,0.383931,-0.048173,-153.703438,188.496033,1184.270063,12.321502,0
0.008333,-118.799013,-61.157676,185.731165,3.838430,3.245867,1.379261,-4.370010,-3.014041,-1.542950,3.918531,0.128422,0.390890,-0.033307,-113.590027,188.571417,1184.682601,12.312670,0
0.009375,-44.852302,-116.100833,186.496720,3.894726,1.734044,2.889896,-4.176703,-1.531934,-3.024503,3.720523,0.117483,0.426787,-0.011006,-47.773861,188.496139,1185.000183,11.929340,0
