1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,132.974623,-184.257127,27.358428,0.843456,-1.645540,6.464649,-4.080050,1.695353,-6.516735,3.587248,0.088314,0.621912,-0.011006,133.552715,188.646513,1600.169246,902.899308,0
0.001042,166.716200,-155.352657,-49.828991,-0.676550,-3.887588,6.547880,-1.926618,3.903692,-6.437366,1.401547,0.055498,0.614677,-0.037023,162.250185,188.495546,1599.858572,903.080810,0
0.002083,184.163284,-79.855732,-106.382871,-1.746183,-5.582885,5.382652,0.775805,5.656283,-5.343839,-1.347715,-0.013779,0.596143,-0.033307,183.719810,188.495691,1600.167750,903.029462,0
0.003125,179.654614,-3.536656,-150.408377,-2.624408,-6.294762,3.809594,2.979497,6.349168,-3.690320,-3.400141,-0.057533,0.564311,0.003860,171.076711,188.495609,1599.236836,902.850027,0
0.004167,133.471819,65.935078,-179.645300,-3.209892,-6.074594,1.291869,4.951221,6.130557,-1.102012,-5.471607,-0.068472,0.601380,-0.048173,124.726189,188.646500,1599.263375,902.920489,0
0.005208,53.547448,117.131577,-193.996424,-3.491375,-5.102184,-1.359026,6.308232,5.133840,1.477477,-6.591113,-0.108580,0.590700,-0.037023,47.966931,188.495671,1598.004100,902.115595,0
0.006250,-14.805801,164.969003,-161.466399,-2.928410,-3.263778,-3.572959,6.459011,3.270091,3.739491,-6.789120,-0.130457,0.609372,-0.022156,-19.988316,188.495653,1597.727255,902.570444,0
0.007292,-84.582840,180.648592,-110.648108,-1.903813,-0.830917,-5.499747,5.736045,0.865373,5.604660,-5.959011,-0.108580,0.619983,-0.033307,-87.132964,188.495698,1597.312486,902.584112,0
0.008333,-133.048219,183.948940,-26.096776,-0.271215,1.587265,-6.365345,4.089075,-1.606040,6.402759,-4.302600,-0.032010,0.616675,0.003860,-133.393420,188.571044,1596.149259,902.294938,0
0.009375,-166.676797,155.009235,50.628879,1.248791,3.843991,-6.440253,1.912446,-3.784737,6.341028,-2.151169,-0.024718,0.613230,-0.014723,-162.012081,188.495662,1594.203424,901.912984,0
0.010417,-183.965683,79.477075,107.158456,2.363462,5.502593,-5.383225,-0.805441,-5.563265,5.318051,0.601900,0.048206,0.612748,0.003860,-183.380381,188.571170,1593.320351,902.636783,0
0.011458,-179.389213,3.897935,151.147507,3.230428,6.324555,-3.785197,-2.989802,-6.241328,3.686579,2.680982,0.026329,0.618329,-0.007290,-170.568408,188.495582,1591.993338,902.192809,0
0.012500,-133.601916,-65.562055,179.922666,3.770874,6.053014,-1.263310,-4.957661,-6.033834,1.085042,4.790526,0.117483,0.623359,0.000144,-124.645702,188.646455,1591.309627,901.946128,0
0.013542,-54.253840,-117.568959,194.006453,4.086135,5.076934,1.412553,-6.326270,-5.037117,-1.490038,5.879569,0.102898,0.633349,-0.018440,-48.077836,188.495655,1590.208746,901.972015,0
0.014583,14.099408,-165.465110,161.488580,3.478132,3.253206,3.568225,-6.446119,-3.180778,-3.743233,6.043306,0.121129,0.634658,-0.011006,20.429069,188.495673,1589.370439,901.898378,0
0.015625,84.791741,-180.569193,111.204962,2.464795,0.790990,5.519982,-5.738618,-0.757534,-5.608402,5.224620,0.132068,0.628871,0.003860,87.810142,188.495705,1589.540102,902.473889,0
