1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-79.384874,-59.501629,197.263101,4.119912,-1.245568,5.887131,-3.647044,1.828936,-5.885628,3.477467,0.066437,0.174544,-0.003573,-4.654478,188.495604,1013.386301,-1329.747087,0
0.001042,-30.399698,-140.612669,170.505120,3.647022,-3.454590,6.263239,-1.799035,4.024126,-6.170337,1.611624,0.055498,0.197901,0.003860,0.670710,188.495816,1012.476350,-1329.305217,0
0.002083,13.342313,-184.069206,111.824698,2.521092,-4.753584,4.889626,0.752608,5.368584,-4.707971,-0.962477,-0.013779,0.213266,0.037311,11.118435,188.571129,1011.837225,-1328.029435,0
0.003125,84.893440,-192.490379,58.588224,1.462718,-5.847087,3.303431,3.362243,6.549733,-3.111880,-3.498500,-0.024718,0.180469,-0.033307,21.881393,188.495669,1011.320306,-1328.138636,0
0.004167,150.376508,-147.624440,11.974411,0.595751,-5.538851,1.079487,5.032410,6.162347,-0.929116,-5.170142,-0.119518,0.188255,0.000144,23.592659,188.495673,1011.030756,-1327.311675,0
0.005208,201.090573,-87.384283,-39.123368,-0.451364,-4.382967,-1.381569,6.076264,4.943219,1.568552,-6.144950,-0.101287,0.196799,-0.014723,25.574124,188.495669,1009.977879,-1326.573272,0
0.006250,177.259030,-41.566999,-114.366519,-1.881295,-2.566578,-3.523750,6.192248,3.101235,3.686608,-6.247761,-0.104934,0.204033,0.022444,13.471425,188.571151,1009.354162,-1326.530415,0
0.007292,131.596032,1.666383,-184.979883,-3.288707,-0.636435,-4.983213,5.581400,1.114930,5.054071,-5.463346,-0.090349,0.219122,-0.003573,5.252848,188.495649,1008.963603,-1326.288574,0
0.008333,80.565569,59.710223,-197.228769,-3.558930,2.119339,-5.858074,3.636738,-1.718307,5.925451,-3.578464,-0.057533,0.205687,-0.022156,5.793247,188.495752,1008.605693,-1325.972682,0
0.009375,31.512593,140.374952,-170.568001,-2.995965,4.335700,-6.262799,1.792596,-3.924891,6.184276,-1.651696,-0.010133,0.200726,0.000144,-0.004790,188.495736,1007.858895,-1325.754281,0
0.010417,-12.862214,184.054645,-112.045550,-1.903813,5.623685,-4.876922,-0.782244,-5.284541,4.786618,0.987138,0.059144,0.197970,0.022444,-10.508807,188.571183,1008.019021,-1325.721084,0
0.011458,-84.854038,192.111722,-58.724015,-0.834180,6.819934,-3.221228,-3.368683,-6.446700,3.164643,3.435580,0.044560,0.183225,0.007577,-21.339315,188.495779,1007.418633,-1325.230605,0
0.012500,-150.687403,147.339743,-11.988685,0.044046,6.463995,-1.021813,-5.034983,-6.123878,0.938742,5.141494,0.117483,0.188462,0.048461,-23.534688,188.495669,1007.789080,-1325.368887,0
0.013542,-201.085070,87.181802,39.631616,1.034864,5.223713,1.471948,-6.055641,-4.855378,-1.567553,6.089646,0.113837,0.195834,0.003860,-24.075088,188.495709,1007.216101,-1324.754399,0
0.014583,-176.993629,40.976932,114.643886,2.521092,3.410993,3.601865,-6.179357,-2.971616,-3.668355,6.226729,0.128422,0.204929,0.007577,-13.379679,188.495662,1007.393091,-1324.974420,0
0.015625,-131.285431,-2.338665,184.904851,3.928504,1.447825,5.012270,-5.572375,-0.970120,-5.035817,5.434697,0.121129,0.197626,0.007577,-4.406795,188.495541,1007.031793,-1324.764075,0
0.016667,-79.215375,-59.724785,197.372466,4.086135,-1.293271,5.887131,-3.600650,1.870713,-5.958962,3.496506,0.081021,0.205273,-0.018440,-4.429311,188.495743,1007.500047,-1325.820433,0
