1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,70.757234,96.366400,-197.338134,-3.491375,-1.957446,-2.769784,4.649664,2.173332,2.866433,-4.999435,-0.064826,0.427752,-0.007290,64.347794,188.495651,1254.697084,-13.689630,0
0.001042,8.596345,150.663581,-169.450047,-2.973447,-0.416267,-3.772713,3.830045,0.568952,3.801223,-4.184557,-0.079410,0.436709,-0.011006,3.226349,188.344880,1255.307627,-14.002229,0
0.002083,-55.847129,186.485862,-120.272232,-2.050184,1.528554,-4.513465,2.759128,-1.305913,4.564046,-2.992702,-0.042949,0.431403,-0.025873,-59.065961,188.344853,1255.364979,-15.673857,0
0.003125,-112.369356,185.628476,-43.619487,-0.575216,3.007351,-4.442719,1.046434,-2.813957,4.383261,-1.309636,-0.017425,0.419415,0.015011,-114.051618,188.420197,1255.440035,-16.523019,0
0.004167,-166.202200,158.086428,24.672908,0.775900,4.221947,-3.847620,-0.616001,-3.966295,3.774766,0.282042,-0.006487,0.416934,-0.048173,-161.978306,188.495665,1255.458789,-16.614149,0
0.005208,-180.767804,94.287533,82.806506,1.856793,4.592564,-2.345308,-2.348025,-4.384990,2.227073,2.033649,0.055498,0.415005,-0.018440,-178.201552,188.344793,1256.065098,-16.609402,0
0.006250,-186.270868,20.423164,138.704196,2.960204,4.541191,-0.888773,-3.577454,-4.307179,0.811661,3.187425,0.022683,0.434435,-0.048173,-179.687651,188.269550,1255.657306,-15.655682,0
0.007292,-145.003540,-45.842183,172.753180,3.601985,3.686204,0.796647,-4.192168,-3.406799,-0.952093,3.830950,0.081021,0.389030,-0.051890,-136.951050,188.420251,1256.340158,-15.865554,0
0.008333,-69.599139,-96.275256,197.579045,4.074875,2.324829,2.785858,-4.656103,-2.091430,-2.878994,4.169848,0.091960,0.415281,-0.051890,-64.042140,188.495660,1256.794753,-15.333401,0
0.009375,-8.059745,-150.361027,169.946143,3.523169,0.761634,3.726363,-3.890610,-0.464818,-3.813783,3.393049,0.073729,0.430576,-0.055607,-3.641229,188.344889,1257.316366,-14.891386,0
0.010417,55.536234,-186.653109,121.120727,2.633685,-1.139153,4.571154,-2.769433,1.350763,-4.545741,2.220233,0.044560,0.428854,-0.040740,58.842473,188.269503,1257.175320,-15.431813,0
0.011458,112.329659,-185.748743,45.221385,1.203754,-2.643637,4.467115,-1.126329,2.877333,-4.404640,0.571438,0.022683,0.424238,-0.037023,114.233430,188.420204,1257.218995,-15.655376,0
0.012500,166.716200,-158.382869,-23.131768,-0.124844,-3.770165,3.838724,0.516774,4.011145,-3.787327,-1.008817,-0.017425,0.422722,-0.048173,162.801843,188.495667,1257.090268,-16.099633,0
0.013542,180.445609,-95.605790,-82.273954,-1.273292,-4.162799,2.423805,2.241067,4.407608,-2.314592,-2.783271,-0.032010,0.426787,-0.070474,178.270781,188.344919,1256.636450,-16.374373,0
0.014583,186.321570,-21.353837,-138.475436,-2.342926,-4.129773,0.938139,3.509156,4.366850,-0.810993,-3.963702,-0.090349,0.417072,-0.025873,180.162179,188.269487,1255.838607,-16.805172,0
0.015625,145.687039,45.851111,-171.880381,-2.984706,-3.278456,-0.755604,4.143201,3.481291,0.864573,-4.546302,-0.079410,0.444632,-0.011006,137.526904,188.420587,1254.638981,-16.237077,0
0.016667,69.762840,96.225459,-197.483954,-3.480115,-1.983132,-2.753138,4.576207,2.202974,2.857614,-4.980396,-0.079410,0.445872,-0.022156,63.616003,188.495678,1254.395249,-15.663052,0
0.017708,7.421152,149.571295,-170.203451,-2.973447,-0.364894,-3.676997,3.802982,0.606004,3.739491,-4.169325,-0.079410,0.403981,0.003860,3.361449,188.344918,1253.542045,-14.886866,0
0.018750,-55.711530,186.720762,-120.539568,-2.050184,1.418470,-4.492657,2.732065,-1.205871,4.519952,-3.026973,-0.035656,0.438224,-0.007290,-58.142778,188.269489,1253.026384,-13.482922,0
0.019792,-111.510562,185.781161,-44.871109,-0.597734,2.941301,-4.376134,1.123756,-2.702799,4.356805,-1.389601,0.000805,0.424582,-0.011006,-113.432410,188.420287,1252.132477,-12.223860,0
0.020833,-166.495998,158.133408,22.291181,0.697085,4.119202,-3.810166,-0.534812,-3.888484,3.765948,0.236348,0.022683,0.423962,-0.040740,-162.811422,188.495582,1251.174581,-11.973310,0
0.021875,-180.180208,97.024120,82.077405,1.845534,4.511835,-2.349470,-2.239774,-4.310884,2.302032,1.946069,0.029975,0.420724,-0.059323,-177.244594,188.344943,1250.446924,-11.125321,0
0.022917,-186.316067,22.877871,138.789257,2.903908,4.511835,-0.917904,-3.569721,-4.296063,0.899848,3.149347,0.066437,0.427131,-0.018440,-180.014142,188.269552,1250.301287,-10.554019,0
0.023958,-146.845428,-44.890837,171.732439,3.579466,3.649509,0.705093,-4.114845,-3.410505,-0.850677,3.701484,0.088314,0.440636,-0.040740,-138.155691,188.420329,1248.691837,-9.585941,0
0.025000,-70.977729,-96.040356,197.579045,4.097394,2.321160,2.715112,-4.598111,-2.135893,-2.817262,4.101307,0.033621,0.433057,-0.048173,-63.816974,188.495593,1247.857688,-9.008573,0
0.026042,-8.195344,-149.339212,170.723850,3.545688,0.728609,3.676425,-3.859681,-0.538923,-3.730005,3.358778,0.070083,0.440911,-0.022156,-2.999504,188.344858,1246.686945,-8.127499,0
0.027083,55.728333,-186.958479,120.744025,2.644944,-1.080441,4.504569,-2.773299,1.313710,-4.545741,2.254504,0.055498,0.432230,-0.037023,58.808698,188.269622,1246.846637,-7.262136,0
0.028125,111.290066,-186.324248,44.589498,1.215013,-2.559239,4.392208,-1.153392,2.836575,-4.325271,0.601900,0.044560,0.417485,-0.044457,113.208923,188.420316,1245.683525,-6.859767,0
0.029167,166.320702,-158.147969,-22.791521,-0.091066,-3.770165,3.851209,0.466515,3.974092,-3.831420,-0.955507,0.011744,0.419484,-0.029590,163.162109,188.420300,1245.495722,-5.860793,0
0.030208,180.264810,-96.745056,-81.848646,-1.262033,-4.118765,2.448774,2.109618,4.366850,-2.341049,-2.688075,-0.039302,0.427958,-0.025873,177.482698,188.344865,1244.732478,-4.962657,0
0.031250,186.287670,-22.563573,-138.232402,-2.354185,-4.137112,0.954785,3.458897,4.389082,-0.863905,-3.910392,-0.042949,0.413283,-0.063040,180.635029,188.269424,1244.597556,-4.255517,0
0.032292,147.269028,44.171575,-171.515831,-3.018484,-3.304142,-0.680696,4.100674,3.507228,0.824889,-4.534878,-0.083057,0.433332,-0.044457,139.305719,188.420292,1244.741067,-4.334766,0
0.033333,72.520022,95.661699,-196.961432,-3.513893,-2.049182,-2.678230,4.568475,2.240027,2.756199,-4.988011,-0.090349,0.434573,-0.037023,65.574951,188.420316,1244.488389,-3.761578,0
0.034375,9.737637,149.242435,-170.665214,-3.007225,-0.452962,-3.647867,3.849375,0.639352,3.730672,-4.169325,-0.075764,0.436915,-0.029590,4.554832,188.344858,1244.537562,-4.078885,0
0.035417,-54.852736,186.450627,-121.414489,-2.027666,1.407461,-4.471850,2.728199,-1.172524,4.528771,-3.061243,-0.050241,0.426442,-0.025873,-57.816287,188.269509,1244.777964,-3.859127,0
0.036458,-111.103764,186.215727,-44.956171,-0.575216,2.992673,-4.413588,1.112158,-2.710209,4.330349,-1.423871,0.011744,0.418795,-0.011006,-112.700619,188.420318,1244.708604,-3.745337,0
0.037500,-165.874502,158.250858,22.692186,0.719604,4.111863,-3.818489,-0.546410,-3.884779,3.792404,0.194461,0.011744,0.415074,-0.033307,-162.169698,188.420379,1244.768405,-3.056431,0
0.038542,-180.327107,96.448615,81.712855,1.845534,4.544860,-2.399408,-2.232042,-4.296063,2.337307,1.907990,0.033621,0.397367,-0.048173,-176.996911,188.344901,1244.510593,-2.248826,0
0.039583,-186.293467,21.550685,137.817123,2.926427,4.533852,-0.951196,-3.523328,-4.314590,0.899848,3.107460,0.084667,0.411973,-0.014723,-180.239309,188.269492,1244.049629,-1.658165,0
0.040625,-146.721129,-44.996542,171.465102,3.579466,3.726568,0.692608,-4.138042,-3.406799,-0.841858,3.754794,0.073729,0.417417,-0.014723,-138.819932,188.344948,1244.498177,-1.738016,0
0.041667,-71.700925,-95.535320,197.165888,4.097394,2.357855,2.710950,-4.621308,-2.132188,-2.781987,4.139386,0.077375,0.435744,-0.037023,-65.820956,188.420314,1244.591471,-1.677457,0
0.042708,-9.709534,-149.010351,171.051946,3.601985,0.846032,3.634810,-3.867413,-0.564860,-3.677092,3.370201,0.066437,0.392406,-0.014723,-5.104811,188.344834,1244.265671,-1.502673,0
0.043750,54.598341,-186.559149,122.226529,2.633685,-1.047416,4.492085,-2.835157,1.258131,-4.536922,2.277351,0.051852,0.424169,-0.029590,57.750416,188.269575,1244.187609,-1.319696,0
0.044792,111.007568,-186.218543,46.606676,1.192494,-2.518875,4.379723,-1.211384,2.803228,-4.316453,0.624748,0.011744,0.422102,-0.022156,112.837398,188.420285,1243.978376,-1.389022,0
0.045833,166.207703,-158.488574,-21.272562,-0.079807,-3.704115,3.834563,0.420121,3.925923,-3.782917,-0.989777,-0.002841,0.422240,-0.022156,162.903168,188.420247,1243.051550,-2.343437,0
0.046875,180.197011,-97.719892,-81.338276,-1.250774,-4.096748,2.461258,2.105752,4.348324,-2.332230,-2.646189,-0.039302,0.419277,-0.011006,177.235015,188.420294,1242.614795,-2.333606,0
0.047917,186.332870,-22.410888,-137.588364,-2.331667,-4.133443,0.954785,3.404771,4.326092,-0.828630,-3.879929,-0.042949,0.421137,-0.055607,180.770129,188.269425,1241.440295,-2.799146,0
0.048958,147.495027,44.970235,-170.580152,-2.984706,-3.252769,-0.689019,4.031083,3.477586,0.749929,-4.473953,-0.072118,0.395437,-0.029590,139.508369,188.420233,1240.159240,-1.842640,0
0.050000,71.638628,95.626464,-196.791308,-3.491375,-1.983132,-2.690715,4.533680,2.195564,2.769427,-4.957549,-0.097641,0.398676,-0.011006,65.349785,188.420254,1239.486877,-2.245920,0
0.051042,8.573745,148.443774,-171.236343,-3.007225,-0.504334,-3.610413,3.830045,0.676405,3.660122,-4.180749,-0.064826,0.424031,-0.033307,4.948873,188.344802,1238.857163,-1.200606,0
0.052083,-54.739737,186.391902,-121.864101,-2.027666,1.389114,-4.446880,2.801655,-1.146587,4.436174,-3.106937,-0.090349,0.423273,-0.025873,-56.949396,188.269541,1238.101513,-0.451727,0
0.053125,-110.414469,186.203982,-46.669556,-0.642772,2.871581,-4.401104,1.139221,-2.636104,4.347986,-1.461950,0.015390,0.427407,-0.025873,-112.058895,188.344914,1237.877390,0.061023,0
0.054167,-166.168300,158.192133,20.274003,0.697085,4.053151,-3.847620,-0.469088,-3.829200,3.783585,0.148767,0.011744,0.424789,-0.033307,-162.924005,188.420260,1237.141721,0.215434,0
0.055208,-180.146308,98.915067,81.093120,1.800497,4.438446,-2.441023,-2.162451,-4.277537,2.332898,1.888951,0.037267,0.424582,-0.025873,-176.388962,188.344865,1237.039775,-0.349480,0
0.056250,-186.327367,23.793982,137.829275,2.937686,4.489818,-0.988650,-3.515596,-4.273832,0.913076,3.099845,0.066437,0.428716,-0.018440,-180.464475,188.269539,1236.676840,-0.907689,0
0.057292,-148.495217,-43.998216,170.699547,3.568207,3.667856,0.634347,-4.087782,-3.451263,-0.775718,3.663405,0.073729,0.432023,-0.011006,-139.990798,188.420260,1236.009863,-0.130772,0
0.058333,-72.638819,-95.394380,196.874248,4.108653,2.390880,2.648527,-4.613576,-2.135893,-2.764350,4.120346,0.106545,0.434710,-0.044457,-65.258039,188.420399,1235.717228,-0.190513,0
0.059375,-9.121938,-148.293906,171.793198,3.568207,0.864379,3.605679,-3.859681,-0.564860,-3.681501,3.294045,0.088314,0.409700,0.003860,-4.215403,188.344979,1234.956305,-0.678990,0
0.060417,54.767840,-186.559149,121.910585,2.656203,-1.021730,4.450469,-2.804228,1.221079,-4.488419,2.307814,0.066437,0.422653,-0.040740,57.604057,188.269559,1234.460977,0.214769,0
0.061458,110.024474,-186.923244,46.144912,1.203754,-2.518875,4.396369,-1.215250,2.718007,-4.369365,0.674249,0.048206,0.422584,-0.044457,111.869182,188.344921,1234.592524,1.513505,0
