1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,178.920119,-133.612643,-12.450449,0.100342,-5.957171,2.615235,3.953761,6.326936,-2.495377,-4.424451,-0.050241,0.325091,-0.011006,179.430388,188.287313,1468.189266,-865.312832,0
0.001042,196.423703,-72.750001,-70.183041,-1.048106,-5.201259,0.047571,5.434487,5.485841,0.167890,-5.879046,-0.112226,0.329293,-0.011006,189.979438,188.347509,1468.379194,-865.180524,0
0.002083,172.366162,-20.061886,-148.561323,-2.545593,-3.891258,-2.307854,6.319830,4.300155,2.447542,-6.686309,-0.093995,0.337837,-0.011006,167.023714,188.427653,1469.473311,-865.594201,0
0.003125,123.019389,32.003744,-189.852704,-3.311226,-1.953776,-4.064020,5.821100,2.243732,4.158383,-6.054207,-0.079410,0.351341,0.018727,115.775821,188.417485,1469.805204,-865.640876,0
0.004167,58.056118,95.332839,-198.674817,-3.513893,0.636872,-5.836831,4.920292,-0.264733,5.988277,-5.182211,-0.072118,0.342453,0.018727,52.898078,188.281160,1470.433195,-865.445918,0
0.005208,4.957769,154.880040,-162.778779,-2.827076,2.904606,-6.336215,2.998828,-2.524946,6.279296,-3.190710,-0.032010,0.334530,0.015011,1.965417,188.280091,1470.559541,-865.699391,0
0.006250,-44.276006,201.472495,-93.915256,-1.543516,4.974189,-5.749439,0.454916,-4.644358,5.745761,-0.688958,0.000805,0.319096,-0.014723,-47.098362,188.430945,1470.110357,-866.211618,0
0.007292,-114.979639,182.610009,-38.661605,-0.462623,6.163098,-4.463527,-1.895689,-5.807812,4.343577,1.690943,0.059144,0.318063,-0.018440,-116.494675,188.429570,1470.138211,-865.984983,0
0.008333,-178.756417,133.175261,12.533388,0.494418,6.603435,-2.540900,-4.018192,-6.230213,2.469589,3.724331,0.077375,0.320957,-0.022156,-179.102218,188.277338,1470.251349,-865.696126,0
0.009375,-196.508600,72.406579,70.411801,1.620348,5.873210,0.043410,-5.487320,-5.415054,-0.127538,5.175119,0.117483,0.327502,0.018727,-189.572460,188.339696,1470.242560,-865.249898,0
0.010417,-172.179861,19.918129,148.899448,3.117835,4.519174,2.286474,-6.314671,-4.188611,-2.438055,5.932879,0.153945,0.341144,0.007577,-166.594219,188.442269,1469.952697,-865.075263,0
0.011458,-122.991286,-31.842131,190.130070,3.951023,2.519311,4.080093,-5.796610,-2.121072,-4.162124,5.285546,0.135714,0.348517,-0.025873,-115.447650,188.500910,1469.611891,-865.054504,0
0.012500,-58.107115,-95.429615,198.757757,4.097394,-0.027303,5.907005,-4.903535,0.398510,-5.974381,4.451629,0.110191,0.339008,0.000144,-52.479841,188.271408,1469.942974,-865.504269,0
0.013542,-4.986166,-155.117757,162.849567,3.399317,-2.313384,6.298188,-2.974338,2.666133,-6.265400,2.456319,0.081021,0.335012,-0.014723,-1.637247,188.475581,1470.420947,-864.899346,0
0.014583,44.484907,-201.780682,94.119712,2.160794,-4.335264,5.802966,-0.465222,4.722556,-5.789187,-0.045433,0.026329,0.310415,-0.029590,47.640440,188.406177,1470.368584,-864.731902,0
