1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,183.428789,-123.570659,-6.994348,0.167898,-5.186582,0.208715,5.349433,5.759769,-0.074992,-5.493809,-0.115872,0.197488,0.007577,-0.545189,188.420636,993.417974,-1307.572675,0
0.001042,191.621235,-68.674482,-69.672671,-1.081884,-3.461929,-2.354544,6.006674,4.088690,2.565030,-6.243953,-0.126811,0.200519,-0.003573,-0.601481,188.420522,993.535486,-1308.952788,0
0.002083,167.518494,-20.977996,-149.436244,-2.601890,-1.795989,-4.243261,6.041469,2.326462,4.290535,-6.030714,-0.104934,0.210096,-0.011006,0.276668,188.496192,993.357782,-1308.739657,0
0.003125,111.877662,26.941645,-192.756953,-3.446337,0.574491,-5.224413,4.537546,-0.157368,5.243876,-4.507578,-0.108580,0.224772,0.000144,2.224359,188.420656,993.347811,-1308.805421,0
0.004167,58.892312,94.733843,-194.190851,-3.412560,3.091749,-6.189212,2.967899,-2.663986,6.106629,-2.874013,-0.090349,0.207340,-0.011006,3.856816,188.420649,992.623828,-1309.519371,0
0.005208,12.133221,158.427033,-148.828660,-2.613149,4.889791,-5.682284,0.640490,-4.528758,5.666625,-0.551230,-0.002841,0.197143,-0.011006,4.340924,188.420824,993.479635,-1310.193830,0
0.006250,-41.360625,203.281226,-88.386245,-1.419663,6.185115,-4.230997,-1.922751,-5.808652,4.109357,2.068565,0.040913,0.195627,0.022444,4.757482,188.496053,993.363475,-1310.333593,0
0.007292,-114.403343,172.826415,-40.034743,-0.507660,6.603435,-2.182843,-4.196034,-6.271996,2.090517,4.296153,0.081021,0.184190,-0.018440,2.595883,188.420602,994.059528,-1310.504821,0
0.008333,-183.208588,123.426903,7.636265,0.415603,6.104386,-0.191922,-5.456391,-5.664331,0.045794,5.476584,0.088314,0.194525,-0.018440,1.042234,188.420593,994.219720,-1311.158743,0
0.009375,-191.604432,67.802535,70.278132,1.654126,4.324692,2.449011,-6.152294,-3.966668,-2.576973,6.177227,0.106545,0.199624,-0.003573,1.244884,188.420690,995.008179,-1312.072530,0
0.010417,-167.049695,19.812424,149.616397,3.174131,2.662421,4.280495,-6.121365,-2.219631,-4.298164,5.960180,0.128422,0.210028,0.003860,0.242893,188.496096,995.368323,-1312.369736,0
0.011458,-110.357969,-27.332047,193.411021,3.996060,0.321297,5.192148,-4.528521,0.290785,-5.311898,4.463698,0.121129,0.191287,-0.003573,-1.671022,188.420708,996.286382,-1313.428219,0
0.012500,-57.282220,-94.948070,194.188728,4.029838,-2.214309,6.210093,-2.978204,2.782211,-6.183278,2.788247,0.066437,0.197143,-0.007290,-3.359771,188.420746,996.997161,-1313.496695,0
0.013542,-10.929926,-158.970120,148.595656,3.207909,-4.041706,5.662283,-0.689457,4.620397,-5.618175,0.518774,0.004452,0.223876,-0.003573,-3.911428,188.420663,998.435927,-1313.516584,0
0.014583,41.716426,-203.366258,87.606416,2.048201,-5.300335,4.206908,1.881517,5.904089,-4.086790,-2.127676,-0.035656,0.197005,-0.018440,-4.024012,188.498468,998.650294,-1313.842028,0
0.015625,114.567044,-172.852722,39.339976,1.068642,-5.689299,2.166930,4.131603,6.378827,-2.059322,-4.340033,-0.108580,0.180883,-0.003573,-2.166388,188.496201,999.337273,-1313.591757,0
0.016667,183.315790,-122.889449,-7.735600,0.145379,-5.193921,0.155569,5.411291,5.744577,-0.074992,-5.478577,-0.126811,0.195007,-0.022156,-0.421348,188.345191,999.383816,-1312.951270,0
0.017708,191.711635,-67.406021,-70.085828,-1.014329,-3.410557,-2.452659,6.018272,4.054509,2.577972,-6.209683,-0.137749,0.197350,-0.018440,-0.567706,188.420743,999.111680,-1312.310100,0
0.018750,167.122997,-19.803495,-149.545609,-2.568112,-1.755624,-4.271878,6.072398,2.315068,4.333673,-6.015483,-0.108580,0.208925,-0.018440,0.344218,188.496096,999.103576,-1312.285638,0
0.019792,110.612071,27.564130,-193.303779,-3.367522,0.603847,-5.199884,4.522081,-0.180156,5.256818,-4.465691,-0.079410,0.220638,0.003860,2.269392,188.496078,998.897152,-1312.037332,0
0.020833,57.852719,95.250624,-193.874907,-3.480115,3.117435,-6.156507,2.902174,-2.671582,6.171335,-2.813088,-0.075764,0.209683,-0.007290,3.766749,188.345279,998.931011,-1312.290632,0
0.021875,11.195327,158.873343,-148.379048,-2.579371,4.900799,-5.649579,0.617294,-4.578130,5.627801,-0.555038,-0.017425,0.201691,-0.022156,4.397215,188.496105,998.995431,-1312.254525,0
0.022917,-41.903022,203.234246,-87.511325,-1.464701,6.170437,-4.198292,-1.942082,-5.820046,4.105043,2.091412,0.037267,0.193974,-0.007290,4.746223,188.496065,999.135437,-1312.166623,0
0.023958,-115.002239,172.673730,-39.232733,-0.496401,6.577748,-2.174666,-4.192168,-6.218826,2.068948,4.296153,0.117483,0.183570,-0.018440,2.528333,188.496025,998.918194,-1311.527023,0
0.025000,-183.875283,122.863142,8.073725,0.449381,6.078700,-0.167393,-5.444793,-5.626352,0.037166,5.404235,0.084667,0.196385,-0.003573,0.929651,188.345288,998.739289,-1310.426798,0
0.026042,-191.389734,68.072670,70.910019,1.631607,4.299006,2.440835,-6.109766,-3.886912,-2.533836,6.161995,0.099252,0.200588,-0.011006,1.233626,188.496111,998.143880,-1309.858440,0
0.027083,-167.049695,20.340949,150.321194,3.162872,2.640404,4.255966,-6.055641,-2.215833,-4.293850,5.971603,0.091960,0.209545,0.033594,0.287927,188.496134,998.329682,-1310.132028,0
0.028125,-111.069865,-27.543457,193.204443,3.984801,0.244238,5.216677,-4.543985,0.267997,-5.264447,4.406580,0.110191,0.217607,-0.007290,-1.716055,188.495980,997.744585,-1309.483693,0
0.029167,-58.220114,-95.746731,193.836330,3.984801,-2.232656,6.181476,-2.997535,2.801200,-6.109944,2.753977,0.040913,0.212715,-0.011006,-3.280962,188.420549,996.855781,-1309.308893,0
0.030208,-11.110725,-159.122805,148.449836,3.207909,-4.001342,5.621402,-0.673993,4.624195,-5.600920,0.450232,0.004452,0.191287,-0.007290,-3.832620,188.420600,996.013834,-1309.664066,0
0.031250,42.473521,-203.225318,87.995270,2.059460,-5.263641,4.202820,1.924044,5.926877,-4.035025,-2.139100,-0.024718,0.189495,0.000144,-3.922687,188.495872,995.652019,-1309.942632,0
0.032292,115.301540,-172.488626,39.473644,1.102420,-5.648935,2.138313,4.123870,6.329455,-2.037753,-4.347648,-0.042949,0.187222,0.018727,-2.177646,188.495995,995.223117,-1309.618564,0
0.033333,183.756487,-122.678039,-7.942179,0.179157,-5.182912,0.176010,5.391960,5.748375,-0.053423,-5.470962,-0.104934,0.195007,-0.018440,-0.500156,188.345256,995.293090,-1309.656906,0
0.034375,191.338737,-67.218101,-71.009355,-1.070625,-3.399548,-2.428131,6.103327,4.027924,2.543462,-6.221106,-0.130457,0.202242,-0.011006,-0.601481,188.420600,995.535442,-1309.237821,0
0.035417,166.795299,-19.310205,-149.849401,-2.511815,-1.744616,-4.259614,6.033737,2.322664,4.268966,-6.000252,-0.123164,0.206238,0.018727,0.287927,188.496062,995.759656,-1308.185504,0
0.036458,109.787176,28.092656,-193.644025,-3.412560,0.614855,-5.248942,4.475688,-0.206741,5.261131,-4.484731,-0.137749,0.204998,-0.003573,2.246875,188.496011,996.064692,-1308.185485,0
0.037500,57.152124,95.720424,-193.680480,-3.401300,3.146791,-6.205565,2.913773,-2.698167,6.179963,-2.790241,-0.057533,0.191907,0.022444,3.890591,188.420560,996.006119,-1308.254352,0
0.038542,10.788530,159.812944,-147.443370,-2.545593,4.952172,-5.657755,0.582499,-4.578130,5.619174,-0.555038,0.019036,0.213817,-0.018440,4.374699,188.420614,996.341109,-1307.878423,0
0.039583,-42.208120,203.152031,-86.842983,-1.374626,6.214471,-4.181939,-1.996208,-5.858025,4.044651,2.133299,0.048206,0.197281,0.003860,4.734965,188.496071,995.722384,-1308.268120,0
0.040625,-115.894933,172.333125,-38.527936,-0.462623,6.599765,-2.133785,-4.288821,-6.309975,2.012869,4.353270,0.066437,0.178954,-0.003573,2.562108,188.496031,996.151698,-1309.493107,0
0.041667,-183.615385,122.252402,8.839280,0.471899,6.071361,-0.110160,-5.479588,-5.611161,-0.010285,5.430890,0.110191,0.193560,-0.025873,0.997201,188.345277,995.809486,-1309.650102,0
0.042708,-191.389734,66.733739,71.675574,1.687904,4.269650,2.485805,-6.194821,-3.890709,-2.628738,6.173419,0.128422,0.196661,0.003860,1.233626,188.420725,995.908117,-1310.204182,0
0.043750,-166.823696,18.943293,150.163222,3.151613,2.618387,4.305023,-6.074971,-2.177854,-4.328360,5.948756,0.121129,0.206789,-0.007290,0.220377,188.496044,995.552779,-1310.115851,0
0.044792,-109.318376,-28.142452,194.273790,4.018579,0.236899,5.216677,-4.524655,0.321168,-5.324839,4.402772,0.106545,0.220156,-0.003573,-1.704797,188.496004,995.819621,-1310.667650,0
0.045833,-57.135321,-96.028611,193.568993,4.007319,-2.302376,6.181476,-2.993669,2.850573,-6.140140,2.681628,0.015390,0.205273,0.003860,-3.382287,188.345259,995.235315,-1311.070313,0
0.046875,-10.703928,-160.520461,147.429096,3.151613,-4.045376,5.654107,-0.619867,4.665972,-5.587979,0.438809,-0.010133,0.199279,0.011294,-3.956462,188.496141,995.564110,-1311.240420,0
0.047917,42.722119,-202.943438,87.229714,2.036942,-5.318683,4.190556,1.943375,5.949664,-4.047966,-2.207641,-0.072118,0.194043,0.022444,-4.035270,188.495897,995.448421,-1311.723949,0
0.048958,116.363733,-172.277216,38.938971,1.091161,-5.670952,2.146490,4.201193,6.390221,-2.007557,-4.442844,-0.075764,0.182674,-0.033307,-2.155130,188.496156,995.853704,-1313.142548,0
0.050000,183.699988,-122.478373,-8.489004,0.156639,-5.116862,0.126952,5.438353,5.687609,0.045794,-5.493809,-0.119518,0.197005,-0.025873,-0.466381,188.345214,994.589109,-1313.635652,0
0.051042,191.463036,-67.417766,-71.702000,-1.059366,-3.384870,-2.444483,6.080130,3.974753,2.608168,-6.240146,-0.119518,0.200175,0.003860,-0.590223,188.496080,994.033672,-1314.525858,0
0.052083,166.738800,-19.521615,-150.335467,-2.613149,-1.733608,-4.271878,5.995076,2.227716,4.312104,-5.973597,-0.108580,0.207754,-0.014723,0.355477,188.496027,992.868064,-1315.300213,0
0.053125,110.193973,28.245341,-193.996424,-3.502634,0.640541,-5.167179,4.433161,-0.180156,5.252504,-4.450460,-0.079410,0.220707,-0.011006,2.258133,188.496029,992.824699,-1315.136725,0
0.054167,57.818819,96.413380,-193.145807,-3.412560,3.128444,-6.136067,2.848049,-2.705763,6.106629,-2.733123,-0.072118,0.213059,0.011294,3.766749,188.345261,991.701584,-1314.727504,0
0.055208,10.969329,160.317979,-147.261095,-2.579371,4.948502,-5.604609,0.563168,-4.559141,5.606232,-0.490304,-0.010133,0.193078,0.007577,4.430990,188.496143,991.064254,-1314.873593,0
0.056250,-42.807016,202.752701,-87.243988,-1.442182,6.185115,-4.141058,-2.007806,-5.812450,4.014454,2.148530,0.044560,0.181847,0.000144,4.746223,188.496145,990.509514,-1314.462714,0
0.057292,-116.426029,172.016010,-38.552240,-0.451364,6.596096,-2.101080,-4.250160,-6.253007,2.012869,4.353270,0.095606,0.182054,0.026161,2.562108,188.496264,990.227353,-1313.913001,0
0.058333,-183.988283,121.923541,8.948645,0.471899,6.042005,-0.065190,-5.479588,-5.561788,-0.057737,5.423274,0.099252,0.195214,0.011294,0.963426,188.345232,989.475242,-1313.856118,0
0.059375,-191.242835,66.393134,72.222400,1.665385,4.269650,2.485805,-6.167758,-3.886912,-2.663248,6.173419,0.135714,0.200037,-0.007290,1.256143,188.496038,989.475764,-1314.019997,0
0.060417,-166.190900,18.520473,150.758654,3.241687,2.625726,4.272318,-6.032444,-2.120885,-4.302478,5.895446,0.124775,0.197281,0.026161,0.265410,188.496123,988.683265,-1313.342940,0
0.061458,-108.843779,-28.717958,194.140122,4.108653,0.174518,5.192148,-4.470529,0.362945,-5.255819,4.372310,0.095606,0.190529,0.015011,-1.738572,188.495955,987.973546,-1312.553809,0
0.062500,-56.321726,-96.674586,193.167988,4.097394,-2.269351,6.161036,-2.939543,2.835381,-6.109944,2.693051,0.059144,0.187842,-0.014723,-3.303479,188.345221,988.273098,-1311.701239,0
0.063542,-9.879033,-160.391266,146.894422,3.174131,-4.089409,5.609138,-0.616001,4.681164,-5.626803,0.457848,0.015390,0.229182,-0.003573,-3.900170,188.496015,989.017342,-1311.525427,0
0.064583,43.185416,-203.072633,86.512766,2.036942,-5.296666,4.129234,1.951107,5.907887,-3.991887,-2.169563,-0.028364,0.193698,0.007577,-3.855137,188.496060,988.789006,-1310.392874,0
0.065625,116.691430,-171.948356,37.978989,1.046123,-5.641596,2.134225,4.224390,6.359838,-1.955792,-4.431421,-0.097641,0.181779,0.000144,-2.166388,188.496096,988.372597,-1309.800376,0
0.066667,183.959886,-121.550518,-9.047981,0.122861,-5.131540,0.057454,5.419023,5.725588,0.045794,-5.509040,-0.115872,0.195421,-0.018440,-0.466381,188.420755,989.083532,-1309.746163,0
