1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,135.991703,-172.347686,12.545540,0.595751,-3.190388,4.096529,-0.329907,3.549388,-4.004828,0.752525,0.029975,0.402879,-0.014723,-87.504489,188.482715,1232.640846,-15.708237,0
0.001042,176.513235,-124.381065,-48.747492,-0.631512,-4.122434,3.021350,1.622487,4.521651,-2.930702,-1.151396,-0.039302,0.398262,-0.018440,-61.689150,188.487626,1233.432678,-16.277123,0
0.002083,187.937460,-50.634147,-103.903930,-1.723664,-4.393975,1.680442,3.037489,4.700153,-1.533043,-2.510796,-0.079410,0.413351,-0.011006,-23.692305,188.418999,1233.954958,-17.348346,0
0.003125,159.631147,9.429835,-158.659363,-2.782039,-3.876580,0.053366,4.073611,4.274788,0.097559,-3.569376,-0.057533,0.398400,-0.040740,7.009146,188.494062,1234.596507,-17.948329,0
0.004167,110.453872,68.319315,-180.447310,-3.232411,-2.779407,-1.720884,4.506617,3.089841,1.827377,-3.896850,-0.064826,0.424100,-0.044457,37.147681,188.493809,1235.534951,-18.087923,0
0.005208,35.637066,122.804417,-186.486691,-3.345004,-1.212543,-3.233493,4.355838,1.525104,3.311311,-3.748344,-0.050241,0.414661,-0.014723,63.683553,188.491853,1235.744151,-18.517348,0
0.006250,-30.196299,159.636769,-152.571375,-2.725742,0.534127,-4.157411,3.393172,-0.275103,4.139553,-2.701188,-0.079410,0.413696,-0.014723,83.261779,188.418080,1236.175347,-18.994371,0
0.007292,-82.548853,187.460698,-76.854309,-1.250774,2.467939,-4.545783,1.873785,-2.295589,4.549361,-1.219937,-0.024718,0.405428,-0.003573,97.424752,188.489600,1236.578833,-19.679363,0
0.008333,-136.053999,172.391850,-12.183112,-0.012251,3.634831,-4.038855,0.265476,-3.412173,3.958375,0.417435,0.022683,0.400881,-0.044457,85.738611,188.492980,1236.451015,-20.204756,0
0.009375,-176.406033,124.307779,48.842583,1.181235,4.537521,-2.963676,-1.663721,-4.414820,2.918759,2.351818,0.062790,0.396333,-0.033307,61.229238,188.491987,1237.045009,-21.027849,0
0.010417,-188.135355,50.772270,103.938263,2.250869,4.779707,-1.610504,-3.082589,-4.559141,1.499531,3.650292,0.066437,0.406186,-0.055607,23.344975,188.418661,1236.689536,-21.344629,0
0.011458,-159.614344,-9.103791,158.863819,3.286724,4.284328,0.004308,-4.153506,-4.164159,-0.113815,4.781221,0.070083,0.416934,-0.007290,-6.624685,188.493651,1237.226046,-21.519147,0
0.012500,-110.583968,-68.005017,180.797586,3.692059,3.146791,1.778558,-4.574914,-2.941233,-1.830692,5.028731,0.102898,0.419966,0.022444,-36.391695,188.492307,1237.020294,-21.744881,0
0.013542,-35.733262,-122.807234,186.508872,3.917245,1.645977,3.274814,-4.424135,-1.433465,-3.327568,4.914496,0.099252,0.417692,-0.011006,-63.591807,188.493333,1237.010792,-20.945315,0
0.014583,29.975803,-159.968446,152.812286,3.207909,-0.111701,4.125146,-3.473068,0.427509,-4.155810,3.836877,0.048206,0.410802,-0.022156,-82.584601,188.417950,1237.103205,-21.857631,0
0.015625,82.509156,-187.768885,77.532680,1.755459,-2.027165,4.554400,-1.930484,2.334058,-4.591500,2.355626,0.033621,0.405428,-0.040740,-96.826382,188.492010,1236.944983,-21.718219,0
0.016667,136.025603,-172.629567,13.189579,0.573233,-3.267447,4.076088,-0.349238,3.575973,-3.961691,0.699215,-0.002841,0.402534,-0.059323,-85.264082,188.494144,1236.757155,-22.913714,0
0.017708,176.445435,-124.451535,-48.139908,-0.620253,-4.096748,3.037702,1.634085,4.544439,-2.900505,-1.200898,-0.017425,0.397160,-0.055607,-60.563318,188.492475,1236.861775,-23.951496,0
0.018750,188.129558,-51.162672,-103.721655,-1.712405,-4.390306,1.627297,3.076150,4.749526,-1.554612,-2.518411,-0.032010,0.403843,-0.018440,-23.759855,188.417905,1237.626903,-23.899132,0
0.019792,159.642447,8.642919,-158.878093,-2.827076,-3.898597,0.057454,4.135469,4.267192,0.123441,-3.618878,-0.053887,0.417141,-0.037023,6.761463,188.492303,1238.107033,-24.702645,0
0.020833,111.030168,67.802535,-180.641737,-3.254929,-2.772068,-1.745412,4.514349,3.040468,1.831691,-3.912082,-0.090349,0.419621,-0.040740,37.406623,188.493680,1238.065740,-25.470243,0
0.021875,36.348961,122.851397,-186.486691,-3.356263,-1.241898,-3.245757,4.390633,1.525104,3.324252,-3.801654,-0.068472,0.419966,-0.029590,64.426602,188.493503,1238.831803,-25.592577,0
0.022917,-29.552203,159.871669,-152.619982,-2.725742,0.519449,-4.149234,3.393172,-0.313082,4.165436,-2.685956,-0.053887,0.416659,-0.014723,84.049862,188.417760,1239.077826,-26.406930,0
0.023958,-82.187255,187.589893,-77.194556,-1.262033,2.526650,-4.594841,1.873785,-2.287993,4.592498,-1.181859,-0.024718,0.405015,-0.055607,97.008194,188.487707,1239.329830,-26.886376,0
0.025000,-136.053999,172.297890,-13.033729,-0.023510,3.675195,-4.059295,0.226815,-3.457748,4.018768,0.470744,0.026329,0.402121,-0.044457,87.573717,188.495144,1240.266825,-27.763612,0
0.026042,-176.756330,124.483954,48.198545,1.169976,4.563208,-3.004557,-1.683052,-4.456597,2.918759,2.374665,0.055498,0.399503,-0.014723,62.163679,188.495218,1240.859822,-28.312437,0
0.027083,-187.988456,51.453481,103.731684,2.262128,4.842088,-1.594152,-3.117385,-4.578130,1.486590,3.707410,0.070083,0.406737,-0.044457,25.720482,188.419954,1241.408508,-29.149525,0
0.028125,-159.908142,-8.246405,158.778757,3.331761,4.306345,0.053366,-4.172837,-4.194542,-0.144012,4.811684,0.091960,0.418932,0.000144,-5.904152,188.495276,1242.063868,-29.772379,0
0.029167,-111.035965,-67.488236,180.627463,3.770874,3.190825,1.803086,-4.574914,-2.933637,-1.895399,5.097272,0.110191,0.417003,-0.014723,-36.785736,188.495155,1243.061882,-30.826412,0
0.030208,-36.298259,-122.701529,186.715450,3.894726,1.605613,3.340224,-4.458930,-1.384092,-3.396588,4.929727,0.121129,0.421137,-0.037023,-63.332866,188.495264,1243.728504,-32.051935,0
0.031250,29.489907,-159.733545,152.739376,3.286724,-0.108031,4.227349,-3.492399,0.442701,-4.142869,3.833069,0.095606,0.410595,-0.029590,-83.969375,188.419916,1243.493037,-32.347836,0
0.032292,81.955460,-187.898080,78.237477,1.823015,-2.038174,4.583016,-1.926618,2.398622,-4.591500,2.348010,0.022683,0.406324,-0.018440,-96.342274,188.495291,1243.857773,-33.388418,0
0.033333,135.777004,-172.429901,13.894376,0.584492,-3.234422,4.100617,-0.326041,3.553186,-3.978946,0.722062,0.015390,0.403499,-0.022156,-87.605814,188.495253,1243.755838,-33.117903,0
0.034375,176.411536,-124.980061,-47.714600,-0.631512,-4.115096,3.009085,1.622487,4.552035,-2.939329,-1.170435,-0.021072,0.399847,-0.025873,-61.970608,188.492377,1244.088398,-32.714578,0
0.035417,187.993959,-51.961333,-103.344953,-1.701146,-4.423331,1.635473,3.060686,4.722940,-1.558926,-2.526027,-0.013779,0.411078,-0.044457,-24.277738,188.421186,1243.822509,-33.061643,0
0.036458,159.992744,7.668083,-158.501391,-2.793298,-3.894927,0.028837,4.085209,4.270990,0.106186,-3.573184,-0.083057,0.413627,-0.040740,6.198547,188.430030,1243.378279,-32.953697,0
0.037500,111.674263,67.180049,-180.580978,-3.243670,-2.768399,-1.724972,4.502751,3.086043,1.818750,-3.919697,-0.072118,0.422653,-0.051890,36.652315,188.484145,1243.751202,-32.724718,0
0.038542,37.207756,122.264147,-186.413781,-3.322485,-1.238229,-3.258021,4.359704,1.532700,3.345821,-3.782615,-0.064826,0.416865,-0.037023,63.402095,188.421002,1243.672995,-33.211744,0
0.039583,-28.749909,159.660259,-153.020987,-2.725742,0.497432,-4.120617,3.373842,-0.259912,4.156808,-2.697380,-0.042949,0.418932,-0.029590,83.194229,188.505009,1243.613312,-32.833545,0
