1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,100.509937,43.960164,-202.599807,-3.615227,-1.205204,-4.709308,5.805635,1.547891,4.907403,-5.757983,-0.093995,0.341558,-0.022156,-119.117864,188.420247,1489.280877,-902.072929,0
0.001042,46.767492,113.067804,-188.139318,-3.322485,1.209310,-5.898955,4.498885,-0.878970,5.981530,-4.295772,-0.075764,0.335770,0.003860,-115.943017,188.344919,1488.871318,-901.934237,0
0.002083,-3.392876,176.913679,-138.949351,-2.433000,3.572450,-6.279151,2.500097,-3.275449,6.322317,-2.323310,-0.032010,0.330947,-0.018440,-94.439617,188.269398,1488.425079,-901.414720,0
0.003125,-58.107115,197.420466,-77.595561,-1.273292,5.465898,-5.363410,-0.244853,-5.246562,5.287014,0.464030,0.033621,0.317443,0.003860,-55.665947,188.269510,1488.580707,-901.093809,0
0.004167,-137.037093,171.217349,-25.088187,-0.226178,6.544723,-3.838536,-2.761701,-6.363146,3.777197,2.901049,0.059144,0.308417,0.003860,-20.990307,188.420278,1486.882214,-900.303308,0
0.005208,-183.626685,117.660103,25.936682,0.764641,6.471334,-1.753589,-4.513056,-6.158059,1.585807,4.610770,0.117483,0.317925,0.015011,8.686637,188.344909,1485.916234,-900.256762,0
0.006250,-193.039523,54.636379,91.592164,2.070720,5.634694,0.883257,-6.160026,-5.432659,-0.967940,6.198640,0.135714,0.319579,-0.003573,46.784807,188.269418,1484.401358,-899.416280,0
0.007292,-163.275520,3.075784,156.153996,3.297983,4.130210,2.910970,-6.380395,-3.841337,-2.965212,6.312875,0.135714,0.321301,-0.014723,87.652526,188.269512,1483.830110,-898.948420,0
0.008333,-99.114544,-44.186136,202.464017,4.221246,1.789086,4.840569,-5.846870,-1.471444,-4.902091,5.787393,0.121129,0.309588,0.018727,119.569876,188.420189,1482.619952,-897.262770,0
0.009375,-45.089601,-113.094110,188.793386,3.917245,-0.596071,6.030215,-4.513056,1.038972,-5.924452,4.306142,0.066437,0.337493,-0.014723,116.924170,188.344878,1482.059170,-897.063590,0
