1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-60.634556,-89.625335,196.587690,6.569868,-2.530333,6.264900,-2.945720,2.999542,-6.197283,3.029831,-0.190541,0.182474,0.016587,-54.771990,188.495743,970.997130,-1285.348601,0
0.001042,-17.896014,-158.921400,153.832955,5.778168,-4.408430,5.665644,-0.594957,4.833741,-5.592959,0.759925,-0.139399,0.209388,-0.043161,-13.060711,188.495703,971.701452,-1285.620530,0
0.002083,32.419318,-206.737618,91.615152,4.669788,-5.746885,4.232985,1.934911,6.164362,-4.304574,-1.691431,-0.106522,0.180123,0.001650,37.675948,188.571149,972.383299,-1285.498841,0
0.003125,107.393246,-177.296455,44.773296,3.742368,-6.148067,2.284411,4.102837,6.656913,-2.315342,-3.801235,-0.048074,0.177248,-0.046895,113.385086,188.495627,971.705484,-1285.973764,0
0.004167,181.403062,-128.719140,-0.468182,2.894118,-5.477064,0.208841,5.211054,6.072469,-0.313519,-4.982440,-0.026156,0.189987,-0.065566,180.826614,188.495749,971.605256,-1285.790722,0
0.005208,190.477063,-73.328195,-61.405682,1.751808,-3.851036,-2.366770,6.035687,4.411030,2.275840,-5.683336,-0.011544,0.191620,-0.039427,188.347764,188.495830,971.047812,-1285.533964,0
0.006250,168.722147,-26.224750,-147.075190,0.134478,-2.178855,-4.101041,5.845387,2.687103,4.130778,-5.686893,-0.000585,0.201353,-0.035692,165.614665,188.571114,970.668549,-1285.790073,0
0.007292,113.518197,19.948465,-193.055304,-0.781632,0.274387,-5.057470,4.319257,0.297865,5.041461,-4.142788,-0.040768,0.211544,-0.031958,108.725366,188.495682,969.849542,-1285.602640,0
0.008333,60.594089,89.848575,-196.637690,-0.826872,2.653073,-6.049615,2.822977,-2.150184,6.136797,-2.787248,-0.073645,0.194886,-0.046895,59.357217,188.495698,969.569731,-1286.140042,0
0.009375,17.583328,158.601000,-153.993750,-0.046482,4.524070,-5.462265,0.461020,-3.966005,5.549260,-0.513784,-0.095563,0.188680,-0.050629,17.419738,188.495749,968.974661,-1285.730758,0
0.010417,-32.561867,207.033344,-90.692614,1.095828,5.812821,-4.065324,-2.087505,-5.326032,4.290253,1.866415,-0.168623,0.180515,-0.017021,-32.853211,188.571132,969.651463,-1285.145824,0
0.011458,-107.274918,177.628424,-43.703030,2.068488,6.260156,-2.128655,-4.169610,-5.719338,2.355577,3.954871,-0.216112,0.176073,-0.024490,-108.223049,188.495743,969.331923,-1283.877828,0
0.012500,-181.704406,128.640358,0.910606,2.894118,5.592704,-0.100708,-5.292752,-5.175327,0.315985,5.175213,-0.205153,0.189725,-0.013287,-176.365798,188.495835,968.820716,-1283.301274,0
0.013542,-190.755722,73.660164,61.663447,4.059048,3.984428,2.506651,-6.113654,-3.561672,-2.256588,5.876109,-0.267254,0.190705,-0.043161,-183.344068,188.495743,968.629396,-1282.300436,0
0.014583,-169.136916,27.088279,147.529925,5.642448,2.329998,4.288545,-5.942011,-1.881855,-4.073756,5.826299,-0.274560,0.200700,-0.054364,-161.040748,188.571089,967.592273,-1281.220291,0
0.015625,-114.511433,-19.338635,192.475948,6.524628,-0.158747,5.213225,-4.386029,0.459598,-5.005422,4.364024,-0.238030,0.206579,-0.050629,-104.513369,188.495774,967.096933,-1279.807527,0
0.016667,-61.428531,-89.697820,196.686175,6.592488,-2.558735,6.201403,-2.938258,3.003217,-6.146922,3.004926,-0.234377,0.198610,-0.046895,-54.919020,188.495671,966.384166,-1279.724629,0
0.017708,-18.043466,-158.136141,154.374622,5.823408,-4.355176,5.578335,-0.587495,4.804335,-5.576172,0.756367,-0.146705,0.189138,-0.028224,-12.506521,188.495725,965.914675,-1279.454561,0
0.018750,32.544086,-207.015479,91.048864,4.635858,-5.665229,4.193299,1.953568,6.149659,-4.275197,-1.698547,-0.062686,0.173133,-0.046895,37.789048,188.571011,965.666096,-1279.167462,0
0.019792,107.075656,-177.586397,43.788447,3.742368,-6.080611,2.300285,4.046867,6.627507,-2.348915,-3.790561,-0.040768,0.175158,-0.024490,112.842206,188.571105,966.003929,-1278.535575,0
0.020833,181.573200,-128.260066,-0.923674,2.894118,-5.487715,0.260433,5.155084,6.068793,-0.275749,-5.000229,-0.015197,0.190183,-0.058098,181.075434,188.495645,965.847403,-1278.747463,0
0.021875,190.420350,-72.458370,-61.516477,1.729188,-3.836835,-2.323115,5.994642,4.388975,2.271643,-5.658431,0.014027,0.190705,-0.013287,188.098944,188.495720,965.633757,-1278.122168,0
0.022917,168.722147,-25.753595,-147.296781,0.123168,-2.129152,-4.045481,5.841656,2.727536,4.076221,-5.672662,0.028639,0.212981,-0.054364,165.987895,188.571093,966.222318,-1277.168623,0
0.023958,113.881157,20.057193,-192.685985,-0.781632,0.270837,-5.069375,4.319257,0.349326,5.007887,-4.171251,-0.015197,0.187308,-0.035692,109.664096,188.571075,966.800084,-1276.556821,0
0.025000,61.308667,89.969384,-196.576137,-0.804252,2.681475,-6.037710,2.871485,-2.109751,6.120011,-2.847732,-0.095563,0.187178,-0.013287,60.047127,188.495678,967.495125,-1276.163337,0
