1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,59.403127,93.098338,-189.657576,-0.736392,2.830587,-6.232170,2.714768,-2.322945,6.279485,-2.776575,-0.066339,0.188484,-0.058098,29.397028,188.496092,0
0.001042,19.352758,169.316762,-142.471023,0.168408,4.825844,-5.819438,0.461020,-4.282119,5.876602,-0.545805,-0.110175,0.175942,-0.073035,11.923078,188.496114,0
0.002083,-33.571350,201.753989,-87.245644,1.208928,6.103944,-4.089135,-2.326313,-5.605389,4.319629,2.087002,-0.172276,0.188354,-0.076769,-10.131421,188.420703,0
0.003125,-116.802618,173.424269,-41.991856,2.057178,6.742994,-2.287398,-4.497970,-6.142049,2.447904,4.282193,-0.219765,0.177640,-0.035692,-46.142461,188.496143,0
0.004167,-179.356509,121.887133,1.046023,2.905428,5.706313,0.058035,-5.494246,-5.355438,0.248837,5.345989,-0.238030,0.194625,-0.046895,-75.729420,188.496074,0
0.005208,-191.118682,68.936530,68.052652,4.138218,4.286201,2.657457,-6.557687,-3.760163,-2.441243,6.267472,-0.270907,0.194560,-0.046895,-81.542760,188.496120,0
0.006250,-164.611258,25.360710,147.259091,5.619828,2.255442,4.443320,-6.065146,-1.881855,-4.262607,5.922361,-0.267254,0.204162,-0.028224,-72.155460,188.345346,0
0.007292,-104.461978,-20.148056,200.539395,6.660348,-0.300758,5.685487,-4.688270,0.672792,-5.425091,4.598842,-0.212459,0.203705,-0.043161,-44.807881,188.496217,0
0.008333,-60.078773,-92.585156,189.644508,6.456768,-2.775302,6.304586,-2.841242,3.146572,-6.298003,2.880402,-0.175929,0.193580,-0.054364,-24.936211,188.496087,0
0.009375,-19.404567,-168.912308,142.765720,5.619828,-4.703103,5.935508,-0.572569,5.153531,-5.890924,0.702999,-0.154011,0.190836,-0.069301,-7.846801,188.496201,0
0.010417,33.417458,-201.506587,87.651137,4.556688,-5.959902,4.205205,2.184913,6.458423,-4.291984,-1.933365,-0.069992,0.190901,-0.054364,15.677998,188.420763,0
0.011458,115.843409,-173.478889,41.818750,3.663198,-6.545698,2.395531,4.371496,6.984055,-2.416062,-4.071631,-0.037115,0.178032,-0.050629,50.580657,188.496257,0
0.012500,179.009795,-121.627649,-0.812879,2.871498,-5.580022,0.065972,5.341652,6.149659,-0.208602,-5.156774,-0.011544,0.192796,-0.028224,80.789667,188.495231,0
0.013542,190.511090,-67.783060,-67.240909,1.616088,-4.124408,-2.561230,6.393898,4.558060,2.502461,-6.120951,-0.026156,0.190379,-0.069301,87.360777,188.496199,0
0.014583,164.207831,-24.460938,-147.025947,0.089238,-2.150453,-4.228035,5.882701,2.665048,4.231499,-5.790071,-0.033462,0.208474,-0.069301,76.152567,188.420707,0
0.015625,104.160634,20.504186,-200.158523,-0.951282,0.430599,-5.497982,4.494631,0.132457,5.385589,-4.381164,-0.033462,0.213177,-0.043161,49.494897,188.496206,0
0.016667,59.505209,92.445970,-190.026895,-0.702462,2.866090,-6.144861,2.651334,-2.337648,6.224928,-2.719649,-0.077298,0.194364,-0.031958,28.899388,188.496230,0
0.017708,19.250675,168.036186,-142.852652,0.145788,4.843595,-5.755940,0.438632,-4.267416,5.817849,-0.481764,-0.099216,0.189529,-0.073035,12.262378,188.496035,0
0.018750,-33.401212,202.116416,-87.171781,1.186308,6.050689,-4.069292,-2.363627,-5.546577,4.286056,2.115465,-0.179582,0.179861,-0.046895,-9.905221,188.420761,0
0.019792,-114.987818,173.363865,-41.314773,2.068488,6.625835,-2.243744,-4.453194,-6.028101,2.397544,4.218152,-0.238030,0.174570,-0.039427,-45.927571,188.496234,0
0.020833,-179.776181,121.802566,1.021402,2.871498,5.642408,0.081847,-5.509172,-5.292951,0.215264,5.306853,-0.274560,0.190509,-0.024490,-74.089470,188.496065,0
0.021875,-190.653639,68.175433,66.821591,4.138218,4.179693,2.669363,-6.483059,-3.671945,-2.483210,6.210546,-0.285519,0.189334,-0.031958,-82.243980,188.496138,0
0.022917,-164.724683,24.768745,147.111364,5.608518,2.216389,4.371886,-5.968130,-1.852449,-4.212247,5.901014,-0.270907,0.207298,-0.039427,-69.950010,188.496044,0
0.023958,-104.450635,-20.039328,199.505304,6.626418,-0.343362,5.606115,-4.606180,0.687495,-5.408304,4.517011,-0.234377,0.211609,-0.069301,-43.439371,188.496250,0
0.025000,-59.239428,-92.150244,190.358523,6.513318,-2.771752,6.292680,-2.803928,3.150247,-6.260233,2.883959,-0.205153,0.209846,-0.035692,-22.809931,188.495962,0
0.026042,-19.007579,-167.124334,143.159660,5.619828,-4.685352,5.879948,-0.583763,5.113098,-5.815384,0.670979,-0.154011,0.190313,-0.065566,-7.484881,188.496105,0
0.027083,33.190608,-202.219360,87.158712,4.556688,-5.903097,4.221079,2.114017,6.440044,-4.241624,-1.912018,-0.099216,0.155430,-0.028224,14.490448,188.496016,0
0.028125,114.153377,-173.321838,41.449432,3.697128,-6.449840,2.387594,4.330451,6.895837,-2.395079,-4.068073,-0.037115,0.175746,-0.031958,50.388387,188.496123,0
0.029167,179.259330,-121.941753,-0.714394,2.860188,-5.530318,0.077878,5.322995,6.171714,-0.221192,-5.181679,-0.033462,0.191097,-0.017021,79.104477,188.496172,0
0.030208,189.887253,-67.891788,-66.428409,1.616088,-4.067603,-2.509639,6.345391,4.521302,2.452101,-6.042678,0.003068,0.191293,-0.043161,85.867857,188.496141,0
0.031250,164.604819,-24.231401,-146.730493,0.089238,-2.111400,-4.243910,5.875238,2.701806,4.223106,-5.779397,0.003068,0.211348,-0.080503,74.388207,188.496154,0
0.032292,104.353456,20.576672,-199.333713,-0.872112,0.395096,-5.462265,4.498363,0.139808,5.364606,-4.370490,-0.051727,0.224609,-0.050629,48.510927,188.496188,0
0.033333,59.267017,92.083542,-190.556251,-0.736392,2.851889,-6.148830,2.662529,-2.289863,6.271092,-2.730323,-0.055380,0.200373,-0.039427,29.227378,188.496029,0
0.034375,19.216648,167.178442,-143.492803,0.191028,4.818743,-5.755940,0.434901,-4.249038,5.872406,-0.549363,-0.132093,0.177444,-0.076769,11.968318,188.496141,0
0.035417,-32.913485,202.442601,-87.910417,1.186308,6.068441,-4.057386,-2.288999,-5.564956,4.319629,2.069213,-0.157664,0.181952,-0.061832,-9.803431,188.496156,0
0.036458,-114.511433,173.581321,-42.188826,2.068488,6.650687,-2.263587,-4.464388,-6.105291,2.422724,4.260846,-0.230724,0.177444,-0.024490,-45.237661,188.496118,0
0.037500,-179.515304,122.781120,0.615152,2.871498,5.677910,0.018349,-5.475589,-5.340735,0.215264,5.335316,-0.238030,0.191424,-0.031958,-75.650250,188.496091,0
0.038542,-190.540214,69.492252,66.587690,4.138218,4.232947,2.693175,-6.490522,-3.727081,-2.416062,6.221220,-0.256295,0.191293,-0.076769,-81.260010,188.496134,0
0.039583,-165.325835,25.614409,146.766667,5.642448,2.262543,4.427446,-5.990518,-1.867152,-4.237427,5.918803,-0.256295,0.192404,-0.043161,-72.404280,188.496221,0
0.040625,-105.641598,-19.701062,199.209849,6.682968,-0.290107,5.602147,-4.621106,0.650737,-5.383124,4.531243,-0.245336,0.201549,-0.061832,-45.543031,188.496025,0
0.041667,-60.385021,-91.691169,190.543182,6.513318,-2.743350,6.312523,-2.818854,3.179653,-6.281217,2.891075,-0.190541,0.195670,-0.054364,-25.139791,188.496011,0
0.042708,-19.699472,-166.822311,144.156819,5.597208,-4.692452,5.864073,-0.591226,5.105746,-5.853154,0.695884,-0.172276,0.179339,-0.017021,-7.959901,188.496127,0
0.043750,32.941073,-202.026066,88.229735,4.579308,-5.931500,4.197268,2.125211,6.388583,-4.245821,-1.865766,-0.059033,0.176987,-0.031958,15.350008,188.420598,0
0.044792,113.881157,-173.648022,42.311174,3.663198,-6.488893,2.379657,4.296869,6.910540,-2.441243,-4.039610,-0.018850,0.177379,-0.031958,49.845507,188.496156,0
0.045833,179.111877,-122.727012,-0.271212,2.860188,-5.548069,0.133438,5.382697,6.182741,-0.242176,-5.121196,-0.015197,0.192273,-0.043161,80.620017,188.496241,0
0.046875,190.000678,-68.773694,-65.652841,1.582158,-4.056953,-2.533450,6.330465,4.576438,2.456298,-6.035562,0.010374,0.189987,-0.043161,87.145887,188.496163,0
0.047917,165.024492,-25.318683,-146.558144,0.100548,-2.143353,-4.263753,5.901358,2.668724,4.235696,-5.747377,0.014027,0.205142,-0.054364,76.514487,188.571581,0
0.048958,105.623816,19.996788,-198.619698,-0.872112,0.402197,-5.370988,4.461049,0.191269,5.322639,-4.320680,-0.022503,0.209584,-0.039427,50.184807,188.496172,0
