1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,74.295830,92.337241,-196.206819,-0.781632,-2.242760,-2.458047,4.487168,2.536397,2.502461,-4.345585,-0.011544,0.412745,-0.069301,34.350808,188.496118,0
0.001042,13.125725,146.677148,-175.155682,-0.419712,-0.577680,-3.418444,3.662536,0.897013,3.429931,-3.577090,-0.033462,0.408826,-0.054364,-0.008972,188.420616,0
0.002083,-49.008493,187.933435,-125.051516,0.530328,1.314618,-4.255816,2.602827,-0.992323,4.319629,-2.573777,-0.066339,0.398178,-0.020755,-35.884291,188.496130,0
0.003125,-103.622633,189.721409,-49.193561,1.955388,2.866090,-4.164538,0.990875,-2.587599,4.319629,-0.986978,-0.121134,0.391645,-0.035692,-68.253510,188.269998,0
0.004167,-160.811520,161.548741,16.101894,3.165558,4.076735,-3.628779,-0.624808,-3.771190,3.790846,0.589148,-0.168623,0.390926,-0.054364,-99.152429,188.496036,0
0.005208,-177.530366,100.987169,74.700379,4.296558,4.488567,-2.271524,-2.296462,-4.190226,2.523445,2.183064,-0.190541,0.395826,-0.020755,-104.886599,188.420549,0
0.006250,-185.209239,25.179496,131.747728,5.404938,4.541821,-0.830928,-3.583785,-4.226983,1.062996,3.431868,-0.201500,0.385504,-0.069301,-102.760319,188.495830,0
0.007292,-148.266715,-41.591660,167.928599,6.094848,3.689754,0.712851,-4.162147,-3.499185,-0.485584,3.997566,-0.190541,0.400921,-0.035692,-76.724700,188.269810,0
0.008333,-73.542321,-92.005273,196.329167,6.649038,2.386802,2.661426,-4.576329,-2.146509,-2.437046,4.495664,-0.223418,0.390861,0.001650,-29.301871,188.496038,0
0.009375,-12.496984,-146.236451,175.450379,6.264498,0.757225,3.582137,-3.792741,-0.562260,-3.410679,3.723611,-0.238030,0.376098,-0.024490,4.334068,188.420616,0
0.010417,49.081451,-187.831003,125.395455,5.314458,-1.138624,4.431414,-2.706913,1.360157,-4.271001,2.706067,-0.186888,0.374791,-0.028224,41.894578,188.496161,0
0.011458,103.264576,-189.691463,49.771402,3.878088,-2.690096,4.356011,-1.098692,2.937054,-4.266804,1.204656,-0.168623,0.395891,-0.061832,73.494717,188.269783,0
0.012500,160.657629,-161.422147,-15.203977,2.622678,-3.914942,3.824221,0.528185,4.142700,-3.759004,-0.410607,-0.128440,0.398178,-0.046895,104.732936,188.420763,0
0.013542,177.410502,-101.718320,-74.405682,1.514298,-4.351626,2.490777,2.207301,4.583790,-2.512586,-1.986733,-0.069992,0.396675,-0.061832,110.399246,188.422790,0
0.014583,184.862525,-26.430126,-131.760796,0.439848,-4.401330,1.026369,3.494624,4.657305,-1.043744,-3.267558,-0.088257,0.411961,-0.039427,107.696156,188.496440,0
0.015625,148.793373,40.449759,-168.323296,-0.329232,-3.545713,-0.569001,4.061792,3.889073,0.530016,-3.851044,-0.029809,0.417448,-0.031958,82.305207,188.269494,0
0.016667,75.044435,92.180190,-196.132955,-0.815562,-2.288914,-2.458047,4.483437,2.569479,2.468888,-4.295775,-0.018850,0.412418,-0.039427,36.307438,188.420330,0
0.017708,14.089837,146.834199,-175.364963,-0.408402,-0.584781,-3.414476,3.669998,0.944797,3.471898,-3.605553,-0.066339,0.410393,-0.028224,2.094688,188.420336,0
0.018750,-48.395998,187.776383,-125.740909,0.485088,1.286216,-4.247878,2.636409,-0.999675,4.344810,-2.570220,-0.084604,0.401313,-0.028224,-36.506341,188.495817,0
0.019791,-103.633975,189.793894,-50.350758,1.955388,2.890942,-4.204224,0.953561,-2.576571,4.307039,-1.008325,-0.099216,0.395695,-0.054364,-68.287440,188.344872,0
0.020833,-161.083740,161.874925,15.338636,3.165558,4.087386,-3.660528,-0.602420,-3.763839,3.811830,0.596264,-0.154011,0.394519,-0.043161,-99.197669,188.420298,0
0.021875,-177.802586,101.953641,74.318750,4.296558,4.495668,-2.263587,-2.333776,-4.256389,2.494068,2.204411,-0.194194,0.397524,-0.017021,-106.051529,188.420233,0
0.022916,-185.379376,26.641285,131.735417,5.382318,4.563123,-0.862676,-3.617367,-4.300498,1.046209,3.520814,-0.201500,0.402946,-0.076769,-102.918659,188.495644,0
0.023958,-148.550277,-40.613107,168.248675,6.117468,3.679104,0.760474,-4.180804,-3.535942,-0.523354,4.040260,-0.216112,0.414182,-0.031958,-78.918840,188.344863,0
0.025000,-74.563146,-91.679088,196.403031,6.649038,2.376152,2.665395,-4.576329,-2.175915,-2.508390,4.467201,-0.216112,0.411634,-0.043161,-30.285841,188.344871,0
0.026042,-13.177534,-146.333098,175.462690,6.275808,0.746574,3.594043,-3.781547,-0.540206,-3.435859,3.784095,-0.234377,0.400399,-0.020755,4.379308,188.420368,0
0.027083,48.763861,-187.806842,125.629356,5.314458,-1.163476,4.447289,-2.688256,1.371184,-4.338148,2.713183,-0.175929,0.377404,-0.028224,41.329078,188.495759,0
0.028125,103.117124,-189.691463,49.549811,3.844158,-2.746900,4.316325,-1.083767,2.962784,-4.283591,1.151288,-0.143052,0.393801,-0.050629,73.053627,188.420258,0
0.029166,160.203929,-161.603361,-15.647159,2.588748,-3.964645,3.828190,0.565499,4.164754,-3.767398,-0.446185,-0.124787,0.389816,-0.050629,102.753686,188.344985,0
0.030208,177.240365,-100.933061,-74.381061,1.525608,-4.333874,2.466965,2.211033,4.620547,-2.432849,-2.015195,-0.099216,0.393082,-0.024490,110.546276,188.420307,0
0.031250,184.907895,-25.209955,-131.305303,0.439848,-4.394229,1.089867,3.442385,4.635250,-1.022760,-3.292462,-0.113828,0.410720,-0.039427,107.605676,188.495593,0
0.032291,148.430413,41.621606,-167.892425,-0.250062,-3.524411,-0.529315,4.046867,3.848640,0.496442,-3.836813,-0.062686,0.415097,-0.028224,80.495607,188.420405,0
0.033333,74.137035,92.119785,-196.108334,-0.792942,-2.239210,-2.434236,4.487168,2.554776,2.456298,-4.331354,-0.033462,0.394062,-0.035692,35.018098,188.344896,0
0.034375,13.046327,146.242235,-175.697349,-0.431022,-0.616733,-3.406539,3.677461,0.970528,3.421537,-3.619784,-0.062686,0.387856,-0.017021,0.748798,188.420345,0
0.035416,-48.668218,187.788464,-125.728599,0.485088,1.240062,-4.255816,2.640140,-0.977620,4.298646,-2.573777,-0.066339,0.391057,-0.091706,-35.477131,188.495607,0
0.036458,-103.271015,189.914703,-50.264583,1.932768,2.851889,-4.204224,1.031920,-2.576571,4.315433,-1.061693,-0.113828,0.399223,-0.069301,-68.083860,188.420327,0
0.037500,-160.788835,161.814520,14.723106,3.199488,4.027031,-3.648622,-0.636003,-3.756487,3.807633,0.528665,-0.117481,0.399615,-0.020755,-99.435179,188.344865,0
0.038541,-177.711846,102.799304,74.195644,4.262628,4.492117,-2.319147,-2.281537,-4.245362,2.531838,2.094118,-0.190541,0.397394,-0.017021,-104.796119,188.420291,0
0.039583,-185.288636,27.486949,131.661553,5.382318,4.545372,-0.906331,-3.550202,-4.241686,1.075586,3.442541,-0.179582,0.407454,-0.024490,-103.190099,188.495696,0
0.040625,-149.582445,-39.743282,167.977841,6.072228,3.686204,0.716820,-4.147222,-3.521239,-0.485584,3.986892,-0.219765,0.413790,-0.031958,-77.629500,188.420265,0
0.041666,-76.105727,-91.497875,195.824432,6.603798,2.418755,2.617772,-4.598717,-2.190618,-2.411866,4.488548,-0.241683,0.413464,-0.013287,-30.331081,188.344824,0
0.042708,-14.822196,-146.043156,175.868940,6.241878,0.778526,3.558326,-3.796473,-0.621072,-3.389695,3.798326,-0.241683,0.412092,-0.028224,3.700708,188.420386,0
0.043750,47.845119,-187.661871,126.306440,5.314458,-1.149275,4.455226,-2.699450,1.330751,-4.291984,2.702509,-0.190541,0.401966,-0.017021,41.600518,188.495749,0
0.044791,102.901616,-189.921000,50.743940,3.855468,-2.682995,4.356011,-1.098692,2.922351,-4.291984,1.208214,-0.143052,0.395891,-0.073035,73.189347,188.420294,0
0.045833,160.464806,-161.615442,-14.403788,2.611368,-3.907841,3.808347,0.565499,4.142700,-3.750611,-0.460416,-0.102869,0.395565,-0.031958,104.597216,188.344914,0
0.046875,177.501242,-102.129070,-73.950190,1.559538,-4.344525,2.510620,2.173719,4.635250,-2.428653,-1.997406,-0.069992,0.397263,-0.061832,110.399246,188.420316,0
0.047916,184.919237,-26.043537,-131.231440,0.428538,-4.419081,1.066055,3.453579,4.649953,-1.043744,-3.256884,-0.073645,0.402554,-0.035692,107.831876,188.495734,0
0.048958,148.974853,40.981319,-167.978599,-0.261372,-3.552813,-0.549158,4.024479,3.852316,0.509032,-3.851044,-0.048074,0.412941,-0.043161,82.146867,188.420358,0
0.050000,74.363885,92.119785,-196.071402,-0.860802,-2.253411,-2.434236,4.498363,2.558452,2.473085,-4.320680,-0.022503,0.394846,-0.046895,35.662768,188.344956,0
0.051041,13.012300,146.290559,-175.906629,-0.431022,-0.606082,-3.414476,3.699849,0.966852,3.434127,-3.641131,-0.077298,0.374987,-0.043161,1.687528,188.420276,0
