1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,153.216948,-176.390387,-0.923674,2.882808,-0.854602,5.078294,-3.609904,0.911716,-5.013815,3.588413,-0.230724,0.564756,-0.039427,107.967596,188.721933,1004.022870,999.229022,0
0.001042,168.393214,-130.627923,-74.996591,1.502988,-2.768202,5.050513,-1.639741,2.701806,-4.980242,1.784585,-0.168623,0.561163,-0.054364,120.544316,188.646442,1005.644804,998.317363,0
0.002083,189.206703,-48.067025,-128.769319,0.439848,-4.277070,4.546503,0.188630,4.300757,-4.568966,-0.129537,-0.146705,0.561555,-0.002084,134.150246,188.571120,1006.840171,996.974061,0
0.003125,156.313451,23.451927,-169.049622,-0.306612,-4.862866,3.383708,1.890135,4.914607,-3.419072,-1.652295,-0.088257,0.545485,-0.017021,118.112666,188.571078,1008.097836,995.930758,0
0.004167,107.620096,94.390995,-182.726705,-0.578052,-4.912570,1.256547,3.740894,5.028556,-1.316529,-3.562859,-0.059033,0.533139,-0.035692,86.455977,188.721867,1009.531051,995.343460,0
0.005208,27.508015,144.454261,-182.000379,-0.611982,-4.106657,-0.569001,4.572990,4.153727,0.521622,-4.352701,-0.059033,0.567696,-0.065566,33.004918,188.721991,1011.037834,994.372835,0
0.006250,-49.053863,173.690049,-152.713447,-0.069102,-2.754001,-2.501702,4.953590,2.808403,2.456298,-4.744064,-0.018850,0.563188,-0.043161,-26.406511,188.571056,1011.869897,993.743027,0
0.007292,-113.751486,178.776110,-84.340341,1.265478,-0.744543,-4.112947,4.420004,0.878634,4.013271,-4.285102,-0.033462,0.564103,-0.017021,-68.864250,188.570984,1012.418555,992.857607,0
0.008333,-153.280100,176.903570,1.452273,2.871498,1.069649,-4.966192,3.457310,-1.007026,4.928150,-3.360062,-0.080951,0.562993,-0.024490,-101.776349,188.721873,1013.400892,992.260717,0
0.009375,-168.490393,130.875325,75.303599,4.262628,2.905143,-4.930475,1.535655,-2.786089,4.965920,-1.609601,-0.073645,0.558877,-0.031958,-116.581139,188.646504,1014.726528,992.353330,0
0.010417,-189.882349,48.773502,128.990152,5.303148,4.453064,-4.438370,-0.318836,-4.388716,4.575628,0.258269,-0.128440,0.560184,-0.009553,-127.925069,188.571069,1016.275624,992.904980,0
0.011458,-156.739563,-22.165567,169.307387,6.106158,5.017559,-3.184298,-2.035266,-4.973160,3.400554,1.791701,-0.183235,0.568284,-0.013287,-112.181549,188.571847,1017.387093,992.516481,0
0.012500,-108.726758,-93.382496,183.009091,6.343668,5.028209,-1.096823,-3.915877,-4.980512,1.272830,3.755632,-0.216112,0.559073,-0.024490,-82.854720,188.728499,1019.464495,992.122832,0
0.013542,-28.818842,-143.965241,181.975001,6.354978,4.137090,0.744600,-4.669613,-4.168171,-0.535944,4.506338,-0.227071,0.555154,-0.028224,-27.311311,188.646089,1020.438456,991.738157,0
0.014583,48.502984,-173.527213,152.786553,5.812098,2.809285,2.649520,-5.053944,-2.808144,-2.520980,4.911932,-0.227071,0.537712,-0.046895,30.120868,188.570524,1021.234684,990.686717,0
