1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,53.176094,104.623521,-183.120644,-0.600672,3.128811,-6.176610,2.479691,-2.525111,6.237518,-2.445695,-0.084604,0.187243,-0.050629,-52.724880,188.496004,0
0.001042,12.252352,182.243329,-133.927463,0.349368,4.928802,-5.605134,0.266989,-4.385040,5.746505,-0.264735,-0.146705,0.173851,-0.058098,-90.183600,188.646810,0
0.002083,-42.724748,196.776657,-79.650000,1.378578,6.196251,-3.819271,-2.609897,-5.612741,4.025861,2.403650,-0.183235,0.182278,-0.069301,-95.702879,188.496226,0
0.003125,-132.296474,172.228260,-34.703977,2.249448,6.679089,-2.013566,-4.658419,-6.134697,2.183513,4.492106,-0.234377,0.180515,-0.061832,-81.927300,188.496063,0
0.004167,-180.785664,111.908306,9.232576,3.075078,5.425841,0.538234,-5.714397,-4.991539,-0.225389,5.513208,-0.230724,0.195278,-0.050629,-52.883220,188.496147,0
0.005208,-191.969369,61.857121,81.754356,4.466208,4.158391,2.986850,-6.628583,-3.675621,-2.730814,6.484500,-0.270907,0.196781,-0.050629,-28.442311,188.573652,0
0.006250,-155.446518,18.619565,154.842425,5.857338,1.999822,4.677467,-5.968130,-1.573092,-4.417885,5.876109,-0.259948,0.211675,-0.031958,-5.991961,188.496071,0
0.007292,-96.011815,-29.426190,206.756251,6.818688,-0.545727,5.860105,-4.509164,0.941122,-5.718860,4.595284,-0.230724,0.210956,-0.013287,19.172788,188.496159,0
0.008333,-53.987851,-104.400280,183.193751,6.366288,-2.967017,6.372052,-2.583778,3.389171,-6.201479,2.702509,-0.175929,0.197434,-0.035692,58.554207,188.495971,0
0.009375,-12.428929,-181.995927,134.025190,5.484108,-4.855765,5.812482,-0.330030,5.304237,-5.773417,0.521549,-0.113828,0.195474,-0.050629,94.633106,188.496105,0
0.010417,42.616226,-196.420526,80.178599,4.443588,-6.030907,4.002807,2.524468,6.517235,-3.964642,-2.189530,-0.066339,0.181952,-0.024490,101.441726,188.496013,0
0.011458,132.335405,-172.053343,35.244886,3.606648,-6.535047,2.149479,4.524482,7.046543,-2.185244,-4.274428,-0.026156,0.183193,-0.028224,87.711387,188.496013,0
0.012500,180.348210,-112.192463,-9.060985,2.747088,-5.310201,-0.322949,5.572997,5.866627,0.265624,-5.267067,-0.015197,0.198022,-0.039427,57.264867,188.496074,0
0.013542,191.758765,-62.177521,-81.853599,1.367268,-4.025000,-2.787440,6.498377,4.550708,2.787837,-6.252591,0.014027,0.199198,-0.061832,32.948368,188.571500,0
0.014583,155.882436,-18.613781,-154.732387,0.043998,-1.841579,-4.462182,5.830462,2.426125,4.403563,-5.605063,0.010374,0.212981,-0.039427,11.312338,188.496130,0
0.015625,96.356994,29.673592,-206.621592,-1.064382,0.689769,-5.652757,4.401347,-0.139549,5.687751,-4.334912,-0.022503,0.212132,-0.061832,-14.112541,188.503427,0
0.016667,54.094837,104.853058,-182.886743,-0.589362,3.118160,-6.113113,2.446109,-2.554517,6.170371,-2.452811,-0.091910,0.199394,-0.017021,-53.313000,188.509553,0
0.017708,12.592627,182.364138,-133.976705,0.270198,4.914600,-5.624977,0.240869,-4.396068,5.817849,-0.271851,-0.113828,0.193449,-0.031958,-88.781160,188.579397,0
0.018750,-42.940255,196.474634,-80.474811,1.367268,6.157198,-3.803397,-2.617360,-5.568632,4.021664,2.424997,-0.150358,0.186329,-0.035692,-94.990349,188.439399,0
0.019792,-132.614064,172.228260,-35.491856,2.249448,6.615184,-1.989754,-4.639762,-6.079561,2.217086,4.452970,-0.216112,0.183716,-0.031958,-81.112980,188.520954,0
0.020833,-180.660896,112.814374,9.220265,3.086388,5.383237,0.558077,-5.695740,-4.987863,-0.212799,5.434936,-0.212459,0.198348,-0.050629,-50.847420,188.520822,0
0.021875,-192.003397,62.569894,82.012879,4.454898,4.144190,2.978913,-6.598732,-3.705027,-2.718224,6.438248,-0.281866,0.198022,-0.028224,-27.718471,188.519698,0
0.022917,-155.979615,18.849102,154.546970,5.823408,1.967870,4.621906,-5.923354,-1.591470,-4.375918,5.833414,-0.238030,0.219579,-0.050629,-6.749731,188.440516,0
0.023958,-96.147925,-29.389947,206.743940,6.818688,-0.559929,5.840262,-4.557672,0.900688,-5.655909,4.531243,-0.259948,0.222649,-0.028224,18.652528,188.507664,0
0.025000,-53.681603,-104.255309,183.230682,6.377598,-2.959917,6.288712,-2.576315,3.385495,-6.146922,2.610005,-0.201500,0.206645,-0.065566,57.366657,188.510807,0
0.026042,-12.372216,-182.225464,134.074432,5.518038,-4.820262,5.796607,-0.356150,5.256452,-5.731450,0.507318,-0.132093,0.194364,-0.061832,93.909266,188.511775,0
0.027083,42.627569,-196.444688,80.240152,4.477518,-6.002505,4.002807,2.505811,6.451071,-3.952052,-2.228666,-0.073645,0.188419,-0.035692,98.320166,188.442575,0
0.028125,132.358090,-171.860048,35.072538,3.640578,-6.524396,2.165353,4.524482,7.039191,-2.210425,-4.295775,-0.040768,0.184891,-0.050629,86.365497,188.520134,0
0.029167,180.280155,-111.866279,-9.331818,2.747088,-5.303100,-0.326918,5.558072,5.859275,0.253034,-5.245720,-0.011544,0.199132,-0.031958,55.783257,188.505285,0
0.030208,191.599970,-61.174806,-81.742803,1.378578,-4.028550,-2.775534,6.464794,4.543357,2.745870,-6.249033,0.021333,0.196846,-0.054364,32.484658,188.515281,0
