1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-121.305591,194.130939,-33.362121,2.260758,3.664903,-5.216213,1.087890,-3.433021,5.272279,-1.115060,-0.135746,0.437830,-0.073035,108.499166,188.571542,0
0.001042,-161.083740,153.502858,33.115152,3.482238,4.843595,-4.235973,-0.956900,-4.664397,4.365793,0.831082,-0.164970,0.443448,-0.058098,82.678437,188.722351,0
0.002083,-194.181157,78.383797,84.081061,4.443588,5.585603,-2.541387,-3.177065,-5.377493,2.745870,2.997811,-0.194194,0.440116,-0.046895,38.739088,188.571485,0
0.003125,-176.237321,14.814080,142.728788,5.574588,5.198623,-0.787273,-4.382298,-5.090784,1.008439,4.150553,-0.241683,0.450242,-0.076769,4.695988,188.571576,0
0.004167,-129.789781,-46.798530,186.394508,6.411528,4.286201,1.367668,-5.449470,-4.153468,-1.165448,5.228581,-0.248989,0.456447,-0.058098,-29.935231,188.571536,0
0.005208,-59.761183,-103.433808,195.578220,6.581178,2.560766,3.292431,-5.371111,-2.503056,-3.104320,5.271275,-0.256295,0.458015,-0.043161,-63.186630,188.722496,0
0.006250,4.403342,-163.065150,167.830114,6.117468,0.572610,4.756838,-4.777823,-0.470367,-4.610933,4.662883,-0.223418,0.464417,-0.065566,-94.775459,188.571533,0
0.007292,62.839905,-184.726211,113.146402,5.054328,-1.607261,5.292597,-3.102438,1.679947,-5.240437,3.122335,-0.230724,0.438614,-0.069301,-104.852669,188.571561,0
0.008333,121.004247,-193.931860,33.718371,3.561408,-3.549263,5.300534,-1.206902,3.683231,-5.257224,1.240234,-0.175929,0.435413,-0.054364,-104.027039,188.646904,0
0.009375,160.691656,-153.340022,-32.955871,2.294688,-4.713754,4.300451,0.819232,4.925635,-4.321361,-0.652540,-0.146705,0.436458,-0.005818,-79.065870,188.722380,0
0.010417,193.766388,-77.278651,-83.835606,1.378578,-5.519667,2.709049,3.072979,5.635054,-2.743405,-2.812153,-0.069992,0.436458,-0.031958,-32.694871,188.571726,0
0.011458,176.015374,-13.104889,-142.261743,0.224958,-5.122036,0.911281,4.207316,5.340994,-1.039547,-3.975569,-0.073645,0.442925,-0.065566,0.545218,188.571666,0
0.012500,128.762517,48.109052,-186.198296,-0.600672,-4.177662,-1.255566,5.296876,4.484545,1.184700,-5.039365,-0.040768,0.408107,-0.073035,36.397918,188.646982,0
0.013542,57.747122,103.705372,-196.046781,-0.792942,-2.434475,-3.188267,5.240905,2.738563,3.165539,-5.074944,-0.037115,0.441684,-0.054364,68.269497,188.722467,0
0.014583,-5.986388,163.119258,-167.953978,-0.329232,-0.467621,-4.676485,4.647617,0.683819,4.659562,-4.519920,-0.048074,0.446387,-0.043161,99.745226,188.571554,0
0.015625,-63.379441,185.348121,-112.494697,0.733908,1.708699,-5.200339,2.979695,-1.488549,5.221918,-2.929562,-0.077298,0.445342,-0.061832,110.648066,188.571509,0
0.016667,-121.022028,194.179262,-33.115909,2.260758,3.672003,-5.232087,1.087890,-3.462427,5.335229,-1.115060,-0.113828,0.433714,-0.035692,108.510476,188.646909,0
0.017708,-160.856890,153.430373,33.287500,3.504858,4.840045,-4.212161,-0.983020,-4.712182,4.407760,0.848871,-0.186888,0.436915,-0.061832,84.589827,188.722344,0
0.018750,-194.113102,77.828076,84.044129,4.454898,5.635307,-2.581073,-3.188260,-5.388520,2.741673,3.004926,-0.205153,0.440182,-0.054364,39.542098,188.571594,0
0.019792,-176.101211,14.197954,142.531819,5.563278,5.266078,-0.811085,-4.382298,-5.138569,0.970669,4.175458,-0.238030,0.455794,-0.039427,6.121048,188.571614,0
0.020833,-129.744411,-47.076391,186.259091,6.377598,4.296852,1.379573,-5.464395,-4.182874,-1.161251,5.249928,-0.227071,0.451875,-0.054364,-30.625141,188.646965,0
0.021875,-59.364196,-103.421727,195.553599,6.581178,2.606920,3.312274,-5.430813,-2.525111,-3.158877,5.296180,-0.256295,0.457297,-0.043161,-63.311040,188.722304,0
0.022917,4.187834,-163.101393,168.137879,6.094848,0.558409,4.867959,-4.833794,-0.448312,-4.661293,4.687788,-0.230724,0.452724,-0.043161,-94.605809,188.571529,0
0.023958,62.726480,-184.557078,113.688069,5.065638,-1.632113,5.360063,-3.076318,1.694650,-5.311781,3.143682,-0.205153,0.449262,-0.046895,-105.949739,188.571523,0
0.025000,120.958877,-194.137235,34.420076,3.584028,-3.616718,5.368000,-1.266604,3.723664,-5.336961,1.275813,-0.175929,0.442272,-0.039427,-103.812149,188.722320,0
0.026042,160.748369,-153.702450,-32.389583,2.305998,-4.745707,4.363948,0.864008,4.932986,-4.422082,-0.670329,-0.124787,0.439267,-0.035692,-81.339180,188.722280,0
0.027083,193.879813,-78.341770,-83.737121,1.322028,-5.558720,2.732861,3.080442,5.679163,-2.776978,-2.872637,-0.102869,0.438026,-0.035692,-34.176481,188.646947,0
0.028125,176.015374,-13.962633,-142.372538,0.213648,-5.139787,0.915249,4.248361,5.381428,-0.984990,-4.050284,-0.048074,0.449392,-0.039427,0.296398,188.571460,0
0.029167,129.454410,47.456683,-186.272160,-0.611982,-4.241567,-1.263503,5.304338,4.447787,1.176307,-5.089175,-0.029809,0.455794,-0.050629,35.493118,188.722389,0
0.030208,58.665864,103.657049,-195.775948,-0.781632,-2.466428,-3.220015,5.259562,2.753266,3.148752,-5.124754,0.003068,0.445538,-0.046895,67.941507,188.722175,0
0.031250,-5.305838,163.143420,-168.064773,-0.272682,-0.439219,-4.720140,4.673737,0.669116,4.684742,-4.541267,-0.066339,0.444166,-0.069301,98.523746,188.571554,0
0.032292,-63.152591,185.082342,-113.824243,0.722598,1.719350,-5.267804,2.957307,-1.492225,5.305852,-2.943794,-0.073645,0.442337,-0.046895,110.433176,188.571449,0
0.033333,-120.806521,194.251748,-33.719129,2.226828,3.711056,-5.263836,1.050577,-3.473454,5.272279,-1.143523,-0.091910,0.433976,-0.039427,108.725366,188.722262,0
0.034375,-160.720780,153.708234,33.472159,3.482238,4.889749,-4.275658,-0.960632,-4.708506,4.407760,0.855987,-0.157664,0.435739,-0.065566,82.655817,188.797831,0
0.035417,-194.283239,77.538134,83.785606,4.466208,5.656609,-2.612822,-3.199454,-5.447332,2.775247,3.083199,-0.190541,0.436262,-0.076769,38.230138,188.571585,0
0.036458,-176.430143,13.678475,142.137879,5.597208,5.287380,-0.775368,-4.434537,-5.142245,0.949685,4.221710,-0.245336,0.437830,-0.080503,4.435858,188.571583,0
0.037500,-129.177286,-47.354252,186.369887,6.490698,4.374958,1.399416,-5.494246,-4.186550,-1.203218,5.321085,-0.256295,0.436262,-0.054364,-29.969161,188.722382,0
0.038542,-58.615591,-103.155947,195.861364,6.592488,2.603369,3.379740,-5.509172,-2.506732,-3.137894,5.324642,-0.278213,0.453508,-0.031958,-63.016980,188.797853,0
0.039583,4.868385,-163.077231,168.174811,6.083538,0.554859,4.883833,-4.863645,-0.485070,-4.711653,4.741155,-0.216112,0.455925,-0.058098,-94.854629,188.571525,0
0.040625,62.635740,-184.907425,113.454167,5.076948,-1.642763,5.419592,-3.154677,1.757138,-5.324371,3.179261,-0.219765,0.446714,-0.039427,-104.852669,188.571561,0
0.041667,120.788740,-194.378853,34.543182,3.584028,-3.638020,5.447372,-1.233022,3.760422,-5.391518,1.297160,-0.172276,0.443970,-0.054364,-104.298479,188.722416,0
