1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-134.133959,-66.212543,183.132198,6.377598,6.185600,-0.838865,-5.247976,-6.160428,1.151126,4.965300,-0.223418,0.576253,-0.043161,-37.275421,188.420309,0
0.001042,-53.602206,-118.836961,196.513826,6.671658,5.102765,1.756589,-6.438283,-5.098136,-1.543150,6.210546,-0.241683,0.598595,-0.020755,-43.247101,188.420300,0
0.002083,15.144690,-169.818375,163.693750,6.038298,3.309875,3.919467,-6.688285,-3.388912,-3.633103,6.406228,-0.256295,0.610941,-0.058098,-45.203731,188.269476,0
0.003125,82.349005,-186.055110,114.648296,5.110878,0.760775,5.649770,-5.647232,-0.782805,-5.479648,5.559460,-0.234377,0.608001,-0.024490,-36.958741,188.269481,0
0.004167,132.153925,-189.836433,27.304546,3.470928,-1.823828,6.514921,-3.927071,1.687299,-6.318987,3.876599,-0.190541,0.601730,-0.031958,-18.432961,188.420278,0
0.005208,167.134197,-160.612727,-49.649053,1.989318,-3.911391,6.340303,-1.770339,3.889073,-6.356757,1.830837,-0.175929,0.597092,-0.031958,4.639438,188.420188,0
0.006250,185.509047,-83.198294,-105.194508,0.960108,-5.651028,5.133854,1.151324,5.605648,-5.139716,-0.887358,-0.106522,0.591670,-0.024490,15.282148,188.269462,0
0.007292,179.962565,-5.143573,-152.381061,0.010068,-6.407237,3.542452,3.196114,6.454747,-3.595333,-2.993603,-0.066339,0.600881,-0.054364,32.722168,188.269545,0
0.008333,134.626590,65.324340,-183.502273,-0.600672,-6.045108,1.010495,5.173740,6.079820,-1.102498,-4.857915,-0.018850,0.600032,-0.024490,42.855928,188.344834,0
0.009375,55.558019,119.036039,-196.317614,-0.804252,-4.976475,-1.549241,6.296883,5.010177,1.579189,-6.131624,-0.007891,0.613881,-0.028224,46.316787,188.420238,0
0.010417,-13.721974,170.464448,-163.768372,-0.250062,-3.098378,-3.807366,6.520765,3.175978,3.677535,-6.295285,0.035945,0.624333,-0.024490,50.524107,188.269534,0
0.011458,-82.139937,186.024652,-114.735228,0.699978,-0.556378,-5.505919,5.502101,0.687495,5.486310,-5.395150,-0.022503,0.607152,-0.046895,42.301738,188.269492,0
0.012500,-132.977024,189.818056,-26.714394,2.362548,1.943018,-6.343291,3.793134,-1.841421,6.350829,-3.758540,-0.015197,0.597288,-0.065566,22.350898,188.344880,0
0.013542,-167.367486,160.739320,50.559280,3.810228,4.055433,-6.148830,1.580431,-4.010114,6.346632,-1.687874,-0.095563,0.592650,-0.005818,0.771418,188.420381,0
0.014583,-186.354831,82.503386,105.255303,4.862058,5.816371,-4.934443,-1.225559,-5.708310,5.104411,1.101478,-0.124787,0.583243,-0.046895,-11.907091,188.344947,0
0.015625,-179.900949,3.578840,152.220266,5.778168,6.487374,-3.370821,-3.289007,-6.461839,3.572618,3.111662,-0.168623,0.568284,-0.073035,-28.363141,188.269568,0
0.016667,-134.179329,-65.922601,183.624622,6.366288,6.189150,-0.842833,-5.270364,-6.248646,1.159520,4.954626,-0.190541,0.632760,-0.054364,-37.761751,188.344862,0
0.017708,-53.624891,-118.969851,196.464584,6.626418,5.056612,1.720872,-6.348730,-5.054027,-1.547347,6.174968,-0.274560,0.592062,-0.024490,-42.297061,188.420061,0
0.018750,15.518992,-170.023751,163.644508,6.038298,3.256621,3.911530,-6.609926,-3.274964,-3.616317,6.391996,-0.256295,0.578475,-0.024490,-45.565651,188.345050,0
0.019792,82.768678,-185.583955,114.069697,5.076948,0.750124,5.621990,-5.639770,-0.797508,-5.433485,5.530997,-0.234377,0.582525,-0.002084,-35.805121,188.269492,0
0.020833,132.187953,-189.993485,26.270455,3.436998,-1.781224,6.495078,-3.927071,1.690975,-6.314790,3.855252,-0.216112,0.596570,-0.043161,-18.794881,188.344952,0
0.021875,166.691839,-160.274461,-50.461553,2.000628,-3.858137,6.340303,-1.781533,3.885397,-6.331577,1.877089,-0.150358,0.595459,-0.028224,5.125768,188.420274,0
0.022917,185.679185,-82.449278,-105.219129,0.948798,-5.665229,5.141791,1.087890,5.579918,-5.122929,-0.901589,-0.113828,0.588992,-0.035692,16.130398,188.420298,0
0.023958,179.837797,-4.056292,-152.368750,0.021378,-6.364633,3.566263,3.140144,6.447395,-3.595333,-2.950909,-0.059033,0.584484,-0.039427,33.581728,188.269608,0
0.025000,134.603905,65.795495,-183.465341,-0.600672,-6.030907,1.062087,5.166278,6.054090,-1.182235,-4.829452,-0.044421,0.606303,-0.009553,42.980338,188.344963,0
0.026042,55.104319,119.144767,-196.194508,-0.792942,-4.930321,-1.537336,6.244644,5.013853,1.512042,-6.085372,0.024986,0.610027,-0.020755,46.690017,188.420323,0
0.027083,-13.790029,170.271153,-163.731440,-0.238752,-3.158732,-3.684340,6.502108,3.223762,3.627175,-6.263265,0.014027,0.614534,-0.013287,49.630617,188.420274,0
0.028125,-82.083224,185.964248,-114.932197,0.688668,-0.623834,-5.434485,5.505832,0.687495,5.486310,-5.384476,-0.015197,0.610222,-0.054364,43.161298,188.269499,0
0.029167,-132.716147,189.528114,-27.576136,2.362548,1.864911,-6.303605,3.830447,-1.767906,6.300468,-3.769214,-0.018850,0.600881,-0.046895,23.515828,188.344966,0
0.030208,-167.798501,161.089666,49.759091,3.787608,3.980877,-6.144861,1.636402,-3.951302,6.313059,-1.723452,-0.102869,0.595786,-0.050629,0.782728,188.420253,0
0.031250,-185.515486,83.796042,105.723106,4.850748,5.773768,-4.990004,-1.206902,-5.645823,5.158968,0.976954,-0.143052,0.589188,-0.024490,-13.207741,188.420491,0
0.032292,-180.195854,4.654040,152.515720,5.778168,6.469622,-3.418444,-3.195722,-6.476542,3.622978,3.051178,-0.175929,0.599183,-0.031958,-28.476241,188.269527,0
0.033333,-135.109414,-65.729307,182.873675,6.377598,6.203351,-0.922205,-5.206931,-6.171455,1.205683,4.901259,-0.186888,0.605584,-0.061832,-37.218871,188.344919,0
0.034375,-54.691086,-118.945689,196.612311,6.671658,5.092114,1.641500,-6.333804,-5.112839,-1.455020,6.153621,-0.238030,0.591736,-0.035692,-43.314961,188.420242,0
0.035417,14.622935,-169.685486,163.509091,6.060918,3.288573,3.879781,-6.613657,-3.377885,-3.544973,6.367091,-0.274560,0.601534,-0.024490,-45.215041,188.420336,0
0.036458,82.405718,-186.067191,114.168182,5.099568,0.796278,5.578335,-5.658426,-0.845293,-5.429288,5.573692,-0.241683,0.602710,-0.039427,-36.902191,188.269534,0
0.037500,132.029158,-189.582734,26.147349,3.403068,-1.713769,6.455392,-3.949459,1.599081,-6.285413,3.908619,-0.197847,0.596896,-0.039427,-18.150211,188.344927,0
0.038542,166.964059,-160.407351,-50.818561,1.966698,-3.840386,6.340303,-1.803921,3.844964,-6.314790,1.884205,-0.175929,0.595002,-0.031958,5.103148,188.420305,0
0.039583,184.998635,-82.098931,-105.489962,0.948798,-5.629726,5.149728,1.076696,5.550512,-5.097749,-0.869569,-0.099216,0.597092,-0.095440,15.564898,188.495736,0
0.040625,179.815112,-3.150224,-152.110228,0.077928,-6.378835,3.566263,3.114024,6.421665,-3.578546,-2.943794,-0.037115,0.569264,-0.013287,32.733478,188.269440,0
0.041667,133.991410,66.774049,-182.923675,-0.544122,-6.069960,1.026369,5.114039,6.065117,-1.152858,-4.800990,-0.033462,0.598072,-0.002084,42.799378,188.344983,0
0.042708,54.106179,119.362224,-196.539205,-0.804252,-4.994226,-1.561147,6.293151,5.006501,1.495255,-6.110277,0.028639,0.611268,-0.028224,46.328097,188.420358,0
0.043750,-14.720114,170.367800,-163.620644,-0.238752,-3.176484,-3.735931,6.494645,3.223762,3.635569,-6.256149,0.010374,0.613815,-0.017021,50.377077,188.495631,0
0.044792,-82.604979,186.060895,-114.698296,0.688668,-0.638035,-5.494014,5.561803,0.687495,5.469523,-5.444960,-0.029809,0.610680,-0.050629,42.380908,188.269592,0
0.045833,-132.818229,189.648923,-27.292993,2.396478,1.879113,-6.343291,3.856567,-1.775258,6.300468,-3.783445,-0.066339,0.599444,-0.035692,22.599718,188.420256,0
0.046875,-167.685076,161.137990,49.697538,3.821538,3.998629,-6.144861,1.643865,-3.943950,6.334042,-1.741241,-0.102869,0.602514,-0.017021,1.269058,188.420242,0
0.047917,-185.787706,83.699395,105.686175,4.873368,5.812821,-4.970161,-1.206902,-5.616417,5.184148,1.001859,-0.146705,0.590364,-0.028224,-11.805301,188.495685,0
0.048958,-180.116456,5.306409,152.589584,5.800788,6.483823,-3.418444,-3.229305,-6.516975,3.601995,3.047620,-0.190541,0.596308,-0.028224,-28.397071,188.269563,0
0.050000,-135.302237,-64.980291,183.242993,6.388908,6.192701,-0.878551,-5.244244,-6.160428,1.167913,4.897701,-0.201500,0.609112,-0.054364,-37.784371,188.420347,0
0.051042,-55.553116,-118.873203,196.193751,6.603798,5.067262,1.669280,-6.363655,-5.186354,-1.450823,6.164294,-0.259948,0.610680,-0.035692,-42.229201,188.420341,0
0.052083,13.613452,-170.011670,163.582955,6.026988,3.356028,3.844064,-6.628583,-3.418318,-3.528186,6.356418,-0.278213,0.611986,-0.039427,-45.373381,188.495694,0
0.053125,82.156183,-185.535632,114.672917,5.076948,0.767875,5.554524,-5.628575,-0.863672,-5.378928,5.530997,-0.256295,0.606760,-0.017021,-35.850361,188.344829,0
0.054167,132.426145,-189.618977,26.898296,3.414378,-1.713769,6.431581,-3.949459,1.591729,-6.293807,3.883714,-0.212459,0.596439,-0.050629,-18.828811,188.344813,0
0.055208,167.032114,-160.552322,-50.424621,1.989318,-3.748078,6.300617,-1.788996,3.811882,-6.251840,1.898436,-0.150358,0.592389,0.005384,5.351968,188.420287,0
0.056250,184.998635,-82.642572,-105.563826,0.914868,-5.569371,5.153697,1.043114,5.517430,-5.106143,-0.830433,-0.073645,0.578866,-0.035692,16.379218,188.495682,0
0.057292,179.792427,-3.138143,-151.913258,0.055308,-6.279427,3.613886,3.039397,6.355501,-3.603727,-2.876194,-0.062686,0.587163,-0.058098,33.434698,188.344970,0
0.058333,134.320343,66.906939,-182.455872,-0.544122,-6.020256,1.093835,5.024486,6.109226,-1.186431,-4.754738,0.010374,0.583047,-0.031958,42.742828,188.420278,0
0.059375,53.607109,119.386386,-196.416099,-0.804252,-4.937422,-1.450027,6.218524,4.955041,1.432305,-5.996426,-0.007891,0.618323,-0.024490,46.757877,188.420227,0
0.060417,-15.253211,169.715432,-163.608334,-0.204822,-3.190685,-3.600999,6.475989,3.256844,3.526455,-6.177876,0.014027,0.602514,-0.054364,49.517517,188.495729,0
0.061458,-82.865857,186.193785,-114.205872,0.711288,-0.698389,-5.370988,5.546877,0.768361,5.381393,-5.384476,0.010374,0.597027,-0.028224,43.172608,188.344957,0
0.062500,-132.330501,189.286496,-26.886743,2.351238,1.815208,-6.244076,3.849104,-1.650282,6.199748,-3.822582,-0.037115,0.598921,-0.028224,23.583688,188.345021,0
0.063542,-167.639706,160.932614,50.042235,3.866778,3.888570,-6.121050,1.722223,-3.859408,6.308862,-1.812398,-0.062686,0.596439,-0.035692,0.918448,188.420314,0
0.064583,-184.494661,83.868528,106.166288,4.873368,5.727614,-5.017784,-1.109886,-5.561280,5.142181,0.859545,-0.157664,0.588469,-0.050629,-13.264291,188.495669,0
