1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,157.130111,-164.683991,-14.994697,2.667918,-1.049867,4.987016,-3.412142,1.029340,-4.942472,3.364269,-0.227071,0.557244,-0.054364,-60.076380,188.282407,988.912959,1005.629924,0
0.001042,178.340587,-113.787143,-85.152841,1.367268,-3.101928,5.026702,-1.389739,3.051002,-4.934078,1.439474,-0.161317,0.551887,-0.054364,-68.196960,188.285576,989.681328,1004.626897,0
0.002083,181.244267,-33.702830,-136.241856,0.338058,-4.273520,4.296483,0.416244,4.337515,-4.346541,-0.278966,-0.113828,0.554174,-0.058098,-62.033010,188.429769,990.166302,1003.854526,0
0.003125,150.721598,37.357047,-174.306251,-0.351852,-4.997776,2.899541,2.259541,4.958716,-3.028780,-2.097026,-0.088257,0.554892,-0.002084,-40.464841,188.423832,991.206797,1003.464756,0
0.004167,96.753981,109.274669,-175.340341,-0.419712,-4.845114,0.927155,3.927463,4.910932,-1.068924,-3.762098,-0.073645,0.563058,-0.031958,-10.742161,188.345782,991.881770,1003.268789,0
0.005208,12.059530,151.992745,-178.110228,-0.464952,-4.046302,-0.993640,4.837917,4.039779,0.869948,-4.601750,-0.055380,0.544702,-0.061832,17.985238,188.269138,992.286581,1003.420020,0
0.006250,-64.695171,168.942254,-143.431250,0.202338,-2.516132,-2.680288,4.837917,2.584182,2.594789,-4.708485,-0.044421,0.566520,-0.031958,44.122647,188.425090,992.030471,1003.454620,0
0.007303,-120.035231,189.636842,-58.364962,1.808358,-0.506674,-4.378842,4.408810,0.566195,4.315433,-4.302891,-0.033462,0.566259,-0.035692,58.961367,188.419808,992.782493,1003.706762,0
0.008343,-158.293485,163.940760,14.883144,3.142938,1.176157,-4.894758,3.211040,-1.128326,4.949133,-3.189285,-0.066339,0.565867,-0.050629,65.917017,188.344511,993.296099,1003.716849,0
0.009381,-179.072946,113.672118,85.644508,4.477518,3.235319,-4.906663,1.192369,-3.138961,4.932347,-1.225354,-0.128440,0.550907,-0.031958,74.218557,188.269039,994.682261,1003.885084,0
0.010420,-181.727091,32.742142,136.228788,5.450178,4.360757,-4.196287,-0.553912,-4.322553,4.260876,0.457508,-0.150358,0.534184,-0.050629,67.579587,188.419871,994.411877,1003.466547,0
0.011463,-150.546557,-39.380855,173.997728,6.219258,5.092114,-2.835063,-2.456911,-5.017269,2.934721,2.282683,-0.190541,0.548425,-0.054364,45.332817,188.419795,994.574320,1003.198428,0
0.012504,-96.034500,-109.679635,175.388826,6.253188,4.925251,-0.870614,-4.068863,-4.943754,0.966472,3.876599,-0.241683,0.536993,-0.005818,19.161478,188.344493,994.336950,1003.288748,0
0.013545,-12.757861,-151.999042,178.023296,6.321048,4.119338,1.073992,-4.971854,-4.102008,-0.913646,4.751829,-0.252642,0.559922,-0.043161,-13.411321,188.268954,993.693393,1003.659411,0
0.014592,63.849387,-168.936469,142.556440,5.574588,2.603369,2.796358,-4.983048,-2.653762,-2.663667,4.869238,-0.234377,0.568349,-0.054364,-39.548731,188.420415,993.896777,1003.728054,0
0.015637,119.904025,-189.413602,58.450379,4.025118,0.590362,4.451257,-4.531553,-0.635775,-4.350738,4.388929,-0.223418,0.564103,-0.043161,-55.823820,188.420301,993.360813,1003.897538,0
0.016676,157.776634,-164.152432,-15.634849,2.656608,-1.056968,5.026702,-3.371097,1.007285,-4.971848,3.357153,-0.227071,0.555676,-0.017021,-60.506160,188.344813,993.185098,1004.435250,0
0.017719,178.612807,-112.325353,-86.408523,1.299408,-3.148081,5.010828,-1.363620,3.054678,-4.988635,1.432358,-0.186888,0.559269,-0.039427,-68.649360,188.269445,993.102862,1005.400869,0
0.018755,181.403062,-32.289364,-136.340341,0.338058,-4.301922,4.320294,0.382661,4.311784,-4.375918,-0.296756,-0.132093,0.556787,-0.058098,-64.136670,188.344775,992.706678,1005.808378,0
0.019794,150.540118,38.166468,-174.281629,-0.317922,-5.004877,2.923353,2.337899,4.999150,-3.058156,-2.150394,-0.073645,0.553259,-0.024490,-41.222611,188.420215,993.391769,1006.430908,0
0.020834,97.457216,108.948484,-175.438826,-0.408402,-4.880617,0.927155,3.961045,4.947689,-1.043744,-3.787003,-0.088257,0.564952,-0.046895,-13.173811,188.344930,994.310676,1006.439748,0
0.021875,13.443315,152.004826,-178.097917,-0.487572,-4.049852,-1.001577,4.871500,4.069185,0.874145,-4.623097,-0.022503,0.564822,-0.046895,17.589388,188.269519,994.961926,1006.602807,0
0.022916,-64.230129,169.232195,-143.345076,0.191028,-2.494830,-2.735848,4.875231,2.628291,2.674526,-4.768969,-0.037115,0.523471,-0.054364,43.704177,188.345015,996.309144,1007.385415,0
0.023958,-119.672271,189.105283,-59.411364,1.808358,-0.517325,-4.378842,4.472243,0.577222,4.323826,-4.242408,-0.051727,0.560641,-0.031958,57.988707,188.420265,996.243407,1006.474074,0
0.025000,-157.760388,165.076364,14.784659,3.154248,1.161956,-4.958255,3.233428,-1.135677,4.949133,-3.196401,-0.069992,0.561555,-0.020755,64.559817,188.344856,996.648432,1006.407390,0
0.026042,-178.936836,114.396972,84.967425,4.488828,3.228218,-4.926506,1.181175,-3.135285,4.953330,-1.236027,-0.084604,0.548425,-0.054364,73.279827,188.269527,996.955985,1006.455676,0
0.027083,-181.704406,34.155608,136.302652,5.472798,4.396260,-4.180412,-0.580032,-4.421798,4.256679,0.471739,-0.143052,0.555676,-0.035692,67.658757,188.348823,998.556907,1006.404708,0
0.028125,-151.295162,-37.689528,174.157766,6.207948,5.099215,-2.775534,-2.505419,-5.065054,2.896951,2.336051,-0.179582,0.554500,-0.050629,45.638187,188.420265,1000.228455,1005.742090,0
0.029167,-96.340747,-109.317208,175.598107,6.196638,4.907500,-0.787273,-4.109908,-4.936403,0.928702,3.951314,-0.227071,0.556852,-0.035692,17.838208,188.344898,1001.477838,1005.237612,0
