1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,77.131455,108.598138,-196.157576,-0.781632,-5.296000,-1.168257,6.267032,5.278507,1.021029,-5.978637,0.057863,0.606172,-0.039427,-60.630570,188.646426,0
0.001042,4.732275,156.281466,-176.399054,-0.431022,-3.669972,-3.164455,6.412555,3.727340,3.127769,-6.295285,0.010374,0.601926,-0.069301,-15.481051,188.646545,0
0.002083,-64.128046,189.769732,-127.993750,0.439848,-1.131523,-5.240024,5.819267,1.257236,5.150575,-5.701125,-0.007891,0.599117,-0.009553,28.808908,188.646542,0
0.003125,-118.844268,195.737699,-46.066667,1.989318,1.367873,-6.152799,4.184927,-1.271680,6.195551,-4.178366,-0.004238,0.594479,-0.009553,65.690817,188.570971,0
0.004167,-169.148258,164.182378,26.664394,3.414378,3.679104,-6.382977,2.132674,-3.521239,6.459943,-2.207319,-0.048074,0.586640,-0.028224,97.437986,188.646284,0
0.005208,-180.797006,108.271954,93.375568,4.658478,5.383237,-5.355113,-0.501673,-5.337060,5.477917,0.347215,-0.077298,0.581741,-0.050629,109.370036,188.646424,0
0.006250,-186.230064,20.310892,142.027084,5.597208,6.437670,-3.799428,-2.923332,-6.289079,3.908354,2.688278,-0.146705,0.553978,-0.046895,123.145616,188.646478,0
0.007292,-154.799995,-55.267244,171.375569,6.151398,6.320511,-1.561147,-4.673345,-6.351567,1.843581,4.488548,-0.208806,0.590298,-0.005818,107.164586,188.570948,0
0.008333,-75.776794,-108.701082,196.169129,6.649038,5.400989,1.280359,-6.363655,-5.392196,-0.993384,6.078906,-0.245336,0.593565,-0.017021,64.401477,188.495731,0
0.009375,-3.581778,-155.973659,176.779925,6.230568,3.785612,3.268619,-6.535298,-3.837354,-3.150484,6.359976,-0.256295,0.597941,-0.024490,22.316968,188.495548,0
0.010417,64.223690,-189.292793,128.276137,5.393628,1.279116,5.304503,-5.968130,-1.396656,-5.110339,5.783605,-0.219765,0.602122,-0.013287,-24.314161,188.495683,0
0.011458,118.270704,-195.574863,47.112311,3.855468,-1.198979,6.316492,-4.322596,1.191073,-6.205676,4.335561,-0.205153,0.600293,-0.043161,-59.963280,188.495660,0
0.012500,169.221217,-163.995380,-25.249432,2.441718,-3.552813,6.550638,-2.229297,3.440632,-6.491051,2.296915,-0.168623,0.599640,-0.002084,-93.678389,188.495738,0
0.013542,180.756540,-109.486341,-92.662311,1.220238,-5.267598,5.510869,0.352811,5.267479,-5.530009,-0.197136,-0.091910,0.586575,-0.028224,-103.823459,188.495783,0
0.014583,185.974090,-22.250133,-142.187879,0.270198,-6.325580,3.919467,2.789395,6.256256,-3.910085,-2.573777,-0.073645,0.590168,-0.039427,-117.146639,188.495716,0
0.015625,155.303969,54.077018,-171.696402,-0.340542,-6.233273,1.764526,4.584184,6.326095,-1.853706,-4.420300,-0.026156,0.598529,-0.050629,-101.878139,188.495622,0
0.016667,76.745810,108.743109,-196.071402,-0.838182,-5.260497,-1.164289,6.274495,5.315264,1.042012,-5.953732,-0.026156,0.594806,-0.050629,-59.861490,188.495769,0
0.017708,3.892929,156.196900,-176.645266,-0.442332,-3.659321,-3.204141,6.449869,3.708961,3.148752,-6.288169,0.014027,0.608981,-0.061832,-16.159651,188.495787,0
0.018750,-64.638459,189.552276,-127.833713,0.451158,-1.142174,-5.263836,5.871507,1.249885,5.163165,-5.661988,0.017680,0.592062,-0.039427,29.023798,188.420479,0
0.019792,-118.390568,196.075964,-45.623485,2.057178,1.396275,-6.224233,4.229704,-1.319465,6.258502,-4.196156,-0.033462,0.594675,-0.031958,65.430687,188.495729,0
0.020833,-168.728586,164.291106,26.775189,3.425688,3.682654,-6.442505,2.136405,-3.572700,6.489320,-2.193088,-0.044421,0.586836,-0.013287,97.777286,188.495825,0
0.021875,-180.706266,108.271954,92.920076,4.669788,5.418740,-5.327333,-0.546450,-5.406899,5.503097,0.343657,-0.124787,0.581675,-0.020755,108.465236,188.495586,0
0.022917,-186.354831,21.229040,141.953220,5.608518,6.462522,-3.767680,-2.934526,-6.355242,3.895763,2.741646,-0.161317,0.594153,0.012853,122.252126,188.420233,0
