1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-163.601775,146.628824,1.563068,2.894118,6.423469,-2.445991,-4.128928,-6.009722,2.648666,3.929481,-0.227071,0.304501,-0.005818,-22.334911,188.495911,0
0.001042,-201.882715,85.040375,53.673864,3.912018,5.798620,0.068504,-5.872411,-5.465711,0.207197,5.741564,-0.230724,0.307114,-0.039427,-20.740201,188.495819,0
0.002083,-175.602141,31.932721,133.582008,5.416248,4.495668,2.278211,-6.797045,-4.153468,-2.020743,6.586695,-0.252642,0.316195,-0.028224,-10.538581,188.495864,0
0.003125,-130.073344,-17.816441,191.207955,6.513318,2.695677,3.908823,-6.350400,-2.451596,-3.745080,6.403964,-0.238030,0.333440,-0.013287,-1.524512,188.420481,0
0.004167,-71.035629,-77.339055,199.296023,6.626418,-0.062890,5.646110,-5.319982,0.294190,-5.437187,5.303771,-0.230724,0.322205,-0.043161,-0.167312,188.495740,0
0.005208,-17.328889,-152.651411,171.892614,6.196638,-2.306665,6.202347,-3.588253,2.620939,-6.202663,3.708681,-0.201500,0.322858,-0.013287,5.544238,188.495799,0
0.006250,29.957996,-196.698387,108.025190,4.986468,-4.284170,5.600392,-0.892711,4.510275,-5.594311,1.040047,-0.132093,0.313647,-0.043161,15.892888,188.495845,0
0.007292,100.111361,-195.550701,50.633144,3.889398,-5.906648,4.518398,1.794995,6.259932,-4.554874,-1.640007,-0.091910,0.303326,-0.020755,23.843818,188.420509,0
0.008333,163.277746,-146.610959,-1.182197,2.928048,-6.258125,2.643956,4.024302,6.579722,-2.673413,-3.848007,-0.033462,0.310446,-0.039427,26.863588,188.495906,0
0.009375,201.604056,-84.539274,-53.428409,1.932768,-5.658128,0.175179,5.720769,6.068793,-0.240002,-5.679124,-0.007891,0.309270,-0.039427,27.214198,188.495866,0
0.010417,175.028577,-30.839656,-133.533523,0.417228,-4.355176,-2.095486,6.715926,4.716117,2.008082,-6.528062,0.017680,0.308617,-0.020755,14.908918,188.495819,0
0.011458,128.864600,19.175287,-191.073296,-0.725082,-2.562285,-3.710858,6.261445,2.959108,3.728391,-6.322489,-0.007891,0.345134,-0.035692,6.437728,188.495942,0
0.012500,68.953512,78.009289,-199.678410,-0.894732,0.199831,-5.459575,5.289796,0.216999,5.428555,-5.180421,-0.037115,0.307180,-0.069301,5.487688,188.495828,0
0.013542,15.700472,152.403496,-171.844129,-0.363162,2.464908,-6.099628,3.436611,-2.072994,6.190003,-3.539648,-0.044421,0.335204,-0.035692,-1.004252,188.495935,0
0.014583,-30.247997,197.441106,-106.536364,0.847008,4.485017,-5.471005,0.764577,-3.973356,5.577621,-0.882435,-0.102869,0.307376,-0.017021,-10.538581,188.495855,0
0.015625,-100.163170,195.665213,-49.341288,1.910148,6.089743,-4.324242,-1.958390,-5.700959,4.522069,1.816654,-0.186888,0.297512,-0.024490,-19.100251,188.420426,0
0.016667,-164.032790,146.230154,1.538447,2.905428,6.412818,-2.453611,-4.160272,-6.031776,2.680896,4.017040,-0.172276,0.303587,-0.043161,-22.380151,188.495897,0
0.017708,-201.769290,84.641706,53.489205,3.889398,5.787969,0.068504,-5.888083,-5.495117,0.191082,5.764405,-0.238030,0.306200,-0.035692,-21.633691,188.495890,0
0.018750,-175.466031,31.630699,133.815909,5.393628,4.516969,2.312500,-6.840142,-4.193901,-2.057002,6.651412,-0.281866,0.316979,-0.017021,-10.357621,188.495883,0
0.019792,-130.005289,-18.190949,190.801705,6.502008,2.649523,3.912633,-6.373907,-2.425866,-3.753138,6.430612,-0.241683,0.334028,-0.024490,-1.253072,188.420405,0
0.020833,-70.740724,-77.568592,199.603788,6.671658,-0.080641,5.668970,-5.359161,0.301541,-5.457331,5.296157,-0.238030,0.323250,-0.039427,-0.359582,188.495843,0
0.021875,-17.033984,-152.252741,171.880304,6.196638,-2.374121,6.221396,-3.560827,2.642994,-6.202663,3.655385,-0.179582,0.323184,-0.031958,5.668648,188.495845,0
0.022917,29.821886,-197.326594,107.840531,4.975158,-4.309022,5.604202,-0.853532,4.554384,-5.570138,0.994364,-0.157664,0.317632,-0.024490,16.062538,188.495870,0
0.023958,100.088676,-195.309083,50.953220,3.889398,-5.910198,4.495539,1.834174,6.274635,-4.575018,-1.670463,-0.099216,0.305285,-0.031958,23.357488,188.495837,0
0.025000,163.844871,-146.792172,-1.034470,2.916738,-6.261675,2.663005,4.016466,6.620156,-2.657297,-3.836586,-0.073645,0.306919,-0.009553,27.282058,188.498834,0
0.026042,201.433918,-85.203724,-53.576137,1.910148,-5.622625,0.186609,5.728605,6.032035,-0.244031,-5.606793,-0.037115,0.312340,-0.020755,27.202888,188.495696,0
0.027083,175.312139,-31.467863,-133.730493,0.371988,-4.337425,-2.091676,6.668911,4.730820,1.991967,-6.501413,-0.004238,0.315933,-0.043161,15.044638,188.495807,0
0.028125,129.114135,18.728293,-191.024054,-0.736392,-2.526783,-3.657520,6.222266,2.995866,3.708247,-6.288227,0.010374,0.310054,-0.017021,6.279388,188.495694,0
0.029167,69.055595,77.803914,-199.703031,-0.906042,0.164328,-5.459575,5.234945,0.239053,5.396324,-5.169000,0.006721,0.311034,-0.013287,5.510308,188.495696,0
0.030208,15.779870,152.500143,-171.721023,-0.385782,2.454258,-6.031051,3.428775,-2.017857,6.177916,-3.558683,-0.051727,0.296597,0.020321,-0.789362,188.495790,0
0.031250,-30.236655,197.078679,-106.782576,0.835698,4.456615,-5.436716,0.823346,-3.936599,5.484958,-0.912890,-0.102869,0.314953,-0.039427,-10.957051,188.495707,0
0.032292,-100.174513,195.882670,-49.242803,1.921458,6.068441,-4.297574,-1.907457,-5.711986,4.505954,1.740516,-0.161317,0.299537,-0.020755,-18.613921,188.571127,0
0.033333,-163.193445,146.520096,1.944697,2.905428,6.402167,-2.453611,-4.113257,-5.995019,2.652694,3.948516,-0.183235,0.303914,-0.039427,-22.289671,188.495754,0
0.034375,-201.916742,84.496735,53.550758,3.866778,5.787969,0.045645,-5.852821,-5.498793,0.195111,5.749177,-0.230724,0.306004,-0.028224,-20.751511,188.495740,0
0.035417,-175.454688,31.135382,133.200379,5.404938,4.467265,2.320120,-6.773537,-4.168171,-2.032829,6.582888,-0.278213,0.313974,-0.017021,-10.436791,188.495694,0
0.036460,-129.449506,-18.529215,191.306440,6.513318,2.663724,3.878344,-6.342564,-2.440569,-3.732994,6.392543,-0.256295,0.333963,-0.028224,-1.332242,188.495667,0
0.037500,-70.321051,-77.254489,199.431440,6.705588,-0.048689,5.653730,-5.292556,0.327271,-5.417042,5.258088,-0.216112,0.322335,-0.061832,-0.099452,188.495783,0
0.038542,-16.965929,-152.578925,171.941857,6.185328,-2.313766,6.267115,-3.552991,2.639318,-6.222808,3.674419,-0.179582,0.321029,-0.039427,5.555548,188.495664,0
0.039583,29.867256,-196.541335,107.852841,4.975158,-4.280620,5.615632,-0.892711,4.502923,-5.517763,1.059082,-0.143052,0.317436,-0.065566,15.813718,188.495607,0
0.040625,100.236129,-195.707753,50.448485,3.878088,-5.910198,4.506968,1.810667,6.304041,-4.566960,-1.620973,-0.080951,0.303260,-0.039427,23.877748,188.495649,0
0.041667,163.221034,-146.949224,-1.182197,2.894118,-6.247474,2.647766,4.008630,6.620156,-2.665355,-3.809938,-0.059033,0.307572,-0.013287,26.852278,188.495635,0
0.042708,201.558686,-85.747364,-53.502273,1.887528,-5.658128,0.175179,5.779538,6.054090,-0.256117,-5.622021,-0.015197,0.310838,-0.054364,27.259438,188.495689,0
0.043750,175.300797,-32.120232,-133.767425,0.360678,-4.372927,-2.087866,6.700254,4.730820,1.995996,-6.501413,0.017680,0.318089,-0.054364,14.954158,188.495642,0
0.044792,129.817370,18.510837,-191.171781,-0.770322,-2.551635,-3.710858,6.347640,2.977487,3.712275,-6.333910,0.006721,0.340888,-0.046895,6.596068,188.495700,0
0.045833,70.031050,77.888480,-199.506061,-0.917352,0.164328,-5.440526,5.262371,0.239053,5.412440,-5.188034,-0.011544,0.316979,-0.046895,5.634718,188.495736,0
0.046875,16.142830,152.475982,-172.114963,-0.397092,2.447157,-6.053910,3.479708,-2.047263,6.190003,-3.581524,-0.048074,0.328868,-0.017021,-0.992942,188.495698,0
0.047917,-30.145915,197.247812,-107.004167,0.835698,4.460165,-5.436716,0.807674,-3.943950,5.521218,-0.943346,-0.110175,0.303391,-0.039427,-10.572511,188.495640,0
0.048958,-100.004375,195.798103,-49.439773,1.921458,6.050689,-4.343292,-1.887867,-5.752419,4.558329,1.736709,-0.150358,0.302476,-0.043161,-19.088941,188.495712,0
0.050000,-163.703858,146.350963,1.698485,2.916738,6.427019,-2.472660,-4.136764,-6.028101,2.600320,4.001812,-0.219765,0.302672,-0.039427,-22.368841,188.495725,0
0.051042,-201.882715,84.327602,53.366099,3.900708,5.798620,0.038025,-5.884165,-5.502468,0.207197,5.756791,-0.223418,0.307572,-0.031958,-21.622381,188.495671,0
0.052083,-175.409318,30.978330,133.594319,5.416248,4.520520,2.266782,-6.832306,-4.186550,-2.032829,6.632377,-0.238030,0.298426,-0.028224,-10.312381,188.495660,0
0.053125,-129.494876,-18.686266,190.912501,6.502008,2.656624,3.946922,-6.405251,-2.444244,-3.769253,6.442032,-0.259948,0.309662,-0.028224,-1.151282,188.495682,0
0.054167,-69.765269,-77.435703,199.763826,6.682968,-0.073540,5.653730,-5.347407,0.334623,-5.408985,5.288543,-0.201500,0.324818,-0.043161,-0.303032,188.495702,0
0.055208,-16.466859,-152.095689,171.991099,6.196638,-2.324417,6.232826,-3.568663,2.687103,-6.186548,3.640157,-0.183235,0.320114,-0.009553,5.668648,188.495519,0
