1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,130.134960,48.169456,-192.562879,-0.747702,-4.323224,-1.553210,5.655087,4.536005,1.444895,-5.427171,-0.000585,0.464025,0.020321,-8.434921,188.646627,0
0.001042,59.062852,105.662479,-196.502273,-0.860802,-2.303115,-3.664497,5.565534,2.536397,3.568421,-5.356014,0.003068,0.467879,-0.009553,-4.894891,188.495939,0
0.002083,-7.177351,166.477749,-170.268372,-0.419712,-0.190700,-5.184464,4.826723,0.378732,5.150575,-4.662233,-0.051727,0.453508,0.009119,2.807218,188.571033,0
0.003125,-63.901196,188.452914,-109.195455,0.824388,2.223490,-5.652757,2.860291,-1.959045,5.620604,-2.854847,-0.055380,0.451679,-0.039427,4.910878,188.495837,0
0.004167,-124.379409,196.873304,-31.060038,2.317308,4.236497,-5.549574,0.875202,-4.002762,5.616408,-0.869569,-0.102869,0.444558,-0.039427,10.362298,188.721880,0
0.005208,-164.838108,151.763208,35.047917,3.538788,5.340634,-4.378842,-1.307649,-5.182678,4.550448,1.119267,-0.183235,0.449131,-0.013287,14.117218,188.571268,0
0.006250,-199.761667,76.317963,85.853788,4.511448,6.011636,-2.497733,-3.598710,-5.895774,2.640952,3.456773,-0.227071,0.450960,-0.031958,16.707208,188.571031,0
0.007292,-175.692881,13.038188,148.256250,5.642448,5.496846,-0.569001,-4.863645,-5.410575,0.769227,4.680672,-0.234377,0.453573,-0.043161,16.628038,188.571234,0
0.008333,-130.050659,-47.716679,193.116099,6.547248,4.442413,1.716903,-5.833801,-4.366662,-1.534757,5.641291,-0.238030,0.468271,-0.054364,12.748708,188.721826,0
0.009375,-59.454936,-105.584209,196.304546,6.558558,2.390353,3.844064,-5.658426,-2.352351,-3.658284,5.534555,-0.219765,0.466899,-0.020755,8.620558,188.646603,0
0.010417,6.479020,-166.471965,170.439963,6.140088,0.224683,5.348157,-4.923347,-0.132197,-5.299190,4.862122,-0.216112,0.466899,-0.043161,2.648878,188.571049,0
0.011458,63.361660,-188.555858,109.207008,4.952538,-2.136252,5.848199,-2.956915,2.190877,-5.731450,3.076083,-0.212459,0.457231,-0.020755,-0.031592,188.646514,0
0.012500,124.667875,-196.722549,31.613258,3.527478,-4.184763,5.729141,-0.934512,4.322812,-5.769220,1.026763,-0.135746,0.446975,-0.076769,-5.290741,188.721927,0
0.013542,165.194629,-150.658062,-34.519318,2.283378,-5.331503,4.486975,1.285653,5.480673,-4.581556,-1.111502,-0.128440,0.445146,-0.054364,-9.226621,188.646411,0
0.014583,199.834626,-75.019522,-85.226705,1.299408,-6.013156,2.601897,3.591640,6.171714,-2.693044,-3.416987,-0.073645,0.440051,-0.043161,-12.325561,188.570922,0
0.015625,174.574877,-11.341077,-148.527841,0.100548,-5.480614,0.593794,4.912545,5.646082,-0.703812,-4.623097,-0.040768,0.474085,-0.024490,-11.658271,188.721847,0
0.016667,128.717147,48.918472,-193.067614,-0.702462,-4.358726,-1.711953,5.785685,4.528654,1.604369,-5.587274,-0.011544,0.460563,-0.024490,-7.812871,188.797253,0
0.017708,57.611012,106.109472,-196.613069,-0.849492,-2.264062,-3.854989,5.681207,2.481261,3.723699,-5.466307,-0.004238,0.468467,-0.050629,-4.894891,188.721873,0
0.018750,-7.540311,166.284455,-170.920834,-0.385782,-0.066440,-5.363050,4.871500,0.275811,5.322639,-4.751180,-0.022503,0.454096,-0.061832,2.705428,188.646460,0
0.019792,-63.095878,189.685166,-108.506061,0.801768,2.372601,-5.823406,2.834172,-2.098724,5.742308,-2.840616,-0.091910,0.454814,-0.028224,4.628128,188.721963,0
0.020833,-125.105329,196.680009,-32.081818,2.272068,4.392710,-5.632914,0.740873,-4.179198,5.729718,-0.844664,-0.095563,0.446649,-0.035692,10.543258,188.797327,0
0.021875,-166.732305,150.047720,33.509091,3.493548,5.532349,-4.366936,-1.512874,-5.344411,4.550448,1.339854,-0.186888,0.448086,-0.013287,14.139838,188.722041,0
0.022917,-200.680409,75.605189,85.275190,4.477518,6.132346,-2.414393,-3.826324,-5.991343,2.586395,3.656012,-0.208806,0.447367,-0.024490,16.910788,188.722011,0
0.023958,-174.626686,12.132120,149.191857,5.721618,5.539449,-0.374541,-5.124841,-5.436305,0.588770,4.855007,-0.205153,0.432538,-0.020755,16.854238,188.722058,0
0.025000,-129.052519,-48.683151,193.042235,6.569868,4.431763,1.879615,-5.927085,-4.307850,-1.698428,5.780047,-0.216112,0.450960,-0.020755,12.782638,188.797362,0
0.026042,-56.698708,-106.103688,196.907766,6.603798,2.305146,4.046462,-5.789024,-2.208996,-3.834545,5.648406,-0.281866,0.439528,-0.061832,9.219988,188.797353,0
0.027083,9.042425,-165.710868,170.821591,6.185328,0.111074,5.522775,-4.956929,-0.014573,-5.437681,4.915490,-0.252642,0.458864,-0.024490,2.433988,188.797402,0
0.028125,63.282262,-190.114294,107.126515,4.952538,-2.288914,5.955351,-2.927064,2.334231,-5.853154,2.969348,-0.168623,0.448739,-0.043161,-0.099452,188.797264,0
0.029167,124.758615,-196.396364,32.007197,3.584028,-4.316123,5.784701,-0.874810,4.436760,-5.756630,0.941375,-0.175929,0.450764,-0.013287,-5.347291,188.797418,0
0.030208,166.725867,-149.679509,-32.869697,2.294688,-5.420259,4.498880,1.423714,5.579918,-4.543786,-1.189775,-0.095563,0.450176,-0.061832,-9.204001,188.797266,0
0.031250,200.220271,-75.877266,-85.152841,1.310718,-6.069960,2.538400,3.718506,6.223174,-2.609110,-3.552185,-0.073645,0.450307,-0.024490,-12.336871,188.797463,0
0.032292,174.189232,-12.452520,-149.598864,0.066618,-5.469963,0.442988,5.024486,5.638730,-0.645058,-4.708485,-0.015197,0.463111,-0.061832,-12.008881,188.872804,0
