1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,88.507983,44.110273,-205.624432,-0.996522,1.332370,-5.660694,3.800596,-0.749724,5.750702,-3.733635,-0.015197,0.193776,-0.031958,1.235128,188.495635,988.254836,-1298.121180,0
0.001042,42.309979,125.004006,-179.538258,-0.532812,3.625849,-6.017867,1.901329,-2.995607,6.061257,-1.869324,-0.048074,0.166796,-0.035692,2.377438,188.721909,988.822762,-1297.495556,0
0.002083,-0.303796,186.991124,-127.021213,0.451158,5.074363,-4.950318,-0.497942,-4.568828,5.226115,0.311636,-0.132093,0.160917,-0.031958,4.435858,188.571176,989.162186,-1296.433888,0
0.003125,-61.485243,196.329663,-70.737121,1.548228,6.359564,-3.474005,-3.128558,-5.752419,3.585208,2.901749,-0.157664,0.181495,-0.065566,6.618688,188.571154,989.004294,-1295.543644,0
0.004167,-143.548234,165.571682,-24.584659,2.441718,6.313410,-1.414310,-4.781554,-5.862692,1.705090,4.620189,-0.201500,0.185218,-0.065566,7.749688,188.495636,989.659331,-1294.784421,0
0.005208,-190.097857,100.660984,21.653977,3.289968,5.049511,1.073992,-5.803950,-4.572504,-0.800336,5.563018,-0.259948,0.199851,-0.054364,7.975888,188.721971,990.002425,-1294.234122,0
0.006250,-187.829356,53.654187,97.044129,4.737648,3.519341,3.209091,-6.236789,-3.138961,-2.970026,6.075348,-0.234377,0.201027,-0.028224,5.702578,188.646413,989.586360,-1292.841898,0
0.007292,-144.875307,8.471606,169.122728,6.060918,1.424677,4.756838,-5.524097,-1.029081,-4.547982,5.385126,-0.252642,0.223172,-0.084238,4.051318,188.571033,989.734602,-1291.375407,0
0.008333,-89.932235,-43.681657,205.869887,6.773448,-1.135074,5.824387,-3.882294,1.547620,-5.710466,3.905062,-0.172276,0.199459,-0.039427,3.587608,188.495712,990.095827,-1291.037527,0
0.009375,-43.450668,-124.756604,179.746781,6.321048,-3.467606,6.177591,-1.994221,3.889073,-6.012628,2.019403,-0.175929,0.187570,-0.028224,2.513158,188.721949,989.267774,-1290.132013,0
0.010417,-0.156343,-186.937016,127.525190,5.359698,-4.894818,5.110042,0.397587,5.436564,-5.211060,-0.200694,-0.102869,0.189791,-0.035692,0.466048,188.646547,989.834497,-1289.830465,0
0.011458,61.807737,-196.058099,71.388826,4.296558,-6.204871,3.617855,2.987158,6.623831,-3.565956,-2.765901,-0.069992,0.179600,-0.039427,-1.762022,188.571147,989.874737,-1289.204320,0
