1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,120.244300,80.751655,-174.823296,-0.397092,-4.994226,1.597846,3.591640,5.050610,-1.639674,-3.310252,-0.088257,0.528044,-0.028224,8.134228,188.495673,1044.576894,963.706204,0
0.001042,41.856279,132.397519,-188.955872,-0.657222,-4.422631,-0.255483,4.580453,4.543357,0.236247,-4.427416,-0.029809,0.530003,-0.013287,-4.747861,188.495591,1044.447814,964.599350,0
0.002084,-28.637362,173.798777,-157.108334,-0.091722,-3.116129,-2.156435,5.084188,3.242141,2.086989,-4.854357,-0.026156,0.561229,-0.017021,-9.633781,188.495658,1045.186287,965.240554,0
0.003125,-99.357853,178.860676,-104.800569,0.914868,-1.223831,-3.870863,4.666274,1.297669,3.866387,-4.512804,-0.026156,0.556133,-0.028224,-14.508391,188.495669,1045.824191,965.090629,0
0.004167,-144.183415,179.935876,-20.448296,2.509578,0.714621,-4.803480,3.651342,-0.584315,4.781266,-3.548627,-0.059033,0.557440,-0.005818,-17.957941,188.571056,1046.080266,966.080241,0
0.005208,-166.471428,149.129571,56.135985,3.934638,2.543015,-4.978098,2.017002,-2.436893,5.066641,-2.029427,-0.088257,0.554174,-0.017021,-18.919291,188.495664,1046.720838,966.636649,0
0.006250,-180.933116,69.878841,118.353788,5.122188,4.275550,-4.565365,-0.080028,-4.116711,4.651168,0.005661,-0.106522,0.552345,-0.009553,-17.788291,188.495740,1047.461325,966.772805,0
0.007292,-169.567931,-7.801372,157.575379,5.925198,4.950103,-3.521628,-1.706906,-4.936403,3.648159,1.563998,-0.146705,0.554304,-0.005818,-10.187971,188.495658,1048.302344,966.952676,0
0.008333,-121.543784,-79.501537,174.773296,6.253188,5.092114,-1.446058,-3.669606,-5.024621,1.679910,3.449657,-0.194194,0.559661,-0.039427,-3.390661,188.571183,1048.606246,967.831005,0
0.009375,-43.450668,-131.836013,189.164395,6.547248,4.477916,0.403302,-4.658419,-4.546773,-0.258962,4.588168,-0.245336,0.562927,-0.046895,9.921208,188.495667,1049.346182,969.038942,0
0.010417,27.439960,-173.563456,157.169129,5.959128,3.221118,2.324096,-5.143497,-3.234531,-2.063540,4.968858,-0.241683,0.564364,-0.039427,13.415998,188.495689,1049.458218,969.075094,0
0.011458,99.011139,-178.987782,105.009091,4.918608,1.321719,4.022650,-4.807674,-1.352547,-3.901692,4.666441,-0.219765,0.561229,-0.009553,19.568638,188.495609,1049.579965,969.638640,0
0.012500,144.086236,-180.050901,20.225947,3.323898,-0.606082,4.939393,-3.770353,0.562519,-4.829161,3.695149,-0.208806,0.550450,-0.039427,22.735438,188.571161,1049.532741,970.465805,0
0.013542,165.784439,-148.640551,-56.173674,1.876218,-2.430925,5.129885,-2.083774,2.459206,-5.089356,2.136812,-0.139399,0.548164,-0.017021,23.221768,188.495883,1049.618725,969.998574,0
0.014583,180.620430,-68.193811,-118.059091,0.733908,-4.170562,4.701278,-0.020326,4.127997,-4.627720,0.137302,-0.117481,0.539867,-0.046895,23.380108,188.571100,1049.936742,969.814675,0
0.015625,169.198532,9.498483,-157.305304,-0.023862,-4.894818,3.673415,1.561774,4.947689,-3.670874,-1.445940,-0.113828,0.553063,-0.031958,13.755298,188.495682,1050.116353,970.065418,0
0.016667,120.629945,80.159690,-174.749432,-0.408402,-5.051031,1.597846,3.584177,5.046934,-1.681641,-3.370735,-0.069992,0.545943,-0.013287,7.410388,188.571672,1050.780094,970.182857,0
0.017708,43.466914,132.204225,-189.005114,-0.736392,-4.426182,-0.279295,4.625229,4.480869,0.240444,-4.441647,-0.029809,0.561686,-0.028224,-3.876991,188.495645,1051.254030,969.185424,0
0.018750,-26.845247,173.992072,-157.182197,-0.103032,-3.123229,-2.200089,5.046874,3.209059,2.082792,-4.843684,-0.029809,0.566716,-0.024490,-8.604571,188.571103,1051.560866,968.354728,0
0.019792,-98.711330,178.824433,-105.292993,0.869628,-1.170576,-3.886737,4.677468,1.305021,3.883173,-4.551940,-0.022503,0.562535,-0.039427,-14.429221,188.495667,1052.143628,968.569304,0
0.020833,-144.478320,180.141252,-20.596023,2.486958,0.782077,-4.819354,3.602834,-0.613721,4.798052,-3.495260,-0.059033,0.553324,-0.058098,-18.184141,188.571127,1052.614897,967.898493,0
0.021875,-166.358003,149.020843,56.135985,3.934638,2.582068,-4.962224,1.949837,-2.447920,5.062444,-1.961828,-0.099216,0.550646,-0.024490,-18.512131,188.495712,1052.850727,967.023420,0
0.022917,-181.693064,68.380809,118.107576,5.122188,4.307503,-4.549491,-0.150924,-4.149792,4.609201,0.037682,-0.128440,0.550189,-0.013287,-17.697811,188.571056,1053.027230,966.584337,0
0.023958,-169.465848,-9.613507,157.415341,5.902578,4.964304,-3.450193,-1.755413,-4.940079,3.593602,1.628040,-0.175929,0.532355,-0.050629,-10.052251,188.495647,1053.279752,965.945309,0
0.025000,-120.273423,-80.153906,175.216478,6.241878,5.102765,-1.394467,-3.733040,-4.980512,1.600173,3.513698,-0.201500,0.529350,-0.013287,-3.707341,188.571152,1053.705977,964.908661,0
0.026042,-42.066883,-131.787690,189.361364,6.502008,4.481467,0.474736,-4.721853,-4.414446,-0.338700,4.559705,-0.205153,0.524059,-0.009553,10.441468,188.495770,1053.323565,962.912179,0
0.027083,28.199908,-173.768831,157.267614,5.913888,3.174964,2.339971,-5.162154,-3.227179,-2.126491,5.000878,-0.230724,0.560967,-0.043161,13.404688,188.495665,1054.240065,963.027949,0
0.028125,99.011139,-178.419979,105.156819,4.918608,1.279116,4.046462,-4.766629,-1.279032,-3.935265,4.680672,-0.234377,0.561163,-0.031958,19.862698,188.495658,1055.055235,962.302395,0
0.029167,144.267716,-180.232115,20.484470,3.346518,-0.645135,4.975110,-3.777816,0.625007,-4.862734,3.684475,-0.208806,0.556917,-0.009553,22.927708,188.571087,1056.096663,961.915745,0
0.030208,166.068002,-148.942573,-55.828977,1.887528,-2.416724,5.117979,-2.091237,2.440828,-5.080962,2.175948,-0.154011,0.552279,-0.046895,23.493208,188.495741,1055.891618,962.326846,0
0.031250,181.119500,-69.595196,-117.923675,0.733908,-4.191863,4.721121,-0.009132,4.164754,-4.669687,0.108839,-0.139399,0.555219,-0.017021,23.244388,188.495703,1057.238492,962.438500,0
0.032292,169.175847,8.399120,-157.502273,-0.080412,-4.866416,3.645635,1.580431,4.947689,-3.670874,-1.453056,-0.099216,0.559008,-0.061832,14.388658,188.571073,1057.563525,962.188480,0
0.033335,120.777397,79.845587,-174.971023,-0.419712,-4.987126,1.558160,3.602834,5.050610,-1.656461,-3.335157,-0.069992,0.554958,-0.024490,8.224708,188.571026,1057.415567,961.953744,0
0.034375,43.126639,132.059254,-188.918940,-0.668532,-4.397779,-0.283263,4.558064,4.524978,0.202674,-4.430973,-0.077298,0.575339,-0.020755,-4.713931,188.495615,1056.984855,962.725818,0
0.035417,-27.934127,173.653806,-157.268372,-0.125652,-3.112579,-2.168340,4.998366,3.253168,2.032432,-4.804547,-0.048074,0.549862,-0.002084,-9.633781,188.571125,1055.758881,963.355279,0
0.036458,-99.074290,179.029809,-104.948296,0.960108,-1.188328,-3.854989,4.696125,1.279291,3.828616,-4.516362,-0.037115,0.557179,-0.046895,-14.451841,188.571129,1054.962607,962.924153,0
0.037500,-143.797769,180.237899,-20.337500,2.509578,0.703970,-4.787606,3.595371,-0.573288,4.785462,-3.495260,-0.055380,0.549144,-0.039427,-17.901391,188.571031,1054.398845,962.998724,0
0.038542,-166.063098,149.105409,55.963637,3.979878,2.532364,-4.982066,1.979688,-2.447920,5.045657,-2.054332,-0.091910,0.553324,-0.035692,-18.919291,188.495685,1053.986436,963.787013,0
0.039583,-180.672239,69.238553,118.206061,5.144808,4.240048,-4.533616,-0.065103,-4.068926,4.663758,-0.033475,-0.150358,0.545943,-0.020755,-17.788291,188.571149,1052.789234,964.653221,0
0.040625,-169.885521,-8.308770,157.366099,5.913888,4.971405,-3.569251,-1.665861,-4.965809,3.690126,1.563998,-0.175929,0.549405,-0.069301,-10.187971,188.495727,1052.794130,966.047505,0
0.041667,-121.691236,-79.404890,174.539394,6.264498,5.109866,-1.505587,-3.662144,-5.017269,1.692500,3.417637,-0.205153,0.559008,-0.043161,-3.639481,188.571116,1051.893301,967.120759,0
0.042708,-44.221958,-131.606476,189.152084,6.513318,4.520520,0.331867,-4.714390,-4.550449,-0.225389,4.577495,-0.234377,0.564887,-0.028224,9.740248,188.495676,1052.093053,969.213465,0
0.043750,26.078860,-173.358080,157.304546,5.925198,3.299224,2.276473,-5.147229,-3.304370,-2.050950,4.965300,-0.256295,0.567957,-0.039427,13.302898,188.571085,1051.190005,969.528236,0
0.044792,98.137766,-179.011943,105.587690,4.895988,1.371423,4.006776,-4.796480,-1.378277,-3.876512,4.719808,-0.227071,0.561425,-0.031958,19.613878,188.571029,1050.498974,970.733982,0
0.045833,143.904756,-179.664312,21.235417,3.323898,-0.563479,4.959236,-3.774085,0.529438,-4.766210,3.705822,-0.234377,0.556460,-0.035692,22.724128,188.571051,1048.589171,970.881062,0
0.046875,166.272167,-149.317081,-55.262690,1.876218,-2.370570,5.121948,-2.162133,2.389367,-5.085159,2.193737,-0.172276,0.553128,-0.043161,23.278318,188.495642,1048.224207,971.173199,0
0.047917,179.962565,-69.039474,-118.009849,0.745218,-4.106657,4.697310,-0.102417,4.050806,-4.644506,0.194227,-0.117481,0.555349,-0.005818,23.300938,188.571113,1045.743958,971.408794,0
0.048958,169.561492,10.030042,-156.960607,-0.057792,-4.823813,3.701195,1.535655,4.966068,-3.670874,-1.385457,-0.088257,0.527782,-0.017021,13.777918,188.495664,1044.943883,972.182240,0
0.050000,120.539205,80.981192,-174.269319,-0.408402,-4.997776,1.693092,3.543132,5.035907,-1.757182,-3.288905,-0.066339,0.542350,-0.002084,7.387768,188.571138,1043.483545,973.420196,0
0.051042,42.604884,132.095497,-188.894319,-0.611982,-4.493637,-0.184049,4.572990,4.539681,0.198477,-4.455878,-0.066339,0.551430,-0.024490,-3.933541,188.495741,1043.625200,973.781622,0
0.052083,-27.230892,173.605483,-157.194508,-0.080412,-3.229738,-2.092937,5.050605,3.300953,2.019842,-4.804547,-0.033462,0.563058,-0.013287,-8.514091,188.571075,1043.529593,974.193254,0
0.053125,-98.484480,179.041890,-105.477652,0.926178,-1.269984,-3.831177,4.703588,1.374860,3.837010,-4.612424,-0.037115,0.562470,-0.028224,-14.417911,188.495691,1043.871807,975.896527,0
0.054167,-144.001935,179.645935,-21.260796,2.486958,0.640065,-4.811417,3.684924,-0.514476,4.756086,-3.591322,-0.066339,0.556133,-0.024490,-18.150211,188.571109,1043.214415,977.110787,0
0.055208,-166.607538,149.636969,55.249621,3.934638,2.479110,-5.017784,2.031927,-2.407487,5.133788,-2.079237,-0.099216,0.557701,-0.031958,-18.500821,188.495631,1043.776868,978.215092,0
0.056250,-180.411361,70.857394,118.206061,5.122188,4.186793,-4.565365,-0.001670,-4.035844,4.680545,-0.065495,-0.135746,0.550973,-0.043161,-17.629951,188.571113,1043.655561,978.388459,0
0.057292,-170.214453,-8.006747,157.132197,5.857338,4.925251,-3.533533,-1.628547,-4.910673,3.698519,1.539093,-0.143052,0.553847,-0.002084,-10.199281,188.495794,1042.992328,978.215062,0
0.058333,-121.804661,-79.682751,174.527084,6.230568,5.085014,-1.505587,-3.613636,-4.932727,1.717680,3.389174,-0.190541,0.534380,-0.035692,-4.091881,188.571114,1041.946421,977.845885,0
0.059375,-43.076365,-131.678962,189.053599,6.524628,4.524070,0.304087,-4.658419,-4.506340,-0.191815,4.499222,-0.223418,0.534968,-0.028224,10.430158,188.495693,1040.281046,977.591936,0
0.060417,27.587413,-173.321838,157.341478,5.947818,3.281472,2.197102,-5.136035,-3.297018,-1.992197,4.897701,-0.238030,0.550123,-0.043161,13.314208,188.571127,1038.706555,977.657354,0
0.061458,98.784289,-178.854892,105.390720,4.952538,1.392724,3.947247,-4.785286,-1.378277,-3.788381,4.719808,-0.245336,0.560184,-0.050629,19.783528,188.571156,1037.505327,977.835939,0
0.062500,143.598508,-179.640150,20.866099,3.369138,-0.478272,4.919550,-3.852443,0.452247,-4.715850,3.769863,-0.190541,0.556133,-0.020755,22.791988,188.571056,1036.253829,978.874960,0
0.063542,166.170084,-149.292920,-55.385796,1.887528,-2.296015,5.169571,-2.247954,2.297473,-5.093552,2.282683,-0.183235,0.556917,-0.028224,23.538448,188.495721,1035.000185,980.250240,0
0.064583,179.565577,-70.428778,-118.145266,0.745218,-4.056953,4.729058,-0.177044,4.010373,-4.686473,0.297405,-0.157664,0.545877,-0.050629,23.108668,188.571051,1034.300162,981.410699,0
0.065625,169.765657,8.133341,-157.108334,-0.001242,-4.830913,3.752787,1.449833,4.885201,-3.763201,-1.328531,-0.084604,0.559922,-0.024490,14.524378,188.571029,1033.403554,982.009482,0
