1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-141.846859,179.247265,-20.509849,2.453028,0.483853,-4.696328,3.733432,-0.356418,4.613398,-3.623342,-0.095563,0.559334,-0.031958,13.483858,188.495227,1008.783244,1002.840190,0
0.001042,-168.773956,152.173959,57.884091,3.945948,2.312247,-4.993972,2.158794,-2.260457,5.033067,-2.250013,-0.080951,0.555937,-0.058098,8.541388,188.344531,1008.058141,1003.258164,0
0.002083,-176.951898,76.040102,120.914394,5.144808,4.048333,-4.597114,0.132660,-3.921896,4.693135,-0.314545,-0.135746,0.544179,-0.039427,1.619668,188.495195,1007.850688,1003.610635,0
0.003125,-173.152161,-6.291259,158.289394,5.868648,4.889749,-3.676402,-1.464367,-4.822455,3.795043,1.382548,-0.132093,0.522883,-0.031958,-2.666821,188.495229,1007.511384,1003.635636,0
0.004167,-126.353004,-78.510903,174.514773,6.241878,5.031760,-1.751639,-3.441993,-4.976836,1.893941,3.150798,-0.201500,0.535883,-0.031958,-8.672431,188.495247,1007.902607,1003.009242,0
0.005208,-47.193693,-129.975554,190.838637,6.581178,4.612827,0.181061,-4.598717,-4.638667,-0.028144,4.428065,-0.248989,0.569329,-0.043161,-9.215311,188.419873,1007.296629,1003.263500,0
0.006250,21.621258,-171.509702,155.876516,5.823408,3.441235,1.947081,-5.065139,-3.425670,-1.744592,4.826544,-0.230724,0.567239,-0.061832,-11.420761,188.495314,1007.804967,1002.140199,0
0.007292,93.555396,-181.174425,105.255303,4.895988,1.477931,3.812315,-4.781554,-1.547361,-3.687660,4.698461,-0.205153,0.564691,-0.061832,-11.318971,188.495363,1007.164188,1001.987518,0
0.008333,141.125843,-179.326047,20.878409,3.312588,-0.396616,4.756838,-3.818861,0.323596,-4.661293,3.752074,-0.197847,0.559988,-0.073035,-7.812871,188.495305,1007.548240,1001.481698,0
0.009375,168.234419,-151.539968,-57.749432,1.797048,-2.221459,5.110042,-2.337507,2.231310,-5.101946,2.325378,-0.201500,0.554566,-0.046895,-4.951441,188.495244,1006.910092,1000.963225,0
0.010417,176.366992,-75.635648,-120.656629,0.632118,-3.982397,4.725090,-0.270328,3.885397,-4.741030,0.411256,-0.146705,0.553063,-0.054364,3.338788,188.495215,1006.054198,1000.573204,0
0.011458,172.760077,6.381609,-158.203978,-0.080412,-4.827363,3.824221,1.319235,4.826389,-3.889102,-1.204006,-0.124787,0.537646,-0.061832,7.376458,188.495222,1005.189272,1000.498769,0
0.012500,126.981745,78.577092,-174.343182,-0.385782,-4.955173,1.883584,3.255816,4.980771,-2.008983,-2.986488,-0.080951,0.544767,-0.046895,13.891018,188.495327,1004.915565,1000.009052,0
0.013542,47.890489,130.210876,-190.703978,-0.702462,-4.529140,-0.041180,4.446123,4.561735,-0.036538,-4.313565,-0.080951,0.564103,-0.020755,14.637478,188.495242,1004.816810,1000.314105,0
0.014583,-21.230709,171.491325,-155.938826,-0.091722,-3.300743,-1.823074,4.878962,3.400198,1.696696,-4.669349,-0.044421,0.567435,-0.069301,15.745858,188.495238,1003.820246,1000.013465,0
0.015625,-93.595862,181.856740,-104.775947,0.869628,-1.429747,-3.700214,4.655080,1.507187,3.643962,-4.530593,-0.037115,0.559988,-0.020755,16.707208,188.495206,1003.172498,999.981570,0
0.016667,-141.302419,179.283508,-20.066667,2.475648,0.451901,-4.624894,3.725969,-0.327012,4.537857,-3.641131,-0.059033,0.553847,-0.035692,13.845778,188.495255,1001.996135,999.989101,0
0.017708,-168.910066,151.823613,57.847159,3.957258,2.273193,-5.001909,2.203570,-2.197969,5.020477,-2.246456,-0.062686,0.549470,-0.069301,9.106888,188.570703,1001.121652,1000.079400,0
0.018750,-176.169266,76.293801,120.951326,5.156118,3.991528,-4.652674,0.196093,-3.874111,4.714119,-0.357239,-0.157664,0.558746,-0.046895,1.868488,188.495240,1000.249877,1000.477493,0
0.019792,-173.288271,-5.530162,158.400190,5.868648,4.829394,-3.751805,-1.412127,-4.826130,3.790846,1.332738,-0.179582,0.544244,-0.043161,-2.745991,188.495282,999.999537,1000.622645,0
0.020833,-127.566651,-78.015586,173.702273,6.185328,5.003357,-1.834979,-3.352440,-4.969485,1.977875,3.125893,-0.212459,0.554631,-0.069301,-8.050381,188.495227,999.573039,1001.167356,0
0.021875,-48.316600,-129.878907,190.850948,6.513318,4.595075,0.121532,-4.561404,-4.627640,-0.007161,4.424507,-0.248989,0.569721,-0.076769,-9.362341,188.570631,999.643563,1001.026580,0
0.022917,20.974735,-171.062709,155.925758,5.868648,3.430584,1.851835,-5.020362,-3.502860,-1.669051,4.855007,-0.241683,0.571746,-0.058098,-11.341591,188.495237,999.096620,1002.189676,0
0.023958,93.305861,-181.802632,104.996781,4.884678,1.516984,3.768661,-4.774092,-1.554713,-3.645693,4.712693,-0.219765,0.563058,-0.054364,-11.624341,188.495345,998.729893,1002.510151,0
0.025000,140.672143,-179.108591,20.693750,3.357828,-0.354012,4.740964,-3.871100,0.275811,-4.589949,3.759190,-0.245336,0.554762,-0.046895,-8.864701,188.495229,997.408278,1002.493088,0
0.026042,168.517982,-151.527887,-57.429356,1.819668,-2.185956,5.066388,-2.348701,2.205580,-5.064176,2.332493,-0.172276,0.550515,-0.050629,-5.200261,188.646013,996.860729,1002.342803,0
0.027083,175.709127,-76.408826,-120.828978,0.632118,-3.922042,4.705247,-0.326299,3.896425,-4.778801,0.457508,-0.146705,0.544702,-0.024490,3.485818,188.495211,996.899057,1003.031918,0
0.028125,173.157064,5.270166,-158.228599,-0.046482,-4.845114,3.867876,1.293116,4.811686,-3.884905,-1.200449,-0.095563,0.558420,-0.024490,7.444318,188.495322,997.089472,1002.727507,0
0.029167,127.684980,78.093856,-174.023107,-0.351852,-4.980025,1.895489,3.203577,4.951365,-2.021573,-3.000719,-0.077298,0.559988,-0.058098,13.563028,188.495300,997.209695,1002.353080,0
0.030208,48.775204,130.174633,-190.827084,-0.668532,-4.522039,-0.053085,4.461049,4.587466,-0.053324,-4.299333,-0.044421,0.566651,-0.046895,14.309488,188.645978,997.278675,1002.619685,0
0.031250,-21.400847,171.563810,-155.963447,-0.091722,-3.282992,-1.838948,4.849111,3.396523,1.705090,-4.662233,-0.033462,0.567827,-0.035692,15.972058,188.495287,997.287428,1002.549182,0
0.032292,-93.936137,181.820497,-104.628220,0.903558,-1.365842,-3.688308,4.666274,1.441024,3.622978,-4.527035,-0.055380,0.553912,-0.050629,16.447078,188.495269,997.288952,1001.947936,0
0.033333,-141.268392,179.392236,-19.857386,2.486958,0.498054,-4.636800,3.673730,-0.327012,4.596611,-3.598437,-0.073645,0.551430,-0.050629,13.506478,188.495148,997.855545,1001.746725,0
0.034375,-168.626503,151.980665,57.982576,3.979878,2.290945,-4.997941,2.199839,-2.223699,5.024674,-2.264245,-0.077298,0.551038,-0.058098,8.541388,188.646210,998.112333,1001.855562,0
0.035417,-176.588938,76.656228,121.000569,5.167428,4.012830,-4.664580,0.214750,-3.903517,4.709922,-0.307429,-0.124787,0.564560,-0.046895,1.766698,188.495387,998.996828,1001.432256,0
0.036459,-173.594518,-4.491204,158.498675,5.891268,4.879098,-3.716088,-1.408396,-4.829806,3.841206,1.336296,-0.135746,0.560771,-0.035692,-2.587651,188.570631,999.420985,1001.863818,0
0.037500,-127.657391,-77.363217,174.231629,6.185328,5.010458,-1.755608,-3.341246,-4.995215,1.919121,3.125893,-0.216112,0.561033,-0.054364,-8.717671,188.495313,1000.082777,1001.372197,0
0.038542,-48.645533,-129.890988,190.826326,6.535938,4.570223,0.101689,-4.561404,-4.609261,0.009626,4.406718,-0.227071,0.566912,-0.039427,-9.226621,188.646092,999.763614,1001.212684,0
