1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-116.280863,-64.472893,186.320645,6.422838,3.079107,1.784369,-4.621106,-3.010310,-1.660658,4.492106,-0.216112,0.415815,-0.046895,-17.528161,188.495617,0
0.001042,-41.976143,-122.473313,190.617046,6.502008,1.495683,3.355928,-4.475582,-1.392980,-3.242811,4.317772,-0.248989,0.414052,-0.024490,-20.819371,188.495703,0
0.002083,25.443680,-165.155147,160.135985,5.913888,-0.226202,4.264734,-3.497963,0.382408,-4.224837,3.481678,-0.234377,0.412876,-0.050629,-18.274621,188.495698,0
0.003125,78.560610,-190.621692,89.510038,4.613238,-2.253411,4.729058,-1.930788,2.378340,-4.606736,1.980266,-0.197847,0.405755,-0.054364,-9.498061,188.495738,0
0.004167,134.343028,-182.237545,18.760985,3.278658,-3.481808,4.248860,-0.367344,3.679555,-4.354935,0.439719,-0.124787,0.398635,-0.061832,0.149368,188.495761,0
0.005208,173.395257,-132.693757,-45.167993,2.091108,-4.397779,3.213059,1.513267,4.561735,-3.259598,-1.353436,-0.117481,0.394454,-0.061832,5.408518,188.495754,0
0.006250,192.223808,-57.320997,-98.965341,1.016658,-4.649849,1.768495,3.017009,4.951365,-1.794952,-2.897541,-0.080951,0.386288,-0.058098,12.318928,188.495799,0
0.007292,162.835389,5.668836,-157.268372,-0.046482,-4.163461,0.105658,4.046867,4.388975,-0.225389,-3.822582,-0.062686,0.387138,-0.069301,18.833488,188.495575,0
0.008333,115.151517,65.553877,-186.444508,-0.657222,-3.034473,-1.644487,4.494631,3.286250,1.637943,-4.363374,-0.037115,0.436393,-0.039427,22.441378,188.495627,0
0.009375,40.109534,122.660311,-190.864016,-0.713772,-1.440398,-3.271607,4.341645,1.665244,3.194916,-4.213945,-0.069992,0.406931,-0.046895,25.268878,188.495656,0
0.010417,-26.414232,165.112607,-160.284470,-0.148272,0.331191,-4.188350,3.427459,-0.032952,4.210515,-3.352946,-0.040768,0.373093,-0.091706,25.449838,188.495557,0
0.011458,-78.464967,190.905337,-89.042993,1.197618,2.358400,-4.636800,1.886404,-2.080345,4.638578,-1.840861,-0.099216,0.406278,-0.065566,14.060668,188.570995,0
0.012500,-134.564974,182.352057,-18.515530,2.520888,3.547743,-4.196287,0.240869,-3.396264,4.302843,-0.318103,-0.143052,0.405167,-0.043161,5.476378,188.495714,0
0.013542,-174.150301,133.472720,44.945644,3.708438,4.513419,-3.132706,-1.643472,-4.212280,3.249473,1.460821,-0.154011,0.398243,-0.039427,-0.574472,188.495682,0
0.014583,-192.457097,59.235564,99.100000,4.760268,4.804542,-1.648456,-3.147214,-4.623964,1.810007,2.980021,-0.183235,0.404318,-0.061832,-7.733701,188.495761,0
0.015625,-163.647145,-3.271033,157.366099,5.879958,4.254249,0.034224,-4.173341,-4.054223,0.181690,3.940640,-0.234377,0.413464,-0.035692,-13.716691,188.571207,0
