1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,90.651716,47.758706,-208.591289,-1.041762,-1.127973,-5.156684,5.725983,1.540269,5.121198,-5.605063,-0.011544,0.327823,-0.031958,25.619488,188.344914,0
0.001042,41.901649,123.554297,-184.376326,-0.589362,1.481481,-6.172642,4.099106,-1.029081,6.161978,-4.036052,-0.015197,0.318546,-0.024490,25.970098,188.420376,0
0.002083,-5.589401,188.042163,-134.050569,0.349368,3.767861,-6.319479,1.990882,-3.333776,6.468336,-2.025869,-0.059033,0.300778,-0.046895,19.093618,188.420265,0
0.003125,-62.131766,198.516307,-72.989962,1.514298,5.759567,-5.232087,-0.930781,-5.289275,5.377196,0.756367,-0.113828,0.303652,-0.039427,13.054078,188.495671,0
0.004167,-143.593604,173.895424,-22.221023,2.441718,6.789147,-3.660528,-3.307663,-6.428757,3.899960,3.108104,-0.186888,0.306984,-0.009553,6.607378,188.345089,0
0.005208,-185.572199,110.047847,26.750568,3.391758,6.338262,-1.215880,-5.109915,-5.987667,1.503649,4.798081,-0.216112,0.315607,-0.031958,2.547088,188.420323,0
0.006250,-193.908937,53.617944,98.324432,4.737648,5.557201,1.244642,-6.442014,-5.248842,-0.964007,6.263914,-0.234377,0.320245,-0.061832,-5.675281,188.420309,0
0.007292,-153.053250,3.445950,164.001516,5.981748,3.735908,3.411488,-6.609926,-3.466103,-3.100123,6.377765,-0.259948,0.323446,-0.050629,-14.904241,188.495620,0
0.008333,-92.359530,-47.209281,208.455114,6.818688,1.272015,5.308471,-5.796487,-1.021729,-5.114536,5.737353,-0.270907,0.328214,-0.024490,-21.215221,188.344966,0
0.009375,-43.144420,-123.125681,184.621781,6.388908,-1.394244,6.383958,-4.199461,1.580702,-6.130136,4.182574,-0.190541,0.324687,-0.043161,-21.260461,188.344959,0
0.010417,5.038522,-187.698113,134.369887,5.450178,-3.609618,6.443486,-2.076311,3.969940,-6.457478,2.168832,-0.161317,0.321029,-0.020755,-14.474461,188.420287,0
0.011458,61.569544,-198.474280,72.927652,4.273938,-5.590673,5.427529,0.815500,5.921763,-5.315977,-0.599172,-0.117481,0.302934,-0.039427,-8.129551,188.495647,0
0.012500,142.691108,-173.503051,22.220265,3.346518,-6.638005,3.855970,3.166263,7.042867,-3.884905,-2.979372,-0.062686,0.304110,-0.009553,-1.739402,188.420397,0
0.013542,184.805812,-109.051428,-26.529735,2.419098,-6.180019,1.391479,4.968515,6.576047,-1.463413,-4.619539,-0.007891,0.313320,-0.017021,2.275648,188.344869,0
0.014583,193.505510,-51.836267,-97.697349,1.050588,-5.427360,-0.993640,6.285689,5.859275,1.021029,-6.092488,0.003068,0.312928,-0.028224,10.215268,188.420274,0
0.015625,152.797276,-2.050862,-163.300569,-0.193512,-3.638020,-3.160486,6.475989,3.988318,3.102589,-6.241917,0.046904,0.343043,-0.024490,19.930558,188.495711,0
