1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,135.867404,-184.163166,25.742255,0.809678,-1.880443,6.526113,-3.834170,1.696093,-6.367916,4.129666,-0.214826,0.639757,-0.052556,-331.517417,188.646603,1572.626809,926.468374,0
0.001042,168.885785,-155.998632,-51.408708,-0.676550,-4.019745,6.357158,-1.680540,3.796126,-6.389053,1.972219,-0.174718,0.632178,-0.082290,-328.995552,188.646536,1572.869739,925.827129,0
0.002083,186.468469,-79.479892,-108.971177,-1.768702,-5.850812,5.307228,1.044615,5.497189,-5.340636,-0.741622,-0.101794,0.631075,-0.067423,-263.145611,188.571093,1573.462306,925.564019,0
0.003125,180.400409,-2.855446,-153.434144,-2.658186,-6.496639,3.694116,3.054417,6.168184,-3.789149,-2.827155,-0.065333,0.646785,-0.067423,-175.116771,188.495658,1572.035757,925.289213,0
0.004167,134.274114,66.369644,-182.549549,-3.288707,-6.155378,1.047165,5.162627,5.867143,-1.252657,-4.924042,-0.014286,0.627906,-0.048839,-60.416960,188.646505,1571.692999,925.564983,0
0.005208,53.479648,119.104739,-194.992861,-3.536412,-5.039859,-1.499218,6.218625,4.837075,1.393749,-6.237435,0.029468,0.626597,-0.022822,72.881604,188.721991,1571.502949,925.634603,0
0.006250,-15.732395,167.106595,-162.256257,-2.849594,-3.095038,-3.719761,6.476001,3.045337,3.553995,-6.320705,0.029468,0.654433,-0.063706,190.441030,188.571067,1570.421448,925.804099,0
0.007292,-85.633733,181.458998,-110.550894,-1.824998,-0.581449,-5.538032,5.552476,0.586231,5.464819,-5.590201,-0.014286,0.625908,-0.063706,269.024135,188.495863,1570.424706,926.198084,0
0.008333,-135.274305,184.113370,-23.727200,-0.158622,1.869759,-6.447167,4.034716,-1.731422,6.365273,-3.985363,-0.021578,0.628251,-0.048839,318.256789,188.721857,1570.667107,926.151024,0
0.009375,-168.563885,155.584740,52.536692,1.293828,4.023739,-6.334531,1.877301,-3.864098,6.470960,-1.869551,-0.094502,0.630249,-0.056273,318.752155,188.646467,1571.543681,926.487228,0
0.010417,-186.191768,78.654924,109.357908,2.374721,5.876823,-5.328850,-0.825144,-5.514383,5.363359,0.829151,-0.152841,0.627010,-0.074856,263.079740,188.571107,1571.000677,926.678671,0
0.011458,-180.394906,3.052294,153.942392,3.219168,6.533659,-3.739875,-2.838731,-6.279680,3.837236,2.918468,-0.189302,0.627355,-0.086006,177.189981,188.495577,1571.211545,926.482739,0
0.012500,-134.517210,-65.832190,182.644640,3.860949,6.181389,-1.052696,-4.924232,-5.935115,1.271152,4.966150,-0.236703,0.620672,-0.082290,62.951762,188.721860,1571.190710,926.882289,0
0.013542,-54.604138,-119.225006,195.318834,4.041097,5.073208,1.537937,-6.033219,-4.890539,-1.332979,6.309823,-0.222118,0.628319,-0.071140,-70.617002,188.646565,1571.567485,926.189596,0
