1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-136.709395,-63.706343,181.004165,3.804652,6.265787,-0.936037,-5.052920,-5.949623,1.203512,5.102410,-0.189302,0.627699,-0.045123,67.590191,188.419902,1622.970177,879.713942,0
0.001042,-57.022322,-116.558888,196.376029,4.097394,5.150267,1.658619,-6.211111,-4.952198,-1.442894,6.449868,-0.211179,0.641755,-0.037689,-65.449431,188.495311,1623.096137,881.047501,0
0.002083,10.404333,-165.488600,163.943218,3.500651,3.154074,3.895252,-6.320874,-3.120563,-3.577775,6.563418,-0.243995,0.639895,-0.074856,-183.369123,188.419837,1622.497850,882.320733,0
0.003125,81.345264,-182.918195,114.145667,2.498573,0.578104,5.709500,-5.427629,-0.639695,-5.518191,5.723149,-0.182010,0.625288,-0.078573,-266.241650,188.495313,1622.802806,883.749626,0
0.004167,132.940723,-184.914847,27.759433,0.787160,-1.917137,6.562317,-3.731977,1.735990,-6.397508,4.072891,-0.178364,0.625012,-0.045123,-330.425359,188.419889,1621.898268,884.717572,0
0.005211,168.693687,-157.466759,-49.184952,-0.676550,-4.129829,6.437613,-1.563207,3.944833,-6.410190,1.847314,-0.149195,0.623565,-0.063706,-330.256484,188.495264,1621.382664,885.593290,0
0.006250,184.750881,-81.570503,-106.212748,-1.757442,-5.887507,5.271023,1.169518,5.616880,-5.256087,-0.908162,-0.087210,0.590562,-0.078573,-264.012502,188.419927,1620.840155,885.609489,0
0.007292,182.377896,-4.335317,-151.271146,-2.545593,-6.621401,3.702162,3.186890,6.335026,-3.704599,-3.058039,-0.054394,0.607167,-0.074856,-179.980367,188.495390,1619.900112,886.273654,0
0.008333,136.319401,64.502187,-180.666040,-3.142336,-6.236107,1.039119,5.253466,5.972326,-1.168107,-5.045162,0.000299,0.592491,-0.059989,-65.877247,188.495229,1618.381910,887.619419,0
0.009375,56.112531,116.344662,-196.378152,-3.480115,-5.094901,-1.559559,6.457076,4.898734,1.533256,-6.400190,0.025822,0.630180,-0.086006,66.002767,188.419947,1618.078556,887.993450,0
0.010417,-10.952526,165.309609,-163.702306,-2.883372,-3.095038,-3.776079,6.612259,3.067099,3.651227,-6.475890,0.047699,0.629284,-0.078573,183.303252,188.438290,1617.569755,888.694403,0
0.011458,-81.192862,182.621754,-114.427278,-1.915073,-0.541085,-5.658713,5.666024,0.571723,5.604326,-5.688611,0.003945,0.636587,-0.063706,265.916838,188.520351,1618.334838,888.951612,0
0.012500,-132.822221,184.594915,-28.928116,-0.304993,1.968834,-6.463258,4.046071,-1.756811,6.441368,-4.049708,-0.028871,0.635761,-0.082290,317.491223,188.294524,1618.781106,889.482092,0
0.013542,-168.801183,158.062938,47.736781,1.136198,4.177857,-6.338553,1.794033,-3.987416,6.492098,-1.835486,-0.090856,0.626666,-0.063706,318.808447,188.432957,1619.479840,890.000501,0
0.014583,-184.869677,82.859638,106.247080,2.217091,5.994246,-5.192078,-0.961402,-5.550653,5.333767,0.908635,-0.120025,0.618605,-0.089723,264.554581,188.438880,1619.218271,890.188805,0
0.015625,-182.666191,5.189886,151.341934,3.196650,6.614387,-3.599079,-2.967419,-6.370355,3.723094,3.092577,-0.218472,0.639619,-0.089723,180.432379,188.501567,1619.768836,889.582756,0
0.016667,-136.652896,-64.140908,180.688221,3.703318,6.265787,-0.952128,-5.022641,-5.869829,1.220422,5.072130,-0.218472,0.578574,-0.078573,66.137867,188.425607,1618.552989,889.257897,0
0.017708,-55.383833,-116.277008,196.740580,4.052357,5.146598,1.622414,-6.173262,-4.934063,-1.455576,6.423373,-0.280457,0.623152,-0.078573,-66.631555,188.419786,1617.880753,889.215100,0
0.018750,12.042822,-165.065780,164.125493,3.433095,3.190769,3.822843,-6.320874,-3.091547,-3.611595,6.510428,-0.247641,0.609372,-0.048839,-183.267798,188.495226,1617.389100,888.753366,0
0.019801,82.644755,-182.283965,113.465173,2.521092,0.578104,5.657205,-5.393564,-0.581663,-5.526646,5.723149,-0.233057,0.625770,-0.052556,-266.523109,188.495356,1617.258162,888.628857,0
0.020847,133.663918,-185.091022,27.540703,0.865975,-1.968510,6.566340,-3.788751,1.801276,-6.376371,4.065321,-0.196595,0.634865,-0.078573,-331.280992,188.495298,1617.662965,888.295763,0
0.021888,168.682387,-157.314073,-48.565217,-0.586475,-4.085796,6.429567,-1.532928,3.904936,-6.380598,1.858669,-0.134610,0.632867,-0.071140,-330.211451,188.419853,1616.934788,888.130494,0
0.022924,184.863880,-83.003395,-106.237051,-1.723664,-5.887507,5.283092,1.180873,5.540713,-5.294134,-0.840032,-0.101794,0.625632,-0.082290,-265.419793,188.495336,1616.309541,888.875877,0
0.023969,182.163198,-5.815188,-151.817971,-2.613149,-6.562690,3.665957,3.156610,6.320518,-3.729964,-3.005049,-0.054394,0.622670,-0.056273,-179.766459,188.495345,1616.001507,889.133643,0
0.025003,137.596292,63.597821,-180.289338,-3.209892,-6.159048,1.071301,5.226971,5.957818,-1.197700,-4.980817,-0.025225,0.627286,-0.048839,-66.327580,188.495365,1615.446713,888.885648,0
0.026046,56.304629,116.544327,-196.220180,-3.502634,-5.047198,-1.563582,6.335958,4.916869,1.482527,-6.335845,0.011237,0.610268,-0.067423,67.815358,188.495389,1614.386791,889.403637,0
0.027083,-11.314124,164.463968,-163.823823,-2.872113,-3.146411,-3.723784,6.491141,3.121504,3.583587,-6.419115,0.007591,0.615160,-0.059989,183.584710,188.495343,1612.869188,889.860016,0
0.028125,-81.238062,183.056319,-113.430841,-1.948850,-0.610805,-5.562168,5.681164,0.633382,5.515549,-5.703751,0.000299,0.622945,-0.030256,266.232071,188.495381,1611.410731,891.066792,0
0.029167,-131.884327,184.477465,-28.028892,-0.271215,1.902784,-6.443144,4.038501,-1.724168,6.361046,-4.023213,-0.003348,0.623565,-0.059989,316.928307,188.495275,1609.783514,890.645830,0
0.030208,-169.004582,158.015957,47.554506,1.203754,4.144832,-6.374758,1.881086,-3.860471,6.411776,-1.884691,-0.065333,0.626528,-0.074856,318.718380,188.419990,1607.592836,891.123723,0
0.031250,-183.479786,84.175079,106.295687,2.397239,5.847467,-5.260464,-0.866779,-5.510756,5.363359,0.829151,-0.134610,0.623703,-0.067423,265.534055,188.495398,1606.715115,891.664443,0
0.032292,-183.163388,7.116068,151.548512,3.185390,6.618057,-3.671488,-2.895505,-6.315950,3.794962,2.990383,-0.163779,0.646027,-0.074856,184.012526,188.495369,1605.843130,892.360767,0
0.033333,-138.720782,-63.048622,179.315082,3.714578,6.225423,-1.028560,-4.928017,-5.942369,1.334565,4.935870,-0.251287,0.631144,-0.097156,68.727282,188.495376,1604.832674,893.568369,0
0.034375,-58.231414,-115.959893,196.862096,4.007319,5.124581,1.545982,-6.146767,-5.013857,-1.362572,6.381738,-0.262226,0.639412,-0.056273,-64.638831,188.419947,1604.855482,894.375453,0
0.035417,9.669838,-164.137924,164.052583,3.523169,3.223794,3.766525,-6.226251,-3.178595,-3.510135,6.472578,-0.247641,0.640997,-0.048839,-181.646599,188.495269,1603.586757,894.566128,0
0.036458,80.701168,-183.705111,114.255032,2.464795,0.658833,5.637091,-5.431414,-0.675965,-5.480143,5.715579,-0.240349,0.619156,-0.074856,-266.320459,188.495307,1603.381181,894.954476,0
0.037500,131.878530,-184.550752,28.318410,0.820937,-1.799714,6.485886,-3.849310,1.692466,-6.279138,4.106956,-0.182010,0.621912,-0.059989,-328.477669,188.495394,1601.236028,895.006556,0
0.038542,169.145684,-157.866089,-47.738903,-0.620253,-4.071118,6.457727,-1.684325,3.799753,-6.389053,1.941939,-0.134610,0.621498,-0.071140,-330.909467,188.495398,1600.384656,896.267433,0
0.039583,183.089792,-83.837290,-106.079079,-1.723664,-5.836134,5.339410,1.010550,5.497189,-5.361774,-0.741622,-0.076271,0.595110,-0.089723,-265.048268,188.495289,1599.246606,897.351170,0
0.040625,183.247991,-5.862168,-150.845838,-2.624408,-6.577368,3.794684,3.065772,6.266113,-3.793376,-2.948274,-0.054394,0.636312,-0.063706,-183.098923,188.497280,1598.403609,897.901335,0
0.041667,138.556786,63.574331,-179.098474,-3.086040,-6.217759,1.151756,5.166412,5.997715,-1.278022,-4.905117,-0.032517,0.595316,-0.030256,-68.804412,188.495740,1597.534562,898.907195,0
0.042708,58.564614,115.757411,-196.645488,-3.502634,-5.168290,-1.487150,6.407872,5.000290,1.381067,-6.377480,0.007591,0.631351,-0.041406,63.672294,188.420325,1598.398664,900.026815,0
0.043750,-8.613442,164.264303,-163.908885,-2.962187,-3.241817,-3.683557,6.510065,3.168655,3.541312,-6.494815,0.044053,0.641479,-0.071140,180.871454,188.495758,1599.202506,900.320518,0
0.044792,-79.859471,183.115044,-114.974103,-1.993888,-0.658508,-5.578259,5.681164,0.698668,5.562051,-5.737816,0.025822,0.635141,-0.093440,265.567830,188.495727,1600.303060,900.494874,0
0.045833,-131.850427,184.383505,-29.256211,-0.316252,1.840403,-6.459235,4.064995,-1.662509,6.386411,-4.053493,-0.010640,0.629835,-0.074856,316.973340,188.495651,1600.408112,901.035968,0
0.046875,-169.004582,158.297838,47.457293,1.147457,4.049426,-6.390849,1.858377,-3.882233,6.462506,-1.907401,-0.090856,0.623014,-0.059989,318.695864,188.420311,1601.176965,901.539473,0
0.047917,-183.389387,83.940179,106.186322,2.262128,5.847467,-5.280577,-0.828929,-5.470859,5.371814,0.779946,-0.130964,0.600759,-0.063706,264.171798,188.495687,1600.309284,902.098614,0
0.048958,-183.457186,5.377806,150.661440,3.162872,6.618057,-3.691602,-2.891720,-6.286934,3.862601,2.997953,-0.167425,0.628595,-0.086006,182.582719,188.495745,1599.686115,902.993403,0
0.050001,-137.895887,-64.140908,179.144959,3.770874,6.269457,-1.076833,-4.912877,-5.964131,1.351474,4.996430,-0.196595,0.606547,-0.059989,68.378274,188.495767,1600.058658,903.709003,0
0.051042,-57.112721,-115.771973,196.947158,4.097394,5.212648,1.562073,-6.180832,-5.024738,-1.341434,6.408233,-0.240349,0.642031,-0.078573,-63.805715,188.420311,1599.925838,904.286908,0
0.052083,9.556838,-164.137924,164.441436,3.433095,3.275167,3.770548,-6.309519,-3.214865,-3.438268,6.480148,-0.240349,0.623910,-0.059989,-179.935334,188.495727,1599.412166,905.098391,0
0.053125,79.910173,-183.446721,115.652474,2.487314,0.746900,5.641114,-5.473048,-0.773894,-5.429414,5.795064,-0.218472,0.637690,-0.100873,-265.003235,188.495785,1599.327989,906.355938,0
0.054167,131.833330,-184.445047,30.687986,0.877234,-1.741003,6.522090,-3.906084,1.572775,-6.334096,4.197796,-0.192949,0.633142,-0.074856,-328.162436,188.495678,1599.706973,907.820608,0
0.055208,169.439482,-158.735220,-45.794636,-0.586475,-3.990389,6.453704,-1.707035,3.796126,-6.456693,2.051704,-0.156487,0.633005,-0.045123,-331.213442,188.495584,1600.675281,908.912576,0
0.056250,182.942893,-85.458102,-105.714529,-1.723664,-5.777423,5.359523,1.029475,5.442784,-5.336409,-0.711342,-0.094502,0.615780,-0.059989,-265.295951,188.495673,1600.186535,908.389831,0
0.057292,183.553088,-6.461164,-150.432681,-2.590631,-6.507648,3.786639,3.054417,6.298756,-3.810286,-2.899069,-0.058040,0.614126,-0.071140,-182.569782,188.495825,1600.241335,908.738833,0
0.058333,139.053983,64.032387,-178.223554,-3.097299,-6.184734,1.204051,5.071789,5.983207,-1.307614,-4.889977,-0.025225,0.590356,-0.041406,-67.611029,188.495698,1599.714259,908.890001,0
0.059375,56.971325,115.604726,-196.791308,-3.547671,-5.168290,-1.426809,6.332173,4.989409,1.410659,-6.309350,0.058637,0.593663,-0.071140,64.910710,188.420276,1598.642100,908.684611,0
0.060417,-10.364930,163.453897,-164.224828,-2.872113,-3.219800,-3.603102,6.491141,3.168655,3.456763,-6.419115,0.047699,0.624668,-0.082290,180.680062,188.495622,1596.597856,908.949708,0
0.061458,-80.028970,183.737530,-114.889041,-1.982628,-0.698872,-5.521941,5.719013,0.760327,5.443681,-5.749171,0.007591,0.628802,-0.086006,265.477763,188.495604,1595.150632,910.067132,0
0.062500,-131.115932,184.172095,-30.398468,-0.304993,1.752336,-6.402917,4.125554,-1.571834,6.301861,-4.136763,-0.014286,0.632247,-0.067423,316.444199,188.495857,1593.757613,910.819430,0
0.063542,-169.852076,158.520993,45.488722,1.158716,4.023739,-6.394872,1.971925,-3.824201,6.483643,-2.024736,-0.036163,0.629146,-0.071140,318.695864,188.420209,1593.573197,912.087784,0
0.064583,-182.248094,86.829451,106.089109,2.295906,5.796095,-5.332873,-0.730521,-5.416454,5.435226,0.673966,-0.112733,0.628182,-0.059989,265.747963,188.495622,1593.173487,912.890822,0
0.065625,-183.784884,7.902984,150.928777,3.129094,6.588701,-3.739875,-2.831161,-6.286934,3.930241,2.926038,-0.149195,0.618329,-0.082290,184.744317,188.495651,1593.287553,913.436841,0
0.066667,-139.941174,-63.307013,177.638152,3.647022,6.214415,-1.129128,-4.829609,-5.964131,1.414887,4.879095,-0.192949,0.630662,-0.078573,69.346490,188.495588,1592.058256,913.502036,0
0.067708,-58.084515,-115.537073,197.250950,3.996060,5.242004,1.501733,-6.139197,-4.970333,-1.307614,6.347673,-0.229410,0.604825,-0.071140,-64.177240,188.420169,1591.260950,912.785217,0
0.068750,9.816737,-163.174833,164.526498,3.388058,3.308192,3.653889,-6.260315,-3.265643,-3.370628,6.446083,-0.233057,0.646302,-0.074856,-180.284342,188.495852,1589.962414,913.283635,0
0.069792,80.068372,-184.257127,114.741099,2.532351,0.768917,5.560659,-5.503328,-0.784775,-5.408276,5.772354,-0.229410,0.621843,-0.089723,-265.847609,188.495580,1589.443407,913.616686,0
0.070833,131.110135,-184.315852,29.703700,0.911012,-1.682291,6.457727,-3.936363,1.521997,-6.241091,4.201581,-0.207533,0.626941,-0.071140,-325.967063,188.495636,1587.584851,913.761826,0
0.071875,169.710680,-158.570789,-45.746029,-0.530179,-3.950025,6.465772,-1.775164,3.734467,-6.414418,2.097124,-0.156487,0.629008,-0.063706,-331.539933,188.420112,1586.423800,914.311969,0
0.072917,181.891999,-86.550388,-105.763136,-1.712405,-5.770084,5.415841,0.949991,5.421022,-5.378684,-0.628073,-0.127317,0.628526,-0.086006,-266.354234,188.495483,1585.868409,915.153446,0
0.073958,183.971186,-8.011505,-150.639259,-2.579371,-6.533334,3.842957,3.039277,6.295129,-3.865244,-2.830940,-0.014286,0.634107,-0.045123,-185.643304,188.495622,1585.770025,915.819626,0
0.075000,140.568173,62.658221,-177.761790,-3.119818,-6.217759,1.252324,5.102068,5.994088,-1.375254,-4.882407,0.007591,0.622325,-0.082290,-70.301769,188.495721,1586.078877,915.876961,0
0.076042,59.807606,115.193651,-196.924977,-3.468856,-5.186638,-1.414741,6.358668,5.069203,1.326110,-6.335845,0.014883,0.628044,-0.086006,62.996795,188.420159,1586.993609,916.763762,0
0.077083,-8.206644,163.442152,-164.394952,-2.917150,-3.271173,-3.582989,6.468431,3.204925,3.418715,-6.430470,0.018530,0.641273,-0.063706,179.982046,188.495617,1587.191327,916.735209,0
0.078125,-79.294475,183.878470,-115.168530,-1.948850,-0.706211,-5.509873,5.703873,0.763954,5.481729,-5.722676,0.022176,0.629835,-0.086006,265.669155,188.495673,1587.633295,916.165894,0
0.079167,-130.980333,184.383505,-29.705823,-0.316252,1.789030,-6.410962,4.099060,-1.589969,6.310316,-4.102698,-0.010640,0.622325,-0.067423,316.354132,188.495541,1587.690834,915.829417,0
0.080208,-169.264480,158.520993,46.594524,1.147457,4.027409,-6.410962,1.968140,-3.769796,6.492098,-1.994456,-0.054394,0.622532,-0.063706,318.785930,188.420273,1586.964281,916.013529,0
0.081250,-182.055995,85.584480,105.955440,2.250869,5.796095,-5.344941,-0.726736,-5.474486,5.414089,0.696676,-0.109087,0.616606,-0.082290,265.151272,188.495609,1587.184571,915.760758,0
0.082292,-183.976983,6.975128,150.406255,3.140353,6.599709,-3.772057,-2.834946,-6.276053,3.875284,2.963888,-0.141902,0.628251,-0.071140,185.476108,188.495401,1587.146894,914.938786,0
0.083333,-140.065473,-62.919427,177.735365,3.759615,6.262118,-1.157287,-4.810684,-5.996774,1.414887,4.875310,-0.222118,0.630042,-0.078573,71.553122,188.495721,1587.479372,915.084204,0
0.084375,-59.406606,-115.208212,197.092978,4.052357,5.245674,1.429324,-6.173262,-5.053754,-1.311842,6.381738,-0.262226,0.643133,-0.082290,-61.587825,188.345026,1588.598480,915.574425,0
0.085417,7.285553,-163.351009,164.842441,3.489392,3.300853,3.637798,-6.279240,-3.305540,-3.353718,6.483933,-0.251287,0.629835,-0.071140,-178.077710,188.495551,1589.460460,915.579033,0
0.086458,78.701081,-183.975246,116.053479,2.521092,0.783595,5.516409,-5.480618,-0.835553,-5.370229,5.760999,-0.207533,0.635141,-0.078573,-264.789327,188.495631,1589.150206,915.211386,0
0.087500,131.008436,-184.539007,31.028233,0.877234,-1.660274,6.429567,-3.875804,1.532878,-6.266456,4.235646,-0.185656,0.628044,-0.104590,-325.944546,188.495671,1590.037091,915.181801,0
0.088542,169.925379,-158.535554,-45.527299,-0.586475,-3.920669,6.437613,-1.737314,3.727213,-6.376371,2.055489,-0.192949,0.621636,-0.089723,-331.280992,188.420151,1589.769802,914.418781,0
