1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,180.117911,-126.354227,2.058647,0.348047,-5.913193,0.343188,5.510842,6.211708,-0.449435,-5.488006,0.054991,0.197419,-0.063706,-306.219961,188.269539,1008.464997,-1301.379941,0
0.001042,190.943240,-72.832216,-59.112868,-0.867958,-4.206888,-2.335945,6.305679,4.554169,2.218109,-6.279070,0.036760,0.200933,-0.048839,-259.452881,188.420130,1008.943743,-1301.959951,0
0.002083,169.123084,-27.061912,-144.478362,-2.478038,-2.467558,-4.182374,6.211055,2.878495,4.133161,-6.267715,0.018530,0.225323,-0.030256,-191.655250,188.495727,1008.920215,-1302.139668,0
0.003125,114.917342,17.216777,-190.083586,-3.435078,0.119420,-5.268509,4.712220,0.462913,5.173122,-4.787782,0.040407,0.216573,-0.056273,-90.003837,188.420486,1008.661280,-1302.572761,0
0.004167,62.338790,85.502265,-194.446036,-3.525153,2.680712,-6.326485,3.186890,-2.007074,6.339908,-3.266214,-0.036163,0.200382,-0.063706,28.951621,188.269599,1008.209138,-1302.568780,0
0.005208,19.918870,152.660233,-152.668588,-2.703224,4.676905,-5.799509,0.794809,-3.860471,5.828383,-0.840032,-0.072625,0.198866,-0.063706,137.875912,188.420323,1006.746413,-1303.135443,0
0.006250,-30.682196,201.578200,-90.670759,-1.509738,6.093322,-4.355351,-1.869787,-5.264120,4.522089,1.760259,-0.134610,0.179849,-0.037689,233.605446,188.495711,1006.364318,-1302.592977,0
0.007292,-105.589401,173.225746,-44.506559,-0.608994,6.544667,-2.416399,-4.049911,-5.753765,2.543626,4.057751,-0.189302,0.182468,-0.045123,281.104318,188.420204,1005.726300,-1302.798170,0
0.008333,-180.022009,125.893355,-1.878494,0.167898,5.975899,-0.232061,-5.306511,-5.285882,0.514432,5.465769,-0.203887,0.194594,-0.056273,303.857392,188.344936,1005.561004,-1302.741145,0
0.009375,-190.960337,72.101209,59.268718,1.361384,4.254916,2.447072,-6.086208,-3.624716,-2.224979,6.188703,-0.233057,0.196868,-0.082290,259.015485,188.420397,1004.533862,-1302.781475,0
