1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,169.077884,-134.082443,6.579069,0.449381,-6.052633,0.648915,5.416218,6.233470,-0.715766,-5.344176,0.011237,0.197281,-0.052556,-308.032551,188.495265,1003.541422,-1290.032004,0
0.001042,197.327697,-80.525197,-50.229996,-0.620253,-4.394031,-1.969877,6.188345,4.851583,1.879910,-6.161735,0.007591,0.202517,-0.033973,-271.870813,188.495244,1004.388734,-1290.610957,0
0.002083,171.823766,-32.593811,-135.206636,-2.297889,-2.724421,-3.953079,6.324603,3.067099,3.904876,-6.332060,0.073222,0.201071,-0.015389,-200.853301,188.419947,1005.910759,-1291.374335,0
0.003125,124.183281,11.402997,-188.200076,-3.288707,-0.368620,-5.015078,4.901467,0.945304,5.037843,-5.079227,-0.006994,0.222292,-0.048839,-106.035691,188.495188,1007.289845,-1291.579538,0
0.004167,69.310843,74.990481,-196.718398,-3.536412,2.398163,-6.229940,3.417771,-1.738676,6.170809,-3.478174,-0.003348,0.197557,0.003194,13.629041,188.495313,1008.303063,-1292.672038,0
0.005208,23.274948,147.410213,-163.167633,-2.849594,4.346653,-5.851804,1.150593,-3.639224,6.001709,-1.294232,-0.079917,0.198866,-0.052556,127.203020,188.495334,1009.029986,-1292.526474,0
0.006250,-23.145146,197.173821,-97.828094,-1.656109,5.873154,-4.532351,-1.457229,-4.995722,4.665824,1.415825,-0.134610,0.189289,-0.059989,225.792169,188.419885,1010.202503,-1293.546442,0
0.007292,-97.803752,181.294567,-50.728215,-0.721587,6.599709,-2.702012,-3.743332,-5.797289,2.924099,3.709532,-0.152841,0.186602,-0.030256,278.255962,188.495206,1010.375687,-1293.263802,0
0.008333,-170.157174,133.445396,-6.022214,0.134120,6.170381,-0.521697,-5.276231,-5.365676,0.751171,5.321939,-0.211179,0.196179,-0.033973,305.332232,188.419869,1011.922196,-1293.678568,0
0.009375,-196.892797,79.641505,50.641031,1.237532,4.519118,2.105141,-5.987800,-3.907622,-1.776865,6.150853,-0.203887,0.201553,-0.037689,270.622818,188.419842,1012.679403,-1294.290778,0
