1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-85.565933,-60.676130,204.517649,4.142431,0.578104,5.327342,-5.045350,-0.320519,-5.137717,5.393854,-0.200241,0.341006,-0.071140,18.346279,188.420280,1461.612321,-870.536930,0
0.001042,-31.303692,-137.465006,177.954095,3.680800,-1.858426,6.268659,-3.565439,2.047912,-6.042399,3.800372,-0.189302,0.335150,-0.056273,-113.837710,188.420274,1461.799483,-870.288090,0
0.002083,19.591172,-186.641364,126.030002,2.768796,-3.909661,5.918682,-1.302047,4.053643,-5.932485,1.646709,-0.116379,0.333772,-0.071140,-206.932796,188.269554,1462.778321,-870.459613,0
0.003125,81.153165,-194.592735,60.459581,1.485236,-5.869160,4.993456,1.426894,5.878024,-4.892523,-1.207177,-0.058040,0.302285,-0.089723,-280.832439,188.269608,1462.993812,-870.861595,0
0.004167,152.048897,-163.562419,6.348187,0.393084,-6.492970,3.235526,3.429126,6.596170,-3.341035,-3.269999,-0.006994,0.318063,-0.052556,-312.412040,188.420350,1464.477363,-870.640644,0
0.005208,193.915120,-97.978282,-41.893949,-0.563957,-6.023277,0.805802,5.253466,6.026731,-0.867956,-5.075442,0.018530,0.326331,-0.056273,-291.899372,188.495651,1464.371493,-870.229943,0
0.006250,189.892347,-41.343844,-115.107771,-1.915073,-4.962800,-1.454968,6.184561,5.167132,1.381067,-6.180660,0.065930,0.365948,-0.071140,-225.081216,188.269543,1464.605452,-870.136773,0
0.007292,144.037250,9.476815,-178.685318,-3.187373,-3.190444,-3.442193,6.267829,3.389902,3.393350,-6.226080,0.076868,0.340180,-0.056273,-129.149032,188.269541,1464.724757,-870.601636,0
0.008333,84.407544,60.708549,-204.398255,-3.671523,-0.533746,-5.292646,5.302670,0.959812,5.228079,-5.374456,0.014883,0.320336,-0.052556,-18.040626,188.420370,1465.504702,-871.333818,0
0.009375,31.365694,137.520915,-177.652425,-3.209892,1.917462,-6.242008,3.822759,-1.379603,6.200401,-3.803683,-0.003348,0.300149,-0.078573,113.253956,188.495617,1466.190081,-872.460514,0
0.010417,-19.382270,186.274452,-126.542494,-2.219074,4.005392,-5.888008,1.513947,-3.457874,6.073577,-1.615956,-0.061686,0.316478,-0.026539,206.833150,188.269559,1466.756286,-873.204933,0
0.011458,-81.475360,194.319784,-61.482444,-0.980551,5.968560,-4.926578,-1.196068,-5.267747,4.991340,1.260640,-0.134610,0.318407,-0.030256,281.025509,188.269516,1467.614754,-873.772053,0
0.012500,-152.065994,163.700542,-7.164472,0.100342,6.577692,-3.168648,-3.273999,-5.971385,3.397578,3.376452,-0.163779,0.323092,-0.048839,312.154777,188.420376,1468.032486,-874.551413,0
0.013542,-194.350314,98.821107,42.013344,1.034864,6.148364,-0.694674,-5.143759,-5.445470,0.945636,5.178110,-0.200241,0.328536,-0.071140,293.004367,188.495740,1468.838194,-875.470283,0
0.014583,-189.886844,42.304118,115.591716,2.509832,5.084217,1.529892,-5.995370,-4.604006,-1.332979,6.275758,-0.225764,0.324815,-0.067423,225.792169,188.269384,1469.118243,-876.083702,0
0.015625,-144.630643,-8.645736,179.266476,3.714578,3.242142,3.525162,-6.131627,-2.812268,-3.260713,6.328748,-0.243995,0.345140,-0.048839,129.927535,188.269494,1470.310620,-876.929381,0
0.016667,-84.944437,-60.535190,204.505498,4.221246,0.600121,5.323319,-5.086984,-0.342281,-5.125035,5.374929,-0.207533,0.343556,-0.048839,18.154888,188.420412,1470.087102,-876.375638,0
0.017708,-30.885594,-137.817357,178.063460,3.748356,-1.909798,6.328999,-3.557870,2.037031,-6.080447,3.853361,-0.167425,0.331498,-0.041406,-114.119168,188.495785,1471.226021,-876.177400,0
0.018750,19.557272,-186.335993,126.030002,2.780056,-3.942686,5.983045,-1.313401,4.053643,-5.945167,1.623999,-0.123671,0.333634,-0.030256,-206.437430,188.269707,1471.046352,-876.384484,0
0.019792,80.893267,-195.168241,60.544643,1.462718,-5.924202,5.029660,1.392829,5.946937,-4.968618,-1.195822,-0.079917,0.310001,-0.041406,-280.888731,188.269628,1472.475299,-877.053498,0
0.020833,151.642099,-163.433224,6.506159,0.415603,-6.503978,3.336094,3.440481,6.643321,-3.328353,-3.307849,-0.028871,0.322266,-0.052556,-311.578924,188.420305,1472.552240,-877.892230,0
0.021875,194.344517,-97.978282,-41.602309,-0.518919,-6.045294,0.785688,5.283745,6.106525,-0.906003,-5.105722,0.018530,0.328536,-0.056273,-293.137788,188.495631,1473.901598,-878.194705,0
0.022917,189.734148,-41.989819,-114.986254,-1.892554,-5.058206,-1.434855,6.237550,5.210656,1.389522,-6.229865,0.054991,0.320474,-0.056273,-226.308373,188.269541,1474.595792,-878.832749,0
