1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,121.537345,58.848976,-187.232387,-0.623292,-3.570565,-1.866728,5.173740,3.841288,1.772237,-5.025134,-0.033462,0.449392,-0.046895,21.593128,188.646708,1573.970715,12.294553,0
0.001034,47.005774,113.454662,-191.848864,-0.736392,-1.752822,-4.037543,5.352846,1.966656,3.916747,-5.142543,-0.007891,0.444101,-0.065566,0.522598,188.632000,1573.619394,12.632694,0
0.002076,-18.689989,161.548741,-160.973864,-0.182202,0.299239,-5.501951,4.584184,-0.128522,5.494703,-4.559056,-0.011544,0.449980,-0.039427,-16.498951,188.571237,1573.403733,12.440774,0
0.003117,-70.377764,195.435676,-92.219129,1.107138,2.692126,-5.966275,2.651334,-2.444244,5.943750,-2.637819,-0.026156,0.443840,-0.017021,-32.118061,188.517386,1573.630624,11.376009,0
0.004159,-131.956199,188.078406,-22.799621,2.441718,4.190344,-5.446391,0.722216,-4.032168,5.549260,-0.816201,-0.106522,0.444166,-0.043161,-46.968091,188.646942,1573.635216,11.305885,0
0.005201,-176.770418,138.353405,39.479735,3.595338,5.280279,-4.116915,-1.501680,-5.035648,4.197925,1.332738,-0.146705,0.440573,-0.013287,-56.751240,188.570414,1573.743660,10.493642,0
0.006242,-196.404287,63.753823,93.966478,4.658478,5.663709,-2.267555,-3.512889,-5.634795,2.439511,3.342922,-0.201500,0.448216,-0.061832,-54.455310,188.543150,1574.735282,10.318429,0
0.007284,-170.815606,1.138497,160.222160,5.936508,5.024659,-0.235640,-4.684539,-4.895970,0.416705,4.452970,-0.219765,0.448282,-0.024490,-37.840921,188.554038,1575.253751,9.471838,0
0.008326,-121.271564,-58.275389,187.490152,6.456768,3.675553,1.923269,-5.285289,-3.646215,-1.811739,5.139634,-0.234377,0.444101,-0.031958,-17.324581,188.721666,1575.370391,8.850922,0
0.009367,-45.208755,-113.231421,192.205114,6.603798,1.793906,4.205205,-5.438276,-1.646607,-3.977232,5.232138,-0.208806,0.421433,-0.061832,4.910878,188.523307,1575.332791,7.999574,0
0.010419,20.861310,-161.083882,159.594319,5.970438,-0.265255,5.610084,-4.658419,0.371380,-5.546795,4.623747,-0.212459,0.471407,-0.031958,20.824048,188.515451,1574.352659,7.748005,0
0.011452,70.564147,-195.901047,91.036553,4.647168,-2.590688,6.090282,-2.785272,2.679751,-5.991645,2.812803,-0.212459,0.432930,-0.054364,37.302718,188.496291,1574.256200,7.156461,0
0.012492,131.099073,-187.915570,21.875568,3.346518,-4.085355,5.526744,-0.856153,4.319136,-5.597156,0.930702,-0.135746,0.439071,-0.054364,50.965197,188.646969,1573.751431,6.568455,0
0.013534,175.822552,-137.816061,-39.825190,2.238138,-5.164639,4.252828,1.386400,5.274831,-4.237427,-1.246701,-0.102869,0.439071,-0.061832,61.619217,188.571619,1573.563086,5.854587,0
0.014576,195.830723,-62.539948,-93.524053,1.197618,-5.576472,2.435217,3.375220,5.833545,-2.479013,-3.221306,-0.059033,0.446845,-0.039427,58.735167,188.571504,1572.605189,5.710516,0
0.015617,170.502919,-0.057512,-159.730493,-0.125652,-4.965824,0.411239,4.543139,5.164558,-0.519157,-4.306449,-0.026156,0.405886,-0.039427,42.098158,188.496094,1571.780451,6.606564,0
0.016659,120.369067,58.704005,-187.453978,-0.645912,-3.584766,-1.791325,5.181203,3.878046,1.738663,-5.014460,-0.026156,0.439006,-0.017021,19.704358,188.703871,1571.585089,7.583712,0
0.017701,44.828014,113.164720,-192.156629,-0.725082,-1.781224,-4.009763,5.334189,1.933574,3.929337,-5.135427,-0.007891,0.442599,-0.024490,0.228538,188.716900,1571.257810,7.712667,0
0.018742,-19.960349,161.415851,-160.801516,-0.148272,0.292138,-5.478139,4.614035,-0.066034,5.498900,-4.551940,-0.011544,0.408499,0.001650,-15.967381,188.571558,1571.116058,8.822973,0
0.019784,-70.536559,195.097411,-92.268371,1.141068,2.653073,-5.966275,2.707305,-2.385432,5.893389,-2.680513,-0.059033,0.443578,-0.024490,-32.853211,188.514586,1570.403799,9.911466,0
0.020835,-132.432584,187.244823,-21.987121,2.498268,4.176143,-5.422579,0.733410,-4.054223,5.515687,-0.823317,-0.121134,0.444101,-0.009553,-45.938881,188.726788,1570.035648,10.173967,0
0.021867,-175.908388,138.715832,39.578220,3.674508,5.251877,-4.116915,-1.441978,-5.024621,4.214712,1.279371,-0.135746,0.445603,-0.050629,-57.000060,188.571044,1569.742381,10.801853,0
0.022909,-196.608452,64.575324,94.052652,4.737648,5.699212,-2.315178,-3.453187,-5.572308,2.485675,3.303785,-0.190541,0.440835,-0.024490,-52.837980,188.571027,1569.201846,11.358010,0
0.023951,-170.997086,2.213698,160.086743,5.925198,5.045961,-0.283263,-4.613643,-4.870239,0.492246,4.396044,-0.227071,0.449719,-0.046895,-36.630751,188.495635,1568.450286,12.011715,0
0.024992,-122.326416,-57.441806,187.724054,6.456768,3.714606,1.895489,-5.233050,-3.679296,-1.702625,5.118287,-0.238030,0.447302,-0.005818,-18.014491,188.721898,1568.244341,12.982564,0
0.026034,-47.125638,-112.941479,191.589584,6.547248,1.822308,4.094085,-5.449470,-1.701743,-3.952052,5.193002,-0.270907,0.443448,-0.024490,4.831708,188.571118,1567.751969,13.036343,0
0.027076,18.365960,-161.422147,161.108523,6.015678,-0.165848,5.614052,-4.721853,0.279487,-5.538402,4.705577,-0.205153,0.449000,-0.028224,20.982388,188.553900,1568.852741,13.584408,0
0.028117,70.484750,-194.427177,92.821591,4.658478,-2.558735,6.038691,-2.785272,2.554776,-5.953875,2.827034,-0.168623,0.460890,-0.028224,38.445028,188.495325,1567.620128,14.482197,0
0.029159,131.722910,-188.157188,23.155871,3.369138,-4.088905,5.574367,-0.889736,4.230918,-5.639123,1.001859,-0.135746,0.447563,-0.046895,52.084887,188.721476,1567.768827,15.843370,0
0.030209,176.446390,-136.765022,-40.243750,2.170278,-5.157539,4.193299,1.423714,5.263804,-4.229034,-1.211122,-0.069992,0.438744,-0.035692,61.438257,188.570785,1567.430714,16.694208,0
0.031242,196.034888,-64.037980,-93.696402,1.152378,-5.601324,2.415374,3.367757,5.826193,-2.504193,-3.171496,-0.029809,0.444166,-0.043161,59.673897,188.511585,1567.478933,16.980537,0
0.032284,170.491577,-1.313926,-159.927463,-0.114342,-4.923221,0.439019,4.520751,5.116774,-0.510764,-4.288660,-0.015197,0.455337,-0.046895,42.199948,188.495790,1566.881206,16.322936,0
0.033326,121.333180,58.353658,-187.589395,-0.657222,-3.652221,-1.779419,5.143890,3.833937,1.734467,-5.032250,-0.004238,0.448804,-0.046895,21.491338,188.721886,1566.963496,15.582570,0
0.034367,45.678701,113.273448,-191.775001,-0.725082,-1.713769,-3.993889,5.349115,1.922547,3.891567,-5.117638,-0.000585,0.444101,-0.039427,0.115438,188.495718,1566.425878,15.518438,0
0.035409,-19.688129,161.331284,-160.900000,-0.136962,0.309890,-5.494014,4.595378,-0.080737,5.503097,-4.548382,0.003068,0.443578,-0.065566,-16.623361,188.571082,1566.441145,15.176000,0
0.036451,-70.695354,195.290705,-91.480493,1.141068,2.706327,-5.902778,2.707305,-2.411163,5.914373,-2.666281,-0.029809,0.438810,-0.043161,-32.061511,188.495700,1566.682319,15.031008,0
0.037492,-131.434444,188.283781,-21.740909,2.453028,4.197444,-5.414642,0.763261,-4.068926,5.549260,-0.805528,-0.113828,0.437764,-0.020755,-46.821061,188.703929,1567.231526,14.566629,0
0.038534,-176.089868,137.966816,40.033712,3.640578,5.262528,-4.057386,-1.509143,-5.024621,4.197925,1.339854,-0.102869,0.433780,-0.054364,-56.649450,188.495349,1567.128680,14.091105,0
0.039576,-196.313547,62.835674,93.831061,4.692408,5.660159,-2.287398,-3.471844,-5.601714,2.431118,3.342922,-0.190541,0.442729,-0.039427,-54.398760,188.571080,1567.038297,13.685824,0
0.040626,-170.305193,-0.963580,161.059281,5.959128,5.042410,-0.207860,-4.699464,-4.837158,0.404115,4.477875,-0.205153,0.424830,-0.031958,-37.614721,188.495816,1567.449329,13.421650,0
0.041659,-120.727123,-58.674059,187.391667,6.456768,3.686204,1.958987,-5.233050,-3.569024,-1.773968,5.128961,-0.248989,0.404383,-0.035692,-17.381131,188.586349,1566.683493,12.483971,0
0.042701,-44.766398,-113.146855,192.131251,6.603798,1.825858,4.173456,-5.486783,-1.661310,-3.981429,5.274833,-0.219765,0.423001,-0.009553,4.718608,188.495734,1567.660186,12.789823,0
0.043742,20.271500,-160.975154,160.603788,6.004368,-0.240404,5.625958,-4.721853,0.371380,-5.559385,4.666441,-0.223418,0.428946,-0.035692,20.439508,188.571158,1567.329304,12.048463,0
0.044784,70.677572,-195.671510,91.652084,4.715028,-2.583587,6.114094,-2.826317,2.624615,-6.021022,2.830592,-0.190541,0.445146,-0.046895,37.381888,188.495810,1568.773956,11.743773,0
0.045826,131.348608,-187.686033,22.454167,3.391758,-4.117307,5.602147,-0.878542,4.267675,-5.605549,0.959164,-0.139399,0.445081,-0.024490,51.112227,188.721884,1568.343165,11.036991,0
0.046867,176.128799,-138.057679,-39.295833,2.249448,-5.189491,4.264734,1.334161,5.260128,-4.250017,-1.232469,-0.091910,0.443252,-0.002084,61.664457,188.495759,1568.717810,10.307144,0
0.047909,195.717298,-63.603067,-93.819508,1.186308,-5.626176,2.447122,3.341638,5.811490,-2.483210,-3.231979,-0.069992,0.444036,-0.046895,58.689927,188.555730,1568.698868,9.675526,0
0.048951,170.661714,-1.458897,-160.235228,-0.125652,-4.990676,0.411239,4.550602,5.160883,-0.527551,-4.310007,0.003068,0.442207,-0.061832,42.290428,188.495615,1569.520132,9.939012,0
0.050001,120.868137,59.163079,-186.801516,-0.589362,-3.591866,-1.854822,5.214786,3.833937,1.759647,-5.053597,0.003068,0.447302,0.009119,19.681738,188.721876,1569.599505,9.981900,0
0.051036,46.325224,113.635875,-191.935038,-0.759012,-1.713769,-4.061355,5.352846,1.955629,3.946124,-5.146101,0.024986,0.437373,-0.017021,0.420808,188.495745,1570.691682,9.826524,0
0.052075,-18.837442,161.536660,-160.863069,-0.170892,0.295688,-5.478139,4.587915,-0.113819,5.528277,-4.544825,-0.022503,0.447498,-0.039427,-15.978691,188.511511,1570.991246,9.040714,0
0.053117,-70.207626,195.508162,-92.182197,1.163688,2.731179,-5.950401,2.666260,-2.436893,5.973126,-2.684071,-0.051727,0.440312,-0.046895,-32.807971,188.495705,1572.048572,8.574252,0
0.054159,-132.012911,188.114648,-23.279735,2.453028,4.197444,-5.406705,0.692365,-4.065250,5.561851,-0.791296,-0.117481,0.443121,-0.020755,-45.837091,188.721875,1572.300293,8.134846,0
0.055200,-176.600281,138.607104,39.233523,3.527478,5.287380,-4.120884,-1.501680,-5.020945,4.252482,1.368317,-0.124787,0.442337,-0.031958,-57.056610,188.569755,1573.084030,7.889093,0
0.056242,-196.460999,64.647809,93.991099,4.635858,5.702762,-2.279461,-3.483038,-5.623768,2.456298,3.350037,-0.172276,0.442468,-0.039427,-52.690950,188.494297,1573.884827,7.538420,0
0.057284,-171.008428,1.911675,160.123675,5.936508,5.063712,-0.243577,-4.703196,-4.895970,0.467065,4.474317,-0.230724,0.453312,-0.020755,-36.472411,188.495340,1574.508219,7.259770,0
0.058325,-121.816004,-57.731748,187.637879,6.513318,3.696855,1.955018,-5.289021,-3.660918,-1.765575,5.100498,-0.205153,0.447498,-0.031958,-17.596021,188.704940,1575.062923,7.613047,0
0.059367,-46.104813,-113.110612,191.983523,6.592488,1.861361,4.193299,-5.464395,-1.664985,-3.981429,5.235696,-0.197847,0.426659,-0.054364,5.250178,188.560956,1574.724091,7.112617,0
0.060417,20.487008,-161.277176,159.803599,5.970438,-0.261705,5.637864,-4.680807,0.415489,-5.580369,4.595284,-0.238030,0.446910,-0.043161,21.468718,188.494518,1574.182131,6.297305,0
0.061451,70.530120,-195.381568,91.615152,4.658478,-2.622640,6.094251,-2.781540,2.631967,-5.987448,2.791455,-0.183235,0.445212,-0.035692,38.388478,188.494989,1573.446436,5.808061,0
0.062492,131.564115,-187.867246,21.924811,3.369138,-4.106657,5.606115,-0.897198,4.330163,-5.664303,0.969838,-0.117481,0.441749,0.005384,51.971787,188.516204,1574.748972,5.889927,0
0.063550,177.694065,-135.520689,-40.699243,2.170278,-5.249846,4.221079,1.479684,5.333643,-4.250017,-1.271606,-0.102869,0.440116,-0.028224,61.766247,188.570448,1575.580584,6.430690,0
0.064586,195.422393,-61.162725,-94.927462,1.095828,-5.594223,2.387594,3.412534,5.892357,-2.466423,-3.249768,-0.066339,0.411961,-0.046895,59.232807,188.502437,1576.273099,7.269142,0
