1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-185.458774,125.801346,19.388826,3.335208,6.519326,-1.831011,-4.516627,-6.193509,2.183513,4.456528,-0.164970,0.316456,-0.024490,-209.492787,188.495915,1513.602141,-910.349204,0
0.001041,-195.406147,64.732376,83.945644,4.534068,5.645958,0.911281,-6.199475,-5.175327,-0.556928,5.961497,-0.219765,0.318024,-0.039427,-180.290368,188.722869,1515.589127,-911.507996,0
0.002079,-169.080203,11.793854,155.384091,5.857338,4.211645,3.030504,-6.557687,-3.848381,-2.755995,6.498732,-0.223418,0.329194,-0.020755,-122.202209,188.496129,1516.241293,-912.679208,0
0.003122,-107.445055,-39.549988,205.217425,6.784758,1.797456,4.931456,-5.904697,-1.473846,-4.506016,5.787162,-0.230724,0.327627,-0.024490,-45.610891,188.496462,1518.181480,-913.881389,0
0.004164,-52.615408,-108.314493,196.316857,6.682968,-0.854602,6.268869,-4.464388,1.238857,-6.092365,4.531243,-0.197847,0.316652,0.009119,31.206628,188.496985,1517.683138,-915.060475,0
0.005206,-2.572296,-175.593048,147.480682,5.755548,-3.162283,6.665727,-2.565121,3.628095,-6.411314,2.634910,-0.139399,0.321290,0.009119,98.863046,188.721596,1519.108643,-916.315893,0
0.006240,50.805512,-209.939058,88.032765,4.635858,-5.029729,5.594209,0.203556,5.506403,-5.492238,0.023451,-0.110175,0.311557,-0.005818,162.560965,188.495289,1518.083240,-917.303357,0
0.007281,127.322020,-179.060267,34.407765,3.617958,-6.364633,4.117896,2.819246,6.737780,-3.977232,-2.474158,-0.022503,0.302999,-0.017021,207.246774,188.478567,1518.649335,-918.066476,0
0.008323,185.157430,-126.677467,-18.084659,2.633988,-6.304279,2.109793,4.479706,6.840701,-2.101311,-4.210387,-0.015197,0.314431,-0.013287,213.297624,188.551469,1517.768846,-919.193845,0
0.009365,195.150173,-64.255436,-81.767424,1.423818,-5.398958,-0.604718,6.084195,5.826193,0.639130,-5.661988,0.017680,0.314496,-0.024490,185.769084,188.705878,1517.578150,-919.167297,0
0.010407,168.665434,-11.679342,-154.929357,0.032688,-3.964645,-2.755691,6.498377,4.458814,2.871770,-6.277496,0.043251,0.341867,-0.028224,126.154076,188.492729,1517.094855,-919.578945,0
0.011448,108.720319,39.060455,-202.891478,-0.894732,-1.607261,-4.541554,5.852850,2.139416,4.596611,-5.541022,0.021333,0.334616,-0.009553,51.021747,188.558072,1516.842112,-920.473433,0
0.012490,53.584424,107.474614,-197.228599,-0.770322,1.027046,-5.946432,4.431198,-0.521827,6.115814,-4.352701,-0.007891,0.317828,-0.020755,-23.635561,188.551652,1516.260224,-920.828808,0
0.013531,2.713309,174.149123,-148.170834,0.157098,3.391531,-6.319479,2.509542,-2.892686,6.497713,-2.449253,-0.026156,0.315019,-0.046895,-94.119479,188.703708,1515.906503,-920.767126,0
0.014573,-51.016115,210.597211,-86.950190,1.322028,5.287380,-5.275742,-0.274060,-4.818779,5.645784,0.137302,-0.077298,0.315019,-0.020755,-155.419678,188.554593,1516.035051,-920.177639,0
0.015622,-128.371969,178.751948,-33.669886,2.260758,6.597432,-3.827209,-2.904675,-6.053831,4.067828,2.741646,-0.128440,0.300517,-0.024490,-203.080017,188.498959,1515.718239,-920.438208,0
0.016667,-185.957844,126.308744,19.142614,3.312588,6.519326,-1.779419,-4.542747,-6.160428,2.179316,4.417391,-0.172276,0.317371,-0.046895,-206.303367,188.500128,1515.446290,-920.165942,0
0.017711,-195.315407,63.693418,83.896402,4.522758,5.670810,0.958904,-6.192012,-5.127542,-0.594698,5.943708,-0.223418,0.315607,-0.002084,-178.797448,188.493071,1514.573569,-919.975791,0
0.018746,-168.422338,10.754897,155.408713,5.868648,4.200995,3.030504,-6.535298,-3.811623,-2.705634,6.466711,-0.230724,0.322401,-0.028224,-120.731909,188.565425,1513.948740,-918.766733,0
