1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-131.308031,-74.406047,173.543038,3.658281,5.003489,-1.664150,-3.368623,-4.788983,1.824953,3.412679,-0.174718,0.577402,-0.056273,-49.079827,188.646516,1049.613749,964.361556,0
0.001042,-49.677370,-125.167981,190.458165,3.973542,4.585169,0.363302,-4.629007,-4.368251,-0.314155,4.843407,-0.233057,0.558386,-0.056273,81.269056,188.571062,1050.782992,962.960272,0
0.002083,20.020569,-166.604376,156.081086,3.365539,3.352226,2.072959,-5.007501,-3.171341,-1.929055,5.161346,-0.247641,0.554872,-0.059989,192.174812,188.571047,1052.351657,962.275072,0
0.003125,91.187499,-180.005433,106.076957,2.442277,1.407405,3.883184,-4.716061,-1.343333,-3.776466,4.991022,-0.247641,0.583672,-0.078573,272.626799,188.495854,1053.759557,962.109207,0
0.004167,139.042683,-176.352735,23.797988,0.753382,-0.504390,4.812433,-3.660063,0.455659,-4.689604,3.927438,-0.229410,0.586497,-0.052556,315.937574,188.571228,1055.196137,961.532261,0
0.005208,171.688167,-150.454988,-54.069924,-0.777883,-2.438202,5.106092,-2.096884,2.363461,-5.108125,2.386945,-0.189302,0.581467,-0.078573,318.211756,188.571109,1057.073931,960.510963,0
0.006250,176.874833,-79.620832,-117.720381,-2.016406,-4.122490,4.615320,-0.000028,3.948460,-4.638874,0.297628,-0.145548,0.575198,-0.071140,253.352548,188.571196,1058.387013,959.858095,0
0.007292,175.564041,1.760343,-155.937388,-2.770779,-5.025181,3.593548,1.703194,4.822567,-3.653869,-1.492675,-0.087210,0.571477,-0.074856,167.519081,188.495649,1058.255981,959.934422,0
0.008333,131.392633,74.602896,-173.229217,-3.108558,-5.109579,1.658619,3.493470,4.876972,-1.806458,-3.298117,-0.061686,0.571270,-0.056273,49.498064,188.571205,1058.984540,959.517885,0
0.009375,49.626374,125.165164,-190.229406,-3.423819,-4.599522,-0.368833,4.814413,4.481629,0.281920,-4.743985,-0.039809,0.558662,-0.048839,-80.254128,188.571225,1059.628386,959.788084,0
0.010417,-19.325771,166.354915,-155.937388,-2.815817,-3.344562,-2.134809,5.128563,3.299227,1.926413,-5.061925,-0.017932,0.578574,-0.056273,-191.148625,188.571111,1060.388795,959.703531,0
0.011458,-90.707399,180.155301,-105.945411,-1.768702,-1.447445,-3.896761,4.916606,1.442203,3.794962,-4.857535,0.000299,0.589529,-0.078573,-272.591346,188.495758,1061.649517,959.015746,0
0.012500,-138.958080,176.091528,-23.812262,-0.226178,0.515723,-4.781760,3.845469,-0.400313,4.674279,-3.809091,-0.058040,0.585739,-0.052556,-323.152481,188.646431,1061.981405,958.796015,0
0.013542,-171.773063,150.264251,54.347291,1.282569,2.398163,-5.079441,2.206591,-2.253710,5.080117,-2.234534,-0.068979,0.578574,-0.052556,-322.758440,188.495694,1062.815908,958.312628,0
0.014583,-176.575532,79.077745,118.180022,2.554870,4.089790,-4.604760,0.151370,-3.838709,4.602412,-0.156571,-0.123671,0.570857,-0.052556,-252.067420,188.569235,1063.002175,958.013278,0
0.015625,-175.603738,-2.162490,156.117541,3.297983,5.025505,-3.578966,-1.532928,-4.759967,3.604725,1.652656,-0.145548,0.559144,-0.048839,-166.965744,188.495738,1062.983812,957.537870,0
0.016667,-131.228931,-74.958063,173.117730,3.658281,5.036514,-1.635991,-3.387547,-4.767221,1.782678,3.416464,-0.229410,0.554734,-0.033973,-49.248702,188.646685,1062.861157,956.936812,0
0.017708,-49.519171,-125.273686,190.531075,4.007319,4.640211,0.379393,-4.666856,-4.371878,-0.301473,4.843407,-0.200241,0.543986,-0.067423,80.435940,188.495799,1062.750871,957.152573,0
0.018750,18.811477,-166.451691,156.008176,3.399317,3.344887,2.113186,-4.988576,-3.291032,-1.937510,5.180271,-0.222118,0.587600,-0.045123,190.891363,188.571194,1063.102491,958.298035,0
0.019792,90.373904,-180.287313,106.477962,2.385980,1.447769,3.879161,-4.750125,-1.394111,-3.814514,4.994807,-0.203887,0.590700,-0.052556,272.559249,188.495770,1063.564770,958.625690,0
0.020833,138.997483,-176.247030,23.797988,0.730863,-0.526407,4.744047,-3.622214,0.452032,-4.719196,3.900943,-0.211179,0.584292,-0.019106,315.734924,188.646415,1063.778378,958.439841,0
0.021875,171.801166,-150.278812,-54.677508,-0.811661,-2.397838,5.094024,-2.089314,2.327191,-5.120807,2.368020,-0.185656,0.578780,-0.063706,318.200497,188.495716,1063.412747,958.663122,0
0.022917,176.694034,-78.892641,-117.963414,-1.993888,-4.140838,4.623365,0.018897,3.941206,-4.647329,0.305198,-0.112733,0.556388,-0.071140,252.440623,188.495826,1063.056096,958.955845,0
0.023958,175.677041,2.617729,-155.815871,-2.725742,-5.054537,3.674003,1.699409,4.884226,-3.658097,-1.568374,-0.101794,0.563898,-0.063706,167.383981,188.495721,1064.296360,959.044470,0
0.025000,131.177935,74.837796,-173.375037,-3.097299,-5.113248,1.658619,3.535104,4.931377,-1.810685,-3.313257,-0.065333,0.546949,-0.063706,50.207338,188.646581,1064.803338,959.658680,0
0.026042,50.383469,125.118184,-190.107889,-3.435078,-4.647225,-0.388947,4.833338,4.499764,0.324195,-4.823470,-0.036163,0.551634,-0.048839,-79.128295,188.495816,1066.293033,959.584202,0
0.027083,-17.924580,166.742500,-155.840175,-2.815817,-3.340893,-2.110672,5.166412,3.357259,1.909503,-5.103560,-0.010640,0.562107,-0.033973,-190.698292,188.495884,1066.752668,960.406725,0
0.028125,-90.515300,179.908656,-106.322113,-1.824998,-1.410750,-3.924920,4.856047,1.420441,3.833009,-4.872675,0.014883,0.591182,-0.074856,-272.782737,188.495893,1067.482859,960.169977,0
0.029167,-139.082379,176.255958,-23.095313,-0.237437,0.548748,-4.809919,3.784910,-0.371297,4.699644,-3.793951,-0.065333,0.581881,-0.074856,-323.546523,188.646676,1067.355662,960.529130,0
0.030208,-171.174167,150.358211,55.404486,1.327606,2.423849,-5.135759,2.202806,-2.224694,5.080117,-2.234534,-0.083563,0.573544,-0.086006,-321.508766,188.495783,1066.827429,960.775117,0
0.031250,-177.095328,78.102909,118.131415,2.554870,4.130154,-4.628896,0.158939,-3.871352,4.610866,-0.122506,-0.094502,0.563071,-0.108307,-251.988611,188.495767,1067.328401,960.788461,0
0.032292,-175.592438,-2.714506,155.898811,3.320502,5.051192,-3.639307,-1.585917,-4.730951,3.638545,1.648871,-0.192949,0.506091,-0.015389,-167.303494,188.495721,1066.853534,961.114131,0
0.033333,-131.002933,-74.347322,173.883285,3.680800,5.091556,-1.672195,-3.391332,-4.778102,1.791133,3.412679,-0.214826,0.575887,-0.026539,-50.453342,188.646578,1067.020432,961.319806,0
0.034375,-50.660464,-125.062276,190.300194,4.029838,4.610855,0.315029,-4.670641,-4.422656,-0.284563,4.885042,-0.236703,0.587944,-0.056273,79.220041,188.495873,1067.790806,961.880950,0
0.035417,17.737984,-166.874512,156.129693,3.354280,3.348556,2.109164,-5.018856,-3.269270,-1.958647,5.149991,-0.207533,0.596005,-0.082290,191.139046,188.495819,1068.059544,961.181599,0
0.036458,90.441704,-180.052413,106.514417,2.374721,1.392727,3.911343,-4.742555,-1.350587,-3.806059,4.964527,-0.251287,0.589598,-0.022822,272.649316,188.495848,1067.956830,960.390832,0
0.037500,138.997483,-176.646360,22.850158,0.719604,-0.559432,4.824501,-3.697912,0.452032,-4.702286,3.912298,-0.225764,0.583259,-0.078573,316.083932,188.646688,1067.680071,960.703289,0
0.038542,171.190970,-150.126127,-55.394456,-0.789143,-2.438202,5.090001,-2.104453,2.319937,-5.125035,2.398300,-0.200241,0.575198,-0.078573,318.223014,188.495873,1067.309568,961.152626,0
0.039583,176.840933,-78.305391,-117.768987,-1.993888,-4.129829,4.611297,-0.041662,3.926698,-4.630419,0.320338,-0.160133,0.560177,-0.059989,252.834665,188.495759,1066.820962,961.145133,0
0.040625,175.620541,2.300614,-155.925236,-2.725742,-5.054537,3.661934,1.688054,4.869718,-3.691917,-1.496460,-0.109087,0.567136,-0.074856,168.453522,188.495754,1066.016430,961.856055,0
0.041667,131.912430,73.909940,-173.411492,-3.086040,-5.124257,1.658619,3.531319,4.924123,-1.886780,-3.294332,-0.017932,0.569961,-0.067423,51.896087,188.571102,1065.765911,962.370351,0
0.042708,51.829859,124.871539,-189.986372,-3.423819,-4.669242,-0.356765,4.852262,4.514272,0.273465,-4.785620,-0.039809,0.581054,-0.045123,-78.328954,188.495694,1065.339330,962.549380,0
0.043750,-17.257884,166.284445,-155.973843,-2.770779,-3.384926,-2.106649,5.223186,3.342751,1.922185,-5.126270,-0.043455,0.594972,-0.041406,-190.574451,188.495807,1065.821008,962.189352,0
0.044792,-90.515300,180.319732,-105.629467,-1.847517,-1.451114,-3.864579,4.931746,1.463965,3.790734,-4.902955,-0.039809,0.580434,-0.026539,-273.165520,188.495828,1065.162351,963.127251,0
0.045833,-138.551283,176.396898,-22.439123,-0.214918,0.468020,-4.826010,3.834114,-0.356789,4.682734,-3.843156,-0.047102,0.575749,-0.067423,-322.792215,188.646676,1064.800485,963.734588,0
0.046875,-171.434066,150.029351,55.368031,1.361384,2.405502,-5.119669,2.293644,-2.210186,5.071662,-2.310233,-0.079917,0.572028,-0.052556,-321.857774,188.495770,1064.286215,964.650956,0
0.047917,-176.304333,78.737139,118.240780,2.611166,4.115476,-4.661078,0.245993,-3.798812,4.632004,-0.205776,-0.123671,0.571890,-0.086006,-252.551528,188.495879,1062.951854,965.396452,0
0.048958,-175.660238,-1.504770,156.263361,3.320502,5.010827,-3.647352,-1.495078,-4.734578,3.672365,1.611021,-0.156487,0.559144,-0.030256,-168.992242,188.495767,1062.942195,965.880305,0
0.050000,-132.573622,-73.607387,173.154185,3.680800,5.102564,-1.716445,-3.323203,-4.807118,1.829180,3.389969,-0.243995,0.580089,-0.026539,-51.849375,188.571151,1063.156673,966.151462,0
0.051042,-51.903456,-125.015296,190.421710,3.996060,4.654889,0.282848,-4.674426,-4.466180,-0.229605,4.858547,-0.254934,0.593318,-0.059989,79.343882,188.495750,1062.949817,966.850017,0
0.052083,17.749284,-166.263771,156.190451,3.343021,3.366904,2.052845,-4.999931,-3.262016,-1.869870,5.165131,-0.236703,0.592905,-0.071140,191.048979,188.495660,1062.090799,967.126953,0
0.053125,90.645102,-180.698389,105.797469,2.363462,1.469786,3.842957,-4.746340,-1.430381,-3.734192,5.002377,-0.229410,0.588082,-0.059989,273.414882,188.495816,1060.966830,968.645716,0
0.054167,138.601986,-176.446695,22.582821,0.753382,-0.489712,4.760138,-3.675203,0.433897,-4.685376,3.900943,-0.243995,0.579332,-0.004239,315.611083,188.571243,1060.466643,968.491238,0
0.055208,171.575168,-149.891227,-55.017755,-0.721587,-2.397838,5.118160,-2.206647,2.327191,-5.091215,2.390730,-0.156487,0.575198,-0.037689,318.155464,188.495839,1060.314417,968.105299,0
0.056250,176.061238,-79.409421,-118.133537,-2.005147,-4.107813,4.663592,-0.151425,3.904936,-4.714968,0.346833,-0.134610,0.555010,-0.056273,253.408839,188.495854,1060.411984,969.060802,0
0.057292,175.835240,0.738527,-156.010298,-2.759520,-5.028850,3.669980,1.616141,4.837075,-3.700372,-1.488890,-0.101794,0.574922,-0.078573,170.074720,188.494849,1060.418538,968.722338,0
0.058333,132.556525,73.475375,-173.010487,-3.119818,-5.135265,1.702869,3.466975,4.931377,-1.907918,-3.233772,-0.061686,0.584981,-0.074856,51.704695,188.647072,1059.844032,968.877465,0
0.059375,52.327056,124.789324,-190.132192,-3.457597,-4.665572,-0.312515,4.780349,4.525153,0.218508,-4.751555,-0.047102,0.588978,-0.071140,-78.756771,188.496226,1059.233531,969.293655,0
0.060417,-18.060179,166.166994,-155.840175,-2.759520,-3.388596,-2.054354,5.166412,3.335497,1.905275,-5.016505,-0.025225,0.589942,-0.086006,-191.283725,188.496116,1057.799268,968.669592,0
0.061458,-90.899498,180.272752,-105.520102,-1.802480,-1.484139,-3.884693,4.905252,1.467592,3.752687,-4.895385,-0.010640,0.569065,-0.086006,-273.413203,188.496226,1057.207715,968.760704,0
0.062500,-138.494783,176.443878,-22.390516,-0.214918,0.482698,-4.769692,3.871964,-0.324146,4.653141,-3.831801,-0.025225,0.578160,-0.086006,-322.488240,188.496228,1056.575731,968.752258,0
0.063542,-171.388866,150.088076,54.979178,1.383902,2.372476,-5.095532,2.301214,-2.246456,5.037843,-2.332943,-0.098148,0.573337,-0.071140,-322.263074,188.496150,1056.690037,968.484623,0
0.064583,-176.417333,79.735465,118.058505,2.577388,4.056765,-4.657055,0.227068,-3.748034,4.665824,-0.262551,-0.090856,0.572304,-0.074856,-253.632327,188.496230,1056.186901,969.177065,0
0.065625,-175.705437,-0.224563,156.275513,3.343021,4.977802,-3.675511,-1.529143,-4.770848,3.647000,1.539106,-0.145548,0.574371,-0.097156,-169.532642,188.496096,1056.122710,969.221226,0
0.066667,-132.483223,-73.255036,173.385067,3.680800,5.069539,-1.684264,-3.292924,-4.796237,1.854545,3.314269,-0.203887,0.569065,-0.082290,-51.241425,188.646976,1055.112974,969.487519,0
0.067708,-51.349759,-124.968316,190.288042,3.996060,4.592508,0.306984,-4.591158,-4.411775,-0.204240,4.824482,-0.207533,0.592560,-0.052556,80.109448,188.496210,1054.130042,969.048919,0
0.068750,18.777577,-166.299006,156.141844,3.320502,3.344887,2.008596,-4.958297,-3.320048,-1.823368,5.115927,-0.196595,0.580847,-0.100873,191.792029,188.496165,1052.897659,969.855933,0
0.069792,90.961500,-180.357783,105.675952,2.363462,1.502811,3.774571,-4.700921,-1.423127,-3.721509,4.960742,-0.240349,0.586497,-0.037689,273.200974,188.496377,1052.390315,969.393660,0
0.070833,138.500286,-176.540655,22.838006,0.787160,-0.438340,4.723933,-3.731977,0.386746,-4.660011,3.953933,-0.200241,0.581950,-0.056273,315.588566,188.571619,1051.872671,970.192850,0
0.071875,171.710767,-150.043912,-54.033469,-0.676550,-2.346466,5.065865,-2.195292,2.185738,-5.082760,2.424795,-0.185656,0.584017,-0.089723,318.177981,188.496161,1050.346841,970.781509,0
0.072917,176.242037,-80.630903,-117.841897,-1.971369,-4.052770,4.607274,-0.128716,3.857785,-4.664239,0.426318,-0.120025,0.561624,-0.071140,254.241955,188.496246,1049.398327,970.741826,0
0.073958,175.643141,0.069062,-156.168270,-2.770779,-4.988486,3.661934,1.566936,4.833448,-3.755329,-1.405620,-0.094502,0.559351,-0.074856,169.568096,188.496174,1048.647403,971.748988,0
0.075000,133.076322,73.581080,-172.633785,-3.119818,-5.076553,1.763209,3.402631,4.862464,-1.899463,-3.176997,-0.076271,0.581123,-0.082290,51.513304,188.646969,1047.565727,971.069949,0
0.076042,51.264863,125.153419,-189.986372,-3.446337,-4.658233,-0.284356,4.750069,4.528780,0.163551,-4.694780,-0.043455,0.585601,-0.086006,-80.006445,188.496187,1046.154827,971.662316,0
0.077083,-18.907674,165.697194,-156.022450,-2.815817,-3.406943,-1.969877,5.136133,3.404410,1.778451,-4.990010,-0.032517,0.553218,-0.071140,-191.002267,188.496272,1044.317776,972.963003,0
0.078125,-90.786499,180.542887,-105.216310,-1.746183,-1.539182,-3.792170,4.924176,1.521997,3.655455,-4.899170,-0.050748,0.584706,-0.056273,-273.086712,188.496109,1042.892663,973.665303,0
0.079167,-138.302685,176.021058,-23.314043,-0.169881,0.346927,-4.693260,3.909813,-0.251606,4.606639,-3.899931,-0.061686,0.581123,-0.048839,-321.238566,188.647143,1041.954838,974.518598,0
0.080208,-172.281560,149.841430,53.363005,1.327606,2.310095,-5.087487,2.369343,-2.105003,5.084345,-2.389718,-0.087210,0.579607,-0.052556,-324.267056,188.496112,1040.909166,975.836770,0
0.081250,-175.547238,81.391512,118.265084,2.532351,3.998053,-4.661078,0.336832,-3.711764,4.653141,-0.357176,-0.134610,0.576644,-0.071140,-253.407160,188.496237,1040.034717,976.251798,0
0.082292,-175.728037,-0.095368,156.178299,3.297983,4.988811,-3.683557,-1.389100,-4.691054,3.731549,1.501256,-0.167425,0.583328,-0.067423,-169.093567,188.496123,1038.886421,976.994485,0
0.083333,-133.003020,-74.124167,172.060534,3.647022,5.021836,-1.829082,-3.198300,-4.807118,1.964460,3.253709,-0.211179,0.574784,-0.045123,-50.678509,188.646971,1037.595098,978.321730,0
