1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-126.772676,-57.091460,191.010985,6.490698,3.135911,1.447039,-4.289014,-2.925768,-1.245185,4.122090,-0.252642,0.406735,-0.020755,-165.429028,188.495816,1195.093924,0.878145,0
0.001046,-53.885768,-114.427431,192.783713,5.144808,1.534736,2.974944,-4.068863,-1.381953,-2.877699,3.961987,-0.227071,0.407258,-0.035692,-139.110659,188.571400,1195.244380,-0.475841,0
0.002085,13.420630,-169.782133,163.472160,6.049608,-0.027387,3.998839,-3.479306,0.169214,-3.918479,3.414079,-0.179582,0.404253,-0.073035,-97.964879,188.496221,1195.401878,-1.165438,0
0.003125,72.866675,-184.979910,107.655872,4.907298,-1.788325,4.236954,-1.956907,1.951953,-4.166083,2.008729,-0.172276,0.400072,-0.080503,-42.444091,188.495899,1196.184808,-3.256066,0
0.004167,130.951620,-189.993485,24.522349,3.403068,-3.226188,4.185362,-0.527793,3.396523,-4.115723,0.553570,-0.168623,0.392756,-0.005818,27.315988,188.496282,1196.080591,-3.669564,0
0.005212,166.192769,-147.118357,-44.564773,2.102418,-3.851036,3.268619,0.972218,4.139024,-3.267991,-0.851780,-0.139399,0.398112,-0.054364,89.260856,188.572255,1195.761294,-3.957578,0
0.006254,194.129348,-71.854325,-96.010796,1.107138,-4.376478,1.859772,2.740887,4.598493,-1.853706,-2.623587,-0.095563,0.406474,-0.061832,132.318026,188.495850,1195.952533,-3.991849,0
0.007291,172.011472,-6.085883,-152.553410,0.021378,-3.939793,0.474736,3.438653,4.190485,-0.531747,-3.264000,-0.062686,0.405886,-0.043161,164.958685,188.495709,1195.507948,-4.384181,0
0.008336,126.380592,57.520076,-191.024054,-0.702462,-2.991869,-1.323032,4.151345,3.220087,1.205683,-3.968453,-0.029809,0.410067,-0.069301,170.715475,188.495799,1195.219855,-4.613427,0
0.009378,52.620312,114.469458,-192.784470,-0.770322,-1.433297,-2.831094,3.916269,1.705678,2.750066,-3.854602,-0.044421,0.406082,-0.061832,143.956015,188.571178,1194.528255,-4.797536,0
0.010423,-14.992334,170.126182,-163.189773,-0.193512,0.121725,-3.835146,3.386414,0.176566,3.874780,-3.281789,-0.040768,0.373681,-0.065566,102.934646,188.566739,1194.870532,-5.093895,0
0.011460,-73.133991,185.094422,-105.034470,0.914868,1.836509,-4.124852,1.867747,-1.562064,4.118188,-1.876439,-0.080951,0.406408,-0.058098,51.315807,188.494227,1194.214461,-4.781980,0
0.012505,-131.695321,189.890541,-24.449243,2.419098,3.299224,-4.021669,0.419975,-3.054419,4.067828,-0.439069,-0.132093,0.393539,-0.043161,-22.391461,188.496120,1193.759994,-4.280276,0
0.013542,-166.732305,148.670497,43.923864,3.685818,3.941824,-3.089052,-1.094961,-3.749136,3.257866,0.948491,-0.157664,0.402032,-0.017021,-82.922580,188.571547,1193.697572,-2.897526,0
0.014589,-194.476062,72.886986,96.256250,4.692408,4.509869,-1.640519,-2.863630,-4.238010,1.805810,2.720299,-0.161317,0.397263,-0.039427,-126.477389,188.571565,1193.172802,-2.696712,0
0.015630,-172.051938,5.258085,152.958902,5.744238,3.977327,-0.330886,-3.568859,-3.811623,0.496442,3.421194,-0.205153,0.411896,-0.050629,-159.072808,188.496188,1192.576510,-2.791971,0
0.016674,-125.717824,-58.070013,191.269508,6.490698,3.064906,1.482757,-4.251700,-2.881659,-1.329119,4.093627,-0.186888,0.392821,-0.058098,-163.992658,188.496246,1192.159583,-3.576872,0
0.017715,-52.025598,-114.354945,192.980682,6.547248,1.548937,2.947164,-4.076326,-1.415034,-2.831535,3.961987,-0.241683,0.393278,-0.031958,-139.144589,188.571714,1191.779944,-2.363750,0
0.018750,14.328030,-169.600919,163.238258,6.026988,0.050719,3.978996,-3.520351,0.143484,-3.859725,3.417637,-0.219765,0.396675,-0.035692,-99.491729,188.571576,1191.094236,-1.474894,0
0.019786,72.333577,-184.991991,106.769508,4.952538,-1.692467,4.213142,-2.001684,1.871086,-4.191264,2.033634,-0.157664,0.388248,-0.054364,-43.903081,188.496011,1190.989537,-0.341924,0
0.020828,130.702085,-189.776029,26.652083,3.436998,-3.165833,4.169488,-0.583763,3.381820,-4.128313,0.631842,-0.150358,0.396479,-0.043161,25.789138,188.640288,1191.150639,0.173352,0
0.021870,166.464989,-149.208353,-42.952083,2.102418,-3.847486,3.260682,0.905053,4.083888,-3.330942,-0.791296,-0.106522,0.399288,-0.061832,86.738727,188.571198,1191.358957,0.858723,0
0.022911,193.278660,-73.219467,-95.112122,1.107138,-4.419081,1.847866,2.752081,4.550708,-1.862099,-2.570220,-0.095563,0.394977,-0.050629,130.417946,188.571140,1190.295829,0.948311,0
0.023953,172.544569,-5.191897,-151.765531,-0.001242,-3.904291,0.502516,3.427459,4.172106,-0.569518,-3.299578,-0.044421,0.391188,-0.050629,161.893675,188.495799,1190.429287,1.147151,0
0.024994,126.017632,57.689209,-190.420834,-0.713772,-3.016721,-1.251598,4.106569,3.198032,1.209880,-3.961338,-0.048074,0.417710,-0.050629,168.611815,188.571169,1189.984009,1.020915,0
0.026036,52.949244,113.370095,-193.486175,-0.792942,-1.490101,-2.771565,3.983433,1.801247,2.720690,-3.875949,-0.037115,0.361922,-0.050629,143.989945,188.571151,1190.395898,2.016702,0
0.027078,-12.689806,169.558380,-163.448296,-0.227442,0.032968,-3.839114,3.412534,0.169214,3.795043,-3.310252,-0.088257,0.405494,-0.054364,103.884686,188.571252,1189.751497,1.805102,0
0.028120,-72.045111,185.227312,-106.856440,0.847008,1.793906,-4.101041,1.864015,-1.499577,4.105598,-1.936923,-0.113828,0.399811,0.009119,49.031187,188.495687,1189.852208,2.401840,0
0.029172,-131.718006,189.866380,-24.720076,2.396478,3.324076,-4.005795,0.360273,-3.072798,4.076221,-0.399933,-0.139399,0.391580,-0.043161,-24.336781,188.571071,1190.019978,1.769592,0
0.030212,-166.720963,147.486568,44.711743,3.719748,3.980877,-3.021586,-1.162126,-3.752811,3.161342,0.966280,-0.154011,0.391776,-0.065566,-83.793450,188.571228,1189.049778,1.193161,0
0.031249,-194.181157,71.763462,95.886932,4.681098,4.481467,-1.680205,-2.878556,-4.252713,1.784827,2.748761,-0.197847,0.390665,-0.061832,-126.963719,188.571198,1189.024364,0.887026,0
0.032293,-171.927171,4.484908,152.651137,5.755548,4.009280,-0.315012,-3.617367,-3.815299,0.471262,3.428310,-0.190541,0.391972,-0.043161,-160.022848,188.495649,1188.997121,0.739839,0
0.033334,-126.409716,-57.284755,190.826326,6.502008,3.093308,1.431165,-4.259163,-2.903713,-1.266169,4.065165,-0.216112,0.422086,-0.054364,-165.304618,188.646437,1188.555259,1.347244,0
0.034380,-53.636233,-114.572401,192.537501,6.535938,1.502783,2.978913,-4.061400,-1.392980,-2.789568,3.933524,-0.241683,0.405037,-0.058098,-139.144589,188.571147,1187.901873,1.079876,0
0.035423,13.726877,-169.878780,163.201326,6.004368,-0.016736,3.971059,-3.490500,0.150835,-3.872315,3.389174,-0.208806,0.404318,-0.069301,-97.704749,188.554278,1187.812413,0.616093,0
0.036463,73.082182,-184.822858,104.824432,4.862058,-1.784775,4.260765,-1.953176,1.911520,-4.187067,1.980266,-0.157664,0.398374,-0.035692,-42.229201,188.478985,1187.393399,0.274895,0
0.037505,131.053703,-189.751867,24.325379,3.391758,-3.208436,4.149645,-0.494210,3.400198,-4.145100,0.517991,-0.168623,0.389293,-0.054364,27.621358,188.713255,1187.460440,-0.486047,0
0.038543,165.999947,-147.661998,-44.367803,2.125038,-3.829735,3.217028,1.024457,4.065509,-3.255401,-0.908705,-0.135746,0.398178,-0.017021,89.147756,188.566091,1186.533217,-1.810075,0
0.039590,194.106663,-71.226118,-96.146212,1.107138,-4.433282,1.776432,2.774470,4.572763,-1.841116,-2.609356,-0.095563,0.404057,-0.028224,132.408506,188.565113,1187.081339,-1.734172,0
0.040629,171.682539,-5.348948,-152.885796,0.021378,-3.911391,0.458862,3.446116,4.201512,-0.548534,-3.271115,-0.091910,0.391318,-0.035692,165.060475,188.490045,1187.122396,-1.457802,0
0.041674,126.187770,57.701290,-191.147160,-0.747702,-2.963467,-1.319064,4.117763,3.216411,1.264437,-3.979127,-0.080951,0.400333,-0.031958,170.738095,188.706241,1187.896566,-1.955920,0
