1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,48.797889,112.584837,-180.695455,-0.521502,3.526442,-5.851186,1.811776,-2.940471,5.947946,-1.837303,-0.055380,0.181952,-0.058098,72.691707,188.797742,950.123268,-1299.838047,0
0.001042,6.410965,185.203151,-130.098864,0.394608,5.138268,-5.128904,-0.397195,-4.579855,5.389786,0.236922,-0.113828,0.173656,-0.024490,38.535508,188.646904,949.402735,-1299.207011,0
0.002083,-51.265650,194.590013,-74.848864,1.412508,6.153648,-3.430350,-2.986766,-5.568632,3.572618,2.791455,-0.161317,0.177183,-0.065566,-25.954111,188.646933,948.116163,-1297.826985,0
0.003125,-139.192714,169.401328,-28.770265,2.317308,6.334712,-1.545273,-4.725584,-5.884746,1.847777,4.552590,-0.183235,0.177118,-0.020755,-113.844119,188.722344,947.507356,-1296.835498,0
0.004167,-183.088191,107.390048,17.172917,3.233418,4.932352,0.851752,-5.591262,-4.506340,-0.561124,5.278390,-0.227071,0.191097,-0.046895,-157.828708,188.797762,946.333022,-1294.572623,0
0.005208,-191.458957,57.616723,90.531818,4.624548,3.590347,3.109876,-6.180818,-3.124258,-2.894485,6.043327,-0.190541,0.189725,-0.058098,-172.780528,188.571583,945.175328,-1293.487746,0
0.006250,-152.077795,12.168362,160.480682,5.936508,1.396275,4.637781,-5.400962,-0.962917,-4.422082,5.299737,-0.197847,0.192077,-0.020755,-147.152068,188.722266,943.637233,-1292.196015,0
0.007303,-91.883145,-37.375425,207.002463,6.841308,-1.135074,5.772796,-3.886026,1.529242,-5.622336,3.915735,-0.175929,0.196389,-0.028224,-104.140139,188.722322,943.665639,-1291.443640,0
0.008341,-47.874243,-113.158936,180.325379,6.377598,-3.368199,6.006942,-1.941982,3.833937,-5.890924,1.976709,-0.139399,0.159284,-0.031958,-67.224300,188.797713,942.618749,-1290.796633,0
0.009375,-6.111156,-185.124881,130.565909,5.404938,-4.877067,5.332283,0.207287,5.418185,-5.320174,0.009219,-0.062686,0.184238,-0.031958,-32.276401,188.571482,942.399339,-1290.009289,0
0.010417,50.703429,-194.475501,75.771402,4.375728,-5.942150,3.574200,2.796858,6.440044,-3.523989,-2.552430,-0.029809,0.164053,-0.050629,30.822088,188.722344,941.263056,-1288.818300,0
0.011458,138.641835,-169.443867,29.446591,3.470928,-6.165818,1.768495,4.584184,6.701022,-1.773968,-4.327796,0.024986,0.177836,-0.039427,118.836506,188.722210,940.019539,-1287.961529,0
0.012500,182.401202,-108.302412,-17.001326,2.611368,-4.724405,-0.628530,5.393891,5.388779,0.576179,-5.124754,0.032292,0.192861,-0.084238,163.047295,188.797672,939.590734,-1287.763492,0
0.013542,191.327750,-57.598858,-90.261743,1.220238,-3.435654,-2.910466,6.017030,3.995670,2.880164,-5.857670,0.035945,0.192600,-0.035692,177.829465,188.571395,939.442570,-1286.991601,0
0.014583,152.547741,-11.836394,-160.259849,-0.069102,-1.277085,-4.430433,5.225980,1.823302,4.361596,-5.078502,-0.015197,0.195278,-0.076769,152.201005,188.784860,939.168668,-1285.640253,0
0.015625,92.545913,36.511384,-207.015531,-0.996522,1.218761,-5.537668,3.770745,-0.606369,5.545064,-3.772772,-0.000585,0.179404,-0.046895,108.318206,188.722114,939.288350,-1284.085123,0
0.016667,48.525669,111.666688,-181.126326,-0.487572,3.451886,-5.811500,1.830433,-2.830198,5.918569,-1.879997,-0.044421,0.158173,-0.039427,72.137517,188.797951,939.703928,-1282.618983,0
0.017708,5.843840,184.816562,-130.578978,0.394608,5.056612,-5.116998,-0.337493,-4.583531,5.347819,0.179996,-0.084604,0.192142,-0.046895,38.128348,188.571511,939.847311,-1282.074766,0
0.018750,-50.573758,194.904116,-75.033523,1.480368,6.153648,-3.410507,-2.923332,-5.568632,3.597798,2.755877,-0.168623,0.173394,-0.031958,-25.784461,188.646875,940.125769,-1281.949276,0
